Ankunft,Zugnr.,von (Abfahrt),Gleis
00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),7
00:13,FEX,Berlin Alexanderplatz (ab 05:17),
00:13,RB 21964,Flughafen BER (ab 00:01),
00:23 (+2),RE 3359,Schwedt(Oder) (ab 22:11),
00:42,ICE 273,Berlin Hbf (ab 00:32),
00:47,RE 3,Schwedt(Oder) (ab 00:04),
00:47,RE 3363,Berlin Hbf (ab 00:40),
00:53,RB 56816,Oranienburg (ab 00:15),
00:53,RE 56816,Oranienburg (ab 00:15),5
00:53,RE 85,Pfungstadt (ab 07:05),
00:53,RE 93036,Oranienburg (ab 00:15),
01:08,ICE 1500,München Hbf (ab 20:21),7
01:51,RE 3,Wallersdorf (ab 06:54),
01:51,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),6
04:53,RE 3369,Eberswalde Hbf (ab 04:03),5
04:53,RE 62040,Wustermark (ab 04:16),
05:08,RE 3302,Falkenberg(Elster) (ab 03:40),6
05:08,RE 3340,Falkenberg(Elster) (ab 03:40),
05:15,RE 4,Düsseldorf Hbf (ab 00:21),
05:23,RE 5,Bernau a Chiemsee (ab 21:57),
05:39,RE 3341,Schwedt(Oder) (ab 04:04),4
05:40 (+2),ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,RE 18501,Cottbus Hbf (ab 04:25),
05:49,RE 62000,Elstal (ab 05:07),
05:54 (+47),ICE 1541,Köln Hbf (ab 23:27),4
05:56,ICE 279,Berlin Gesundbrunnen (ab 05:42),
06:09 (+2),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,RE 21820,Flughafen BER (ab 06:01),8
06:13 (+1),RE 3164,Stendal Hbf (ab 04:48),5
06:21,RB 62051,Wustermark (ab 05:39),5
06:23,RE 3503,Neubrandenburg (ab 04:27),4
06:24,ICE 904,München Hbf (ab 23:12),6
06:29,RE 21822,Flughafen BER (ab 06:16),8
06:33 (+1),ICE 2523,Berlin Gesundbrunnen (ab 06:18),
06:40 (+1),ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+1),RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43 (+10),RE 18503,Cottbus Hbf (ab 05:23),8
06:47,RE 3301,Angermünde (ab 05:32),4
06:51,RE 62002,Elstal (ab 06:07),3
06:58,RE 21826,Flughafen BER (ab 06:46),8
07:04 (+153),FLX 1235,Berlin Hbf (ab 06:57),5
07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08,RB 18502,Berlin Hbf (ab 07:00),3
07:08,RE 3304,Luckenwalde (ab 06:35),6
07:10 (+1),ICE 595,Berlin Hbf (ab 07:06),5
07:13,RE 21828,Flughafen BER (ab 07:01),8
07:15,RE 3146,Rathenow (ab 06:09),4
07:21,RB 62053,Wustermark (ab 06:39),5
07:22,ICE 606,Leipzig Hbf (ab 06:12),6
07:23,RE 4353,Neustrelitz Hbf (ab 06:00),4
07:23,RE 5,München Ost (ab 00:02),
07:24 (+7),IC 2274,Dresden Hbf (ab 05:35),7
07:29,RE 21830,Flughafen BER (ab 07:16),8
07:32,ICE 2827,Karlsruhe Hbf (ab 16:05),5
07:34 (+11),EN 40476,Budapest-Nyugati (ab 19:30),8
07:34 (+13),NJ 456,Graz Hbf (ab 19:41),8
07:35,RJ 171,Berlin Hbf (ab 07:28),3
07:39,RE 3343,Pinnow(Uckermark) (ab 06:18),4
07:40 (+10),ICE 1503,Berlin Gesundbrunnen (ab 07:26),5
07:42,RE 3169,Jüterbog (ab 07:02),6
07:43,RB 18505,Cottbus Hbf (ab 06:12),8
07:43 (+1),RE 18505,Cottbus Hbf (ab 06:12),8
07:47,DRF 1320,Dresden Hbf (ab 05:59),7
07:47,FLX 1320,Dresden Hbf (ab 05:59),6
07:49,RE 62004,Elstal (ab 07:07),3
07:58,ICE 371,Berlin Gesundbrunnen (ab 07:41),
08:05,RE 62009,Baruth(Mark) (ab 07:20),8
08:05,RE 8,Hamburg Hbf (ab 03:06),
08:08,RB 18504,Berlin Hbf (ab 08:00),3
08:09 (+2),RE 3344,Halle(Saale)Hbf (ab 05:46),6
08:13,RE 21836,Flughafen BER (ab 08:01),8
08:13,RE 3166,Stendal Hbf (ab 06:47),5
08:20,RJ 874,Dresden Hbf (ab 06:42),8
08:21,RB 62055,Wustermark (ab 07:39),5
08:23,ICE 806,Leipzig Hbf (ab 07:16),6
08:24 Ausfall,RE 3505,Stralsund Hbf (ab 05:02),4
08:29 (+26),FLX 1337,Berlin Hbf (ab 08:23),5
08:29,RE 21838,Flughafen BER (ab 08:16),8
08:33 (+2),ICE 2525,Hamburg-Altona (ab 05:35),
08:34,IC 2173,Rostock Hbf (ab 06:20),3
08:40 (+2),ICE 1005,Berlin Gesundbrunnen (ab 08:26),5
08:41 (+2),RE 3149,Falkenberg(Elster) (ab 07:18),6
08:43 (+1),RB 18507,Lübbenau(Spreewald) (ab 07:44),8
08:43,RE 18507,Lübbenau(Spreewald) (ab 07:44),8
08:46 (+5),ICE 936,Eisenach Hbf (ab 06:37),6
08:47,RE 3303,Stralsund Hbf (ab 05:10),4
08:51,RE 62006,Elstal (ab 08:07),3
09:04,RE 62011,Elsterwerda (ab 07:29),8
09:08,RB 18506,Berlin Hbf (ab 09:00),3
09:08 (+5),RE 3306,Luckenwalde (ab 08:35),6
09:10,ICE 597,Berlin Hbf (ab 09:05),5
09:15 (+1),ICE 1104,München Hbf (ab 05:17),7
09:15,RE 3148,Rathenow (ab 08:05),4
09:21,RB 62057,Wustermark (ab 08:39),5
09:22 (+53),ICE 2534,Leipzig Hbf (ab 08:13),
09:23 Ausfall,RE 4355,Rostock Hbf (ab 06:37),4
09:24 (+2),IC 2272,Dresden Hbf (ab 07:35),7
09:29 (+3),RE 21846,Flughafen BER (ab 09:16),8
09:39 (+1),RE 3345,Schwedt(Oder) (ab 08:04),4
09:40 (+1),ICE 1505,Berlin Gesundbrunnen (ab 09:26),5
09:42,RE 3171,Jüterbog (ab 09:02),6
09:43 (+1),RB 18509,Lübbenau(Spreewald) (ab 08:45),8
09:43,RE 18509,Lübbenau(Spreewald) (ab 08:45),8
09:49 (+2),RE 62008,Elstal (ab 09:07),3
09:53,DRF 1234,Leipzig Hbf (ab 08:45),6
09:53,FLX 1234,Leipzig Hbf (ab 08:45),6
