Ankunft,Zugnr.,von (Abfahrt),Gleis
00:02 (+4),RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:03,RB 21962,Berlin Ostkreuz (ab 00:00),
00:09 (+21),RE 73749,Magdeburg Hbf (ab 22:07),1
00:09,RE 73826,Berlin Ostkreuz (ab 00:06),6
00:15,RE 3745,Senftenberg (ab 22:26),7
00:15,RE 7,Berlin Ostkreuz (ab 00:12),
00:32 (+24),ICE 276,Brig (ab 13:45),2
00:37,RE 3141,Cottbus Hbf (ab 23:03),6
00:41,RE 73796,Erkner (ab 00:20),
00:47 (+2),ICE 645,Köln Hbf (ab 18:25),2
00:47 (+2),ICE 655,Helmstedt (ab 22:11),
00:51 (+3),RB 21968,Flughafen BER (ab 00:30),7
01:02,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:14,RE 3742,Dessau Hbf (ab 23:23),2
01:33,RE 94791,Potsdam Hbf (ab 00:53),
01:36,RB 94752,Frankfurt(Oder) (ab 00:29),
01:42 (+4),RE 21800,Flughafen BER (ab 01:22),7
01:53,RB 21969,Berlin-Charlottenburg (ab 01:33),3
02:48,RB 94793,Potsdam Hbf (ab 02:11),
02:55,RE 73754,Berlin Ostkreuz (ab 02:51),7
03:08,RE 21803,Berlin-Charlottenburg (ab 02:48),6
03:38,RE 21805,Berlin-Charlottenburg (ab 03:18),6
04:21,RE 73751,Brandenburg Hbf (ab 03:13),
04:40,RE 73801,Berlin-Charlottenburg (ab 04:20),
04:49,RE 73716,Frankfurt(Oder) (ab 03:38),
05:02,RE 3707,Lübbenau(Spreewald) (ab 03:53),7
05:02,RE 93007,Lübbenau(Spreewald) (ab 03:53),
05:10,RE 73758,Frankfurt(Oder) (ab 04:15),
05:20,FEX,Berlin Ostkreuz (ab 00:00),
05:23,RE 3103,Cottbus Hbf (ab 04:00),7
05:23,RE 92303,Cottbus Hbf (ab 04:00),
05:26,RE 73753,Brandenburg Hbf (ab 04:17),
05:36,RE 2,Münster-Albachten (ab 02:16),
05:36,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:47 (+2),RE 73718,Frankfurt(Oder) (ab 04:42),7
05:55,RE 3704,Dessau Hbf (ab 04:05),1
06:05 (+10),EC 430,Opalenica (ab 03:43),7
06:09,RE 73713,Magdeburg Hbf (ab 04:12),
06:10,RE 73760,Frankfurt(Oder) (ab 05:08),7
06:23 (+1),RE 3105,Cottbus Hbf (ab 04:57),7
06:36,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:46,RE 73755,Brandenburg Hbf (ab 05:44),1
06:47 (+3),RE 73720,Frankfurt(Oder) (ab 05:42),6
06:56 (+4),RE 3706,Dessau Hbf (ab 05:05),2
07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:34),3
07:02 (+2),RE 3711,Senftenberg (ab 05:11),7
07:09 (+1),RE 73715,Magdeburg Hbf (ab 05:01),1
07:10,RE 73762,Frankfurt(Oder) (ab 06:11),7
07:15,IC 2432,Cottbus Hbf (ab 05:27),6
07:36,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:40 (+25),IC 60409,Zürich HB (ab 18:34),6
07:40 (+25),NJ 409,Zürich HB (ab 18:34),6
07:46,RE 73757,Brandenburg Hbf (ab 06:44),1
07:47 (+3),RE 73722,Frankfurt(Oder) (ab 06:42),7
07:56 (+3),RE 3708,Dessau Hbf (ab 06:05),2
08:09 (+1),RE 73717,Magdeburg Hbf (ab 06:12),1
08:10,RE 73764,Frankfurt(Oder) (ab 07:11),7
08:23 (+1),RE 3109,Cottbus Hbf (ab 07:03),7
08:36,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:46,RE 73759,Brandenburg Hbf (ab 07:44),1
08:47 (+2),RE 73724,Frankfurt(Oder) (ab 07:41),7
08:56 (+1),RE 3710,Dessau Hbf (ab 07:05),2
09:02 (+2),RE 3715,Senftenberg (ab 07:14),7
09:03,ICE 841,Hannover Hbf (ab 06:50),2
09:09 (+1),RE 73719,Magdeburg Hbf (ab 07:12),1
09:10 (+1),RE 73766,Frankfurt(Oder) (ab 08:11),7
09:23 (+1),RE 3111,Cottbus Hbf (ab 08:04),7
09:36,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:46 (+1),RE 73761,Brandenburg Hbf (ab 08:44),1
09:47 (+3),RE 73726,Frankfurt(Oder) (ab 08:38),7
09:56,RE 3712,Dessau Hbf (ab 08:05),2
10:02 (+37),ICE 741,Münster(Westf)Hbf (ab 06:24),2
10:02 (+1),RE 3717,Senftenberg (ab 08:14),7
10:09 (+11),RE 73721,Magdeburg Hbf (ab 08:12),1
10:10 (+1),RE 73768,Frankfurt(Oder) (ab 09:08),7
10:23 (+1),RE 3113,Cottbus Hbf (ab 09:03),7
10:29,ICE 843,Köln Hbf (ab 05:26),2
10:36,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:46 (+4),RE 73763,Brandenburg Hbf (ab 09:44),1
10:47 (+3),RE 73728,Frankfurt(Oder) (ab 09:38),7
10:49,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56 (+4),RE 3714,Dessau Hbf (ab 09:05),2
11:01 (+5),EC 54,Krakow Glowny (ab 04:07),6
11:02 (+3),RE 3719,Senftenberg (ab 09:14),7
11:09 (+5),RE 73723,Magdeburg Hbf (ab 09:12),1
11:10,RE 73770,Frankfurt(Oder) (ab 10:08),7
11:23 (+1),RE 3115,Cottbus Hbf (ab 10:03),7
11:23,RE 92315,Cottbus Hbf (ab 10:03),
11:28,ICE 543,Köln Hbf (ab 06:25),2
11:36,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:46 (+3),RE 73765,Brandenburg Hbf (ab 10:44),1
11:47 (+3),RE 73730,Frankfurt(Oder) (ab 10:38),7
11:50,ICE 378,Karlsruhe Hbf (ab 05:59),3
11:56 (+5),RE 3716,Dessau Hbf (ab 10:05),2
12:02 (+4),ICE 141,Amsterdam Centraal (ab 06:00),2
12:02 (+3),RE 3721,Senftenberg (ab 10:14),7
12:06,EC 246,Warszawa Wschodnia (ab 06:49),7
12:09 (+13),RE 73725,Magdeburg Hbf (ab 10:12),1
12:10,RE 73772,Frankfurt(Oder) (ab 11:08),7
12:23 (+6),RE 3117,Cottbus Hbf (ab 11:03),7
12:28,ICE 845,Köln Hbf (ab 07:27),2
12:36,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:46,RE 73767,Brandenburg Hbf (ab 11:44),1
12:47 (+4),RE 73732,Frankfurt(Oder) (ab 11:38),7
12:50 (+2),ICE 994,Stuttgart Hbf (ab 06:36),2
12:56 (+3),RE 3718,Dessau Hbf (ab 11:05),3
13:02 (+2),RE 3723,Senftenberg (ab 11:14),7
13:04 (+2),IC 2035,Norddeich (ab 05:39),2
13:06,EC 230,Gdynia Glowna (ab 07:09),6
13:09 (+15),RE 73727,Magdeburg Hbf (ab 11:12),1
13:10,RE 73774,Frankfurt(Oder) (ab 12:08),7
13:23,RE 3119,Cottbus Hbf (ab 12:03),
13:28 (+18),ICE 545,Köln Hbf (ab 08:25),2
13:36,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:40,DRF 1321,Köln Hbf (ab 08:14),2
13:40 (+23),FLX 1321,Köln Hbf (ab 08:14),3
13:46 (+7),RE 73769,Brandenburg Hbf (ab 12:44),1
13:47 (+2),RE 73734,Frankfurt(Oder) (ab 12:38),
13:50,ICE 376,Basel SBB (ab 06:16),3
13:56 (+5),RE 3720,Dessau Hbf (ab 12:05),2
14:02 (+18),ICE 143,Amsterdam Centraal (ab 08:00),2
14:02 (+7),RE 3725,Senftenberg (ab 12:14),7
14:06 (+10),EC 48,Warszawa Wschodnia (ab 08:49),7
14:09 (+7),RE 73729,Magdeburg Hbf (ab 12:12),1
14:09 (+1),RE 73776,Frankfurt(Oder) (ab 13:08),7
14:23,RE 3121,Cottbus Hbf (ab 13:03),
14:23,RE 92321,Cottbus Hbf (ab 13:03),
14:28 Ausfall,ICE 847,Köln Hbf (ab 09:27),2
14:36,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:46 (+9),RE 73771,Brandenburg Hbf (ab 13:44),1
14:47 (+2),RE 73736,Frankfurt(Oder) (ab 13:38),7
14:49,ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),3
14:56 (+13),RE 3722,Dessau Hbf (ab 13:05),2
15:01 (+5),EC 56,Przemysl Glowny (ab 05:15),6
15:02 (+2),RE 3727,Senftenberg (ab 13:14),7
15:09 (+4),RE 73731,Magdeburg Hbf (ab 13:12),1
15:10 (+1),RE 73778,Frankfurt(Oder) (ab 14:08),7
15:23 (+4),RE 3123,Cottbus Hbf (ab 14:03),7
15:28 (+13),ICE 547,Köln Hbf (ab 10:24),2
15:36 (+2),RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:46 (+6),RE 73773,Brandenburg Hbf (ab 14:44),1
15:47 (+2),RE 73738,Frankfurt(Oder) (ab 14:38),7
15:50 (+19),ICE 374,Interlaken Ost (ab 05:59),3
15:56 (+11),RE 3724,Dessau Hbf (ab 14:05),2
16:02,ICE 145,Amsterdam Centraal (ab 10:00),2
16:02 (+5),RE 3729,Senftenberg (ab 14:14),7
16:06,EC 46,Warszawa Wschodnia (ab 10:49),7
16:09 (+8),RE 73733,Magdeburg Hbf (ab 14:12),1
16:10 (+3),RE 73780,Frankfurt(Oder) (ab 15:08),7
16:23 (+2),RE 3125,Cottbus Hbf (ab 15:03),7
16:23,RE 92325,Cottbus Hbf (ab 15:03),
16:29 (+35),ICE 849,Köln Hbf (ab 11:28),2
16:36,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:46 (+5),RE 73775,Brandenburg Hbf (ab 15:44),1
16:47 (+2),RE 73740,Frankfurt(Oder) (ab 15:38),7
16:49 (+22),ICE 798,Karlsruhe Hbf (ab 10:40),3
16:56 (+1),RE 3726,Dessau Hbf (ab 15:05),2
17:02 (+9),RE 3731,Senftenberg (ab 15:14),7
17:09 (+1),RE 73735,Magdeburg Hbf (ab 15:12),1
17:10 (+2),RE 73782,Frankfurt(Oder) (ab 16:08),7
17:23 (+4),RE 3127,Cottbus Hbf (ab 16:03),7
17:28 (+44),ICE 549,Köln Hbf (ab 12:26),2
