Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:02,00:02,RE 73794,Berlin Hbf (an 23:53),
00:35,00:35,RE 7,Hamm(Westf)Hbf (an 23:57),
00:46,00:46,RE 3140,Cottbus Hbf (an 02:40),
00:57,00:57,RB 93042,Berlin Ostbahnhof (an 01:14),
01:16,01:16,RE 93291,Berlin Ostbahnhof (an 01:33),
01:37,01:37,RB 21969,Berlin Ostbahnhof (an 01:53),
01:58,01:58,RE 73752,Berlin-Wannsee (an 02:10),
02:31,02:31,RE 93293,Frankfurt(Oder) (an 03:55),
02:36,02:36,RE 3703,Potsdam Hbf (an 03:26),
02:37,02:37,ICE 1707,Berlin Ostbahnhof (an 02:52),
03:13,03:13,RE 1,Karlsruhe Hbf (an 23:25),
04:04,04:04,RE 73751,Frankfurt(Oder) (an 05:29),
04:30,04:30,ICE 646,Köln Hbf (an 09:33),4
05:09,05:09,RE 73716,Magdeburg Hbf (an 06:50),
05:09,05:09,RE 73753,Frankfurt(Oder) (an 06:35),2
05:19,05:19,RE 2,Bingen(Rhein) Hbf (an 21:46),
05:19,05:19,RE 3102,Cottbus Hbf (an 06:56),
05:21,05:21,RE 3707,Dessau Hbf (an 06:53),3
05:21,05:21,RE 92707,Berlin-Wannsee (an 05:34),
05:30 (+31),06:01,ICE 1541,Berlin Ostbahnhof (an 05:46),1
05:30,05:30,RE 73758,Berlin-Wannsee (an 05:41),
05:34 (+2),05:36,ICE 946,Köln Hbf (an 10:35),3
05:39,05:39,RE 3704,Senftenberg (an 07:41),
05:39,05:39,RE 95111,Lübbenau(Spreewald) (an 07:03),
05:44,05:44,RE 3103,Hennigsdorf(b Berlin) (an 06:23),4
05:44,05:44,RE 92303,Berlin-Spandau (an 05:54),
05:52,05:52,RE 73713,Frankfurt(Oder) (an 07:18),
06:08,06:08,RE 73718,Magdeburg Hbf (an 07:50),4
06:19,06:19,RE 3104,Cottbus Hbf (an 07:57),1
06:30,06:30,RE 73755,Frankfurt(Oder) (an 07:47),2
06:30,06:30,RE 73760,Brandenburg Hbf (an 07:19),
06:36 (+1),06:37,ICE 279,Interlaken Ost (an 15:59),3
06:39,06:39,RE 3706,Berlin Ostbahnhof (an 06:56),
06:44,06:44,ICE 1272,Berlin Ostbahnhof (an 07:02),1
06:44,06:44,RE 3105,Berlin-Spandau (an 06:54),
06:52,06:52,RE 73715,Frankfurt(Oder) (an 08:18),2
07:08,07:08,RE 73720,Magdeburg Hbf (an 08:50),4
07:19,07:19,RE 3106,Cottbus Hbf (an 08:56),1
07:21,07:21,RE 3711,Dessau Hbf (an 08:53),4
07:30,07:30,RE 73757,Frankfurt(Oder) (an 08:43),2
07:30,07:30,RE 73762,Potsdam Hbf (an 07:51),
07:30,07:30,RE 94762,Berlin-Wannsee (an 07:41),
07:39,07:39,IC 2432,Hannover Hbf (an 10:25),3
07:39,07:39,RE 3708,Lübbenau(Spreewald) (an 09:03),
07:44,07:44,RE 3107,Berlin-Spandau (an 07:54),
07:52,07:52,RE 73717,Frankfurt(Oder) (an 09:18),2
08:08,08:08,RE 73722,Magdeburg Hbf (an 09:50),3
08:19,08:19,RE 3108,Cottbus Hbf (an 09:55),1
08:21,08:21,RE 3713,Berlin-Wannsee (an 08:34),
08:30,08:30,RE 73759,Frankfurt(Oder) (an 09:43),2
08:30,08:30,RE 73764,Brandenburg Hbf (an 09:19),
