Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:12,RB 62086,Berlin-Spandau (an 00:35),
00:16,RE 3366,Schwedt(Oder) (an 02:22),3
00:19 (+3),RE 3359,Jüterbog (an 01:19),
00:20,RB 21964,Berlin Hbf (an 00:23),4
00:43,RE 3,Passau Hbf (an 23:37),
00:43,RE 3363,Halle(Saale)Hbf (an 03:12),
01:57,RE 3362,Eberswalde Hbf (an 02:48),3
04:50,RE 3369,Berlin Südkreuz (an 04:53),2
04:50,RE 62040,Elsterwerda (an 06:29),
05:05 (+1),RB 56801,Schwerin Hbf (an 07:48),3
05:05,RE 56801,Schwerin Hbf (an 07:48),
05:15 (+1),RE 3302,Stralsund Hbf (an 08:45),3
05:15,RE 3340,Stralsund Hbf (an 08:45),
05:35,RE 3341,Luckenwalde (an 06:27),1
05:41,RE 3504,Stralsund Hbf (an 08:51),
05:42,RB 62050,Berlin-Spandau (an 05:59),
05:48,RE 3167,Schorndorf (an 17:09),3
06:03,RB 18500,Lübbenau(Spreewald) (an 07:18),
06:12,RE 62005,Berlin-Spandau (an 06:35),
06:16 (+2),RE 3342,Schwedt(Oder) (an 07:55),3
06:18,RE 3503,Sargans (an 22:24),2
06:41 (+1),RE 4352,Rostock Hbf (an 09:21),3
06:42,RB 62052,Berlin-Spandau (an 06:59),
06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47,RE 3147,Berlin-Spandau (an 07:04),
06:48,RE 62002,Elsterwerda (an 08:31),
07:04,RB 18502,Lübbenau(Spreewald) (an 08:15),1
07:04,RE 20,Cottbus Hbf (an 22:48),
07:10,RE 62007,Berlin-Spandau (an 07:39),
07:15,RE 3304,Stralsund Hbf (an 10:44),3
07:35,RE 3343,Luckenwalde (an 08:27),1
07:40,RE 3506,St. Gallen(CH) (an 23:34),3
07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,RE 62004,Baruth(Mark) (an 08:36),1
07:49,RE 3169,Stendal Hbf (an 09:30),
07:50,RB 18505,Berlin Hbf (an 07:53),4
08:04,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:12,RE 62009,Elstal (an 08:49),4
08:16 (+2),RE 3344,Schwedt(Oder) (an 09:55),3
08:19 (+1),RE 3505,Sargans (an 23:24),2
08:41 Ausfall,RE 4354,Rostock Hbf (an 11:21),3
08:42,RB 62056,Berlin-Spandau (an 08:59),
08:43,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47,RE 3149,Berlin-Spandau (an 09:04),
08:48,RE 62006,Elsterwerda (an 10:31),1
08:49,RB 18507,Berlin Hbf (an 08:53),4
09:04,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:10,RE 62011,Elstal (an 09:55),4
09:15 (+4),RE 3306,Stralsund Hbf (an 12:44),3
09:17 Ausfall,RE 4355,Berlin Südkreuz (an 09:23),2
09:35,RE 3345,Luckenwalde (an 10:27),1
09:41 Ausfall,RE 3508,Stralsund Hbf (an 12:51),3
