Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:03,00:03,RE 3366,Berlin Hbf (an 00:16),
00:56,00:56,RE 3363,Jüterbog (an 01:41),3
05:03,05:03,RE 3302,Stralsund Hbf (an 08:45),4
05:37,05:37,RE 3167,Berlin-Spandau (an 06:04),
06:05,06:05,RB 18043,Schwedt(Oder) (an 07:55),4
06:05,06:05,RE 3342,Angermünde (an 07:23),
06:37,06:37,RE 3147,Berlin-Spandau (an 07:04),
07:03 (+1),07:04,RE 3304,Stralsund Hbf (an 10:44),4
07:37,07:37,RE 3169,Stendal Hbf (an 09:13),
08:05 (+11),08:16,RE 3344,Schwedt(Oder) (an 09:55),4
08:37,08:37,RE 3149,Berlin-Spandau (an 09:04),
08:54,08:54,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),3
09:03 (+1),09:04,RE 3306,Stralsund Hbf (an 12:44),4
09:37,09:37,RE 3171,Stendal Hbf (an 11:13),4
09:51,09:51,RE 3345,Lutherstadt Wittenberg Hbf (an 11:06),3
10:05 (+4),10:09,RE 3346,Schwedt(Oder) (an 11:55),4
10:20,10:20,RE 3168,Jüterbog (an 10:54),3
10:37,10:37,RE 3151,Berlin-Spandau (an 11:04),
10:54 (+5),10:59,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),3
11:03,11:03,RE 3308,Stralsund Hbf (an 14:44),4
11:51 (+2),11:53,RE 3347,Lutherstadt Wittenberg Hbf (an 13:06),3
12:06,12:06,RE 3348,Angermünde (an 13:23),
12:37,12:37,RE 3153,Berlin-Spandau (an 13:04),
12:54,12:54,RE 13219,Teterow (an 23:27),3
13:03,13:03,RE 3310,Stralsund Hbf (an 16:44),4
13:37,13:37,RE 3175,Stendal Hbf (an 15:13),4
14:05 (+5),14:10,RE 3350,Schwedt(Oder) (an 15:55),4
14:37,14:37,RE 3155,Berlin-Spandau (an 15:04),
14:54,14:54,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),3
15:03,15:03,RE 3,Pasewalk (an 23:19),
15:03 (+11),15:14,RE 3312,Stralsund Hbf (an 18:44),4
15:37,15:37,RE 3177,Stendal Hbf (an 17:13),
16:05 (+2),16:07,RE 3352,Schwedt(Oder) (an 17:55),4
16:37,16:37,RE 3157,Berlin-Spandau (an 17:04),
16:54,16:54,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),3
17:03 (+4),17:07,RE 3314,Stralsund Hbf (an 20:44),4
17:37,17:37,RE 26117,Stendal Hbf (an 19:13),
17:37,17:37,RE 3179,Stendal Hbf (an 19:13),
17:51 (+15),18:06,RE 3353,Lutherstadt Wittenberg Hbf (an 19:06),3
18:05,18:05,RE 3354,Eberswalde Hbf (an 19:02),
18:37,18:37,RE 3159,Berlin-Spandau (an 19:04),
18:54,18:54,RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),3
19:03,19:03,RE 3316,Angermünde (an 20:22),4
19:37,19:37,RE 3181,Stendal Hbf (an 21:06),
20:05 (+1),20:06,RE 3356,Schwedt(Oder) (an 21:55),4
20:20,20:20,RE 3178,Jüterbog (an 20:54),3
20:37 (+1),20:38,RE 3161,Rathenow (an 21:48),4
20:53 (+2),20:55,RE 3315,Lutherstadt Wittenberg Hbf (an 22:07),3
21:03 (+4),21:07,RE 3318,Pasewalk (an 23:19),4
21:22 (+80),22:42,RE 3160,Jüterbog (an 21:56),3
21:38,21:38,RE 3183,Stendal Hbf (an 23:13),
21:48,21:48,RE 3357,Jüterbog (an 22:30),3
22:05 (+27),22:32,RE 3358,Schwedt(Oder) (an 23:56),4
22:48 (+3),22:51,RE 3185,Münster(Westf)Hbf (an 07:22),4
22:54,22:54,RE 3317,Lutherstadt Wittenberg Hbf (an 00:08),3
