Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01,00:01,ICE 2826,München Hbf (ab 14:45),
00:01,00:01,ICE 594,München Hbf (ab 14:45),5
00:05 (+9),00:14,RE 3182,Stendal Hbf (ab 22:50),
00:07,00:07,RE 92082,Stendal Hbf (ab 22:50),
00:08,00:08,FEX,Stralsund Hbf (ab 13:02),
00:15 (+23),00:38,RB 62086,Baruth(Mark) (ab 23:19),
00:19,00:19,RE 3360,Lutherstadt Wittenberg Hbf (ab 22:52),
00:19 (+4),00:23,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),6
00:23,00:23,RB 21964,Ludwigsfelde (ab 23:32),
00:30,00:30,RE 3319,Stralsund Hbf (ab 21:10),4
00:39,00:39,RB 21966,Flughafen BER (ab 00:16),
00:41,00:41,ICE 276,Brig (ab 13:45),3
00:49 (+41),01:30,ICE 947,Düsseldorf Hbf (ab 19:50),2
00:49 (+41),01:30,ICE 957,Köln Hbf (ab 19:46),
00:53,00:53,RB 21968,Flughafen BER (ab 00:31),
00:53 (+180),03:53,RJ 2579,Flughafen BER (ab 01:39),4
00:53 (+23),01:16,RJ 2817,Hamburg-Harburg (ab 22:41),
00:53 (+180),03:53,RJ 2919,Berlin Südkreuz (ab 01:09),4
00:53 (+23),01:16,RJ 479,Hamburg-Harburg (ab 22:41),4
00:53 (+180),03:53,RJ 95951,Berlin Südkreuz (ab 01:09),4
00:56,00:56,RB 92538,Paulinenaue (ab 00:13),
00:56,00:56,RE 8,Paulinenaue (ab 00:13),
01:17 (+57),02:14,ICE 657,Köln Hbf (ab 19:49),
01:44,01:44,RB 21800,Flughafen BER (ab 01:22),
02:44,02:44,RB 21802,Flughafen BER (ab 02:22),
02:47,02:47,RB 62089,Nauen (ab 02:11),7
04:25 (+5),04:30,ICE 646,Berlin Südkreuz (ab 04:18),4
04:31,04:31,ICE 277,Berlin Südkreuz (ab 04:25),
04:40,04:40,RE 62040,Nauen (ab 04:03),2
04:45,04:45,RE 3369,Eberswalde Hbf (ab 04:03),1
04:53,04:53,RB 21808,Flughafen BER (ab 04:31),
04:58,04:58,ICE 656,Berlin Südkreuz (ab 04:50),6
05:04,05:04,RJ 2578,Praha hl.n. (ab 00:33),
05:04,05:04,RJ 478,Praha hl.n. (ab 00:33),5
05:06,05:06,RE 3144,Rathenow (ab 04:09),2
05:08,05:08,RE 21810,Flughafen BER (ab 04:46),
05:11,05:11,RE 4351,Neustrelitz Hbf (ab 03:49),3
05:13,05:13,RE 62003,Baruth(Mark) (ab 04:19),7
05:18,05:18,RE 3302,Jüterbog (ab 04:22),5
05:21,05:21,ICE 279,Berlin Gesundbrunnen (ab 05:17),7
05:21,05:21,ICE 593,Berlin Gesundbrunnen (ab 05:16),
05:23,05:23,RE 21812,Flughafen BER (ab 05:01),
05:25,05:25,ICE 608,Berlin Südkreuz (ab 05:20),6
05:29,05:29,RE 3341,Schwedt(Oder) (ab 04:04),2
05:31,05:31,ICE 946,Berlin Südkreuz (ab 05:26),7
05:31,05:31,ICE 956,Berlin Südkreuz (ab 05:26),7
