Ankunft,Zugnr.,von (Abfahrt),Gleis
00:05 (+2),RE 3182,Stendal Hbf (ab 22:50),3
00:10,RE 3521,Stralsund Hbf (ab 21:06),
00:13 (+33),ICE 2845,Hamburg-Altona (ab 21:26),12
00:15,RB 62086,Berlin Südkreuz (ab 00:08),7
00:15,RE 3359,Schwedt(Oder) (ab 22:11),4
00:19 (+3),RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),6
00:21,RE 73826,Erkner (ab 23:43),14
00:23,FEX,Berlin-Charlottenburg (ab 05:00),
00:23 (+2),RB 21964,Flughafen BER (ab 00:01),8
00:26 (+13),ICE 947,Köln Hbf (ab 19:27),11
00:30 (+2),ICE 592,München Hbf (ab 16:45),7
00:35 (+1),ICE 700,München Hbf (ab 19:09),5
00:35,RE 3319,Stralsund Hbf (ab 21:10),4
00:36 (+12),RE 62038,Wustermark (ab 00:02),12
00:39,RB 21966,Flughafen BER (ab 00:16),8
00:45 (+4),RB 56816,Bad Kleinen (ab 22:26),
00:45 (+6),RE 56816,Oranienburg (ab 00:15),1
00:45,RE 85,Oranienburg (ab 00:15),
00:49 (+8),RE 3141,Cottbus Hbf (ab 22:52),13
00:50 (+33),ICE 901,Hamburg-Altona (ab 21:26),12
00:50,RE 3140,Berlin-Charlottenburg (ab 00:42),11
00:53,RB 94796,Erkner (ab 00:20),
00:53,RE 1,Aalen Hbf (ab 06:00),
00:54 (+1),ICE 1500,München Hbf (ab 20:21),5
01:02 (+3),RE 3742,Dessau Hbf (ab 23:23),11
01:23 (+44),ICE 1707,Hamburg-Altona (ab 22:34),12
01:42,RB 21969,Eisenach Hbf (ab 12:13),12
01:48 (+1),RE 73752,Erkner (ab 01:16),14
01:49,RB 62087,Wustermark (ab 01:16),
01:55 (+20),ICE 274,Basel SBB (ab 18:16),12
02:00,RE 3,Ravensburg (ab 00:30),
02:00,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),
02:15,RE 3361,Schwedt(Oder) (ab 00:45),
02:47 (+1),RB 62089,Wustermark (ab 02:16),7
03:44,RB 62091,Wustermark (ab 03:15),
04:09,RE 73751,Berlin Zoologischer Garten (ab 04:04),11
04:13 (+2),RE 3705,Berlin Ostkreuz (ab 03:59),14
04:20,ICE 646,Berlin Ostbahnhof (ab 04:09),14
04:24,ICE 277,Berlin Ostbahnhof (ab 04:15),13
04:25 (+2),ICE 1706,Berlin Südkreuz (ab 04:20),2
04:28,RE 73801,Berlin-Charlottenburg (ab 04:20),11
04:33,RE 2,Elze(Han) (ab 00:03),
04:33,RE 3101,Berlin Ostkreuz (ab 04:16),13
04:38,RE 21813,Berlin-Charlottenburg (ab 04:29),12
04:44 (+1),RE 3702,Bad Belzig (ab 03:41),11
04:44,RE 92402,Bad Belzig (ab 03:41),
04:45,RB 62094,Berlin Südkreuz (ab 04:38),
04:45 (+1),RE 3369,Eberswalde Hbf (ab 04:03),4
04:45 (+1),RE 62040,Wustermark (ab 04:16),
04:53,RB 21808,Flughafen BER (ab 04:31),
05:01,RE 94716,Erkner (ab 04:24),13
05:06,RE 3144,Rathenow (ab 04:09),
05:07,RB 56801,Berlin Südkreuz (ab 05:00),6
05:07,RE 56801,Berlin Südkreuz (ab 05:00),
05:08,RE 21810,Flughafen BER (ab 04:46),
05:09,RE 21817,Berlin-Charlottenburg (ab 05:00),
05:11,RE 4351,Neustrelitz Hbf (ab 03:49),4
05:13,RE 62003,Baruth(Mark) (ab 04:19),7
05:14,RB 94753,Potsdam Hbf (ab 04:49),
05:18,RE 3302,Falkenberg(Elster) (ab 03:40),5
05:21,ICE 593,Berlin Gesundbrunnen (ab 05:16),4
05:22,RE 94758,Frankfurt(Oder) (ab 04:15),
05:23,RE 21812,Flughafen BER (ab 05:01),
05:24 (+3),ICE 946,Berlin Ostbahnhof (ab 05:08),14
05:24,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),11
05:29 (+2),RE 3341,Schwedt(Oder) (ab 04:04),2
05:32 (+1),ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:35 (+2),RE 3103,Cottbus Hbf (ab 04:00),14
05:35 (+27),RE 62000,Elstal (ab 05:07),2
05:35,RE 95005,Cottbus Hbf (ab 03:51),
05:36,ICE 608,Berlin Südkreuz (ab 05:31),6
05:39,RB 21814,Flughafen BER (ab 05:16),
05:43 (+1),RE 3504,Berlin Südkreuz (ab 05:34),5
05:43 (+4),RE 3704,Dessau Hbf (ab 04:05),12
05:45,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:52,RE 3167,Jüterbog (ab 05:02),7
05:57,RE 94713,Berlin-Wannsee (ab 05:39),11
05:59,RE 93719,Eisenhüttenstadt (ab 04:21),
05:59,RE 94718,Eisenhüttenstadt (ab 04:21),14
06:03 (+1),ICE 240,Berlin Südkreuz (ab 05:50),5
06:05,RE 3164,Stendal Hbf (ab 04:48),2
06:08,RE 21818,Flughafen BER (ab 05:46),8
06:11,RE 3503,Neubrandenburg (ab 04:27),4
06:12 (+2),RB 62051,Wustermark (ab 05:39),1
06:14 Ausfall,EC 430,Przemysl Glowny (ab 18:49),13
06:15,RE 62005,Elsterwerda (ab 04:29),7
06:18 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:20 (+34),ICE 1541,Köln Hbf (ab 23:27),2
06:22,ICE 503,Berlin Gesundbrunnen (ab 06:16),3
06:23,RE 21820,Flughafen BER (ab 06:01),8
06:24 (+1),RE 3104,Hennigsdorf(b Berlin) (ab 05:35),12
06:25,ICE 279,Berlin Gesundbrunnen (ab 05:41),14
06:28 (+1),ICE 644,Berlin Ostbahnhof (ab 06:21),13
06:29 (+1),RE 3301,Pasewalk (ab 04:44),2 A - D
06:30 (+86),ICE 904,München Hbf (ab 23:12),5
06:32,ICE 1604,München Hbf (ab 06:19),5
06:32,ICE 1704,Berlin Südkreuz (ab 06:26),7
06:35 (+6),RE 3105,Cottbus Hbf (ab 04:57),14
06:39,RE 21822,Flughafen BER (ab 06:16),8
06:39,RE 62002,Elstal (ab 06:07),2 D - G
06:43 (+2),RE 4352,Berlin Südkreuz (ab 06:34),5
06:44 (+6),RE 3706,Dessau Hbf (ab 05:05),11
06:45,RB 62052,Rangsdorf (ab 06:21),7
06:48,ICE 1272,Frankfurt(Main)Hbf (ab 23:08),12
06:48 Ausfall,ICE 1548,Berlin Ostbahnhof (ab 06:42),14
06:50 (+2),RE 3147,Falkenberg(Elster) (ab 05:14),7
06:53 (+2),RB 18503,Cottbus Hbf (ab 05:23),8
06:53,RE 18503,Cottbus Hbf (ab 05:23),8
06:57,RE 94715,Berlin-Wannsee (ab 06:39),11
06:59 (+2),RE 94720,Frankfurt(Oder) (ab 05:42),14
07:06 (+2),RE 3146,Stendal Hbf (ab 05:48),2
07:08 (+1),RE 21826,Flughafen BER (ab 06:46),8
07:09 (+3),IC 2432,Cottbus Hbf (ab 05:27),5
07:11 (+3),RE 4353,Rostock Hbf (ab 04:34),4
07:12 (+3),RB 62053,Wustermark (ab 06:39),1
07:13 (+2),RE 3711,Senftenberg (ab 05:11),13
07:13,RE 62007,Elsterwerda (ab 05:29),7
07:16 (+4),ICE 795,Berlin Ostbahnhof (ab 07:06),14
07:18,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:23,RE 21828,Flughafen BER (ab 07:01),8
07:24,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),12
07:25 (+3),ICE 944,Berlin Ostbahnhof (ab 07:19),14
07:29 (+1),ICE 606,Erfurt Hbf (ab 05:25),6
07:29,RE 3343,Schwedt(Oder) (ab 06:04),2
07:32 (+33),IC 2274,Dresden Hbf (ab 05:35),5
07:32,ICE 1503,Berlin Gesundbrunnen (ab 07:26),4
07:34 (+10),ICE 1705,Hamburg-Altona (ab 04:36),3
07:35 (+1),RE 3107,Cottbus Hbf (ab 06:07),14
07:39,RE 21830,Flughafen BER (ab 07:16),8
07:39,RE 62004,Elstal (ab 07:07),2
07:41 (+51),EN 40476,Budapest-Nyugati (ab 19:30),5
07:41 (+51),NJ 456,Graz Hbf (ab 19:41),5
07:43,RE 3506,Berlin Südkreuz (ab 07:34),6
07:44 (+1),RE 3708,Dessau Hbf (ab 06:05),11
07:46 (+1),ICE 2865,Karlsruhe Hbf (ab 18:05),3
07:46,ICE 703,Berlin Gesundbrunnen (ab 07:41),3
07:46 (+16),RB 62054,Rangsdorf (ab 07:23),7
07:50 Ausfall,RB 18146,Berlin Ostbahnhof (ab 07:39),13
07:52 (+1),IC 60409,Zürich HB (ab 19:59),13
07:52,ICE 649,Hannover Hbf (ab 05:30),12
07:52 (+1),NJ 409,Zürich HB (ab 19:59),13
07:52,RE 3169,Jüterbog (ab 07:02),7
07:53,RB 18505,Cottbus Hbf (ab 06:12),8
07:53,RE 18505,Cottbus Hbf (ab 06:12),8
07:57,RE 94717,Berlin-Wannsee (ab 07:39),11
07:59,RE 94722,Frankfurt(Oder) (ab 06:42),13
08:02 (+16),FLX 1320,Dresden Hbf (ab 05:59),6
08:03,ICE 148,Berlin Südkreuz (ab 07:50),7
08:05 (+8),RE 3166,Stendal Hbf (ab 06:47),2
08:07 (+1),ICE 642,Berlin Ostbahnhof (ab 08:00),14
08:08,ICE 698,München Hbf (ab 22:46),6
08:08 (+6),RB 18145,Berlin-Wannsee (ab 07:51),11
08:09 (+1),RB 21834,Flughafen BER (ab 07:46),8
08:12 (+4),RB 62055,Wustermark (ab 07:39),1
08:13 (+4),RE 3505,Stralsund Hbf (ab 05:02),3
08:13 (+20),RE 3713,Senftenberg (ab 06:14),13
08:15 (+21),RE 62009,Elsterwerda (ab 06:40),7 A - D
08:17 (+2),ICE 851,Hannover Hbf (ab 05:46),11
08:19 (+9),RE 3344,Halle(Saale)Hbf (ab 05:46),6
08:21,ICE 2525,Hamburg-Altona (ab 05:35),
08:21 (+30),ICE 505,Hamburg-Altona (ab 05:34),3
08:23 (+1),IC 2173,Rostock Hbf (ab 06:20),4
08:23 (+5),RE 21836,Flughafen BER (ab 08:01),8
08:24 (+4),RE 3108,Hennigsdorf(b Berlin) (ab 07:35),12
08:27 (+3),ICE 371,Berlin Ostbahnhof (ab 08:17),13
08:27 (+18),RJ 874,Dresden Hbf (ab 06:42),6
08:29 (+1),RE 3303,Stralsund Hbf (ab 05:10),2 A - D
08:32 (+1),ICE 1005,Berlin Gesundbrunnen (ab 08:26),4
08:32,ICE 806,Erfurt Hbf (ab 06:30),5
08:35,RE 3109,Cottbus Hbf (ab 07:03),14
08:39 (+4),RE 21838,Flughafen BER (ab 08:16),8
08:39,RE 62006,Elstal (ab 08:07),2 D - G
08:43 (+1),RE 4354,Berlin Südkreuz (ab 08:34),6
08:44,RE 3710,Dessau Hbf (ab 07:05),11
08:45 (+7),RB 62056,Rangsdorf (ab 08:21),7
08:50,RB 18148,Berlin Ostbahnhof (ab 08:39),13
08:51,ICE 841,Hannover Hbf (ab 06:32),11
08:52,RE 3149,Falkenberg(Elster) (ab 07:18),7
08:53 (+5),RB 18507,Lübbenau(Spreewald) (ab 07:44),8
08:53 (+6),RE 18507,Lübbenau(Spreewald) (ab 07:44),8
08:54 (+1),ICE 936,Eisenach Hbf (ab 06:37),6
08:57,RE 94719,Berlin-Wannsee (ab 08:39),12
08:59,RE 94724,Frankfurt(Oder) (ab 07:41),13
09:02 (+2),ES 475,Paris Nord (ab 18:03),11
09:06 (+15),RE 3148,Rathenow (ab 08:05),2
09:08 Ausfall,RB 18147,Berlin-Wannsee (ab 08:51),12
09:08,RB 21842,Flughafen BER (ab 08:46),8
09:11 (+2),RE 4355,Rostock Hbf (ab 06:37),4
09:12 (+1),RB 62057,Wustermark (ab 08:39),1
09:13 (+20),RE 3715,Senftenberg (ab 07:14),14
09:13 (+21),RE 62011,Elsterwerda (ab 07:29),7
09:16,ICE 797,Berlin Ostbahnhof (ab 09:08),13
09:18,RE 3306,Luckenwalde (ab 08:35),6
09:23 (+5),ICE 1104,München Hbf (ab 05:17),5
09:23 (+2),RE 21844,Flughafen BER (ab 09:01),8
09:24 (+1),RE 3110,Hennigsdorf(b Berlin) (ab 08:35),11
09:27,ICE 942,Berlin Ostbahnhof (ab 09:19),13
09:29 (+10),ICE 541,Köln Hbf (ab 04:25),11
09:29 (+5),ICE 604,Nürnberg Hbf (ab 05:37),6
09:29 (+13),RE 3345,Schwedt(Oder) (ab 08:04),2
09:32 (+24),IC 2272,Dresden Hbf (ab 07:35),5
09:32 (+6),ICE 1505,Berlin Gesundbrunnen (ab 09:26),4
09:34,ICE 1901,Hamburg-Altona (ab 06:35),3
09:35 (+1),RE 3111,Cottbus Hbf (ab 08:04),14
09:37 (+10),ICE 2812,Kassel-Wilhelmshöhe (ab 06:45),11
09:37 (+10),ICE 676,Kassel-Wilhelmshöhe (ab 06:45),11
09:38 (+1),RE 62008,Elstal (ab 09:07),1
09:39,RE 21846,Flughafen BER (ab 09:16),8
09:43 (+1),RE 3508,Berlin Südkreuz (ab 09:34),6
09:44 (+1),RE 3712,Dessau Hbf (ab 08:05),12
09:45 (+5),RB 62058,Berlin Südkreuz (ab 09:38),7
09:50 Ausfall,RB 18150,Berlin Ostbahnhof (ab 09:39),13
09:52 (+12),RE 3171,Jüterbog (ab 09:02),7
09:53 (+3),ICE 146,Berlin Ostbahnhof (ab 09:47),14
09:53 (+3),RB 18509,Lübbenau(Spreewald) (ab 08:45),8
09:53 (+2),RE 18509,Lübbenau(Spreewald) (ab 08:45),8
09:57,RE 94721,Berlin Zoologischer Garten (ab 09:52),11
09:59 (+2),RE 94726,Frankfurt(Oder) (ab 08:38),13
10:00,DRF 1234,Leipzig Hbf (ab 08:45),5
10:00 (+7),FLX 1234,Leipzig Hbf (ab 08:45),5
10:01,ICE 741,Münster(Westf)Hbf (ab 06:24),3
10:05 (+7),ICE 804,München Hbf (ab 05:05),8
10:05 (+5),RE 3168,Stendal Hbf (ab 08:47),2
10:08 (+1),RB 18149,Berlin-Wannsee (ab 09:51),11
10:08 (+3),RB 21850,Flughafen BER (ab 09:46),7 D - G
10:12 (+1),RB 62059,Wustermark (ab 09:39),1
10:12,RE 3507,Stralsund Hbf (ab 07:02),4
10:13 (+1),RE 3717,Senftenberg (ab 08:14),14
10:14 (+2),RE 62013,Elsterwerda (ab 08:40),7 A - D
10:16 (+3),EC 248,Warszawa Wschodnia (ab 04:49),13
10:17 (+4),ICE 1708,Jena-Göschwitz (ab 07:06),8
10:19,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),6
10:22,ICE 507,Hamburg-Altona (ab 07:34),3
10:23,IC 2175,Rostock Hbf (ab 08:20),4
10:24,ICE 843,Köln Hbf (ab 05:26),11
10:24 (+1),RB 21852,Flughafen BER (ab 10:01),8
10:24 (+8),RE 3112,Hennigsdorf(b Berlin) (ab 09:35),12
10:27,ICE 373,Berlin Ostbahnhof (ab 10:17),14
10:28,EN 345,Stockholm Central (ab 17:28),-
10:28 (+54),RJ 384,Praha hl.n. (ab 06:31),6
10:29 (+1),RE 3305,Stralsund Hbf (ab 07:10),2 A - D
