Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:19,RE 73826,Berlin Zoologischer Garten (an 00:28),4
00:47,RE 3141,Berlin-Charlottenburg (an 01:00),3
00:55,RE 3140,Cottbus Hbf (an 03:00),1
01:07,RE 3742,Berlin Ostkreuz (an 01:20),1
01:46,RB 21969,Naumburg(Saale)Hbf (an 14:13),1
01:46,RE 73752,Brandenburg Hbf (an 02:51),3
04:12,RE 3705,Dessau Hbf (an 05:53),3
04:14,RE 73751,Frankfurt(Oder) (an 05:29),
04:31,RE 3101,Hennigsdorf(b Berlin) (an 05:23),4
04:33,RE 73801,Frankfurt(Oder) (an 05:36),
04:42,RE 21813,Berlin Ostbahnhof (an 04:50),
04:49,RE 3702,Senftenberg (an 06:41),1
04:49,RE 92402,Lübben(Spreewald) (an 05:56),
04:59,RE 94716,Berlin-Wannsee (an 05:21),3
05:13,RE 21817,Berlin Ostbahnhof (an 05:20),
05:19,RB 94753,Frankfurt(Oder) (an 06:35),
05:20,RE 1,Bruchsal (an 07:32),
05:20,RE 94758,Potsdam Hbf (an 05:51),
05:29,RE 2,Bingen(Rhein) Hbf (an 22:11),
05:29,RE 3102,Cottbus Hbf (an 06:56),1
05:33,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:33,RE 95005,Berlin-Spandau (an 05:54),
05:48 (+3),RE 3704,Senftenberg (an 07:41),1
05:48,RE 95111,Lübbenau(Spreewald) (an 07:03),
05:57,RE 93719,Berlin Zoologischer Garten (an 06:07),
05:57,RE 94718,Berlin-Wannsee (an 06:20),3
06:02,RE 94713,Frankfurt(Oder) (an 07:18),1
06:20,RE 94760,Berlin-Wannsee (an 06:41),
06:29,RE 3104,Cottbus Hbf (an 07:57),1
06:33 (+6),RE 3105,Hennigsdorf(b Berlin) (an 07:23),4
06:40,RE 94755,Frankfurt(Oder) (an 07:47),
06:49 (+4),RE 3706,Senftenberg (an 08:41),1
06:57,RE 92078,Berlin-Wannsee (an 07:20),
06:57,RE 94720,Berlin-Wannsee (an 07:20),3
07:02,RE 94715,Frankfurt(Oder) (an 08:20),1
07:12 (+1),RE 3711,Dessau Hbf (an 08:53),3
07:20,RE 75851,Potsdam Hbf (an 07:51),
07:20,RE 94762,Berlin-Wannsee (an 07:41),
07:29,RE 3106,Cottbus Hbf (an 08:56),1
07:33,RE 3107,Hennigsdorf(b Berlin) (an 08:23),3
07:40,RE 94757,Frankfurt(Oder) (an 08:43),
07:48,RB 18146,Berlin-Wannsee (an 08:10),3
07:49,RE 3708,Senftenberg (an 09:41),1
07:57,RE 94722,Berlin-Wannsee (an 08:20),
08:02,RE 94717,Frankfurt(Oder) (an 09:18),1
08:12 (+18),RE 3713,Dessau Hbf (an 09:53),4
08:13,RB 18145,Berlin Ostbahnhof (an 08:21),1
08:20,RB 94764,Berlin-Wannsee (an 08:41),
08:20,RE 75853,Potsdam Hbf (an 08:51),
08:29,RE 3108,Cottbus Hbf (an 09:55),1
08:33,RE 3109,Hennigsdorf(b Berlin) (an 09:23),4
08:40,RE 94759,Frankfurt(Oder) (an 09:43),
08:48,RB 18148,Berlin-Wannsee (an 09:10),3
08:49,RE 3710,Senftenberg (an 10:41),1
08:57,RE 94724,Berlin-Wannsee (an 09:20),
09:02,RE 94719,Frankfurt(Oder) (an 10:18),1
09:12 (+18),RE 3715,Dessau Hbf (an 10:53),3
09:13,RB 18147,Berlin Ostbahnhof (an 09:21),2
09:20,RE 75855,Potsdam Hbf (an 09:51),
09:20,RE 94766,Berlin-Wannsee (an 09:41),
09:29,RE 3110,Cottbus Hbf (an 10:55),1
09:33,RE 3111,Hennigsdorf(b Berlin) (an 10:23),4
09:48,RB 18150,Berlin-Wannsee (an 10:10),3
09:49,RE 3712,Senftenberg (an 11:41),1
10:02,RE 94721,Frankfurt(Oder) (an 11:18),1
10:12,RE 3717,Dessau Hbf (an 11:53),4
10:13,RB 18149,Berlin Ostbahnhof (an 10:21),2
10:20,RE 75857,Potsdam Hbf (an 10:51),
10:29,RE 3112,Cottbus Hbf (an 11:55),1
10:35,RE 3113,Hennigsdorf(b Berlin) (an 11:23),4
10:49,RE 3714,Senftenberg (an 12:41),1
10:57,RE 94728,Berlin Zoologischer Garten (an 11:07),3
11:02,RE 94723,Frankfurt(Oder) (an 12:18),
11:12,RE 3719,Dessau Hbf (an 12:53),3
11:20,RE 92646,Potsdam Hbf (an 11:51),
11:29,RE 3114,Cottbus Hbf (an 12:55),1
11:33,RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
11:49,RE 3716,Senftenberg (an 13:41),1
12:02,RE 94725,Frankfurt(Oder) (an 13:18),1
12:12,RE 3721,Dessau Hbf (an 13:53),3
12:29,RE 3116,Cottbus Hbf (an 13:55),1
12:33,RE 3117,Hennigsdorf(b Berlin) (an 13:25),4
12:49 (+20),RE 3718,Senftenberg (an 14:41),1
12:57,RE 94732,Berlin Zoologischer Garten (an 13:07),3
13:02,RE 94727,Frankfurt(Oder) (an 14:18),
13:12 (+10),RE 3723,Dessau Hbf (an 14:53),3
13:29,RE 3118,Cottbus Hbf (an 14:55),1
13:33,RE 3119,Hennigsdorf(b Berlin) (an 14:23),3
13:49 (+2),RE 3720,Senftenberg (an 15:41),1
14:02,RE 94729,Frankfurt(Oder) (an 15:18),
14:12,RE 3725,Dessau Hbf (an 15:53),3
