Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:19,00:19,ICE 947,Berlin Ostbahnhof (an 00:51),6
00:23,00:23,RE 62038,Berlin Hbf (an 00:36),5
01:14 (+32),01:46,ICE 1707,Berlin Ostbahnhof (an 01:40),6
02:22,02:22,ICE 647,Berlin Ostbahnhof (an 02:57),5
02:36,02:36,RB 62089,Berlin Hbf (an 02:47),5
02:36,02:36,RE 90173,Berlin Hbf (an 02:49),
04:35,04:35,RE 62040,Elsterwerda (an 06:29),5
04:39 (+2),04:41,ICE 646,Köln Hbf (an 09:33),4
04:48,04:48,ICE 1706,Hamburg Hbf (an 07:11),4
04:54,04:54,RE 3144,Falkenberg(Elster) (an 06:44),6
05:06,05:06,RE 3145,Stendal Hbf (an 06:13),4
05:07,05:07,RE 2,Duisburg Hbf (an 23:33),
05:07,05:07,RE 3102,Cottbus Hbf (an 06:56),5
05:22,05:22,RE 62000,Elsterwerda (an 07:15),5
05:28,05:28,RB 21,Wiesbaden Hbf (an 00:27),
05:40,05:40,RE 62003,Elstal (an 05:53),3
05:45 (+17),06:02,ICE 946,Köln Hbf (an 10:35),3
05:54,05:54,RE 3164,Jüterbog (an 06:54),6
05:57,05:57,ICE 2818,Hamburg Hbf (an 08:15),
05:57,05:57,ICE 608,Hamburg Hbf (an 08:15),4
06:01,06:01,RB 62051,Berlin Südkreuz (an 06:21),6
06:06,06:06,RE 3167,Stendal Hbf (an 07:13),4
06:07,06:07,RE 3104,Cottbus Hbf (an 07:57),6
06:11,06:11,ICE 240,Amsterdam Centraal (an 11:59),3
06:22,06:22,RE 62002,Elsterwerda (an 08:31),5
06:28,06:28,RB 18242,Berlin Gesundbrunnen (an 06:40),5
06:37,06:37,RE 62005,Elstal (an 06:49),3
06:48 (+2),06:50,ICE 1604,Berlin Gesundbrunnen (an 10:31),
06:48 (+2),06:50,ICE 1704,Hamburg Hbf (an 09:18),3
06:48 (+2),06:50,ICE 2800,Hamburg Hbf (an 09:18),3
06:54,06:54,RE 3146,Berlin Südkreuz (an 07:15),6
06:56 (+1),06:57,RE 3105,Hennigsdorf(b Berlin) (an 07:23),3
07:01 (+1),07:02,RB 62053,Berlin Südkreuz (an 07:21),6
07:07 (+2),07:09,RE 3106,Cottbus Hbf (an 08:56),6
07:17 (+3),07:20,ICE 1605,München Hbf (an 00:11),
07:17 (+3),07:20,ICE 2465,Berlin Hbf (an 07:34),6
07:22,07:22,RE 62004,Elsterwerda (an 09:14),5
07:30,07:30,RB 18244,Berlin Gesundbrunnen (an 07:48),5
07:33,07:33,ICE 649,Berlin Ostbahnhof (an 08:03),6
07:46 (+2),07:48,ICE 944,Köln Hbf (an 12:33),4
07:49 (+3),07:52,ICE 606,Hamburg-Altona (an 10:24),4
07:54 (+5),07:59,RE 3166,Berlin Südkreuz (an 08:13),6
07:59,07:59,ICE 851,Berlin Ostbahnhof (an 08:28),5
08:01 (+3),08:04,RB 62055,Berlin Südkreuz (an 08:21),6
08:06 (+20),08:26,RE 3169,Stendal Hbf (an 09:30),
08:07 (+6),08:13,RE 3108,Cottbus Hbf (an 09:55),6
08:08 (+10),08:18,ICE 2525,Leipzig Hbf (an 09:46),
08:08 (+9),08:17,ICE 2819,Hannover Hbf (an 12:23),
08:10,08:10,ICE 148,Amsterdam Centraal (an 14:01),3
08:21,08:21,DRF 1320,Köln Hbf (an 13:41),3
08:21 (+1),08:22,FLX 1320,Köln Hbf (an 13:41),3
08:22 (+2),08:24,RE 62006,Elsterwerda (an 10:31),
08:27 (+1),08:28,RB 18246,Berlin Gesundbrunnen (an 08:40),
08:42 (+1),08:43,ICE 1702,Hamburg Hbf (an 11:12),3
08:42,08:42,ICE 2462,Hamburg Hbf (an 11:12),
08:54 (+3),08:57,RE 3148,Berlin Südkreuz (an 09:15),
08:56,08:56,RE 3109,Hennigsdorf(b Berlin) (an 09:23),3
09:01 (+7),09:08,RB 62057,Berlin Südkreuz (an 09:21),
09:06 (+4),09:10,ICE 541,Berlin Ostbahnhof (an 09:41),5
09:07 (+7),09:14,RE 3110,Cottbus Hbf (an 10:55),6
09:17,09:17,ICE 1901,Berlin Hbf (an 09:34),6
09:22,09:22,RE 62008,Zossen (an 10:17),
09:25,09:25,ICE 676,Berlin Ostbahnhof (an 09:51),6
09:28 (+8),09:36,RB 18248,Berlin Gesundbrunnen (an 09:40),5
09:46 (+6),09:52,ICE 942,Köln Hbf (an 14:32),4
09:47 (+1),09:48,ICE 741,Berlin Hbf (an 10:01),6
09:49 (+32),10:21,ICE 2534,Hamburg-Altona (an 12:26),
09:49 (+32),10:21,ICE 2938,Hamburg-Altona (an 12:26),
09:54,09:54,RE 3168,Berlin Südkreuz (an 10:13),6
09:56 (+12),10:08,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
10:00,10:00,RB 62059,Berlin Südkreuz (an 10:22),6
10:05 (+2),10:07,RE 3112,Cottbus Hbf (an 11:55),6
10:06 (+22),10:28,RE 3171,Stendal Hbf (an 11:30),4
10:08 (+2),10:10,ICE 2527,Leipzig Hbf (an 11:45),
10:11,10:11,ICE 146,Amsterdam Centraal (an 16:00),3
10:19,10:19,RE 62010,Elsterwerda (an 12:31),6
10:28,10:28,RB 18250,Berlin Gesundbrunnen (an 10:40),5
10:49 (+2),10:51,ICE 1700,Hamburg Hbf (an 13:12),3
10:54 (+1),10:55,RE 3150,Berlin Südkreuz (an 11:15),6
11:01 (+3),11:04,RB 62061,Berlin Südkreuz (an 11:21),6
11:06 (+30),11:36,ICE 543,Berlin Ostbahnhof (an 11:40),5
11:07 (+24),11:31,RE 3114,Cottbus Hbf (an 12:55),6
11:17,11:17,ICE 1903,Berlin Hbf (an 11:33),6
11:22 (+2),11:24,RE 62012,Zossen (an 12:18),5
11:28,11:28,RB 18252,Berlin Gesundbrunnen (an 11:40),5
11:40,11:40,FLX 1239,Stuttgart Hbf (an 18:24),6
11:45,11:45,ICE 141,Berlin Ostbahnhof (an 12:13),6
11:49 (+11),12:00,ICE 2532,Hamburg-Altona (an 14:24),
11:49 (+11),12:00,ICE 2804,Hamburg-Altona (an 14:24),
11:52 (+11),12:03,ICE 940,Köln Hbf (an 16:33),4
11:54,11:54,RE 3170,Berlin Südkreuz (an 12:13),6
11:56,11:56,RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
12:01 (+1),12:02,RB 62063,Berlin Südkreuz (an 12:21),6
12:06 (+13),12:19,RE 3173,Stendal Hbf (an 13:30),4
12:07 (+1),12:08,RE 3116,Cottbus Hbf (an 13:55),6
12:08 (+8),12:16,ICE 2529,Leipzig Hbf (an 13:45),
12:08 (+8),12:16,ICE 2833,Leipzig Hbf (an 13:45),
12:11 (+5),12:16,ICE 144,Amsterdam Centraal (an 18:00),3
12:21,12:21,DRF 1324,Köln Hbf (an 17:43),3
12:21 (+13),12:34,FLX 1324,Köln Hbf (an 17:43),3
12:21,12:21,RE 62014,Elsterwerda (an 14:31),5
12:28 (+2),12:30,RB 18254,Berlin Gesundbrunnen (an 12:40),5
12:40 (+2),12:42,ICE 1908,Hamburg Hbf (an 15:12),4
12:54 (+8),13:02,RE 3152,Falkenberg(Elster) (an 14:44),6
13:01 (+2),13:03,RB 62065,Berlin Südkreuz (an 13:21),6
13:07 (+1),13:08,RE 3118,Cottbus Hbf (an 14:55),6
13:12 (+9),13:21,ICE 545,Berlin Ostbahnhof (an 13:40),5
13:17,13:17,ICE 1905,Berlin Hbf (an 13:34),6
13:22 (+3),13:25,RE 62016,Elsterwerda (an 15:14),5
13:28 (+1),13:29,RB 18256,Berlin Gesundbrunnen (an 13:40),5
13:33,13:33,ICE 143,Berlin Ostbahnhof (an 14:02),6
13:36,13:36,DRF 1321,Berlin Ostbahnhof (an 14:05),6
13:36,13:36,FLX 1321,Berlin Ostbahnhof (an 14:05),5
13:43 (+4),13:47,ICE 848,Köln Hbf (an 18:33),4
13:49 (+4),13:53,ICE 2530,Hamburg-Altona (an 16:23),
13:54 (+1),13:55,RE 3172,Jüterbog (an 14:54),6
13:56,13:56,RE 3119,Hennigsdorf(b Berlin) (an 14:23),3
