Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:22,00:22,RE 3319,Pasewalk (ab 22:44),6
00:26,00:26,RE 3,Großengottern (ab 05:29),
00:26,00:26,RE 3366,Teltow (ab 00:00),10
00:33,00:33,ICE 1500,München Hbf (ab 20:21),8
00:44 (+2),00:46,RE 3141,Cottbus Hbf (ab 23:03),7
01:03,01:03,RE 3742,Baitz (ab 00:04),
01:03,01:03,RE 7,Großräschen (ab 07:26),
01:37 (+2),01:39,RE 3742,Dessau Hbf (ab 23:23),
04:37,04:37,RE 3369,Eberswalde Hbf (ab 04:03),
04:51 (+10),05:01,RE 4350,Berlin Hbf (ab 04:46),
05:03,05:03,RE 4351,Neustrelitz Hbf (ab 03:49),6
05:19,05:19,RE 3102,Nauen (ab 04:39),10
05:22,05:22,RE 3341,Schwedt(Oder) (ab 04:04),6
05:27,05:27,RE 3302,Jüterbog (ab 04:22),9
05:33,05:33,RE 2,Elze(Han) (ab 00:38),
05:33 (+3),05:36,RE 3103,Cottbus Hbf (ab 04:00),
05:46,05:46,RE 3377,Angermünde (ab 04:55),
05:51,05:51,RE 3504,Flughafen BER (ab 05:16),10
06:01,06:01,ES 453,Bruxelles Midi (ab 19:22),8
06:03 (+3),06:06,RE 3503,Neubrandenburg (ab 04:27),6
06:18,06:18,RE 3104,Nauen (ab 05:39),10
06:22,06:22,RE 3,Wilmersdorf(Angerm) (ab 04:39),
06:22,06:22,RE 3301,Pasewalk (ab 04:44),6
06:28,06:28,RE 10900,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:28,06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:35,06:35,NEB 61080,Klosterfelde (ab 06:02),
06:36,06:36,RE 3105,Cottbus Hbf (ab 04:57),7
06:37 (+3),06:40,ICE 904,München Hbf (ab 23:12),10
06:51 (+1),06:52,RE 4352,Flughafen BER (ab 06:16),10
06:57 Ausfall,--:--,RE 3331,Angermünde (ab 06:01),8
06:58,06:58,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),10
07:03 (+1),07:04,RE 4353,Rostock Hbf (ab 04:34),6
07:18,07:18,RE 3106,Nauen (ab 06:39),10
07:21 (+11),07:32,RE 3343,Schwedt(Oder) (ab 06:04),6
07:28,07:28,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),9
07:38,07:38,RE 3107,Cottbus Hbf (ab 06:03),7
07:44,07:44,NEB 61082,Wandlitzsee (ab 07:18),
07:44,07:44,RB 61082,Wandlitzsee (ab 07:18),9
07:51,07:51,RE 3506,Flughafen BER (ab 07:16),10
07:58,07:58,RE 3335,Angermünde (ab 07:10),8
08:03 (+3),08:06,RE 3505,Stralsund Hbf (ab 05:02),6
08:22,08:22,RE 3303,Stralsund Hbf (ab 05:10),6
08:23,08:23,RE 3108,Nauen (ab 07:39),10
08:27,08:27,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),8
08:36,08:36,RE 3109,Cottbus Hbf (ab 07:04),7
08:39,08:39,ICE 698,München Hbf (ab 22:47),
08:44 (+10),08:54,ICE 806,Erfurt Hbf (ab 06:30),8
08:51,08:51,RE 4354,Flughafen BER (ab 08:16),10
08:55,08:55,D 10301,Stockholm Central (ab 16:25),
08:55 (+36),09:31,D 301,Malmö Central (ab 22:20),
08:56,08:56,EN 345,Stockholm Central (ab 17:28),10
09:02 (+8),09:10,ICE 936,Eisenach Hbf (ab 06:17),7
09:03 (+3),09:06,RE 4355,Rostock Hbf (ab 06:34),
09:19,09:19,RE 3110,Nauen (ab 08:39),8
09:21,09:21,RE 3345,Schwedt(Oder) (ab 08:04),6
09:28,09:28,RE 3306,Luckenwalde (ab 08:35),9
09:31 (+3),09:34,ICE 1104,München Hbf (ab 05:17),8
09:36 (+7),09:43,RE 3111,Cottbus Hbf (ab 08:04),7
09:51,09:51,RE 3508,Flughafen BER (ab 09:16),9
10:02 (+4),10:06,RE 3507,Stralsund Hbf (ab 07:02),6
10:19 (+1),10:20,RE 3112,Nauen (ab 09:39),
10:22,10:22,RE 3305,Stralsund Hbf (ab 07:10),6
10:25,10:25,EC 248,Warszawa Wschodnia (ab 04:49),7
10:28,10:28,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),9
10:31 (+5),10:36,ICE 1604,München Hbf (ab 06:19),8
10:36,10:36,RE 3113,Cottbus Hbf (ab 09:03),7
10:51,10:51,RE 4356,Flughafen BER (ab 10:16),10
10:54,10:54,ICE 839,Stralsund Hbf (ab 07:47),6
11:02 (+7),11:09,ICE 934,Frankfurt(Main)Hbf (ab 06:12),9
11:03 (+1),11:04,RE 4357,Rostock Hbf (ab 08:34),6
11:19,11:19,RE 3114,Nauen (ab 10:39),8
11:20,11:20,EC 54,Krakow Glowny (ab 04:10),7
11:21,11:21,RE 3347,Schwedt(Oder) (ab 10:04),6
11:28,11:28,RE 3308,Luckenwalde (ab 10:35),9
11:31 (+7),11:38,ICE 1102,München Hbf (ab 07:17),8
11:38,11:38,RE 3115,Cottbus Hbf (ab 10:03),7
11:51,11:51,RE 3510,Flughafen BER (ab 11:16),9
11:56 (+13),12:09,ICE 1162,Stuttgart Hbf (ab 07:03),10
12:01 (+2),12:03,ICE 1138,Frankfurt(M) Flughafen Regionalbf (ab 07:41),
12:03,12:03,RE 3509,Stralsund Hbf (ab 09:02),6
12:22 (+3),12:25,RE 3307,Stralsund Hbf (ab 09:10),6
12:25,12:25,EC 246,Warszawa Wschodnia (ab 06:49),7
12:28 (+1),12:29,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),
12:31 (+24),12:55,ICE 1602,München Hbf (ab 08:21),8
12:36 (+1),12:37,RE 3117,Cottbus Hbf (ab 11:03),7
