Ankunft,Zugnr.,von (Abfahrt),Gleis
00:15,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),3
00:42,RE 3363,Berlin Hbf (ab 00:40),2
05:04,RB 56801,Berlin Südkreuz (ab 05:00),3
05:09,RE 62003,Baruth(Mark) (ab 04:19),4
05:11,RE 3144,Rathenow (ab 04:09),2
05:14,RE 3302,Jüterbog (ab 04:22),3
05:16,RE 4351,Neustrelitz Hbf (ab 03:49),2
05:34 (+1),RE 3341,Schwedt(Oder) (ab 04:04),1
05:39,RE 3504,Berlin Südkreuz (ab 05:34),3
05:45,RE 62000,Elstal (ab 05:07),1
05:47,RE 3167,Jüterbog (ab 05:02),3
05:49,RB 18501,Cottbus Hbf (ab 04:24),4
06:00,RB 18500,Berlin Hbf (ab 05:58),1
06:09,RE 3164,Stendal Hbf (ab 04:48),2
06:11,RE 62005,Elsterwerda (ab 04:29),4
06:15 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:17,RE 3503,Neubrandenburg (ab 04:27),2
06:39,RE 4352,Berlin Südkreuz (ab 06:34),3
06:42 (+1),RE 3301,Pasewalk (ab 04:44),2
06:46,RE 3147,Falkenberg(Elster) (ab 05:14),3
06:47,RE 62002,Elstal (ab 06:07),1
06:49,RB 18503,Cottbus Hbf (ab 05:23),4
07:03,RB 18502,Berlin Hbf (ab 07:00),1
07:09,RE 62007,Elsterwerda (ab 05:29),4
07:11,RE 3146,Stendal Hbf (ab 05:48),2
07:14,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),3
07:16,RE 4353,Rostock Hbf (ab 04:34),2
07:34,RE 3343,Schwedt(Oder) (ab 06:04),1
07:39,RE 3506,Berlin Südkreuz (ab 07:34),3
07:45,RE 62004,Elstal (ab 07:07),1
07:48,RE 3169,Jüterbog (ab 07:02),3
07:49,RB 18505,Cottbus Hbf (ab 06:12),4
08:03,RB 18504,Berlin Hbf (ab 08:00),1
08:09,RE 3166,Stendal Hbf (ab 06:47),2
08:11,RE 62009,Elsterwerda (ab 06:40),4
08:15,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),3
08:16,RB 62055,Wustermark (ab 07:39),1
08:18 (+1),RE 3505,Stralsund Hbf (ab 05:02),2
08:35,RE 21838,Flughafen BER (ab 08:16),
08:40 (+3),RE 4354,Berlin Südkreuz (ab 08:35),3
08:41 (+1),RB 62056,Rangsdorf (ab 08:21),4
08:42 (+3),RE 3303,Stralsund Hbf (ab 05:10),2
08:46 (+1),RE 3149,Falkenberg(Elster) (ab 07:18),3
08:47,RE 62006,Elstal (ab 08:07),1
08:48 (+1),RB 18507,Lübbenau(Spreewald) (ab 07:44),4
09:03,RB 18506,Berlin Hbf (ab 09:00),1
09:04 (+1),RB 21842,Flughafen BER (ab 08:46),
09:09,RE 62011,Elsterwerda (ab 07:29),4
09:11 (+2),RE 3148,Rathenow (ab 08:05),2
09:14,RE 3306,Luckenwalde (ab 08:35),3
09:16 (+1),RB 62057,Wustermark (ab 08:39),1
09:16 (+1),RE 4355,Rostock Hbf (ab 06:37),2
09:19,RE 21844,Flughafen BER (ab 09:01),
09:34,RE 3345,Schwedt(Oder) (ab 08:04),1
09:35,RE 21846,Flughafen BER (ab 09:16),
09:39,RE 3508,Berlin Südkreuz (ab 09:34),3
09:45,RE 62008,Elstal (ab 09:07),1
09:47,RE 3171,Jüterbog (ab 09:02),3
09:49,RB 18509,Lübbenau(Spreewald) (ab 08:45),4
10:03,RB 18508,Berlin Hbf (ab 10:00),1
10:04,RB 21850,Flughafen BER (ab 09:46),4
10:09,RE 3168,Stendal Hbf (ab 08:47),2
10:11,RE 62013,Elsterwerda (ab 08:40),4
10:15 (+1),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),3
10:16,RB 62059,Wustermark (ab 09:39),1
10:16 (+1),RE 3507,Stralsund Hbf (ab 07:02),2
10:20,RB 21852,Flughafen BER (ab 10:01),4
10:35,RB 21854,Flughafen BER (ab 10:16),4
10:39 (+4),RE 4356,Berlin Südkreuz (ab 10:34),3
10:42 (+1),RE 3305,Stralsund Hbf (ab 07:10),2
10:46,RE 3151,Falkenberg(Elster) (ab 09:18),3
10:47,RE 62010,Elstal (ab 10:05),1
10:49,RB 18511,Lübbenau(Spreewald) (ab 09:44),4
10:55,RB 21861,Berlin Hbf (ab 10:52),1
11:03,RB 18510,Berlin Hbf (ab 11:00),1
11:04,RB 21858,Flughafen BER (ab 10:46),4
11:09,RE 62015,Elsterwerda (ab 09:29),4
11:11 (+1),RE 3150,Rathenow (ab 10:02),2
11:14 (+6),RE 3308,Luckenwalde (ab 10:35),3
11:16,RB 62061,Wustermark (ab 10:39),1
11:16 (+2),RE 4357,Rostock Hbf (ab 08:37),2
11:19,RB 21860,Flughafen BER (ab 11:01),4
11:34 (+7),RE 3347,Schwedt(Oder) (ab 10:04),1
11:35,RB 21862,Flughafen BER (ab 11:16),4
11:39 (+5),RE 3510,Berlin Südkreuz (ab 11:34),3
11:45 (+3),RE 62012,Elstal (ab 11:07),1
11:49,RB 18513,Lübbenau(Spreewald) (ab 10:44),4
11:49 (+2),RE 3173,Jüterbog (ab 11:02),3
12:03 (+4),RB 18512,Berlin Hbf (ab 12:00),1
12:09 (+3),RE 3170,Stendal Hbf (ab 10:32),2
12:11,RE 62017,Baruth(Mark) (ab 11:21),4
12:15 (+4),RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),3
12:16,RB 62063,Wustermark (ab 11:39),1
12:18,RE 3509,Stralsund Hbf (ab 09:02),2
12:39,RE 4358,Berlin Südkreuz (ab 12:34),3
12:42 (+1),RE 3307,Stralsund Hbf (ab 09:10),2
12:46,RE 3153,Falkenberg(Elster) (ab 11:18),3
12:47,RE 62014,Elstal (ab 12:05),1
12:48,RB 18515,Lübbenau(Spreewald) (ab 11:44),4
13:03,RB 18514,Berlin Hbf (ab 13:00),1
13:09,RE 62019,Elsterwerda (ab 11:29),4
13:11,RE 3152,Rathenow (ab 12:02),2
13:14 (+4),RE 3310,Luckenwalde (ab 12:35),3
13:16,RE 4359,Rostock Hbf (ab 10:37),2
13:34,RE 3349,Schwedt(Oder) (ab 12:04),1
13:35,RB 21878,Flughafen BER (ab 13:16),4
13:39,RE 3512,Berlin Südkreuz (ab 13:34),3
13:41,RB 62066,Berlin Südkreuz (ab 13:38),4
13:45,RE 62016,Elstal (ab 13:07),1
13:47,RE 3175,Jüterbog (ab 13:02),3
13:49,RB 18517,Lübbenau(Spreewald) (ab 12:44),4
14:03,RB 18516,Berlin Hbf (ab 14:00),1
14:04,RB 21882,Flughafen BER (ab 13:46),4
14:09,RE 3172,Stendal Hbf (ab 12:31),2
14:11,RE 62021,Baruth(Mark) (ab 13:20),4
14:15,RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),3
14:16 (+6),RB 62067,Wustermark (ab 13:39),1
14:16,RE 3511,Stralsund Hbf (ab 11:02),2
14:19,RB 21884,Flughafen BER (ab 14:01),4
14:39,RE 4360,Berlin Südkreuz (ab 14:34),3
14:42,RE 3309,Stralsund Hbf (ab 11:10),2
14:44 (+2),RB 62018,Elstal (ab 14:07),1
14:46,RE 3155,Falkenberg(Elster) (ab 13:18),3
14:48,RB 18519,Lübbenau(Spreewald) (ab 13:44),4
15:09,RE 62023,Elsterwerda (ab 13:29),4
15:11,RE 3154,Rathenow (ab 14:02),2
15:14,RE 3312,Luckenwalde (ab 14:35),3
15:16,RB 62069,Wustermark (ab 14:39),1
15:16,RE 4361,Rostock Hbf (ab 12:37),2
15:34 (+21),RE 3351,Schwedt(Oder) (ab 14:04),1
15:39,RE 3514,Berlin Südkreuz (ab 15:34),3
15:41,RB 62070,Rangsdorf (ab 15:21),4
15:45,RE 62020,Elstal (ab 15:07),1
