Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:58,00:58,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:42,01:42,RE 73752,Frankfurt(Oder) (ab 00:29),2
03:34,03:34,RB 21805,Berlin-Charlottenburg (ab 03:18),1
04:16,04:16,RE 73751,Brandenburg Hbf (ab 03:13),1
04:31,04:31,RE 73756,Berlin Ostkreuz (ab 04:23),2
04:51,04:51,RE 3702,Bad Belzig (ab 03:41),1
04:55,04:55,RE 73716,Frankfurt(Oder) (ab 03:38),2
05:07,05:07,RE 3707,Lübbenau(Spreewald) (ab 03:53),2
05:15,05:15,RE 73758,Frankfurt(Oder) (ab 04:15),2
05:21,05:21,RE 73753,Brandenburg Hbf (ab 04:17),1
05:35,05:35,RE 3103,Cottbus Hbf (ab 04:00),2
05:37,05:37,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:51,05:51,RE 3704,Dessau Hbf (ab 04:05),1
05:53,05:53,RE 73718,Eisenhüttenstadt (ab 04:21),2
06:07,06:07,RE 3709,Senftenberg (ab 04:11),2
06:15,06:15,RE 73760,Frankfurt(Oder) (ab 05:08),2
06:20,06:20,RB 73803,Brandenburg Hbf (ab 05:22),1
06:37,06:37,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:42,06:42,RE 73755,Brandenburg Hbf (ab 05:44),1
06:51,06:51,RE 3706,Dessau Hbf (ab 05:05),1
06:53,06:53,RE 73720,Frankfurt(Oder) (ab 05:42),2
07:05,07:05,RE 73715,Magdeburg Hbf (ab 05:01),1
07:07,07:07,RE 3711,Senftenberg (ab 05:11),2
07:15,07:15,RE 73762,Eisenhüttenstadt (ab 05:36),2
07:35,07:35,RE 3107,Cottbus Hbf (ab 06:07),2
07:37,07:37,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42,07:42,RE 73757,Brandenburg Hbf (ab 06:44),1
07:51,07:51,RE 3708,Dessau Hbf (ab 06:05),1
07:53,07:53,RE 73722,Eisenhüttenstadt (ab 06:20),2
08:05,08:05,RE 73717,Magdeburg Hbf (ab 06:12),1
08:07,08:07,RE 3713,Senftenberg (ab 06:14),2
08:20,08:20,RE 73807,Brandenburg Hbf (ab 07:22),1
08:35,08:35,RE 3109,Cottbus Hbf (ab 07:03),2
08:37,08:37,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:42,08:42,RE 73759,Brandenburg Hbf (ab 07:44),1
08:51,08:51,RE 3710,Dessau Hbf (ab 07:05),1
08:53,08:53,RE 73724,Frankfurt(Oder) (ab 07:41),2
09:05,09:05,RE 73719,Magdeburg Hbf (ab 07:12),1
09:07,09:07,RE 3715,Senftenberg (ab 07:14),2
09:15,09:15,RE 73766,Frankfurt(Oder) (ab 08:11),2
09:20,09:20,RE 73809,Brandenburg Hbf (ab 08:22),1
09:35,09:35,RE 3111,Cottbus Hbf (ab 08:04),2
09:37,09:37,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42,09:42,RE 73761,Brandenburg Hbf (ab 08:44),1
09:51,09:51,RE 3712,Dessau Hbf (ab 08:05),1
09:53,09:53,RE 73726,Frankfurt(Oder) (ab 08:38),2
