Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:00,FEX,Bruchsal (an 18:05),
00:00,RB 21962,Berlin-Charlottenburg (an 00:26),2
00:10 (+1),RE 3138,Cottbus Hbf (an 01:40),1
00:12,RE 7,Rendsburg (an 23:58),
00:16,RE 94749,Erkner (an 00:31),1
00:33 (+3),RE 3141,Berlin-Charlottenburg (an 01:00),2
00:38,RB 94796,Berlin Zoologischer Garten (an 01:01),
00:38,RE 1,Koblenz Hbf (an 22:57),
00:38,RE 91367,Potsdam Hbf (an 01:22),
00:48,RB 21968,Berlin Zoologischer Garten (an 01:09),
01:09 (+3),RE 3140,Cottbus Hbf (an 02:40),1
01:09,RE 93240,Cottbus Hbf (an 03:40),
01:33,RB 94752,Berlin Hbf (an 01:48),
01:33,RE 73752,Berlin-Wannsee (an 03:10),
01:39,RE 21800,Berlin Zoologischer Garten (an 03:00),
01:51,RE 94754,Berlin Hbf (an 03:05),
02:13,RE 3701,Berlin Hbf (an 03:29),
02:13,RE 3703,Berlin-Wannsee (an 03:48),
02:39,RB 21802,Berlin Zoologischer Garten (an 03:00),
03:54,RE 3700,Lübbenau(Spreewald) (an 04:57),
03:59,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:16,RE 2,Dresden Hbf (an 18:33),
04:16,RE 3101,Berlin-Spandau (an 04:53),
04:23,RE 94756,Berlin Zoologischer Garten (an 04:44),
04:27,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,RE 21806,Berlin Zoologischer Garten (an 04:49),
04:41,RB 18340,Eberswalde Hbf (an 05:27),
04:46,RE 94716,Berlin-Wannsee (an 05:21),2
04:59,RE 3707,Potsdam-Rehbrücke (an 05:43),
05:02,RE 3702,Lübbenau(Spreewald) (an 06:03),
05:02,RE 92402,Lübben(Spreewald) (an 05:56),
05:07,RE 93759,Potsdam Hbf (an 05:51),
05:07,RE 94758,Potsdam Hbf (an 05:51),
05:18,RB 18200,Berlin-Lichtenberg (an 05:22),14
05:20,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:20,RE 92303,Berlin-Spandau (an 05:54),
05:32,RE 93754,Frankfurt(Oder) (an 06:35),
05:41,RB 18302,Eberswalde Hbf (an 06:27),
05:42,RE 3102,Cottbus Hbf (an 06:56),1
05:44,RE 93719,Berlin-Wannsee (an 06:20),
05:44,RE 94718,Berlin-Wannsee (an 06:20),2
05:46,RB 18203,Ludwigsfelde (an 06:24),13
05:59,RE 3709,Berlin Zoologischer Garten (an 06:20),
06:01 (+21),RE 3704,Senftenberg (an 07:41),1
06:07,RE 94760,Potsdam Hbf (an 06:51),2
06:16,RE 94713,Frankfurt(Oder) (an 07:18),1
06:18,RB 18202,Berlin-Lichtenberg (an 06:22),14
06:20,RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:22,RB 18305,Blankenfelde(Teltow-Fläming) (an 06:51),13
06:41,RB 18304,Eberswalde Hbf (an 07:27),14
06:42,RE 3104,Cottbus Hbf (an 07:57),1
06:44,RE 92078,Berlin-Wannsee (an 07:20),
06:44,RE 94720,Berlin-Wannsee (an 07:20),2
06:46,RB 18205,Ludwigsfelde (an 07:24),13
06:48,RB 61105,Templin Stadt (an 08:18),8
06:59 (+19),RE 3711,Dessau Hbf (an 08:53),2
07:02,RE 3706,Lübbenau(Spreewald) (an 08:03),
07:07,RE 75851,Potsdam Hbf (an 07:51),
07:07,RE 94762,Berlin Hbf (an 07:22),
07:16,RE 94715,Frankfurt(Oder) (an 08:20),1
07:20,RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:22,RB 18307,Blankenfelde(Teltow-Fläming) (an 07:51),13
07:41,RB 18306,Eberswalde Hbf (an 08:27),14
07:42,RE 3106,Cottbus Hbf (an 08:56),1
07:44,RE 33682,Berlin-Wannsee (an 08:20),
07:44,RE 94722,Berlin Hbf (an 07:59),
07:46,RB 18207,Flughafen BER (an 08:05),
08:02,RE 3708,Senftenberg (an 09:41),1
08:07,RB 94764,Berlin Hbf (an 08:22),
08:07,RE 75853,Potsdam Hbf (an 08:51),
08:20,RE 3109,Hennigsdorf(b Berlin) (an 09:23),2
08:22,RB 18309,Blankenfelde(Teltow-Fläming) (an 08:51),13
08:41,RB 18308,Eberswalde Hbf (an 09:27),14
08:42,RE 3108,Cottbus Hbf (an 09:55),1
08:44,RE 33684,Berlin-Wannsee (an 09:20),
08:44,RE 94724,Berlin-Wannsee (an 09:20),
08:48,RB 61109,Oranienburg (an 09:21),
08:59,RE 3715,Dessau Hbf (an 10:53),2
09:02,RE 3710,Senftenberg (an 10:41),1
09:07,RE 75855,Potsdam Hbf (an 09:51),
09:07,RE 94766,Berlin-Wannsee (an 09:41),
09:20,RE 3111,Hennigsdorf(b Berlin) (an 10:23),2
09:22,RB 18311,Blankenfelde(Teltow-Fläming) (an 09:51),13
09:41,RB 18310,Eberswalde Hbf (an 10:27),14
09:42,RE 3110,Cottbus Hbf (an 10:55),1
09:44,RE 33686,Berlin-Wannsee (an 10:20),
09:44,RE 94726,Berlin-Wannsee (an 10:20),
09:46,RB 18211,Ludwigsfelde (an 10:24),13
09:48,RB 61121,Oranienburg (an 10:21),
09:59,RE 3717,Potsdam-Rehbrücke (an 10:43),
10:02 (+1),RE 3712,Senftenberg (an 11:41),1
10:07,RE 75857,Potsdam Hbf (an 10:51),
10:07,RE 94768,Berlin-Wannsee (an 10:41),
10:18,RB 18210,Berlin-Lichtenberg (an 10:22),14
