Ankunft,Zugnr.,von (Abfahrt),Gleis
00:01,RB 61138,Templin Stadt (ab 22:33),8
00:07,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:10,RE 3745,Senftenberg (ab 22:26),2
00:14,RE 73749,Magdeburg Hbf (ab 22:07),1
00:31,RE 3141,Cottbus Hbf (ab 23:03),2
00:46,RB 21968,Flughafen BER (ab 00:30),2
01:07,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:20,RE 3742,Dessau Hbf (ab 23:23),1
01:31,RE 73752,Erkner (ab 01:16),2
01:36 (+25),RE 73791,Magdeburg Hbf (ab 23:21),1
01:58,RB 21969,Berlin-Charlottenburg (ab 01:33),1
04:39,RB 18300,Wünsdorf-Waldstadt (ab 03:43),14
05:18,RE 3103,Cottbus Hbf (ab 04:00),2
05:39,RB 18302,Blankenfelde(Teltow-Fläming) (ab 05:09),14
05:40,RE 3102,Hennigsdorf(b Berlin) (ab 04:31),1
05:44,RB 18203,Berlin-Lichtenberg (ab 05:41),13
05:59 (+2),RE 3704,Dessau Hbf (ab 04:05),1
06:01,RB 61102,Templin Stadt (ab 04:33),7
06:14,RE 94713,Berlin Zoologischer Garten (ab 05:52),1
06:16,RB 18202,Ludwigsfelde (ab 05:38),14
06:18,RE 3105,Cottbus Hbf (ab 04:57),2
06:20 (+20),RB 18305,Eberswalde Hbf (ab 05:35),13
06:39 (+1),RB 18304,Blankenfelde(Teltow-Fläming) (ab 06:09),14
06:40,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:42,RE 94720,Frankfurt(Oder) (ab 05:42),2
06:44,RB 18205,Berlin-Lichtenberg (ab 06:41),13
06:57 (+13),RE 3711,Senftenberg (ab 05:11),2
07:00 (+2),RE 3706,Dessau Hbf (ab 05:05),1
07:01,RB 61104,Templin Stadt (ab 05:33),7
07:05,RE 94762,Frankfurt(Oder) (ab 06:11),
07:13,RB 61423,Müncheberg(Mark) (ab 06:25),
07:14,RE 94715,Berlin Zoologischer Garten (ab 06:52),1
07:16,RB 18204,Ludwigsfelde (ab 06:38),14
07:17,RB 61222,Werneuchen (ab 06:34),8
07:18,RE 3107,Cottbus Hbf (ab 06:07),2
07:20,RB 18307,Eberswalde Hbf (ab 06:35),13
07:39 (+2),RB 18306,Blankenfelde(Teltow-Fläming) (ab 07:09),
07:40,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42,RE 94722,Frankfurt(Oder) (ab 06:42),
07:44,RB 18207,Berlin-Lichtenberg (ab 07:41),13
07:48,RB 61186,Werneuchen (ab 07:04),
07:56 (+2),RE 3713,Senftenberg (ab 06:14),2
08:00 (+1),RE 3708,Dessau Hbf (ab 06:05),1
08:01,RB 61106,Templin Stadt (ab 06:33),8
08:04,RB 94764,Frankfurt(Oder) (ab 07:11),
08:13,RB 61425,Müncheberg(Mark) (ab 07:25),
08:14,RE 94717,Berlin Zoologischer Garten (ab 07:52),1
08:16,RB 18206,Ludwigsfelde (ab 07:38),14
08:17,RB 61224,Werneuchen (ab 07:34),
08:18,RE 3109,Cottbus Hbf (ab 07:03),2
08:20,RB 18309,Eberswalde Hbf (ab 07:35),
08:39,RB 18308,Blankenfelde(Teltow-Fläming) (ab 08:09),
08:40,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:44,RB 18209,Berlin-Lichtenberg (ab 08:41),13
08:48,RB 61188,Werneuchen (ab 08:04),
08:56 (+18),RE 3715,Senftenberg (ab 07:14),2
09:00 (+1),RE 3710,Dessau Hbf (ab 07:05),1
09:01,RB 61108,Templin Stadt (ab 07:33),
09:05,RE 94766,Frankfurt(Oder) (ab 08:11),
09:13,RB 61427,Müncheberg(Mark) (ab 08:25),
09:14,RE 94719,Berlin Zoologischer Garten (ab 08:52),1
09:16,RB 18208,Ludwigsfelde (ab 08:38),14
09:18,RE 3111,Cottbus Hbf (ab 08:04),2
09:20,RB 18311,Eberswalde Hbf (ab 08:35),13
09:39,RB 18310,Blankenfelde(Teltow-Fläming) (ab 09:09),14
09:40,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42,RE 94726,Frankfurt(Oder) (ab 08:38),
09:44,RB 18211,Berlin-Lichtenberg (ab 09:41),13
09:48,RB 61190,Werneuchen (ab 09:04),
09:56,RE 3717,Senftenberg (ab 08:14),2
10:00 (+1),RE 3712,Dessau Hbf (ab 08:05),1
10:01,RB 61110,Templin Stadt (ab 08:33),7
10:05,RE 94768,Frankfurt(Oder) (ab 09:08),
10:13,RB 61429,Müncheberg(Mark) (ab 09:25),
10:14,RE 94721,Berlin Zoologischer Garten (ab 09:52),1
10:16,RB 18210,Ludwigsfelde (ab 09:38),14
10:18,RE 3113,Cottbus Hbf (ab 09:03),2
10:20,RB 18313,Eberswalde Hbf (ab 09:35),
10:39,RB 18312,Blankenfelde(Teltow-Fläming) (ab 10:09),14
10:40,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:42,RE 94728,Frankfurt(Oder) (ab 09:38),2
10:44,RB 18213,Berlin-Lichtenberg (ab 10:41),13
10:48,RB 61192,Werneuchen (ab 10:04),
10:56 (+14),RE 3719,Senftenberg (ab 09:14),2
11:00 (+8),RE 3714,Dessau Hbf (ab 09:05),1
11:01 (+4),RB 61112,Templin Stadt (ab 09:33),8
11:05,RE 94770,Frankfurt(Oder) (ab 10:08),
11:13,RB 61431,Müncheberg(Mark) (ab 10:25),7
11:14,RE 94723,Berlin Zoologischer Garten (ab 10:52),
11:16 (+3),RB 18212,Ludwigsfelde (ab 10:38),14
11:17,RB 61228,Werneuchen (ab 10:34),8
11:18 (+4),RE 3115,Cottbus Hbf (ab 10:03),2
11:20 (+5),RB 18315,Eberswalde Hbf (ab 10:35),
11:39 (+1),RB 18314,Blankenfelde(Teltow-Fläming) (ab 11:09),14
11:40 (+1),RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:42,RE 94730,Frankfurt(Oder) (ab 10:38),
11:44,RB 18215,Berlin-Lichtenberg (ab 11:41),13
11:48,RB 61194,Werneuchen (ab 11:04),14
11:56,RE 3721,Senftenberg (ab 10:14),2
12:00 (+1),RE 3716,Dessau Hbf (ab 10:05),1
12:01,RB 61114,Templin Stadt (ab 10:33),7
12:05,RB 94772,Frankfurt(Oder) (ab 11:08),
12:13,RB 61433,Müncheberg(Mark) (ab 11:25),
