Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:04,00:04,RE 3139,Schorndorf (an 10:09),14
00:09 (+19),00:28,ICE 276,Berlin Gesundbrunnen (an 00:13),6
00:16 (+4),00:20,ICE 901,Berlin Ostbahnhof (an 00:23),12
00:22,00:22,RE 3366,Eberswalde Hbf (an 01:04),6
00:23,00:23,RE 73826,Berlin Zoologischer Garten (an 00:28),14
00:29 (+1),00:30,RE 3745,Bad Belzig (an 01:31),14
00:40,00:40,RE 3363,Jüterbog (an 01:41),1
00:47 (+1),00:48,ICE 947,Berlin Ostbahnhof (an 00:53),11
00:47,00:47,RB 56816,Berlin Südkreuz (an 00:53),
00:47,00:47,RE 56816,Berlin Südkreuz (an 00:53),1
00:52,00:52,RB 21967,Naumburg(Saale)Hbf (an 12:50),1
00:52,00:52,RE 3140,Cottbus Hbf (an 02:51),
00:53,00:53,RE 3165,Berlin-Spandau (an 01:03),
00:55 (+1),00:56,RB 94796,Potsdam Hbf (an 01:22),
00:55,00:55,RE 91367,Potsdam Hbf (an 01:22),
01:04 (+2),01:06,RE 3141,Berlin-Charlottenburg (an 01:14),13
01:22,01:22,RE 93994,Frankfurt(Oder) (an 02:38),
01:22,01:22,RE 94791,Frankfurt(Oder) (an 02:38),
01:26 (+1),01:27,ICE 1500,Berlin Gesundbrunnen (an 01:30),5
01:32 (+114),03:26,ICE 1707,Berlin Ostbahnhof (an 01:40),12
01:38,01:38,RE 93742,Berlin Ostbahnhof (an 01:47),
01:43,01:43,RB 21969,Naumburg(Saale)Hbf (an 13:50),12
02:58 (+12),03:10,RB 21803,Flughafen BER (an 03:33),
03:03,03:03,RB 10,Berlin Südkreuz (an 05:21),
03:03,03:03,RE 62090,Berlin-Spandau (an 03:14),
03:28,03:28,RB 21805,Flughafen BER (an 04:03),
03:59 (+9),04:08,ICE 646,Köln Hbf (an 09:33),14
04:05,04:05,RB 21809,Flughafen BER (an 04:45),
04:11,04:11,RE 73751,Frankfurt(Oder) (an 05:29),11
04:15 (+1),04:16,RE 3705,Lübbenau(Spreewald) (an 04:57),14
04:18,04:18,RE 3340,Angermünde (an 05:21),
04:23,04:23,RB 21811,Flughafen BER (an 05:00),
04:23,04:23,RE 21811,Flughafen BER (an 05:00),12
04:25,04:25,RE 62001,Berlin-Spandau (an 04:35),
04:25,04:25,RE 8,Berlin-Spandau (an 04:35),
04:30 (+1),04:31,RE 73801,Eisenhüttenstadt (an 06:05),11
04:35,04:35,RE 2,Düsseldorf Hbf (an 23:53),
04:35,04:35,RE 3101,Berlin-Spandau (an 04:53),13
04:39,04:39,ICE 1706,Hamburg Hbf (an 07:11),8
04:39,04:39,RB 21813,Flughafen BER (an 05:14),
04:39,04:39,RE 21813,Flughafen BER (an 05:14),12
04:46 (+2),04:48,RE 3702,Lübbenau(Spreewald) (an 06:03),
04:46,04:46,RE 4350,Rostock Hbf (an 07:21),6
04:46,04:46,RE 5,Freilassing (an 23:36),
04:47,04:47,RE 3369,Berlin Südkreuz (an 04:53),
04:47 (+1),04:48,RE 62040,Elsterwerda (an 06:29),
04:47,04:47,RE 62048,Doberlug-Kirchhain (an 06:14),
04:48,04:48,RB 62094,Berlin-Spandau (an 04:59),
04:54,04:54,RE 3145,Stendal Hbf (an 06:13),5
05:09,05:09,RE 3144,Berlin Südkreuz (an 05:15),
05:10,05:10,RB 21817,Flughafen BER (an 05:45),
05:10 (+1),05:11,RB 56801,Schwerin Hbf (an 07:48),6
05:10,05:10,RE 21817,Flughafen BER (an 05:45),12
