Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:06 (+10),RE 73749,Eisenhüttenstadt (an 01:41),1
00:21,RE 7,Berlin-Wannsee (an 22:35),
00:48,RB 94796,Berlin Hbf (an 00:53),
01:43,RB 94752,Potsdam Hbf (an 02:18),
02:23,RE 3701,Berlin Hbf (an 02:29),
02:23,RE 3703,Berlin Hbf (an 02:29),
03:00,RE 73754,Magdeburg Hbf (an 05:08),2
04:32,RE 73756,Brandenburg Hbf (an 05:33),2
04:37,RE 73801,Frankfurt(Oder) (an 05:36),
04:56,RE 73716,Magdeburg Hbf (an 06:50),
05:08,RE 3707,Berlin Hbf (an 05:13),
05:16,RE 73758,Potsdam Hbf (an 05:51),
05:22,RE 73753,Frankfurt(Oder) (an 06:35),1
05:29,RE 3103,Berlin-Spandau (an 05:54),
05:29,RE 92303,Berlin-Spandau (an 05:54),
05:33,RE 3102,Lübbenau(Spreewald) (an 06:32),
05:54,RE 73718,Magdeburg Hbf (an 07:50),
06:16,RE 73760,Potsdam Hbf (an 06:51),
06:29,RE 2,Singen(Hohentwiel) (an 07:50),
06:29,RE 3105,Berlin-Spandau (an 06:54),
06:54,RE 73720,Magdeburg Hbf (an 08:50),
07:08,RE 3711,Berlin Hbf (an 07:13),
07:16,RE 73762,Potsdam Hbf (an 07:51),
07:54,RE 73722,Magdeburg Hbf (an 09:50),
08:08,RE 3713,Dessau Hbf (an 09:53),2
08:16,RE 73764,Brandenburg Hbf (an 09:19),2
08:43,RE 73759,Frankfurt(Oder) (an 09:43),1
08:53,RE 3710,Lübben(Spreewald) (an 09:56),1
08:54 (+1),RE 73724,Magdeburg Hbf (an 10:50),2
09:06 (+1),RE 73719,Frankfurt(Oder) (an 10:18),1
09:08,RE 3715,Dessau Hbf (an 10:53),2
09:16,RE 73766,Brandenburg Hbf (an 10:19),2
09:43 (+1),RE 73761,Frankfurt(Oder) (an 10:43),1
09:54 (+1),RE 73726,Magdeburg Hbf (an 11:50),2
10:06 (+3),RE 73721,Frankfurt(Oder) (an 11:18),1
10:08,RE 3717,Dessau Hbf (an 11:53),2
10:16,RE 73768,Brandenburg Hbf (an 11:19),2
10:43,RE 73763,Frankfurt(Oder) (an 11:43),1
10:53,RE 3714,Berlin Ostbahnhof (an 10:56),1
10:54 (+1),RE 73728,Magdeburg Hbf (an 12:50),2
11:06 (+1),RE 73723,Frankfurt(Oder) (an 12:18),1
11:08,RE 3719,Dessau Hbf (an 12:53),2
11:16,RE 73770,Brandenburg Hbf (an 12:19),2
11:43,RE 73765,Frankfurt(Oder) (an 12:43),1
11:53,RE 3716,Berlin Ostbahnhof (an 11:56),1
11:54 (+3),RE 73730,Magdeburg Hbf (an 13:50),2
12:06 (+4),RE 73725,Frankfurt(Oder) (an 13:18),1
12:08,RE 3721,Dessau Hbf (an 13:53),2
12:16,RE 73772,Brandenburg Hbf (an 13:19),
12:43,RE 73767,Frankfurt(Oder) (an 13:43),1
12:53,RE 3718,Berlin Ostbahnhof (an 12:56),1
12:54,RE 73732,Magdeburg Hbf (an 14:50),
13:06 (+7),RE 73727,Frankfurt(Oder) (an 14:18),1
13:08,RE 3723,Dessau Hbf (an 14:53),2
13:16,RE 73774,Brandenburg Hbf (an 14:19),
13:53,RE 3720,Berlin Ostbahnhof (an 13:56),1
13:54,RE 73734,Magdeburg Hbf (an 15:50),
14:08,RE 3725,Dessau Hbf (an 15:53),2
14:16,RE 73776,Brandenburg Hbf (an 15:19),
14:54 (+1),RE 73736,Magdeburg Hbf (an 16:50),2
15:08,RE 3727,Dessau Hbf (an 16:53),2
15:16,RE 73778,Brandenburg Hbf (an 16:23),2
15:43,RE 73773,Frankfurt(Oder) (an 16:43),1
15:53 (+1),RE 3724,Berlin Ostbahnhof (an 15:56),1
15:54 (+1),RE 73738,Magdeburg Hbf (an 17:50),2
16:06 (+4),RE 73733,Frankfurt(Oder) (an 17:18),1
16:08,RE 3729,Berlin-Wannsee (an 16:34),
16:16,RE 73780,Brandenburg Hbf (an 17:19),
16:54,RE 73740,Magdeburg Hbf (an 18:50),
17:06 (+14),RE 73735,Frankfurt(Oder) (an 18:18),1
17:08,RE 3731,Berlin-Wannsee (an 17:34),
17:16,RE 73782,Brandenburg Hbf (an 18:23),
17:54,RE 73742,Magdeburg Hbf (an 19:50),
18:08,RE 3733,Berlin-Wannsee (an 18:34),
18:16,RE 73784,Brandenburg Hbf (an 19:19),
18:29,RE 18769,Berlin-Spandau (an 18:54),
18:29 (+15),RE 3129,Hennigsdorf(b Berlin) (an 19:23),2
18:33,RE 3128,Cottbus Hbf (an 19:55),1
18:53 (+9),RE 3730,Senftenberg (an 20:41),1
18:54 (+2),RE 73744,Magdeburg Hbf (an 20:50),2
19:08 (+13),RE 3735,Dessau Hbf (an 20:53),2
19:16,RE 73786,Brandenburg Hbf (an 20:19),2
19:29 (+2),RE 3131,Hennigsdorf(b Berlin) (an 20:23),2
19:29,RE 92131,Berlin-Spandau (an 19:54),
19:33,RE 3130,Cottbus Hbf (an 20:55),1
19:43,RE 73781,Frankfurt(Oder) (an 20:43),1
19:53 (+7),RE 3732,Senftenberg (an 21:41),1
19:54,RE 73746,Magdeburg Hbf (an 21:50),
20:06 (+3),RE 73741,Frankfurt(Oder) (an 21:18),1
20:08,RE 3737,Dessau Hbf (an 21:53),2
