Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:02,00:02,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),
00:23 (+14),00:37,ICE 901,Hamburg-Altona (ab 21:26),
00:36 (+17),00:53,ICE 947,Köln Hbf (ab 19:27),
01:36 (+1),01:37,RE 73752,Frankfurt(Oder) (ab 00:29),6
01:40 (+14),01:54,ICE 1707,Hamburg-Altona (ab 22:34),2
02:07 (+37),02:44,ICE 274,Basel SBB (ab 18:16),2
04:27,04:27,RE 73756,Berlin Ostkreuz (ab 04:23),6
04:40,04:40,RE 73801,Berlin-Charlottenburg (ab 04:20),2
04:49,04:49,RE 73716,Frankfurt(Oder) (ab 03:38),7
05:02,05:02,RE 94707,Lübbenau(Spreewald) (ab 03:53),
05:10,05:10,RE 73758,Frankfurt(Oder) (ab 04:15),7
05:20,05:20,FEX,Ludwigsfelde (ab 23:32),
05:23,05:23,RE 3103,Cottbus Hbf (ab 03:48),7
05:26 (+1),05:27,RE 73753,Brandenburg Hbf (ab 04:17),1
05:36,05:36,RE 2,Hradek nad Nisou (ab 10:51),
05:36,05:36,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:44,05:44,RE 1,Wittlich Hbf (ab 11:03),
05:44,05:44,RE 73718,Eisenhüttenstadt (ab 04:21),7
05:46 (+38),06:24,ICE 1541,Köln Hbf (ab 23:27),2
06:02,06:02,RE 3709,Senftenberg (ab 04:11),7
06:05,06:05,EC 430,Przemysl Glowny (ab 18:49),7
06:09,06:09,RE 73713,Magdeburg Hbf (ab 04:12),1
06:10,06:10,RE 73760,Frankfurt(Oder) (ab 05:08),7
06:23,06:23,RE 3105,Cottbus Hbf (ab 04:57),7
06:24,06:24,RE 73803,Brandenburg Hbf (ab 05:22),1
06:27,06:27,ES 453,Bruxelles Midi (ab 19:22),
06:46 (+2),06:48,RE 73755,Brandenburg Hbf (ab 05:44),1
06:47 (+1),06:48,RE 73720,Frankfurt(Oder) (ab 05:42),6
06:56 (+2),06:58,RE 3706,Dessau Hbf (ab 05:05),2
07:02,07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),3
07:02 (+1),07:03,RE 3711,Senftenberg (ab 05:11),7
07:09 (+13),07:22,RE 73715,Magdeburg Hbf (ab 05:01),1
07:09,07:09,RE 73762,Eisenhüttenstadt (ab 05:36),7
07:15,07:15,IC 2432,Cottbus Hbf (ab 06:01),6
07:23,07:23,RE 3107,Cottbus Hbf (ab 06:07),7
07:24,07:24,RE 73805,Magdeburg Hbf (ab 05:31),1
07:36,07:36,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:46,07:46,RE 73757,Brandenburg Hbf (ab 06:44),1
07:47,07:47,RE 73722,Eisenhüttenstadt (ab 06:20),7
07:56 (+19),08:15,RE 3708,Dessau Hbf (ab 06:05),2
08:02 (+1),08:03,RE 3713,Senftenberg (ab 06:14),7
08:03 (+82),09:25,ICE 649,Hannover Hbf (ab 05:50),2
08:09 (+13),08:22,RE 73717,Magdeburg Hbf (ab 06:12),1
08:09,08:09,RE 73764,Eisenhüttenstadt (ab 06:20),7
08:21,08:21,RB 18145,Berlin Zoologischer Garten (ab 08:04),3
08:23,08:23,RE 3109,Cottbus Hbf (ab 07:03),7
08:24,08:24,RE 73807,Brandenburg Hbf (ab 07:22),1
08:28 (+72),09:40,ICE 851,Hannover Hbf (ab 06:09),2
08:36,08:36,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:42 Ausfall,--:--,IC 2231,Magdeburg Hbf (ab 07:02),2
08:46,08:46,RE 73759,Brandenburg Hbf (ab 07:44),1
08:47,08:47,RE 73724,Frankfurt(Oder) (ab 07:41),7
08:56,08:56,RE 3710,Dessau Hbf (ab 07:05),2
09:02,09:02,RE 3715,Senftenberg (ab 07:14),7
09:03 (+50),09:53,ICE 841,Hannover Hbf (ab 06:50),2
09:09,09:09,RE 73719,Magdeburg Hbf (ab 07:12),1
09:10,09:10,RE 73766,Frankfurt(Oder) (ab 08:11),7
09:21,09:21,RB 18147,Berlin Zoologischer Garten (ab 09:04),3
09:23,09:23,RE 3111,Cottbus Hbf (ab 08:04),7
09:24,09:24,RE 73809,Brandenburg Hbf (ab 08:22),1
09:28 (+27),09:55,ICE 541,Köln Hbf (ab 04:25),2
09:36 (+12),09:48,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:42 (+34),10:16,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),3
09:46 (+26),10:12,RE 73761,Brandenburg Hbf (ab 08:44),1
09:47,09:47,RE 73726,Frankfurt(Oder) (ab 08:38),7
09:56 (+23),10:19,RE 3712,Dessau Hbf (ab 08:05),2
10:02 (+18),10:20,ICE 741,Münster(Westf)Hbf (ab 06:24),2
10:02,10:02,RE 3717,Senftenberg (ab 08:14),7
10:06,10:06,EC 248,Warszawa Wschodnia (ab 04:49),7
10:09 (+15),10:24,RE 73721,Magdeburg Hbf (ab 08:12),1
10:09,10:09,RE 73768,Frankfurt(Oder) (ab 09:08),7
10:21,10:21,RB 18149,Berlin Zoologischer Garten (ab 10:04),2
10:23 (+2),10:25,RE 3113,Cottbus Hbf (ab 09:03),7
10:24,10:24,RE 73811,Brandenburg Hbf (ab 09:22),1
10:29 (+3),10:32,ICE 843,Köln Hbf (ab 05:26),2
10:36 (+6),10:42,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:46,10:46,RE 73763,Brandenburg Hbf (ab 09:44),1
10:47,10:47,RE 73728,Frankfurt(Oder) (ab 09:38),7
10:49 (+30),11:19,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56 (+13),11:09,RE 3714,Dessau Hbf (ab 09:05),2
11:01,11:01,EC 54,Kraków Główny (ab 04:07),6
11:02 (+1),11:03,RE 3719,Senftenberg (ab 09:14),7
11:09 (+10),11:19,RE 73723,Magdeburg Hbf (ab 09:12),1
11:09,11:09,RE 73770,Frankfurt(Oder) (ab 10:07),7
11:23 (+1),11:24,RE 3115,Cottbus Hbf (ab 10:03),7
