Ankunft,Zugnr.,von (Abfahrt),Gleis
00:03,RE 3521,Stralsund Hbf (ab 21:06),
00:22,RE 3319,Stralsund Hbf (ab 21:10),
00:22,RE 91519,Eberswalde Hbf (ab 23:53),
00:26 (+3),RE 3366,Britz (ab 01:10),10
00:39,RB 56816,Oranienburg (ab 00:15),
00:43 (+7),ICE 2934,München Hbf (ab 19:09),8
00:43 Ausfall,ICE 700,München Hbf (ab 19:09),8
01:02 (+7),ICE 1500,München Hbf (ab 20:21),8
02:13,RE 3,Schwedt(Oder) (ab 00:04),
04:22,RE 3340,Falkenberg(Elster) (ab 03:40),9
04:37,RE 3369,Eberswalde Hbf (ab 04:03),6
04:51,RE 4350,Berlin Hbf (ab 04:46),9
05:03,RE 4351,Neustrelitz Hbf (ab 03:49),6
05:14 (+4),RB 56801,Berlin Südkreuz (ab 05:00),9
05:22 Ausfall,RE 3341,Schwedt(Oder) (ab 04:04),6
05:27 (+4),RE 3302,Falkenberg(Elster) (ab 03:40),9
05:34,RE 3601,Neuruppin West (ab 04:24),6
05:40,RB 18240,Potsdam Hbf (ab 04:23),5
05:40,RB 21,Potsdam Hbf (ab 04:23),
05:46,RE 3377,Angermünde (ab 04:55),9
05:51,RE 3504,Berlin Südkreuz (ab 05:34),10
06:03 Ausfall,RE 3503,Neubrandenburg (ab 04:27),6
06:22,RE 3301,Pasewalk (ab 04:44),6
06:28 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:34,RE 3603,Wittstock(Dosse) (ab 04:50),
06:34,RE 3605,Wittstock(Dosse) (ab 04:50),7
06:35,RB 61080,Klosterfelde (ab 06:02),9
06:37 (+23),ICE 904,München Hbf (ab 23:12),10
06:40,RB 18242,Potsdam Hbf (ab 05:35),5
06:51 Ausfall,RE 4352,Berlin-Lichtenberg (ab 06:20),10
06:57,RE 3331,Angermünde (ab 06:01),8
07:03 (+3),RE 4353,Rostock Hbf (ab 04:34),6
