Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:02,00:02,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:03,00:03,RB 21962,Flughafen BER (ab 23:42),7
00:09,00:09,RE 94749,Potsdam Hbf (ab 23:32),3
00:15 (+2),00:17,RE 3745,Senftenberg (ab 22:26),7
00:23,00:23,ICE 901,Hamburg-Altona (ab 21:26),1
00:48,00:48,RE 3141,Cottbus Hbf (ab 22:56),6
00:53 (+3),00:56,ICE 947,Köln Hbf (ab 19:27),3
01:02,01:02,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:33,01:33,RE 94791,Potsdam Hbf (ab 00:53),1
01:40,01:40,ICE 1707,Hamburg-Altona (ab 22:34),2
01:53,01:53,RB 21969,Berlin-Charlottenburg (ab 01:33),3
04:49,04:49,RE 94716,Frankfurt(Oder) (ab 03:38),7
05:02,05:02,RE 3707,Lübbenau(Spreewald) (ab 03:53),7
05:23,05:23,RE 3103,Cottbus Hbf (ab 04:00),7
05:36,05:36,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:44,05:44,RE 94718,Eisenhüttenstadt (ab 04:21),7
05:55,05:55,RE 3704,Dessau Hbf (ab 04:05),1
06:05,06:05,EC 430,Przemysl Glowny (ab 18:49),7
06:09,06:09,RE 94713,Berlin-Wannsee (ab 05:39),1
06:10,06:10,RE 94760,Frankfurt(Oder) (ab 05:08),7
06:23,06:23,RE 3105,Cottbus Hbf (ab 04:57),7
06:36,06:36,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:47,06:47,RE 94720,Frankfurt(Oder) (ab 05:42),6
06:56,06:56,RE 3706,Dessau Hbf (ab 05:05),2
07:02,07:02,RE 3711,Senftenberg (ab 05:11),7
07:07 (+4),07:11,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),3
07:09,07:09,RE 94715,Berlin-Wannsee (ab 06:39),1
07:23,07:23,RE 3107,Cottbus Hbf (ab 06:07),7
07:36,07:36,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:56,07:56,RE 3708,Dessau Hbf (ab 06:05),2
08:09,08:09,RE 94717,Berlin-Wannsee (ab 07:39),1
08:23,08:23,RE 3109,Cottbus Hbf (ab 07:03),7
08:36,08:36,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:46,08:46,RE 94759,Potsdam Hbf (ab 08:10),1
08:47,08:47,RE 94724,Frankfurt(Oder) (ab 07:41),
08:56,08:56,RE 3710,Dessau Hbf (ab 07:05),2
09:02 (+1),09:03,RE 3715,Senftenberg (ab 07:14),7
09:03,09:03,ICE 841,Hannover Hbf (ab 06:32),2
09:09,09:09,RE 94719,Berlin-Wannsee (ab 08:39),1
09:10,09:10,RE 94766,Frankfurt(Oder) (ab 08:11),
09:23 (+2),09:25,RE 3111,Cottbus Hbf (ab 08:04),7
09:36,09:36,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:56,09:56,RE 3712,Dessau Hbf (ab 08:05),2
10:02,10:02,RE 3717,Senftenberg (ab 08:14),7
10:09,10:09,RE 94721,Berlin-Wannsee (ab 09:39),1
10:09,10:09,RE 94768,Frankfurt(Oder) (ab 09:08),7
10:23,10:23,RE 3113,Cottbus Hbf (ab 09:03),6
10:34 (+4),10:38,ICE 843,Köln Hbf (ab 05:26),3
10:36,10:36,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:46,10:46,RE 94763,Potsdam Hbf (ab 10:10),1
10:47,10:47,RE 94728,Frankfurt(Oder) (ab 09:38),7
10:49 (+9),10:58,ICE 2812,Kassel-Wilhelmshöhe (ab 07:49),3
10:49 (+9),10:58,ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56,10:56,RE 3714,Dessau Hbf (ab 09:05),2
11:01 (+3),11:04,EC 54,Krakow Glowny (ab 04:07),6
11:02,11:02,RE 3719,Senftenberg (ab 09:14),7
11:09,11:09,RE 94723,Berlin-Wannsee (ab 10:39),1
11:09,11:09,RE 94770,Frankfurt(Oder) (ab 10:07),7
11:23,11:23,RE 3115,Cottbus Hbf (ab 10:03),7
11:36,11:36,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:40 (+10),11:50,ICE 543,Köln Hbf (ab 06:25),2
11:46,11:46,RE 94765,Potsdam Hbf (ab 11:10),
