Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:24,RE 3319,Berlin Hbf (an 00:30),6
00:29,RE 3366,Eberswalde Hbf (an 01:04),10
04:14,RB 18241,Potsdam Park Sanssouci (an 05:15),7
04:25,RE 3,Lindau-Reutin (an 22:57),
04:25,RE 3340,Angermünde (an 05:21),
04:41,RE 3369,Berlin Südkreuz (an 04:53),6
04:54,RE 5,Salzburg Hbf (an 23:45),
05:06,RE 4351,Berlin Südkreuz (an 05:23),6
05:14,RB 18243,Berlin-Spandau (an 05:28),
05:16 (+1),ICE 593,München Hbf (an 13:15),7
05:16 (+1),RB 56801,Aachen Hbf (an 16:07),9
05:16,RE 56801,Schwerin Hbf (an 07:48),9
05:24,RE 3300,Lutherstadt Wittenberg Hbf (an 07:06),
05:24,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),6
05:24,RE 91801,Lutherstadt Wittenberg Hbf (an 07:06),
05:26 (+2),ICE 1501,München Hbf (an 09:41),7
05:32 (+1),RE 3302,Stralsund Hbf (an 08:45),9
05:54,RE 3504,Stralsund Hbf (an 08:51),10
06:06,RE 3503,Fribourg/Freiburg gare rout. (an 06:52),6
06:11,RE 3376,Angermünde (an 07:01),9
06:14,RB 18245,Werder(Havel) (an 07:21),5
06:16 (+1),ICE 503,München Hbf (an 11:07),7
06:24 (+5),RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),6
06:32 (+1),RE 3342,Schwedt(Oder) (an 07:55),10
06:54 (+15),RE 4352,Rostock Hbf (an 09:21),10
06:56 (+18),ICE 9590,Paris Est (an 14:51),6
07:06 (+1),RE 4353,Berlin Südkreuz (an 07:23),6
07:11 (+10),IC 2432,Norddeich Mole (an 14:20),7
07:14,RB 18247,Werder(Havel) (an 08:17),5
07:16,RB 56803,Schwerin Hbf (an 09:48),10
07:16,RE 56803,Schwerin Hbf (an 09:48),
07:24,RE 3343,Luckenwalde (an 08:27),6
07:26 (+6),ICE 1503,München Hbf (an 11:43),7
07:33 (+1),RE 3304,Stralsund Hbf (an 10:44),9
07:41 (+1),ICE 703,München Hbf (an 12:42),7
07:44 (+1),IC 2274,Rostock Hbf (an 09:37),8
07:54,RE 3506,Fribourg/Freiburg gare rout. (an 18:53),10
08:06 (+1),RE 3505,Berlin Südkreuz (an 08:24),6
08:15,RB 18249,Berlin-Staaken (an 08:33),
08:17 (+2),IC 2173,Dresden Hbf (an 10:28),6
08:23,RE 3610,Perleberg (an 10:51),9
08:24 (+1),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),6
