Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:20,RB 21964,Berlin Hbf (an 00:23),4
00:36,RB 21966,Berlin Hbf (an 00:39),4
00:56 (+1),RB 21967,Flughafen BER (an 01:14),1
04:42,RB 62094,Berlin-Spandau (an 04:59),
04:50,RE 62040,Elsterwerda (an 06:29),
05:05 (+1),RB 56801,Schwerin Hbf (an 07:48),3
05:10,RE 62003,Elstal (an 05:53),
05:15,RE 3302,Stralsund Hbf (an 08:45),3
05:17,RE 4351,Berlin Südkreuz (an 05:23),2
05:35,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:41,RE 3504,Stralsund Hbf (an 08:51),3
05:42,RB 62050,Berlin-Spandau (an 05:59),
05:46,RE 62000,Elsterwerda (an 07:15),1
05:48,RE 3167,Stendal Hbf (an 07:13),3
06:12,RE 62005,Elstal (an 06:49),4
06:16 (+1),RE 3342,Schwedt(Oder) (an 07:55),3
06:17,RB 62051,Dahlewitz (an 06:34),1
06:18,RE 3503,Berlin Südkreuz (an 06:23),2
06:41,RE 4352,Rostock Hbf (an 09:21),3
06:42,RB 62052,Berlin-Spandau (an 06:59),
06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47,RE 3147,Berlin-Spandau (an 07:04),
06:48,RE 62002,Elsterwerda (an 08:31),1
06:50,RB 18503,Berlin Hbf (an 06:53),4
07:10,RE 62007,Elstal (an 07:53),4
07:12,RE 3146,Falkenberg(Elster) (an 08:44),2
07:15,RE 3,Lindau-Reutin (an 22:57),
07:15,RE 3304,Stralsund Hbf (an 10:44),3
07:17,RB 62053,Dahlewitz (an 07:34),1
07:17,RE 4353,Berlin Südkreuz (an 07:23),2
07:35,RE 3343,Luckenwalde (an 08:27),1
07:40 (+27),RE 3506,Stralsund Hbf (an 10:51),3
07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,RE 62004,Doberlug-Kirchhain (an 09:04),1
07:49,RE 3169,Stendal Hbf (an 09:30),3
08:04,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:12,RE 62009,Elstal (an 08:49),4
08:16 (+1),RE 3344,Schwedt(Oder) (an 09:55),3
08:19,RE 3505,Sargans (an 23:24),2
08:41,RE 4354,Rostock Hbf (an 11:21),3
08:42,RB 62056,Wustermark (an 09:18),4
08:43,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47,RE 3149,Rathenow (an 09:54),3
08:48,RE 62006,Elsterwerda (an 10:31),1
08:49,RB 18507,Berlin Hbf (an 08:53),4
09:04,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:10,RE 62011,Elstal (an 09:55),4
09:12,RE 3148,Falkenberg(Elster) (an 10:44),2
09:15 (+2),RE 3306,Stralsund Hbf (an 12:44),3
09:17,RB 62057,Berlin Südkreuz (an 09:21),1
09:17,RE 4355,Berlin Südkreuz (an 09:23),2
09:35,RE 3345,Luckenwalde (an 10:27),1
09:41,RE 3508,Stralsund Hbf (an 12:51),3
09:42,RB 62058,Berlin-Spandau (an 09:59),
09:46,RE 62008,Baruth(Mark) (an 10:36),1
09:48 (+3),RE 3171,Stendal Hbf (an 11:30),3
09:50,RB 18509,Berlin Hbf (an 09:53),4
10:04,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:10,RE 3168,Jüterbog (an 10:54),2
10:12,RE 62013,Elstal (an 10:49),4
10:16 (+1),RE 3346,Schwedt(Oder) (an 11:55),3
10:17,RB 62059,Berlin Südkreuz (an 10:22),1
10:17 (+2),RE 3507,Berlin Südkreuz (an 10:24),2
10:21,RB 21852,Berlin Hbf (an 10:24),4
10:26,RB 21857,Flughafen BER (an 10:45),
10:41,RB 21859,Flughafen BER (an 11:00),
10:41,RE 4356,Rostock Hbf (an 13:21),3
10:42,RB 62060,Berlin-Spandau (an 10:59),
10:43,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2
10:47,RE 3151,Rathenow (an 11:54),3
10:48 (+2),RE 62010,Elsterwerda (an 12:31),1
10:50,RB 18511,Berlin Hbf (an 10:53),4
10:56,RB 21861,Flughafen BER (an 11:14),
