Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:12,00:12,RB 62086,Berlin Hbf (an 00:15),4
00:12,00:12,RB 93786,Berlin-Spandau (an 00:35),
00:16,00:16,RE 3366,Berlin Hbf (an 00:19),3
00:56,00:56,RB 21967,Weimar (an 12:16),1
04:42,04:42,RB 62094,Berlin-Spandau (an 04:59),
05:12,05:12,RE 3144,Berlin-Lichterfelde Ost (an 05:21),
05:35,05:35,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),1
05:42,05:42,RB 10,Frankfurt(Main)Hbf (an 14:34),
05:46,05:46,RE 62000,Elsterwerda (an 07:15),1
05:48,05:48,RE 4,Karlsruhe Hbf (an 21:53),
06:10,06:10,RE 3164,Jüterbog (an 06:54),2
06:11,06:11,RB 18500,Lübbenau(Spreewald) (an 07:17),1
06:11,06:11,RE 20,Cottbus Hbf (an 22:43),
06:12,06:12,RE 62005,Elstal (an 06:49),4
06:16,06:16,RE 3342,Berlin Hbf (an 06:18),3
06:17,06:17,RB 62051,Rangsdorf (an 06:38),1
06:36,06:36,RB 21822,Berlin Hbf (an 06:38),4
06:42,06:42,RB 62052,Wustermark (an 07:18),4
06:43,06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47 (+1),06:48,RE 3147,Rathenow (an 07:52),3
06:48,06:48,RE 62002,Elsterwerda (an 08:31),1
06:50,06:50,RB 18503,Berlin Hbf (an 06:53),4
07:05,07:05,RE 21826,Berlin Hbf (an 07:08),4
07:10,07:10,RE 62007,Elstal (an 07:53),4
07:11,07:11,RB 18502,Lübbenau(Spreewald) (an 08:15),1
07:12,07:12,RE 3146,Falkenberg(Elster) (an 08:44),2
07:15,07:15,RE 3304,Berlin Hbf (an 07:18),3
07:17,07:17,RB 62053,Rangsdorf (an 07:38),1
07:35,07:35,RE 3343,Birkengrund (an 08:03),
07:43,07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,07:46,RE 62004,Elsterwerda (an 09:14),1
07:49,07:49,RE 3169,Stendal Hbf (an 09:30),3
07:50,07:50,RB 18505,Berlin Hbf (an 07:53),4
08:10,08:10,RE 3166,Jüterbog (an 08:54),2
08:11,08:11,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:12,08:12,RE 62009,Elstal (an 08:49),4
08:16,08:16,RE 3344,Berlin Hbf (an 08:19),3
08:17,08:17,RB 62055,Berlin Südkreuz (an 08:21),1
08:42,08:42,RB 62056,Wustermark (an 09:18),4
08:43,08:43,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),
08:47,08:47,RE 3149,Rathenow (an 09:54),3
08:48,08:48,RE 62006,Elsterwerda (an 10:31),1
08:50,08:50,RB 18507,Berlin Hbf (an 08:53),4
09:05,09:05,RB 21842,Berlin Hbf (an 09:08),4
09:10,09:10,RE 62011,Elstal (an 09:55),4
09:11,09:11,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:12,09:12,RE 3148,Falkenberg(Elster) (an 10:44),2
09:15,09:15,RE 3306,Berlin Hbf (an 09:18),3
09:17,09:17,RB 62057,Berlin Südkreuz (an 09:21),1
09:35,09:35,RE 3345,Birkengrund (an 10:03),
09:42,09:42,RB 62058,Wustermark (an 10:18),4
09:46,09:46,RE 62008,Baruth(Mark) (an 10:36),1
09:48,09:48,RE 3171,Stendal Hbf (an 11:30),3
09:50,09:50,RB 18509,Berlin Hbf (an 09:53),4
10:05,10:05,RB 21850,Berlin Hbf (an 10:08),4
10:10,10:10,RE 3168,Jüterbog (an 10:54),2
10:11,10:11,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:12,10:12,RE 62013,Elstal (an 10:49),4
10:16,10:16,RE 3346,Berlin Hbf (an 10:19),3
10:17,10:17,RB 62059,Berlin Südkreuz (an 10:21),1
10:21,10:21,RB 21852,Berlin Hbf (an 10:24),4
10:26,10:26,RB 21857,Flughafen BER (an 10:45),1
10:36,10:36,RB 21854,Berlin Hbf (an 10:39),4
10:41,10:41,RB 21859,Flughafen BER (an 11:00),1
10:42,10:42,RB 62060,Wustermark (an 11:18),4
10:43,10:43,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2
10:47,10:47,RE 3151,Rathenow (an 11:54),3
10:48,10:48,RE 62010,Elsterwerda (an 12:31),1
10:50,10:50,RB 18511,Berlin Hbf (an 10:53),4
10:56,10:56,RB 21861,Flughafen BER (an 11:14),1
11:05,11:05,RB 21858,Berlin Hbf (an 11:08),4
11:10,11:10,RE 62015,Elstal (an 11:53),4
11:11,11:11,RB 18510,Lübbenau(Spreewald) (an 12:15),1
11:12,11:12,RE 3150,Falkenberg(Elster) (an 12:44),2
11:15,11:15,RE 3308,Berlin Hbf (an 11:18),3
11:17,11:17,RB 62061,Berlin Südkreuz (an 11:21),1
11:35,11:35,RE 3347,Birkengrund (an 12:03),
11:43,11:43,RB 62062,Berlin-Spandau (an 11:59),
11:46,11:46,RE 62012,Baruth(Mark) (an 12:36),1
11:50,11:50,RB 18513,Berlin Hbf (an 11:53),4
11:50,11:50,RE 3173,Stendal Hbf (an 13:30),
12:11,12:11,RB 18512,Lübbenau(Spreewald) (an 13:15),
12:12,12:12,RE 62017,Berlin-Spandau (an 12:35),
12:42,12:42,RB 62064,Berlin-Spandau (an 12:59),
12:43,12:43,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),
12:43,12:43,RE 3536,Lutherstadt Wittenberg Hbf (an 14:07),
12:47,12:47,RE 3153,Berlin-Spandau (an 13:04),
12:48,12:48,RE 62014,Elsterwerda (an 14:31),1
13:10,13:10,RE 62019,Elstal (an 13:55),4
13:11,13:11,RB 18514,Lübbenau(Spreewald) (an 14:15),
13:42,13:42,RB 62066,Berlin-Spandau (an 13:59),
13:46,13:46,RE 62016,Elsterwerda (an 15:14),1
13:48,13:48,RE 3175,Stendal Hbf (an 15:30),3
14:11,14:11,RB 18516,Lübbenau(Spreewald) (an 15:15),1
14:12,14:12,RE 62021,Elstal (an 14:49),4
14:17,14:17,RB 62067,Rangsdorf (an 14:39),1
14:26,14:26,RB 21889,Flughafen BER (an 14:45),1
14:36,14:36,RB 21886,Berlin Hbf (an 14:39),4
14:42,14:42,RB 62068,Wustermark (an 15:18),4
14:43,14:43,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),2
14:47,14:47,RE 3155,Rathenow (an 15:54),3
14:48,14:48,RB 62018,Elsterwerda (an 16:31),1
14:48,14:48,RE 62018,Elsterwerda (an 16:31),
14:50,14:50,RB 18519,Berlin Hbf (an 14:53),4
15:05,15:05,RB 21890,Berlin Hbf (an 15:08),4
15:10 (+7),15:17,RE 62023,Elstal (an 15:55),4
15:11,15:11,RB 18518,Lübbenau(Spreewald) (an 16:15),1
15:12 (+4),15:16,RE 3154,Falkenberg(Elster) (an 16:45),2
15:15 (+7),15:22,RE 3312,Berlin Hbf (an 15:18),3
15:17 (+2),15:19,RB 62069,Rangsdorf (an 15:38),1
15:20,15:20,RB 21892,Berlin Hbf (an 15:23),4
15:35,15:35,RE 3351,Lutherstadt Wittenberg Hbf (an 17:06),1
15:42,15:42,RB 62070,Wustermark (an 16:18),4
15:46,15:46,RE 62020,Elsterwerda (an 17:15),1
15:48,15:48,RE 3177,Stendal Hbf (an 17:30),3
15:50,15:50,RB 18521,Berlin Hbf (an 15:53),4
16:05,16:05,RB 21898,Berlin Hbf (an 16:08),4
16:10,16:10,RE 3174,Jüterbog (an 16:55),2
16:11,16:11,RB 18520,Lübbenau(Spreewald) (an 17:15),1
16:12,16:12,RE 62025,Elstal (an 16:49),4
16:16,16:16,RE 3352,Berlin Hbf (an 16:19),3
16:18,16:18,RB 62071,Rangsdorf (an 16:39),1
16:20,16:20,RB 21900,Berlin Hbf (an 16:23),4
16:42,16:42,RB 62072,Wustermark (an 17:18),4
16:47,16:47,RE 3157,Rathenow (an 17:54),3
16:48,16:48,RE 62022,Elsterwerda (an 18:31),1
16:50,16:50,RB 18523,Berlin Hbf (an 16:53),4
17:10,17:10,RE 62027,Elstal (an 17:47),4
17:11,17:11,RB 18522,Cottbus Hbf (an 18:47),1
17:12,17:12,RE 3156,Falkenberg(Elster) (an 18:49),2
17:17,17:17,RB 62073,Rangsdorf (an 17:38),1
17:35,17:35,RE 3353,Lutherstadt Wittenberg Hbf (an 19:06),
17:43,17:43,RB 62074,Wustermark (an 18:18),4
17:46,17:46,RE 62024,Elsterwerda (an 19:15),1
17:49,17:49,RE 26117,Stendal Hbf (an 19:30),
17:49,17:49,RE 3179,Stendal Hbf (an 19:30),3
18:10,18:10,RE 3176,Jüterbog (an 18:54),2
18:11,18:11,RB 18524,Lübbenau(Spreewald) (an 19:15),1
18:12,18:12,RE 62029,Elstal (an 18:49),4
18:17,18:17,RB 62075,Rangsdorf (an 18:38),1
18:41,18:41,RE 21923,Flughafen BER (an 19:00),1
18:42,18:42,RB 62076,Wustermark (an 19:18),4
18:43,18:43,RE 3,Stralsund Hbf (an 22:49),
18:43,18:43,RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),2
18:47 (+8),18:55,RE 3159,Rathenow (an 19:49),3
18:48,18:48,RE 62026,Elsterwerda (an 20:31),1
18:50 (+1),18:51,RB 18527,Berlin Hbf (an 18:53),4
18:56,18:56,RE 21925,Flughafen BER (an 19:14),1
19:05,19:05,RE 21922,Berlin Hbf (an 19:08),4
19:11,19:11,RB 18526,Cottbus Hbf (an 20:47),1
19:11 (+1),19:12,RE 62031,Elstal (an 19:53),4
19:12,19:12,RE 3158,Falkenberg(Elster) (an 20:44),2
19:15,19:15,RE 3316,Berlin Hbf (an 19:19),3
19:17,19:17,RB 62077,Berlin Südkreuz (an 19:21),1
19:20,19:20,RE 21924,Berlin Hbf (an 19:23),4
19:26,19:26,RE 21929,Flughafen BER (an 19:45),1
19:35,19:35,RE 3355,Luckenwalde (an 20:27),1
19:36,19:36,RB 21926,Berlin Hbf (an 19:38),4
19:41,19:41,RE 21931,Flughafen BER (an 20:00),1
19:42,19:42,RB 62078,Wustermark (an 20:18),4
19:46,19:46,RE 62028,Baruth(Mark) (an 20:35),1
