Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:16,RE 3366,Eberswalde Hbf (an 01:04),3
00:43,RE 3363,Jüterbog (an 01:41),
04:42,RB 62094,Berlin-Spandau (an 04:59),
04:50,RE 62040,Elsterwerda (an 06:29),
05:05 (+1),RB 56801,Schwerin Hbf (an 07:48),3
05:10,RE 62003,Berlin-Spandau (an 05:38),
05:15,RE 3302,Stralsund Hbf (an 08:45),
05:35,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),1
05:41,RE 3504,Stralsund Hbf (an 08:51),
05:42,RB 62050,Berlin-Spandau (an 05:59),
05:46,RE 62000,Elsterwerda (an 07:15),
05:48,RE 3167,Stendal Hbf (an 07:13),3
06:03,RB 18500,Lübbenau(Spreewald) (an 07:18),1
06:12,RE 62005,Elstal (an 06:49),4
06:16,RE 3342,Schwedt(Oder) (an 07:55),3
06:41,RE 4352,Rostock Hbf (an 09:21),
06:42,RB 62052,Berlin-Spandau (an 06:59),
06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47,RE 3147,Berlin-Spandau (an 07:04),
06:48,RE 62002,Elsterwerda (an 08:31),1
06:50,RB 18503,Berlin Hbf (an 06:53),4
07:04,RB 18502,Lübbenau(Spreewald) (an 08:15),1
07:10,RE 62007,Elstal (an 07:53),4
07:15,RE 3304,Stralsund Hbf (an 10:44),3
07:35,RE 3343,Luckenwalde (an 08:27),1
07:40,RE 3506,St. Gallen(CH) (an 23:34),
07:43,RB 62054,Berlin-Spandau (an 07:59),
07:46,RE 62004,Elsterwerda (an 09:14),
07:49,RE 3169,Stendal Hbf (an 09:30),3
07:50,RB 18505,Berlin Hbf (an 07:53),4
08:04,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:12,RE 62009,Berlin-Spandau (an 08:35),
08:16,RE 3344,Schwedt(Oder) (an 09:55),3
08:19 (+7),RE 3505,Sargans (an 23:24),2
08:41,RE 4354,Rostock Hbf (an 11:21),3
08:42,RB 62056,Berlin-Spandau (an 08:59),
08:43,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47,RE 3149,Berlin-Spandau (an 09:04),
08:48,RE 62006,Elsterwerda (an 10:31),1
08:49,RB 18507,Berlin Hbf (an 08:53),4
09:04,RB 18506,Lübbenau(Spreewald) (an 10:15),1
09:10,RE 62011,Elstal (an 09:55),4
09:15 (+2),RE 3306,Stralsund Hbf (an 12:44),3
09:35,RE 3345,Luckenwalde (an 10:27),1
09:41 (+1),RE 3508,Stralsund Hbf (an 12:51),3
09:42,RB 62058,Berlin-Spandau (an 09:59),
09:46,RE 62008,Baruth(Mark) (an 10:36),1
09:48,RE 3171,Stendal Hbf (an 11:30),3
09:50,RB 18509,Berlin Hbf (an 09:53),4
10:04,RB 18508,Lübbenau(Spreewald) (an 11:15),1
10:05,RB 21850,Berlin Hbf (an 10:08),4
10:10,RE 3168,Jüterbog (an 10:54),2
10:12,RE 62013,Elstal (an 10:49),4
10:16 (+3),RE 3346,Schwedt(Oder) (an 11:55),3
10:17,RB 62059,Berlin Südkreuz (an 10:22),1
10:17 (+1),RE 3507,Berlin Südkreuz (an 10:24),2
10:41,RE 4356,Rostock Hbf (an 13:21),3
10:42,RB 62060,Berlin-Spandau (an 10:59),
10:43,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2
10:47,RE 3151,Berlin-Spandau (an 11:04),
10:48,RE 62010,Elsterwerda (an 12:31),1
10:50,RB 18511,Berlin Hbf (an 10:53),4
