Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:04,RE 93138,Lübbenau(Spreewald) (an 01:15),
00:11 (+9),RE 73749,Eisenhüttenstadt (an 01:41),1
00:11,RE 73826,Berlin Hbf (an 00:21),
00:17,RE 7,Erfurt Hbf (an 17:06),
00:43,RB 94796,Berlin Hbf (an 00:53),
01:04,RE 3140,Cottbus Hbf (an 02:40),
01:34,RE 94791,Frankfurt(Oder) (an 02:38),1
01:38,RB 94752,Potsdam Hbf (an 02:18),
02:18,RE 3701,Berlin Hbf (an 02:29),
02:18,RE 3703,Berlin Hbf (an 02:29),
02:49,RB 94793,Frankfurt(Oder) (an 03:55),
02:56,RE 73754,Magdeburg Hbf (an 05:08),7
04:09 (+25),ICE 646,Köln Hbf (an 09:33),3
04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,RE 73756,Brandenburg Hbf (an 05:33),6
04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,RE 73716,Magdeburg Hbf (an 06:50),
05:04,RE 3707,Berlin Hbf (an 05:13),
05:12,RE 73758,Potsdam Hbf (an 05:51),
05:15 (+27),ICE 946,Köln Hbf (an 10:35),6
05:25,RE 3103,Berlin-Spandau (an 05:54),
05:25,RE 92303,Berlin-Spandau (an 05:54),
05:28,RE 73753,Frankfurt(Oder) (an 06:35),1
05:38,RE 3102,Lübbenau(Spreewald) (an 06:32),
05:49,RE 73718,Magdeburg Hbf (an 07:50),
05:56 (+1),ICE 240,Amsterdam Centraal (an 11:59),6
05:57,RE 3704,Lübbenau(Spreewald) (an 07:03),1
05:59 (+2),EC 41,Warszawa Wschodnia (an 11:15),2
06:11,RE 73713,Frankfurt(Oder) (an 07:18),1
06:12,RE 73760,Potsdam Hbf (an 06:51),7
06:15 (+3),ICE 279,Karlsruhe Hbf (an 11:59),6
06:25,RE 2,Singen(Hohentwiel) (an 07:50),
06:25,RE 3105,Berlin-Spandau (an 06:54),
06:32 (+1),ICE 644,Köln Hbf (an 11:33),6
06:38,RE 3104,Lübben(Spreewald) (an 07:25),
06:48,RE 73755,Frankfurt(Oder) (an 07:47),1
06:49,RE 73720,Magdeburg Hbf (an 08:50),6
06:55 (+14),ICE 1548,Köln Hbf (an 12:16),7
07:04,RE 3711,Berlin Hbf (an 07:13),
07:06 (+7),ICE 795,Karlsruhe Hbf (an 13:17),6
07:11,RE 73715,Frankfurt(Oder) (an 08:20),
07:12,RE 73762,Potsdam Hbf (an 07:51),
07:18,IC 2432,Norddeich Mole (an 14:20),
07:32,ICE 944,Köln Hbf (an 12:33),6
07:38,RE 3106,Lübben(Spreewald) (an 08:25),
07:46 (+45),IC 60409,Berlin Hbf (an 07:52),6
07:46 (+45),NJ 409,Berlin Hbf (an 07:52),6
07:48,RE 73757,Frankfurt(Oder) (an 08:43),
07:49,RE 73722,Magdeburg Hbf (an 09:50),
07:56 (+2),ICE 148,Amsterdam Centraal (an 14:01),6
07:58,RE 3708,Senftenberg (an 09:41),
07:58,RE 94008,Lübben(Spreewald) (an 08:56),
