Ankunft,Zugnr.,von (Abfahrt),Gleis
00:07,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:31,RE 3141,Rudersberg-Oberndorf (ab 10:19),2
01:07 (+1),RE 3140,Berlin Zoologischer Garten (ab 00:46),1
01:58,RB 21969,Eisenach Hbf (ab 12:13),1
04:39,RB 18300,Wünsdorf-Waldstadt (ab 03:43),14
04:44,RB 18201,Berlin-Lichtenberg (ab 04:41),13
04:44,RE 94716,Erkner (ab 04:24),2
04:56 (+1),RE 3707,Lübbenau(Spreewald) (ab 03:53),2
05:16,RB 18200,Ludwigsfelde (ab 04:38),14
05:18,RE 3103,Cottbus Hbf (ab 04:00),2
05:40,RE 3102,Hennigsdorf(b Berlin) (ab 04:41),1
05:42,RE 94718,Eisenhüttenstadt (ab 04:21),2
05:44,RB 18203,Berlin-Lichtenberg (ab 05:41),13
05:56 (+1),RB 93009,Lübben(Spreewald) (ab 05:00),2
05:59 (+1),RE 3704,Dessau Hbf (ab 04:05),1
06:01,RB 61102,Templin Stadt (ab 04:33),7
06:14,RE 94713,Berlin Zoologischer Garten (ab 05:52),1
06:16 (+2),RB 18202,Ludwigsfelde (ab 05:38),14
06:17 (+2),RB 61220,Werneuchen (ab 05:34),7
06:18 (+2),RE 3105,Cottbus Hbf (ab 04:57),2
06:20 (+13),RB 18305,Eberswalde Hbf (ab 05:35),13
06:39 (+2),RB 18304,Blankenfelde(Teltow-Fläming) (ab 06:09),14
06:40 (+1),RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:42,RE 94720,Frankfurt(Oder) (ab 05:42),2
06:44,RB 18205,Berlin-Lichtenberg (ab 06:41),13
06:57 (+14),RE 3711,Senftenberg (ab 05:11),2
07:00 (+1),RE 3706,Dessau Hbf (ab 05:05),1
07:01,RB 61104,Templin Stadt (ab 05:33),7
07:05,RE 94762,Frankfurt(Oder) (ab 06:11),
07:13,RB 61423,Müncheberg(Mark) (ab 06:25),
07:14,RE 94715,Berlin Zoologischer Garten (ab 06:52),1
07:16,RB 18204,Ludwigsfelde (ab 06:38),14
07:17 (+2),RB 61222,Werneuchen (ab 06:34),8
07:18 (+62),RE 3107,Cottbus Hbf (ab 06:07),2
07:20 (+2),RB 18307,Eberswalde Hbf (ab 06:35),13
07:35,RE 83711,Berlin Ostbahnhof (ab 07:33),1
07:39 (+5),RB 18306,Blankenfelde(Teltow-Fläming) (ab 07:09),14
07:40,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42,RE 94722,Frankfurt(Oder) (ab 06:42),
07:44,RB 18207,Berlin-Lichtenberg (ab 07:41),13
07:48,RB 61186,Werneuchen (ab 07:04),
07:56 (+2),RE 3713,Senftenberg (ab 06:14),2
08:00 (+1),RE 3708,Dessau Hbf (ab 06:05),1
08:01,RB 61106,Templin Stadt (ab 06:33),8
08:04,RB 94764,Frankfurt(Oder) (ab 07:11),
08:13,RB 61425,Müncheberg(Mark) (ab 07:25),7
08:14,RE 94717,Berlin Zoologischer Garten (ab 07:52),1
08:18,RE 3109,Cottbus Hbf (ab 07:03),2
08:20,RB 18309,Eberswalde Hbf (ab 07:35),13
08:39,RB 18308,Blankenfelde(Teltow-Fläming) (ab 08:09),14
08:40,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:56,RE 3715,Senftenberg (ab 07:14),2
09:00 (+1),RE 3710,Dessau Hbf (ab 07:05),1
09:01,RB 61108,Templin Stadt (ab 07:33),7
09:14,RE 94719,Berlin Zoologischer Garten (ab 08:52),1
09:18,RE 3111,Cottbus Hbf (ab 08:04),2
09:20,RB 18311,Eberswalde Hbf (ab 08:35),13
09:39,RB 18310,Blankenfelde(Teltow-Fläming) (ab 09:09),14
09:40 (+3),RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:44,RB 18211,Berlin-Lichtenberg (ab 09:41),13
09:56,RE 3717,Senftenberg (ab 08:14),2
10:00 (+2),RE 3712,Dessau Hbf (ab 08:05),1
10:01,RB 61110,Templin Stadt (ab 08:33),7
10:05 (+2),RE 94768,Frankfurt(Oder) (ab 09:08),2
10:14,RE 94721,Berlin Zoologischer Garten (ab 09:52),1
10:18 (+1),RE 3113,Cottbus Hbf (ab 09:03),2
10:20 (+2),RB 18313,Eberswalde Hbf (ab 09:35),13
10:39 (+2),RB 18312,Blankenfelde(Teltow-Fläming) (ab 10:09),14
10:40 (+17),RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:42 (+2),RE 94728,Frankfurt(Oder) (ab 09:38),2
10:44 (+1),RB 18213,Berlin-Lichtenberg (ab 10:41),13
10:56,RE 3719,Senftenberg (ab 09:14),2
11:00 (+6),RE 3714,Dessau Hbf (ab 09:05),1
11:01 (+1),RB 61112,Templin Stadt (ab 09:33),8
11:16 (+3),RB 18212,Ludwigsfelde (ab 10:38),14
11:18 (+1),RE 3115,Cottbus Hbf (ab 10:03),2
11:39,RB 18314,Blankenfelde(Teltow-Fläming) (ab 11:09),14
11:40 (+2),RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:56,RE 3721,Senftenberg (ab 10:14),2
12:00 (+1),RE 3716,Dessau Hbf (ab 10:05),1
12:01,RB 61114,Templin Stadt (ab 10:33),7
12:14,RE 94725,Berlin Zoologischer Garten (ab 11:52),1
12:18 (+1),RE 3117,Cottbus Hbf (ab 11:03),2
12:39,RB 18316,Blankenfelde(Teltow-Fläming) (ab 12:09),14
12:40 (+3),RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:51,RE 94767,Berlin Ostbahnhof (ab 12:48),1
12:56 (+2),RE 3723,Senftenberg (ab 11:14),2
13:00,RE 3718,Dessau Hbf (ab 11:05),1
13:01,RB 61116,Templin Stadt (ab 11:33),8
13:18 (+5),RE 3119,Cottbus Hbf (ab 12:03),2
13:20,RB 18319,Eberswalde Hbf (ab 12:35),13
13:39,RB 18318,Blankenfelde(Teltow-Fläming) (ab 13:09),14
13:40 (+9),RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:44 (+1),RB 18219,Berlin-Lichtenberg (ab 13:41),13
13:56 (+2),RE 3725,Senftenberg (ab 12:14),2
14:00,RE 3720,Dessau Hbf (ab 12:05),1
14:16,RB 18218,Ludwigsfelde (ab 13:38),14
14:18 (+2),RE 3121,Cottbus Hbf (ab 13:03),2
14:20,RB 18321,Eberswalde Hbf (ab 13:35),13
14:39,RB 18320,Blankenfelde(Teltow-Fläming) (ab 14:09),14
14:40,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:42,RE 94736,Frankfurt(Oder) (ab 13:38),
14:44,RB 18221,Berlin-Lichtenberg (ab 14:41),13
14:48,RB 61200,Werneuchen (ab 14:04),14
14:51,RE 94771,Berlin Ostbahnhof (ab 14:48),1
14:56 (+31),RE 3727,Senftenberg (ab 13:14),2
15:00 (+1),RE 3722,Dessau Hbf (ab 13:05),1
15:01,RB 61120,Templin Stadt (ab 13:33),8
15:05,RE 94778,Frankfurt(Oder) (ab 14:08),
15:13,RB 61439,Müncheberg(Mark) (ab 14:25),
15:14,RE 94731,Berlin Zoologischer Garten (ab 14:52),1
15:16,RB 18220,Ludwigsfelde (ab 14:38),14
15:17,RB 61236,Werneuchen (ab 14:34),8
15:18,RE 3123,Cottbus Hbf (ab 14:03),2
15:20,RB 18323,Eberswalde Hbf (ab 14:35),13
15:39 (+1),RB 18322,Blankenfelde(Teltow-Fläming) (ab 15:09),14
15:40 (+1),RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:44,RB 18223,Berlin-Lichtenberg (ab 15:41),13
15:56 (+1),RE 3729,Troisvierges (ab 04:35),2
16:00 (+4),RE 3724,Dessau Hbf (ab 14:05),1
16:01,RB 61122,Templin Stadt (ab 14:33),8
16:05,RB 94780,Frankfurt(Oder) (ab 15:08),2
16:13,RB 61441,Müncheberg(Mark) (ab 15:25),
16:14,RE 94733,Berlin Zoologischer Garten (ab 15:52),1
16:16,RB 18222,Ludwigsfelde (ab 15:38),14
16:18,RE 3125,Cottbus Hbf (ab 15:03),2
16:20,RB 18325,Eberswalde Hbf (ab 15:35),13
16:39,RB 18324,Blankenfelde(Teltow-Fläming) (ab 16:09),14
16:40,RE 3124,Hennigsdorf(b Berlin) (ab 15:35),1
16:42,RB 94740,Frankfurt(Oder) (ab 15:38),
16:44,RB 18225,Berlin-Lichtenberg (ab 16:41),13
16:48,RB 61204,Werneuchen (ab 16:04),14
16:56,RE 3731,Senftenberg (ab 15:14),2
17:00,RE 3726,Dessau Hbf (ab 15:05),1
17:01,RB 61124,Templin Stadt (ab 15:33),7
17:16,RB 18224,Ludwigsfelde (ab 16:38),14
17:18,RE 3127,Cottbus Hbf (ab 16:03),2
17:40,RE 3126,Hennigsdorf(b Berlin) (ab 16:35),1
17:44,RB 18227,Berlin-Lichtenberg (ab 17:41),13
17:56,RE 3733,Senftenberg (ab 16:14),2
18:00,RE 3728,Dessau Hbf (ab 16:05),1
18:01,RB 61126,Templin Stadt (ab 16:33),8
18:18,RE 3129,Cottbus Hbf (ab 17:03),2
18:40,RE 3128,Hennigsdorf(b Berlin) (ab 17:35),1
18:44,RB 18229,Berlin-Lichtenberg (ab 18:41),13
18:44,RB 18237,Berlin-Lichtenberg (ab 18:41),13
18:56,RE 3735,Senftenberg (ab 17:14),2
18:56,RE 4300,Rostock Hbf (ab 04:00),2
19:00,RE 3730,Dessau Hbf (ab 17:05),1
19:01,RB 61128,Templin Stadt (ab 17:33),8
19:07,IC 2431,Emden  Außenhafen (ab 12:01),1
19:18,RE 3131,Cottbus Hbf (ab 18:03),2
19:40,RE 3130,Hennigsdorf(b Berlin) (ab 18:35),1
19:44,RB 18231,Berlin-Lichtenberg (ab 19:41),13
19:56,RE 3737,Senftenberg (ab 18:14),2
20:00,RE 3732,Dessau Hbf (ab 18:05),1
20:01,RB 61130,Templin Stadt (ab 18:33),7
20:18,RE 3133,Cottbus Hbf (ab 19:03),2
20:29,RE 73823,Berlin Zoologischer Garten (ab 20:08),1
20:40,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:44,RB 18233,Berlin-Lichtenberg (ab 20:41),13
21:00,RE 3734,Dessau Hbf (ab 19:05),1
21:01,RB 61132,Templin Stadt (ab 19:33),8
21:18,RE 3135,Cottbus Hbf (ab 20:03),2
21:41,RE 3134,Hennigsdorf(b Berlin) (ab 20:36),1
22:01,RB 61134,Templin Stadt (ab 20:33),7
22:03,EC 40,Warszawa Wschodnia (ab 16:49),2
22:18,RE 3137,Cottbus Hbf (ab 21:03),2
22:42,RB 61216,Werneuchen (ab 22:04),
23:02,RB 91636,Wustermark (ab 22:18),
23:14,RE 94747,Berlin Zoologischer Garten (ab 22:52),
23:16,RB 18236,Ludwigsfelde (ab 22:38),
23:17,RE 3139,Cottbus Hbf (ab 22:00),
