Ankunft,Zugnr.,von (Abfahrt),Gleis
00:05,RB 62086,Baruth(Mark) (ab 23:19),8
00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),7
00:13,FEX,Blankenfelde(Teltow-Fläming) (ab 23:09),
00:13,RB 21964,Flughafen BER (ab 00:01),8
00:22 (+1),ICE 592,München Hbf (ab 16:45),6
00:23,RE 3359,Schwedt(Oder) (ab 22:11),5
00:28,ICE 700,München Hbf (ab 19:09),6
00:29,RB 21966,Flughafen BER (ab 00:16),8
00:47,ICE 1500,München Hbf (ab 20:21),7
00:47,RE 3,Bülzig (ab 07:00),
00:47,RE 3363,Berlin Hbf (ab 00:40),
00:53 (+5),RB 56816,Bad Kleinen (ab 22:26),
00:53,RE 56816,Oranienburg (ab 00:15),
00:53,RE 85,Oranienburg (ab 00:15),
00:59,RB 21967,Eisenach Hbf (ab 11:13),3
01:51,RE 3,Ravensburg (ab 00:30),
01:51,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),
04:53,RE 3369,Eberswalde Hbf (ab 04:03),5
04:53 (+2),RE 62040,Wustermark (ab 04:16),3
04:58,RE 21810,Flughafen BER (ab 04:46),8
05:04,RE 62003,Baruth(Mark) (ab 04:19),8
05:08,RE 3302,Falkenberg(Elster) (ab 03:40),6
05:08,RE 3340,Falkenberg(Elster) (ab 03:40),
05:15 (+1),RE 3144,Rathenow (ab 04:09),
05:15,RE 4,Berlin Hbf (ab 05:09),
05:21,RB 10,Wustermark (ab 03:15),
05:23,RE 4351,Neustrelitz Hbf (ab 03:49),4
05:23,RE 5,München Ost (ab 00:02),
05:24,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:32,ICE 593,Berlin Gesundbrunnen (ab 05:16),5
05:39,RE 3341,Schwedt(Oder) (ab 04:04),4
05:40,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,RE 18501,Cottbus Hbf (ab 04:24),
05:44,FEX,Berlin-Charlottenburg (ab 05:00),
05:49 (+26),RE 62000,Elstal (ab 05:07),3
05:56,ICE 701,Berlin Hbf (ab 05:52),5
05:58,RE 21818,Flughafen BER (ab 05:46),8
06:05 (+1),RE 62005,Elsterwerda (ab 04:29),8
06:06,RB 18500,Berlin Hbf (ab 05:58),3
06:09 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,RE 21820,Flughafen BER (ab 06:01),8
06:13 (+1),RE 3164,Stendal Hbf (ab 04:48),5
06:21 (+1),RB 62051,Wustermark (ab 05:39),3
06:23,RE 3503,Neubrandenburg (ab 04:27),4
06:24 (+86),ICE 904,München Hbf (ab 23:12),6
06:29,RE 21822,Flughafen BER (ab 06:16),8
06:30 (+31),ICE 1541,Köln Hbf (ab 23:27),6
06:33,ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:36 (+1),RB 62052,Rangsdorf (ab 06:21),8
06:40 (+2),ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+3),RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43 (+4),RB 18503,Cottbus Hbf (ab 05:23),8
06:43,RE 18503,Cottbus Hbf (ab 05:23),8
06:47 (+1),RE 3301,Pasewalk (ab 04:44),4
06:51,RE 62002,Elstal (ab 06:07),3
06:58,RE 21826,Flughafen BER (ab 06:46),8
07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08,RB 18502,Berlin Hbf (ab 07:00),3
07:08,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:13,RE 21828,Flughafen BER (ab 07:01),8
07:15 (+1),RE 3146,Stendal Hbf (ab 05:48),4
07:21 (+2),RB 62053,Wustermark (ab 06:39),3
07:22,ICE 606,Erfurt Hbf (ab 05:25),6
07:23 (+2),RE 4353,Rostock Hbf (ab 04:34),4
07:24 (+33),IC 2274,Dresden Hbf (ab 05:35),7
07:32,ICE 2827,Berlin Hbf (ab 07:27),5
07:32,ICE 595,Berlin Hbf (ab 07:06),5
07:34 (+50),EN 40476,Budapest-Nyugati (ab 19:30),8
07:34 (+50),NJ 456,Graz Hbf (ab 19:41),8
07:35,RJ 171,Berlin Hbf (ab 07:28),3
07:37 (+17),RB 62054,Rangsdorf (ab 07:23),6
07:39,RE 3343,Schwedt(Oder) (ab 06:04),4
07:40 (+4),ICE 1503,Berlin Gesundbrunnen (ab 07:26),5
07:42,RE 3169,Jüterbog (ab 07:02),6
07:43,RB 18505,Cottbus Hbf (ab 06:12),8
07:43,RE 18505,Cottbus Hbf (ab 06:12),8
07:47,DRF 1320,Dresden Hbf (ab 05:59),7
07:47 (+21),FLX 1320,Dresden Hbf (ab 05:59),5
07:49,RE 62004,Elstal (ab 07:07),3
07:58,ICE 2865,Karlsruhe Hbf (ab 18:05),5
07:58 (+1),ICE 698,München Hbf (ab 22:46),6
07:58,ICE 703,Berlin Gesundbrunnen (ab 07:41),5
08:02 (+63),FLX 1235,Berlin Hbf (ab 07:57),4
08:05 (+21),RE 62009,Elsterwerda (ab 06:40),8
08:08,RB 18504,Berlin Hbf (ab 08:00),3
08:09 (+9),RE 3344,Halle(Saale)Hbf (ab 05:46),6
08:13,RE 21836,Flughafen BER (ab 08:01),8
08:13 (+7),RE 3166,Stendal Hbf (ab 06:47),5
08:20 (+17),RJ 874,Dresden Hbf (ab 06:42),8
08:21 (+5),RB 62055,Wustermark (ab 07:39),5
08:23,ICE 806,Erfurt Hbf (ab 06:30),6
08:24,RE 3505,Stralsund Hbf (ab 05:02),4
08:29,RE 21838,Flughafen BER (ab 08:16),8
08:33 (+27),ICE 505,Hamburg-Altona (ab 05:34),5
08:34,IC 2173,Rostock Hbf (ab 06:20),3
08:36 (+6),RB 62056,Rangsdorf (ab 08:21),8
08:40 (+1),ICE 1005,Berlin Gesundbrunnen (ab 08:26),5
08:41,RE 3149,Falkenberg(Elster) (ab 07:18),6
08:43 (+2),RB 18507,Lübbenau(Spreewald) (ab 07:44),8
08:43 (+1),RE 18507,Lübbenau(Spreewald) (ab 07:44),8
08:46,ICE 936,Eisenach Hbf (ab 06:37),6
08:47,RE 3303,Stralsund Hbf (ab 05:10),4
08:51 (+1),RE 62006,Elstal (ab 08:07),3
09:04 (+23),RE 62011,Elsterwerda (ab 07:29),8
09:08,RB 18506,Berlin Hbf (ab 09:00),3
09:08,RE 3306,Luckenwalde (ab 08:35),6
09:13 (+3),RE 21844,Flughafen BER (ab 09:01),8
09:15 (+6),ICE 1104,München Hbf (ab 05:17),7
09:15 (+14),RE 3148,Rathenow (ab 08:05),4
09:21,RB 62057,Wustermark (ab 08:39),5
09:22 (+1),ICE 604,Nürnberg Hbf (ab 05:37),6
09:23 (+1),RE 4355,Rostock Hbf (ab 06:37),4
09:24 (+26),IC 2272,Dresden Hbf (ab 07:35),7
09:29,RE 21846,Flughafen BER (ab 09:16),8
09:33 (+6),ICE 597,Berlin Hbf (ab 09:27),5
09:39 (+12),RE 3345,Schwedt(Oder) (ab 08:04),4
09:40 (+8),ICE 1505,Berlin Gesundbrunnen (ab 09:26),5
09:42 (+12),RE 3171,Jüterbog (ab 09:02),6
09:43 (+5),RB 18509,Lübbenau(Spreewald) (ab 08:45),8
09:43 (+4),RE 18509,Lübbenau(Spreewald) (ab 08:45),8
09:49 (+2),RE 62008,Elstal (ab 09:07),3
09:53,DRF 1234,Leipzig Hbf (ab 08:45),6
09:53 (+6),FLX 1234,Leipzig Hbf (ab 08:45),6
09:58 (+6),ICE 804,München Hbf (ab 05:05),6
09:58 (+3),ICE 91,Berlin Hbf (ab 09:54),5
09:58,RB 21850,Flughafen BER (ab 09:46),8
10:05,RE 62013,Elsterwerda (ab 08:40),8
10:08,RB 18508,Berlin Hbf (ab 10:00),3
10:09 (+1),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),6
10:13 (+4),RE 3168,Stendal Hbf (ab 08:47),5
10:14,RB 21852,Flughafen BER (ab 10:01),8
10:15,ICE 1604,München Hbf (ab 06:19),7
10:20 (+44),RJ 384,Praha hl.n. (ab 06:31),8
10:22,ICE 2825,Frankfurt(Main)Hbf (ab 06:15),7
10:22,ICE 2910,Frankfurt(Main)Hbf (ab 06:15),7
10:22,ICE 696,Frankfurt(Main)Hbf (ab 06:15),7
10:22,RB 62059,Wustermark (ab 09:39),6
10:24,RE 3507,Stralsund Hbf (ab 07:02),5
10:29,RB 21854,Flughafen BER (ab 10:16),8
10:29,RB 21857,Berlin Hbf (ab 10:22),3
10:33 (+2),ICE 507,Hamburg-Altona (ab 07:34),4
10:34,IC 2175,Rostock Hbf (ab 08:20),3
10:40 (+1),ICE 1007,Berlin Gesundbrunnen (ab 10:28),5
10:41 (+3),RE 3151,Falkenberg(Elster) (ab 09:18),6
10:43 (+3),RB 18511,Lübbenau(Spreewald) (ab 09:44),8
10:43 (+6),RE 18511,Lübbenau(Spreewald) (ab 09:44),8
10:44 (+1),RB 21859,Berlin Hbf (ab 10:37),
10:46 (+4),ICE 934,Darmstadt Hbf (ab 06:37),6
10:47 (+1),RE 3305,Stralsund Hbf (ab 07:10),4
10:51 (+1),RE 62010,Elstal (ab 10:05),3
10:58,RB 21858,Flughafen BER (ab 10:46),8
10:59 (+1),RB 21861,Berlin Hbf (ab 10:52),3
11:04,RE 62015,Elsterwerda (ab 09:29),8
11:08,RB 18510,Berlin Hbf (ab 11:00),3
11:08 (+11),RE 3308,Luckenwalde (ab 10:35),6
11:10,ICE 839,Stralsund Hbf (ab 08:07),5
11:13,RB 21860,Flughafen BER (ab 11:01),8
11:15 (+5),ICE 1102,München Hbf (ab 07:17),7
11:15 (+1),RE 3150,Rathenow (ab 10:02),4
11:21 (+6),RB 62061,Wustermark (ab 10:39),5
11:22,ICE 2818,München Hbf (ab 06:49),6
11:22 (+2),ICE 602,München Hbf (ab 06:49),6
11:23 (+1),RE 4357,Rostock Hbf (ab 08:37),4
11:24 (+11),IC 2270,Dresden Hbf (ab 09:35),7
11:29,RB 21862,Flughafen BER (ab 11:16),8
11:29 (+1),RB 21865,Berlin Hbf (ab 11:22),3
11:32 (+6),ICE 599,Berlin Gesundbrunnen (ab 11:17),5
11:39 (+23),ICE 1162,Stuttgart Hbf (ab 07:03),7
11:39 (+2),RE 3347,Schwedt(Oder) (ab 10:04),4
11:40 (+13),ICE 1507,Berlin Gesundbrunnen (ab 11:26),5
11:43 (+14),RB 18513,Lübbenau(Spreewald) (ab 10:44),8
11:43 (+15),RE 18513,Lübbenau(Spreewald) (ab 10:44),8
11:43 (+2),RE 3173,Jüterbog (ab 11:02),6
11:44,RB 21867,Berlin Hbf (ab 11:37),3
11:49 (+1),RE 62012,Elstal (ab 11:07),3
11:54,DRF 1324,Leipzig Hbf (ab 10:35),7
11:54 (+13),FLX 1324,Leipzig Hbf (ab 10:35),7
11:56 (+3),ICE 707,Berlin Hbf (ab 11:51),4
11:58,ICE 2800,München Hbf (ab 08:49),6
11:58,ICE 802,München Hbf (ab 07:12),6
11:59,RB 21869,Berlin Hbf (ab 11:52),
12:00,RB 21866,Flughafen BER (ab 11:46),8
12:02 (+4),FLX 1239,Hamburg Hbf (ab 09:18),5
12:05 (+9),RE 62017,Baruth(Mark) (ab 11:21),8
12:08 (+9),RB 18512,Berlin Hbf (ab 12:00),3
12:10,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),6
12:13,RB 21868,Flughafen BER (ab 12:00),8
12:13 (+3),RE 3170,Stendal Hbf (ab 10:32),5
12:15 (+2),ICE 1602,München Hbf (ab 08:21),6
12:20 (+17),RJ 178,Praha hl.n. (ab 08:31),8
12:21 (+1),RB 62063,Wustermark (ab 11:39),5
12:22 (+1),ICE 694,Stuttgart Hbf (ab 06:49),6
12:25 Ausfall,RE 18751,Neustrelitz Hbf (ab 11:00),4
12:25 Ausfall,RE 3509,Stralsund Hbf (ab 09:02),4
12:29,RB 21870,Flughafen BER (ab 12:16),8
12:29,RB 21873,Berlin Hbf (ab 12:22),3
12:33 (+3),ICE 509,Hamburg-Altona (ab 09:34),5
12:34,IC 2177,Rostock Hbf (ab 10:21),3
12:40 (+12),ICE 1009,Berlin Gesundbrunnen (ab 12:26),5
12:41 (+1),RE 3153,Falkenberg(Elster) (ab 11:18),6
12:43 (+2),RB 18515,Lübbenau(Spreewald) (ab 11:44),8
12:43,RE 18515,Lübbenau(Spreewald) (ab 11:44),8
12:44 (+4),RB 21875,Berlin Hbf (ab 12:37),3
12:46 (+19),ICE 932,Saarbrücken Hbf (ab 06:28),6
12:47 (+2),RE 3307,Stralsund Hbf (ab 09:10),4
12:51,RE 62014,Elstal (ab 12:05),3
12:58,RB 21874,Flughafen BER (ab 12:46),8
12:59 (+2),RB 21877,Berlin Hbf (ab 12:52),3
13:04 (+5),RE 62019,Elsterwerda (ab 11:29),8
13:08 (+1),RB 18514,Berlin Hbf (ab 13:00),3
13:08 (+2),RE 3310,Luckenwalde (ab 12:35),6
13:10 (+3),ICE 931,Ostseebad Binz (ab 09:15),5
13:13,RB 21876,Flughafen BER (ab 13:01),8
13:15 (+59),ICE 1100,München Hbf (ab 09:19),7
13:15 (+1),RE 3152,Rathenow (ab 12:02),4
13:21 (+1),RB 62065,Wustermark (ab 12:39),5
13:22 (+41),ICE 2922,München Hbf (ab 08:49),6
13:22 (+41),ICE 600,München Hbf (ab 08:49),6
13:23 (+2),RE 4359,Rostock Hbf (ab 10:37),4
13:24 (+4),IC 2178,Dresden Hbf (ab 11:35),7
13:26,RB 21881,Berlin Hbf (ab 13:19),
13:29,RB 21878,Flughafen BER (ab 13:16),8
13:32 (+2),ICE 2847,Berlin Gesundbrunnen (ab 13:17),5
13:32 (+1),ICE 691,Berlin Gesundbrunnen (ab 13:17),5
13:39 (+2),RE 3349,Schwedt(Oder) (ab 12:04),4
13:40 (+3),ICE 1509,Saalfelden (ab 09:26),5
13:42,RB 18043,Elsterwerda-Biehla (ab 23:37),6
13:42,RE 3175,Jüterbog (ab 13:02),6
13:43 (+3),RB 18517,Lübbenau(Spreewald) (ab 12:44),8
13:43 (+3),RE 18517,Lübbenau(Spreewald) (ab 12:44),8
13:44,RB 21883,Berlin Hbf (ab 13:37),
13:49 (+4),RE 62016,Elstal (ab 13:07),3
13:53 (+1),FLX 1238,Stuttgart Hbf (ab 08:14),7
13:58 (+1),ICE 1205,Berlin Hbf (ab 13:54),5
13:58 (+10),ICE 800,München Hbf (ab 09:12),6
13:58,RB 21882,Flughafen BER (ab 13:46),8
13:59,RB 21885,Berlin Hbf (ab 13:52),3
14:02 (+1),FLX 1341,Berlin Hbf (ab 13:57),4
14:05,RE 62021,Baruth(Mark) (ab 13:20),8
14:08,RB 18516,Berlin Hbf (ab 14:00),3
14:09 (+9),RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),6
14:13,RB 21884,Flughafen BER (ab 14:01),8
14:13 (+3),RE 3172,Stendal Hbf (ab 12:31),5
14:15 (+52),ICE 1600,München Hbf (ab 10:22),7
14:21 (+7),RB 62067,Wustermark (ab 13:39),3
14:21 (+34),RJ 382,Praha hl.n. (ab 10:31),8
14:22,ICE 2916,München Hbf (ab 06:42),6
14:22,ICE 692,München Hbf (ab 06:42),6
14:23 Ausfall,RE 3511,Stralsund Hbf (ab 11:02),4
14:29,RB 21886,Flughafen BER (ab 14:16),8
14:29 (+3),RB 21889,Berlin Hbf (ab 14:22),3
14:33 (+1),ICE 601,Hamburg-Altona (ab 11:34),5
14:34 (+4),IC 2179,Rostock Hbf (ab 12:22),3
14:40 (+3),ICE 1101,Berlin Gesundbrunnen (ab 14:26),5
14:41 (+1),RE 3155,Falkenberg(Elster) (ab 13:18),6
14:43 (+5),RB 18519,Lübbenau(Spreewald) (ab 13:44),8
14:43,RE 18519,Lübbenau(Spreewald) (ab 13:44),8
14:46 (+1),ICE 930,Frankfurt(Main)Hbf (ab 11:02),6
14:47 (+2),RE 3309,Stralsund Hbf (ab 11:10),4
14:48 (+4),RB 62018,Elstal (ab 14:07),3
14:48,RE 62018,Elstal (ab 14:07),3
14:58,RB 21890,Flughafen BER (ab 14:46),8
15:04 (+18),RE 62023,Elsterwerda (ab 13:29),8
15:08,RB 18518,Berlin Hbf (ab 15:00),3
15:08 (+4),RE 3312,Luckenwalde (ab 14:35),6
15:15 (+28),ICE 1008,München Hbf (ab 11:18),7
15:15 (+1),RE 3154,Rathenow (ab 14:02),4
15:21 (+1),RB 62069,Wustermark (ab 14:39),3
15:22 (+7),ICE 508,München Hbf (ab 10:48),6
15:23 (+2),RE 4361,Rostock Hbf (ab 12:37),4
15:24 (+10),IC 2176,Dresden Hbf (ab 13:35),7
15:29,RE 21894,Flughafen BER (ab 15:16),8
15:32,ICE 693,Berlin Gesundbrunnen (ab 15:17),5
15:35,RJ 177,Berlin Hbf (ab 15:28),3
15:36 (+1),RB 62070,Rangsdorf (ab 15:21),8
15:39 (+3),RE 3351,Schwedt(Oder) (ab 14:04),4
15:40 (+15),ICE 1601,Berlin Gesundbrunnen (ab 15:26),5
15:42 (+10),RE 3177,Jüterbog (ab 15:02),6
15:43 (+6),RB 18521,Lübbenau(Spreewald) (ab 14:45),8
15:43 (+6),RE 18521,Lübbenau(Spreewald) (ab 14:45),8
15:49 (+2),RE 62020,Elstal (ab 15:07),3
15:53 (+2),FLX 1240,Basel Bad Bf (ab 08:44),7
15:56 (+7),ICE 801,Berlin Hbf (ab 15:51),4
15:58 (+16),ICE 1204,Innsbruck Hbf (ab 08:42),6
16:02 (+4),FLX 1243,Hamburg Hbf (ab 13:19),5
16:05,RE 62025,Elsterwerda (ab 14:41),8
16:08,RB 18520,Berlin Hbf (ab 16:00),3
16:09 (+12),RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),6
16:13 (+2),RE 3174,Stendal Hbf (ab 14:32),5
16:15 (+3),ICE 1508,München Hbf (ab 12:21),7
16:17,ICE 1163,Berlin Gesundbrunnen (ab 16:01),4
