Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
07:55,07:55,RB 18306,Eberswalde Hbf (an 08:27),3
08:55,08:55,RB 18308,Eberswalde Hbf (an 09:27),3
09:07,09:07,RB 18311,Blankenfelde(Teltow-Fläming) (an 09:51),4
09:31,09:31,RB 18211,Flughafen BER (an 10:05),
09:55,09:55,RB 18310,Eberswalde Hbf (an 10:27),3
10:07,10:07,RB 18313,Blankenfelde(Teltow-Fläming) (an 10:51),4
10:31,10:31,RB 18213,Flughafen BER (an 11:05),
11:02,11:02,RB 61113,Templin Stadt (an 12:18),3
11:07,11:07,RB 18315,Flughafen BER (an 11:40),
11:31,11:31,RB 18215,Flughafen BER (an 12:05),
11:32,11:32,RB 18212,Oranienburg (an 11:52),3
11:49,11:49,RB 61114,Berlin Ostkreuz (an 12:01),4
12:07,12:07,RB 18317,Flughafen BER (an 12:40),
14:31,14:31,RB 18221,Ludwigsfelde (an 15:24),4
15:07,15:07,RB 18323,Blankenfelde(Teltow-Fläming) (an 15:51),4
15:31,15:31,RB 18223,Ludwigsfelde (an 16:24),4
15:32,15:32,RB 18220,Oranienburg (an 15:52),3
15:55,15:55,RB 18322,Eberswalde Hbf (an 16:27),3
16:07,16:07,RB 18325,Blankenfelde(Teltow-Fläming) (an 16:51),4
16:31,16:31,RB 18225,Ludwigsfelde (an 17:24),4
16:32,16:32,RB 18222,Oranienburg (an 16:52),3
16:55,16:55,RB 18324,Eberswalde Hbf (an 17:27),3
17:02,17:02,RB 61125,Templin Stadt (an 18:18),3
17:07,17:07,RB 18327,Blankenfelde(Teltow-Fläming) (an 17:51),4
17:32,17:32,RB 18224,Oranienburg (an 17:52),3
17:49,17:49,RB 61126,Berlin Ostkreuz (an 18:01),4
17:55,17:55,RB 18326,Eberswalde Hbf (an 18:27),3
18:02,18:02,RB 61127,Templin Stadt (an 19:18),3
18:07,18:07,RB 18329,Blankenfelde(Teltow-Fläming) (an 18:51),4
18:32,18:32,RB 18226,Oranienburg (an 18:52),3
18:49,18:49,RB 61128,Berlin Ostkreuz (an 19:01),4
19:02,19:02,RB 61129,Templin Stadt (an 20:18),3
19:32,19:32,RB 18228,Oranienburg (an 19:52),3
19:49,19:49,RB 61130,Berlin Ostkreuz (an 20:01),4
20:02,20:02,RB 61131,Templin Stadt (an 21:18),3
20:32,20:32,RB 18230,Oranienburg (an 20:52),3
20:49,20:49,RB 61132,Berlin Ostkreuz (an 21:01),4
21:02,21:02,RB 61133,Templin Stadt (an 22:18),3
21:32,21:32,RB 18232,Oranienburg (an 21:52),3
21:49,21:49,RB 61134,Berlin Ostkreuz (an 22:01),4
21:55,21:55,RB 18334,Eberswalde Hbf (an 22:27),3
22:02,22:02,RB 61135,Templin Stadt (an 23:18),3
22:32,22:32,RB 18234,Oranienburg (an 22:52),3
22:49,22:49,RB 61136,Berlin Ostkreuz (an 23:01),4
22:55,22:55,RB 18336,Eberswalde Hbf (an 23:27),3
23:02,23:02,RB 61137,Templin Stadt (an 00:22),3
