Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:02 (+21),00:23,RB 93138,Cottbus Hbf (an 01:40),1
00:02,00:02,RE 93138,Lübbenau(Spreewald) (an 01:15),
00:05,00:05,RB 21962,Berlin Hbf (an 00:16),
00:11 (+2),00:13,RE 73749,Frankfurt(Oder) (an 01:18),1
00:11,00:11,RE 73826,Berlin Hbf (an 00:21),
00:17,00:17,RE 3745,Berlin Hbf (an 00:27),
00:17,00:17,RE 7,Münster(Westf)Hbf (an 23:22),
00:39,00:39,RE 3141,Berlin-Charlottenburg (an 01:09),6
00:43,00:43,RE 73796,Berkenbrück (an 23:52),
00:53,00:53,RB 21968,Berlin Hbf (an 01:04),
01:34,01:34,RE 73791,Frankfurt(Oder) (an 02:38),1
01:38,01:38,RE 73752,Brandenburg Hbf (an 02:51),6
02:18,02:18,RE 3701,Berlin Hbf (an 02:29),
02:18,02:18,RE 3703,Berlin-Wannsee (an 02:48),
02:44,02:44,FEX,Berlin Gesundbrunnen (an 23:47),
02:44,02:44,RB 21802,Berlin Hbf (an 02:54),
02:49,02:49,RE 3143,Frankfurt(Oder) (an 03:55),
02:49,02:49,RE 73793,Frankfurt(Oder) (an 03:55),
02:56,02:56,RE 73754,Potsdam Hbf (an 03:34),
04:04,04:04,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:09,04:09,ICE 646,Köln Hbf (an 09:33),3
04:15,04:15,ICE 277,Chur (an 14:22),6
04:23,04:23,RE 1,Ingolstadt Hbf (an 23:53),
04:23,04:23,RE 3101,Berlin-Spandau (an 04:53),
04:23,04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,04:28,RE 73756,Brandenburg Hbf (an 05:33),6
04:41,04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,04:51,RE 73716,Magdeburg Hbf (an 06:51),
04:58,04:58,RE 3702,Senftenberg (an 06:41),2
05:04,05:04,RE 3707,Berlin-Wannsee (an 05:34),
05:12,05:12,RE 73758,Potsdam Hbf (an 05:51),
05:15,05:15,ICE 946,Köln Hbf (an 10:35),6
05:28 (+11),05:39,RE 3103,Berlin-Spandau (an 05:55),
05:28,05:28,RE 73753,Frankfurt(Oder) (an 06:35),1
05:38,05:38,RE 2,Koblenz Hbf (an 23:09),
05:38,05:38,RE 3102,Cottbus Hbf (an 06:56),1
05:49,05:49,RE 73718,Magdeburg Hbf (an 07:50),7
05:49,05:49,RE 93719,Potsdam Hbf (an 06:29),
05:57,05:57,RE 3704,Lübbenau(Spreewald) (an 07:03),
05:59,05:59,EC 41,Warszawa Wschodnia (an 11:15),3
06:00,06:00,ICE 240,Amsterdam Centraal (an 11:59),6
06:11,06:11,RE 73713,Frankfurt(Oder) (an 07:18),
06:12,06:12,RE 73760,Brandenburg Hbf (an 07:19),7
06:15,06:15,ICE 279,Interlaken Ost (an 15:59),6
06:30,06:30,RE 73804,Potsdam Hbf (an 07:05),
06:32 (+2),06:34,ICE 644,Köln Hbf (an 11:33),6
06:38,06:38,RE 3104,Cottbus Hbf (an 07:57),1
06:48,06:48,RE 73755,Frankfurt(Oder) (an 07:47),1
06:49,06:49,RE 73720,Magdeburg Hbf (an 08:50),6
06:55 (+3),06:58,ICE 1548,Köln Hbf (an 12:16),3
06:58,06:58,RE 18752,Lübbenau(Spreewald) (an 08:03),
06:58,06:58,RE 3706,Senftenberg (an 08:41),2
07:06,07:06,ICE 795,Karlsruhe Hbf (an 13:17),6
07:11,07:11,RE 73715,Frankfurt(Oder) (an 08:18),1
07:12,07:12,RE 33680,Brandenburg Hbf (an 08:23),
07:12,07:12,RE 73762,Berlin-Wannsee (an 07:41),
07:12,07:12,RE 94762,Berlin-Wannsee (an 07:41),
07:18 (+2),07:20,IC 2432,Hannover Hbf (an 10:23),6
07:30,07:30,RE 73806,Brandenburg Hbf (an 08:33),1
07:32 (+2),07:34,ICE 944,Köln Hbf (an 12:33),6
07:38,07:38,RE 3106,Cottbus Hbf (an 08:56),
07:39,07:39,RB 18146,Potsdam Hbf (an 08:19),7
07:46 (+7),07:53,FLX 1332,Hamburg Hbf (an 10:34),6
07:48,07:48,RE 73757,Frankfurt(Oder) (an 08:43),1
07:49,07:49,RE 73722,Magdeburg Hbf (an 09:50),7
