Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:16 (+5),ICE 2915,Salzwedel (an 22:52),12
00:16 (+5),ICE 901,Berlin Ostbahnhof (an 00:23),12
00:22,RE 3366,Eberswalde Hbf (an 01:04),6
00:29 (+9),ICE 947,Berlin Ostbahnhof (an 00:51),11
00:29,RE 3745,Bad Belzig (an 01:31),14
00:39 (+1),ICE 700,Berlin Gesundbrunnen (an 00:43),5
00:40,RE 3,Lüneburg (an 23:34),
00:40,RE 3363,Jüterbog (an 01:41),1
00:50,RE 3141,Berlin-Charlottenburg (an 01:00),13
00:52,RB 21967,Berlin Südkreuz (an 00:59),
00:52,RE 3140,Cottbus Hbf (an 02:40),11
00:53,RE 3165,Schorndorf (an 16:39),
00:55,RE 73796,Berlin-Wannsee (an 01:14),
00:56,RB 56816,Berlin Südkreuz (an 01:02),
00:56,RE 56816,Berlin Südkreuz (an 01:02),1
01:04,RB 91558,Berlin Ostbahnhof (an 01:14),
01:04,RE 3742,Berlin Ostkreuz (an 01:20),11
01:04,RE 94542,Berlin Ostbahnhof (an 01:14),
01:05,RB 21968,Berlin-Charlottenburg (an 01:13),14
01:22 (+10),RE 73791,Erkner (an 01:53),12
01:22,RE 94791,Berlin Ostbahnhof (an 01:33),12
01:32 (+9),ICE 1707,Berlin Ostbahnhof (an 01:40),12
01:43,RB 21969,Naumburg(Saale)Hbf (an 14:13),12
01:50,RE 73752,Berlin Zoologischer Garten (an 01:56),14
01:59 (+1),ICE 274,Berlin Ostbahnhof (an 02:07),12
02:40,ICE 647,Berlin Ostbahnhof (an 02:48),12
02:58,RB 21803,Flughafen BER (an 03:33),12
03:03,RB 10,Frankfurt(Main)Hbf (an 19:34),
03:03,RE 62090,Berlin-Spandau (an 03:14),
04:03 (+9),ICE 646,Köln Hbf (an 09:33),14
04:11,RE 73751,Frankfurt(Oder) (an 05:29),11
04:15,RE 3705,Lübbenau(Spreewald) (an 04:57),14
04:18,RE 3340,Eberswalde Hbf (an 04:57),
04:25,RE 62001,Berlin-Spandau (an 04:35),
04:25,RE 8,Nienburg(Weser) (an 23:03),
04:28 (+1),ICE 277,Chur (an 14:22),13
04:30,RE 73801,Frankfurt(Oder) (an 05:36),11
04:35,RE 2,Mainz Hbf (an 21:13),
04:35,RE 3101,Berlin-Spandau (an 04:53),13
04:39 (+1),ICE 1706,Hamburg Hbf (an 07:11),8
