Ankunft,Zugnr.,von (Abfahrt),Gleis
00:15,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),3
05:04,RB 56801,Berlin Südkreuz (ab 05:00),3
05:34,RE 3341,Schwedt(Oder) (ab 04:04),1
05:47,RE 3167,Jüterbog (ab 05:02),3
06:00,RB 18500,Berlin Hbf (ab 05:58),1
06:11,RE 62005,Elsterwerda (ab 04:29),4
06:15,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:42,RE 3301,Pasewalk (ab 04:44),2
06:47,RE 62002,Elstal (ab 06:07),1
06:49,RB 18503,Cottbus Hbf (ab 05:23),4
07:03,RB 18502,Berlin Hbf (ab 07:00),1
07:09,RE 62007,Elsterwerda (ab 05:29),4
07:14,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),3
07:34,RE 3343,Schwedt(Oder) (ab 06:04),1
07:48,RE 3169,Jüterbog (ab 07:02),3
07:49,RB 18505,Cottbus Hbf (ab 06:12),4
08:03,RB 18504,Berlin Hbf (ab 08:00),1
08:15,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),3
08:18 (+8),RE 3505,St. Gallen(CH) (ab 22:25),2
08:39,RE 4354,Berlin Südkreuz (ab 08:34),3
08:42,RE 3303,Stralsund Hbf (ab 05:10),2
08:47,RE 62006,Elstal (ab 08:07),1
08:48,RB 18507,Lübbenau(Spreewald) (ab 07:44),4
09:03,RB 18506,Berlin Hbf (ab 09:00),1
09:09,RE 62011,Elsterwerda (ab 07:29),4
09:14 (+2),RE 3306,Luckenwalde (ab 08:35),3
09:34,RE 3345,Schwedt(Oder) (ab 08:04),1
09:39,RE 3508,Berlin Südkreuz (ab 09:34),3
09:45,RE 62008,Elstal (ab 09:07),1
09:47,RE 3171,Jüterbog (ab 09:02),3
09:49,RB 18509,Lübbenau(Spreewald) (ab 08:45),4
10:03,RB 18508,Berlin Hbf (ab 10:00),1
10:04,RB 21850,Flughafen BER (ab 09:46),4
10:09,RE 3168,Stendal Hbf (ab 08:47),2
10:11,RE 62013,Elsterwerda (ab 08:40),4
10:15 (+3),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),3
10:16,RB 62059,Wustermark (ab 09:39),1
10:16 (+2),RE 3507,Stralsund Hbf (ab 07:02),2
10:39,RE 4356,Berlin Südkreuz (ab 10:34),3
10:42,RE 3305,Stralsund Hbf (ab 07:10),2
10:47,RE 62010,Elstal (ab 10:05),1
10:49,RB 18511,Lübbenau(Spreewald) (ab 09:44),4
11:09,RE 62015,Elsterwerda (ab 09:29),4
11:14,RE 3308,Luckenwalde (ab 10:35),3
11:16,RE 4357,Rostock Hbf (ab 08:37),2
11:34,RE 3347,Schwedt(Oder) (ab 10:04),1
11:39,RE 3510,Berlin Südkreuz (ab 11:34),3
11:45,RE 62012,Elstal (ab 11:07),1
11:49,RB 18513,Lübbenau(Spreewald) (ab 10:44),4
12:09,RE 3170,Stendal Hbf (ab 10:32),2
12:15 (+1),RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),3
12:16 (+3),RE 3509,Stralsund Hbf (ab 09:02),2
12:42,RE 3307,Stralsund Hbf (ab 09:10),2
12:47,RE 62014,Elstal (ab 12:05),1
13:03,RB 18514,Berlin Hbf (ab 13:00),1
13:09,RE 62019,Elsterwerda (ab 11:29),4
13:16,RE 4359,Rostock Hbf (ab 10:37),2
13:34,RE 3349,Schwedt(Oder) (ab 12:04),1
13:47,RE 3175,Jüterbog (ab 13:02),3
14:03,RB 18516,Berlin Hbf (ab 14:00),1
14:15 (+1),RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),3
14:25,RB 21889,Berlin Hbf (ab 14:22),1
14:35,RB 21886,Flughafen BER (ab 14:16),4
14:39,RE 4360,Berlin Südkreuz (ab 14:34),3
14:42 (+1),RE 3309,Stralsund Hbf (ab 11:10),2
14:46,RE 3155,Falkenberg(Elster) (ab 13:18),3
14:47,RB 62018,Elstal (ab 14:05),1
14:48,RB 18519,Lübbenau(Spreewald) (ab 13:44),4
15:03,RB 18518,Berlin Hbf (ab 15:00),1
15:04,RB 21890,Flughafen BER (ab 14:46),4
15:09,RE 62023,Elsterwerda (ab 13:29),4
15:11 (+2),RE 3154,Rathenow (ab 14:02),2
15:14 (+1),RE 3312,Luckenwalde (ab 14:35),3
15:16,RB 62069,Wustermark (ab 14:39),1
15:16 (+9),RE 4361,Rostock Hbf (ab 12:37),2
15:34 (+13),RE 3351,Schwedt(Oder) (ab 14:04),1
15:39 (+1),RE 3514,Berlin Südkreuz (ab 15:34),3
15:41,RB 62070,Rangsdorf (ab 15:21),4
15:47,RE 3177,Jüterbog (ab 15:02),3
15:49,RB 18521,Lübbenau(Spreewald) (ab 14:45),4
16:03,RB 18520,Berlin Hbf (ab 16:00),1
16:09,RE 3174,Stendal Hbf (ab 14:32),2
16:11,RE 62025,Elsterwerda (ab 14:41),4
16:15 (+1),RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),3
16:17,RB 62071,Wustermark (ab 15:39),1
16:18 Ausfall,RE 3513,Stralsund Hbf (ab 13:02),2
16:24,RB 21905,Berlin Hbf (ab 16:21),1
16:35,RB 21902,Flughafen BER (ab 16:16),4
16:39 Ausfall,RE 4362,Berlin Südkreuz (ab 16:34),3
16:40,RE 21907,Berlin Hbf (ab 16:37),1
16:41,RB 62072,Rangsdorf (ab 16:21),4
16:42 (+1),RE 3311,Stralsund Hbf (ab 13:10),2
16:46,RE 3157,Falkenberg(Elster) (ab 15:18),3
16:47,RE 62022,Elstal (ab 16:05),1
16:50,RB 18523,Lübbenau(Spreewald) (ab 15:45),4
16:55,RE 21909,Berlin Hbf (ab 16:52),1
17:03,RB 18522,Berlin Hbf (ab 17:00),1
17:09,RE 62027,Elsterwerda (ab 15:29),4
17:11 (+4),RE 3156,Rathenow (ab 16:02),2
17:14 (+3),RE 3314,Lutherstadt Wittenberg Hbf (ab 15:51),3
17:16,RB 62073,Wustermark (ab 16:39),1
17:16 (+16),RE 4363,Rostock Hbf (ab 14:37),2
17:34 (+6),RE 3353,Schwedt(Oder) (ab 16:04),1
17:42,RB 62074,Rangsdorf (ab 17:20),4
17:45,RE 62024,Elstal (ab 17:07),1
17:49,RB 18525,Lübbenau(Spreewald) (ab 16:44),4
17:49 (+5),RE 3179,Jüterbog (ab 17:02),3
18:03,RB 18524,Berlin Hbf (ab 18:00),1
18:09 (+6),RE 3176,Stendal Hbf (ab 16:30),2
18:15 (+1),RE 3354,Lutherstadt Wittenberg Hbf (ab 16:52),3
18:16 (+4),RB 62075,Wustermark (ab 17:39),
18:16 Ausfall,RE 3515,Stralsund Hbf (ab 15:02),2
18:19,RB 21916,Flughafen BER (ab 18:01),
18:25,RE 21921,Berlin Hbf (ab 18:22),1
18:35,RE 21918,Flughafen BER (ab 18:16),4
18:39 (+5),RE 4364,Berlin Südkreuz (ab 18:34),3
18:40,RE 21923,Berlin Hbf (ab 18:37),1
18:41,RB 62076,Rangsdorf (ab 18:21),4
18:42 (+1),RE 3313,Stralsund Hbf (ab 15:10),2
18:46,RE 3159,Falkenberg(Elster) (ab 17:18),3
18:47,RE 62026,Elstal (ab 18:05),1
18:49,RB 18527,Lübbenau(Spreewald) (ab 17:44),4
18:55,RE 21925,Berlin Hbf (ab 18:52),1
19:03,RB 18526,Berlin Hbf (ab 19:00),1
19:04,RE 21922,Flughafen BER (ab 18:46),4
19:09,RE 62031,Elsterwerda (ab 17:29),4
19:11,RE 3158,Rathenow (ab 18:02),2
19:14,RE 3316,Lutherstadt Wittenberg Hbf (ab 17:51),3
19:16,RE 4365,Rostock Hbf (ab 16:37),2
19:19,RE 21924,Flughafen BER (ab 19:01),4
19:34,RE 3355,Schwedt(Oder) (ab 18:04),1
19:39 (+1),RE 3518,Berlin Südkreuz (ab 19:34),3
19:49,RB 18529,Lübbenau(Spreewald) (ab 18:44),4
20:03 (+3),RB 18528,Berlin Hbf (ab 20:00),1
20:09,RE 3178,Stendal Hbf (ab 18:32),2
20:11,RE 62033,Elsterwerda (ab 18:41),4
20:15 (+1),RE 3356,Lutherstadt Wittenberg Hbf (ab 18:52),3
20:35,RB 21934,Flughafen BER (ab 20:16),4
20:39,RE 4366,Berlin Südkreuz (ab 20:34),3
20:40,RB 21939,Berlin Hbf (ab 20:37),1
20:42 (+2),RE 3315,Stralsund Hbf (ab 17:10),2
20:46 (+5),RE 3161,Falkenberg(Elster) (ab 19:18),3
20:47 (+1),RE 62030,Elstal (ab 20:06),1
20:49,RB 18531,Lübbenau(Spreewald) (ab 19:44),4
20:55,RB 18530,Berlin Hbf (ab 20:52),1
21:02,RB 21941,Berlin Hbf (ab 21:00),1
21:04,RB 21938,Flughafen BER (ab 20:46),4
21:09 (+1),RE 62035,Elsterwerda (ab 19:29),4
21:11 (+1),RE 3160,Rathenow (ab 20:04),2
21:14 (+6),RE 3318,Luckenwalde (ab 20:35),3
21:16,RB 62081,Wustermark (ab 20:39),
21:16 (+2),RE 4367,Rostock Hbf (ab 18:37),2
21:19,RB 21940,Flughafen BER (ab 21:01),4
21:25,RB 21945,Berlin Hbf (ab 21:22),1
21:34 (+3),RE 3357,Schwedt(Oder) (ab 20:04),1
21:35,RB 21942,Flughafen BER (ab 21:16),
21:39,RE 3520,Berlin Südkreuz (ab 21:34),3
21:40 (+1),RB 21947,Berlin Hbf (ab 21:37),1
21:45 (+1),RE 62032,Elstal (ab 21:07),1
21:50 (+1),RB 21944,Flughafen BER (ab 21:32),4
21:55,RB 21949,Berlin Hbf (ab 21:52),1
22:04,RB 21946,Flughafen BER (ab 21:46),4
22:10,RB 21951,Berlin Hbf (ab 22:07),1
22:11,RE 62037,Baruth(Mark) (ab 21:20),4
22:15,RE 3358,Lutherstadt Wittenberg Hbf (ab 20:52),3
22:16 (+31),RE 3519,Stralsund Hbf (ab 19:02),2
22:19,RB 21948,Flughafen BER (ab 22:01),4
22:39,RE 4368,Berlin Südkreuz (ab 22:35),3
22:42,RE 3317,Stralsund Hbf (ab 19:10),2
22:49 (+16),RB 56814,Schwerin Hbf (ab 20:14),2
23:09,RE 62039,Elsterwerda (ab 21:30),4
23:37,RE 3359,Eberswalde Hbf (ab 22:53),2
