Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:00 (+28),00:28,ICE 1919,Hamburg-Harburg (ab 20:23),
00:00 (+28),00:28,ICE 809,Hamburg Hbf (ab 21:51),4
00:05,00:05,RB 62086,Baruth(Mark) (ab 23:19),8
00:10,00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),7
00:22 (+2),00:24,ICE 592,München Hbf (ab 16:45),6
00:25 Ausfall,--:--,ICE 947,Düsseldorf Hbf (ab 18:50),5
00:25 (+104),02:09,ICE 957,Leipzig Hbf (ab 17:42),5
00:43,00:43,RB 21968,Flughafen BER (ab 00:31),8
00:47,00:47,RE 3363,Berlin Hbf (ab 00:40),4
00:59,00:59,RB 21967,Berlin Hbf (ab 00:52),3
01:05,01:05,RJ 2579,Hamburg-Harburg (ab 22:41),
01:05 (+90),02:35,RJ 479,Hamburg-Harburg (ab 22:41),3
04:55 (+13),05:08,RJ 478,Praha hl.n. (ab 00:33),7
05:08 (+2),05:10,RE 3302,Falkenberg(Elster) (ab 03:40),6
05:32,05:32,ICE 2889,Berlin Gesundbrunnen (ab 05:16),5
05:32,05:32,ICE 593,Berlin Gesundbrunnen (ab 05:16),5
05:39,05:39,RE 3341,Schwedt(Oder) (ab 04:04),
05:40,05:40,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,05:43,RB 18501,Cottbus Hbf (ab 04:24),8
05:43,05:43,RE 18501,Cottbus Hbf (ab 04:24),
05:49,05:49,RE 62000,Wittenberge (ab 04:02),3
06:05,06:05,RE 62005,Baruth(Mark) (ab 05:20),8
06:09,06:09,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,06:13,RE 4,Konstanz (ab 00:13),
06:14,06:14,RB 18500,Berlin Hbf (ab 06:07),3
06:23,06:23,RE 3503,Neubrandenburg (ab 04:27),
06:29,06:29,RB 21822,Flughafen BER (ab 06:16),8
06:33,06:33,ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:40,06:40,ICE 2823,Berlin Gesundbrunnen (ab 06:26),
06:41,06:41,RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43,06:43,RB 18503,Cottbus Hbf (ab 05:23),8
06:43,06:43,RE 18503,Cottbus Hbf (ab 05:23),
06:47,06:47,RE 3301,Angermünde (ab 05:32),4
06:51,06:51,RE 62002,Wittenberge (ab 05:05),
06:58,06:58,RE 21826,Flughafen BER (ab 06:46),8
07:04,07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08,07:08,RE 3304,Luckenwalde (ab 06:35),6
07:13 (+21),07:34,IC 60409,Mannheim Hbf (ab 00:13),7
07:13 (+21),07:34,NJ 409,Mannheim Hbf (ab 00:13),
07:14,07:14,RB 18502,Berlin Hbf (ab 07:07),3
07:15,07:15,RE 3146,Rathenow (ab 06:09),4
07:15,07:15,RE 62154,Rathenow (ab 06:09),
07:20,07:20,FLX 1320,Dresden Hbf (ab 05:41),7
07:22,07:22,ICE 606,Leipzig Hbf (ab 06:12),6
07:23 (+13),07:36,RE 4353,Neustrelitz Hbf (ab 06:00),4
07:29,07:29,RE 21833,Berlin Hbf (ab 07:22),
07:32 (+23),07:55,ICE 2585,Hamburg Hbf (ab 05:30),5
07:33 (+85),08:58,EN 40476,Budapest-Nyugati (ab 19:30),7
07:33 (+85),08:58,NJ 456,Graz Hbf (ab 19:21),7
07:35,07:35,ICE 904,München Hbf (ab 23:12),6
07:35,07:35,RJ 387,Berlin Hbf (ab 07:28),
07:39,07:39,RE 3343,Schwedt(Oder) (ab 06:04),4
07:42,07:42,RE 3169,Jüterbog (ab 07:02),
07:43,07:43,RB 18505,Cottbus Hbf (ab 06:12),8
07:49 (+1),07:50,RE 62004,Schwerin Hbf (ab 04:56),3
07:58,07:58,ICE 698,München Hbf (ab 22:46),6
