Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:19,00:19,RB 21964,Ludwigsfelde (ab 23:32),
00:35,00:35,RB 21966,Flughafen BER (ab 00:16),4
00:49,00:49,RB 21968,Flughafen BER (ab 00:31),4
01:40,01:40,RB 21800,Flughafen BER (ab 01:22),4
01:57,01:57,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),3
02:40,02:40,RB 21802,Flughafen BER (ab 02:22),4
04:47,04:47,RE 62040,Nauen (ab 04:03),1
05:14,05:14,RE 3302,Falkenberg(Elster) (ab 03:40),3
05:34,05:34,RE 3341,Schwedt(Oder) (ab 04:04),1
05:45,05:45,RE 62000,Wittenberge (ab 04:02),1
06:11,06:11,RE 62005,Baruth(Mark) (ab 05:20),4
06:15,06:15,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:39,06:39,RE 4352,Berlin Südkreuz (ab 06:34),3
06:42,06:42,RE 3301,Angermünde (ab 05:32),2
06:47,06:47,RE 62002,Wittenberge (ab 05:05),1
07:09,07:09,RE 62007,Elsterwerda (ab 05:29),4
07:14,07:14,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),3
07:34,07:34,RE 3343,Schwedt(Oder) (ab 06:04),1
07:39 (+4),07:43,RE 3506,Berlin Südkreuz (ab 07:34),3
07:45,07:45,RE 62004,Schwerin Hbf (ab 04:56),1
08:12 (+4),08:16,RE 62009,Baruth(Mark) (ab 07:20),4
08:15,08:15,RE 3344,Halle(Saale)Hbf (ab 05:46),3
08:39 (+1),08:40,RE 4354,Berlin Südkreuz (ab 08:34),3
08:47,08:47,RE 62006,Wittenberge (ab 07:05),1
09:09,09:09,RE 62011,Elsterwerda (ab 07:29),4
09:14,09:14,RE 3306,Lutherstadt Wittenberg Hbf (ab 07:51),3
09:34,09:34,RE 3345,Schwedt(Oder) (ab 08:04),1
09:39,09:39,RE 3508,Berlin Südkreuz (ab 09:34),3
09:45,09:45,RE 62008,Wismar (ab 06:21),1
09:47,09:47,RE 3171,Rudersberg-Oberndorf (ab 17:49),3
10:11,10:11,RE 62013,Baruth(Mark) (ab 09:20),4
10:15,10:15,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),3
10:16 (+1),10:17,RE 3507,Stralsund Hbf (ab 07:02),2
10:42,10:42,RE 18753,Pasewalk (ab 08:44),2
10:42 Ausfall,--:--,RE 3305,Stralsund Hbf (ab 07:10),2
10:47,10:47,RE 62010,Wittenberge (ab 09:05),1
11:09,11:09,RE 62015,Elsterwerda (ab 09:29),4
11:11,11:11,RE 3150,Rathenow (ab 10:02),2
11:14,11:14,RE 3308,Lutherstadt Wittenberg Hbf (ab 09:51),3
11:34 (+1),11:35,RE 3347,Schwedt(Oder) (ab 10:04),1
11:39,11:39,RE 3510,Berlin Südkreuz (ab 11:34),3
11:44 (+30),12:14,RE 62012,Wismar (ab 08:21),1
11:49,11:49,RB 18513,Flughafen BER (ab 11:31),4
11:49,11:49,RE 3173,Jüterbog (ab 11:02),3
11:55,11:55,RB 21869,Berlin Hbf (ab 11:52),1
12:04,12:04,RB 21866,Flughafen BER (ab 11:46),4
12:09 (+2),12:11,RE 3170,Stendal Hbf (ab 10:47),2
12:11,12:11,RE 62017,Baruth(Mark) (ab 11:21),4
12:15 (+2),12:17,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:52),3
12:16 (+4),12:20,RE 3509,Stralsund Hbf (ab 09:02),2
12:19,12:19,RB 21868,Flughafen BER (ab 12:01),
12:35,12:35,RB 21870,Flughafen BER (ab 12:16),
12:39,12:39,RE 4358,Berlin Südkreuz (ab 12:34),3
12:42 (+7),12:49,RE 3307,Stralsund Hbf (ab 09:10),2
12:46,12:46,RE 3153,Falkenberg(Elster) (ab 11:18),3
12:47,12:47,RE 62014,Wittenberge (ab 11:05),1
12:49,12:49,RB 18515,Flughafen BER (ab 12:31),
13:09 (+7),13:16,RE 62019,Elsterwerda (ab 11:29),4
13:14 (+4),13:18,RE 3310,Lutherstadt Wittenberg Hbf (ab 11:51),3
13:45,13:45,RE 62016,Wismar (ab 10:21),1
14:13,14:13,RE 62021,Baruth(Mark) (ab 13:20),4
14:15,14:15,RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),3
14:39 (+1),14:40,RE 4360,Berlin Südkreuz (ab 14:34),3
14:42 (+3),14:45,RE 3309,Stralsund Hbf (ab 11:10),2
14:47,14:47,RB 62018,Wittenberge (ab 13:05),1
15:09,15:09,RE 62023,Elsterwerda (ab 13:29),4
15:14,15:14,RE 3312,Lutherstadt Wittenberg Hbf (ab 13:51),3
15:34 (+12),15:46,RE 3351,Schwedt(Oder) (ab 14:04),1
15:39,15:39,RE 3514,Berlin Südkreuz (ab 15:34),3
15:45 (+4),15:49,RE 62020,Wismar (ab 12:21),1
15:47,15:47,RE 3177,Jüterbog (ab 15:02),3
15:49,15:49,RB 18521,Flughafen BER (ab 15:31),4
16:04,16:04,RB 21898,Flughafen BER (ab 15:46),4
16:09,16:09,RE 3174,Stendal Hbf (ab 14:47),2
16:14,16:14,RE 62025,Baruth(Mark) (ab 15:21),4
16:15 (+4),16:19,RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),3
16:18,16:18,RE 3513,Stralsund Hbf (ab 13:02),2
16:19,16:19,RB 21900,Flughafen BER (ab 16:01),4
16:39,16:39,RE 4362,Berlin Südkreuz (ab 16:34),3
16:42,16:42,RE 3311,Stralsund Hbf (ab 13:10),2
16:47,16:47,RE 62022,Wittenberge (ab 15:05),1
17:09,17:09,RE 62027,Elsterwerda (ab 15:29),4
17:14,17:14,RE 3314,Lutherstadt Wittenberg Hbf (ab 15:51),3
17:16 (+6),17:22,RE 4363,Rostock Hbf (ab 14:34),2
17:34,17:34,RE 3353,Schwedt(Oder) (ab 16:04),1
17:45 Ausfall,--:--,RE 62024,Wismar (ab 14:21),1
18:13 (+1),18:14,RE 62029,Baruth(Mark) (ab 17:21),4
18:15,18:15,RE 3354,Lutherstadt Wittenberg Hbf (ab 16:52),3
18:42,18:42,RE 3313,Stralsund Hbf (ab 15:14),2
18:47,18:47,RE 62026,Wittenberge (ab 17:05),1
19:09,19:09,RE 62031,Elsterwerda (ab 17:29),4
19:14 (+1),19:15,RE 3316,Lutherstadt Wittenberg Hbf (ab 17:51),3
19:16,19:16,RE 4365,Rostock Hbf (ab 16:34),2
19:34,19:34,RE 3355,Schwedt(Oder) (ab 18:04),1
19:39,19:39,RE 3518,Berlin Südkreuz (ab 19:34),3
19:45,19:45,RE 62028,Wismar (ab 16:21),1
20:13 (+10),20:23,RE 62033,Baruth(Mark) (ab 19:21),4
20:15,20:15,RE 3356,Lutherstadt Wittenberg Hbf (ab 18:52),3
20:16,20:16,RE 3517,Stralsund Hbf (ab 17:02),1
20:42,20:42,RE 3315,Stralsund Hbf (ab 17:10),2
20:47,20:47,RE 62030,Wittenberge (ab 19:05),1
21:09 (+8),21:17,RE 62035,Elsterwerda (ab 19:29),4
21:14 (+53),22:07,RE 3318,Lutherstadt Wittenberg Hbf (ab 19:51),3
21:34,21:34,RE 3357,Schwedt(Oder) (ab 20:04),1
21:45,21:45,RE 62032,Wismar (ab 18:21),1
21:47,21:47,RE 3183,Jüterbog (ab 21:02),3
22:11,22:11,RE 62037,Baruth(Mark) (ab 21:20),4
23:00,23:00,RE 3185,Luckenwalde (ab 22:12),3
23:09 (+1),23:10,RE 62039,Elsterwerda (ab 21:30),4
23:19 (+1),23:20,RB 21956,Flughafen BER (ab 23:01),4
23:25,23:25,RB 21961,Eisenach Hbf (ab 08:13),1
23:37 (+2),23:39,RE 3359,Angermünde (ab 22:32),2
23:45 (+17),00:02,RE 62036,Wismar (ab 20:21),1
23:49,23:49,RB 21960,Blankenfelde(Teltow-Fläming) (ab 23:09),4
23:55,23:55,RB 21965,Berlin Hbf (ab 23:52),1
