Ankunft,Zugnr.,von (Abfahrt),Gleis
00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),7
00:13,FEX,Kullenmühle Bad Herrenalb (ab 10:04),
00:13,RB 21964,Ludwigsfelde (ab 23:32),
00:22 (+22),ICE 2834,München Hbf (ab 16:45),6
00:22 (+22),ICE 592,München Hbf (ab 16:45),6
00:28 (+2),ICE 700,München Hbf (ab 19:09),6
00:47,ICE 1500,München Hbf (ab 20:21),7
00:47,RE 3,Wüstenfelde (ab 00:19),
00:47,RE 3363,Berlin Hbf (ab 00:40),4
00:59,RB 21967,Berlin Hbf (ab 00:52),
01:02,RB 56816,Schwerin Hbf (ab 22:14),
01:02 (+8),RE 56816,Oranienburg (ab 00:15),5
03:59,FEX,Berlin Ostkreuz (ab 00:00),
04:53,RE 3369,Eberswalde Hbf (ab 04:03),
04:53 (+2),RE 62040,Wustermark (ab 04:16),
05:04,RE 62003,Baruth(Mark) (ab 04:19),8
05:08,RE 3,Groß Kiesow (ab 10:09),
05:08,RE 3302,Jüterbog (ab 04:22),6
05:15,RE 3144,Rathenow (ab 04:09),4
05:23,RE 4351,Neustrelitz Hbf (ab 03:49),4
05:23,RE 5,Berlin Potsdamer Platz (ab 22:41),
05:24,RB 62050,Wünsdorf-Waldstadt (ab 04:50),
05:32,ICE 593,Berlin Gesundbrunnen (ab 05:16),5
05:39,RE 3341,Schwedt(Oder) (ab 04:04),4
05:40,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,RB 18501,Cottbus Hbf (ab 04:24),8
05:43,RE 18501,Cottbus Hbf (ab 04:24),
05:49,RE 62000,Elstal (ab 05:07),3
05:56 (+1),ICE 701,Berlin Hbf (ab 05:52),5
06:00 (+52),ICE 1541,Köln Hbf (ab 23:27),4
06:05,RE 62005,Elsterwerda (ab 04:29),8
06:06,RB 18500,Berlin Hbf (ab 05:58),3
06:09 (+1),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:13,RE 3164,Stendal Hbf (ab 04:48),5
06:21,RB 62051,Wustermark (ab 05:39),
06:23,RE 3503,Neubrandenburg (ab 04:27),4
06:24,ICE 2910,München Hbf (ab 23:12),6
06:24,ICE 904,München Hbf (ab 23:12),6
06:33,ICE 503,Berlin Gesundbrunnen (ab 06:16),5
06:36,RB 62052,Rangsdorf (ab 06:21),
06:40 (+3),ICE 1003,Berlin Hbf (ab 06:36),5
06:41 (+1),RE 3147,Falkenberg(Elster) (ab 05:14),6
06:43,RB 18503,Cottbus Hbf (ab 05:23),8
06:43,RE 18503,Cottbus Hbf (ab 05:23),
06:47,RE 3301,Pasewalk (ab 04:44),4
06:51,RE 62002,Elstal (ab 06:07),3
07:04,RE 62007,Elsterwerda (ab 05:29),8
07:08,RB 18502,Berlin Hbf (ab 07:00),3
07:08,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:15 (+1),RE 3146,Stendal Hbf (ab 05:48),4
07:21,RB 62053,Wustermark (ab 06:39),
07:22,ICE 606,Erfurt Hbf (ab 05:25),6
07:23,RE 4353,Rostock Hbf (ab 04:34),4
07:24 (+3),IC 2274,Dresden Hbf (ab 05:35),7
07:32,ICE 595,Berlin Hbf (ab 07:27),5
07:34 (+41),EN 40476,Budapest-Nyugati (ab 19:30),8
07:34 (+41),NJ 456,Graz Hbf (ab 19:41),8
07:35,RJ 171,Berlin Hbf (ab 07:28),
07:37,RB 62054,Rangsdorf (ab 07:23),
07:39,RE 3343,Schwedt(Oder) (ab 06:04),4
07:40 (+2),ICE 1503,Berlin Gesundbrunnen (ab 07:26),5
07:42,RE 3169,Jüterbog (ab 07:02),6
07:43,RB 18505,Cottbus Hbf (ab 06:12),8
07:43,RE 18505,Cottbus Hbf (ab 06:12),
07:47,DRF 1320,Dresden Hbf (ab 05:59),7
07:47 (+20),FLX 1320,Dresden Hbf (ab 05:59),6
07:49,RE 62004,Elstal (ab 07:07),3
07:58,ICE 698,München Hbf (ab 22:46),6
07:58,ICE 703,Berlin Gesundbrunnen (ab 07:41),5
08:05,RE 62009,Elsterwerda (ab 06:40),8
08:08,RB 18504,Berlin Hbf (ab 08:00),3
08:09 (+1),RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),6
08:13 (+1),RE 3166,Stendal Hbf (ab 06:47),5
08:20,RJ 874,Dresden Hbf (ab 06:42),8
08:21,RB 62055,Wustermark (ab 07:39),5
08:23,ICE 806,Erfurt Hbf (ab 06:30),6
08:24,RE 3505,Stralsund Hbf (ab 05:02),4
08:29,RE 21838,Flughafen BER (ab 08:16),8
08:33 (+2),ICE 2919,Hamburg-Altona (ab 05:34),5
08:33 (+1),ICE 505,Hamburg-Altona (ab 05:34),5
08:34,IC 2173,Rostock Hbf (ab 06:20),3
08:36 (+2),RB 62056,Rangsdorf (ab 08:21),8
08:40 (+1),ICE 1005,Berlin Gesundbrunnen (ab 08:26),5
08:41 (+2),RE 3149,Falkenberg(Elster) (ab 07:18),6
08:43 (+3),RB 18507,Lübbenau(Spreewald) (ab 07:44),8
08:43 (+2),RE 18507,Lübbenau(Spreewald) (ab 07:44),8
08:46 (+2),ICE 936,Eisenach Hbf (ab 06:37),6
08:47 (+2),RE 3303,Stralsund Hbf (ab 05:10),4
08:51,RE 62006,Elstal (ab 08:07),3
09:04,RE 62011,Elsterwerda (ab 07:29),8
09:08,RB 18506,Berlin Hbf (ab 09:00),3
09:08,RE 3306,Luckenwalde (ab 08:35),6
09:13,RE 21844,Flughafen BER (ab 09:01),8
09:15 (+1),ICE 1104,München Hbf (ab 05:17),7
09:15 (+2),RE 3148,Rathenow (ab 08:05),4
09:21,RB 62057,Wustermark (ab 08:39),5
09:22,ICE 604,Nürnberg Hbf (ab 05:37),6
09:23,RE 4355,Rostock Hbf (ab 06:37),4
09:24 (+4),IC 2272,Dresden Hbf (ab 07:35),7
09:33 (+1),ICE 2921,Berlin Hbf (ab 09:27),5
09:33 (+1),ICE 597,Berlin Hbf (ab 09:27),5
09:39 (+1),RE 3345,Schwedt(Oder) (ab 08:04),4
09:40 (+2),ICE 1505,Berlin Gesundbrunnen (ab 09:26),5
09:42,RE 3171,Jüterbog (ab 09:02),6
09:43,RB 18509,Lübbenau(Spreewald) (ab 08:45),8
09:43,RE 18509,Lübbenau(Spreewald) (ab 08:45),8
09:49,RE 62008,Elstal (ab 09:07),3
09:53,DRF 1234,Leipzig Hbf (ab 08:45),6
09:53,FLX 1234,Leipzig Hbf (ab 08:45),6
09:58,ICE 804,München Hbf (ab 05:05),6
09:58,ICE 91,Berlin Hbf (ab 09:54),5
09:58,RB 21850,Flughafen BER (ab 09:46),8
10:02 (+1),FLX 1337,Berlin Hbf (ab 09:57),4
10:05,RE 62013,Elsterwerda (ab 08:40),8
10:08,RB 18508,Berlin Hbf (ab 10:00),3
10:09 (+1),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),6
10:13,RE 3168,Stendal Hbf (ab 08:47),5
10:14,RB 21852,Flughafen BER (ab 10:01),8
10:15,ICE 1604,München Hbf (ab 06:19),7
10:20 (+22),RJ 384,Praha hl.n. (ab 06:31),8
10:22 (+11),ICE 2808,Frankfurt(Main)Hbf (ab 06:15),7
10:22,ICE 2810,Dresden Hbf (ab 16:11),7
10:22 (+11),ICE 696,Frankfurt(Main)Hbf (ab 06:15),7
10:22,RB 62059,Wustermark (ab 09:39),6
10:24,RE 3507,Stralsund Hbf (ab 07:02),5
10:29,RB 21854,Flughafen BER (ab 10:16),8
10:29,RB 21857,Berlin Hbf (ab 10:22),
10:33 (+2),ICE 507,Hamburg-Altona (ab 07:34),4
10:34,IC 2175,Rostock Hbf (ab 08:20),3
10:40 (+1),ICE 1007,Berlin Gesundbrunnen (ab 10:28),5
10:41 (+8),RE 3151,Falkenberg(Elster) (ab 09:18),6
10:43 (+1),RB 18511,Lübbenau(Spreewald) (ab 09:44),8
10:43 (+1),RE 18511,Lübbenau(Spreewald) (ab 09:44),8
10:44,RB 21859,Berlin Hbf (ab 10:37),
10:46 (+11),ICE 934,Darmstadt Hbf (ab 06:37),6
10:47,RE 3305,Stralsund Hbf (ab 07:10),4
10:51,RE 62010,Elstal (ab 10:05),3
10:58,RB 21858,Flughafen BER (ab 10:46),8
10:59,RB 21861,Berlin Hbf (ab 10:52),3
11:04,RE 62015,Elsterwerda (ab 09:29),8
11:08,RB 18510,Berlin Hbf (ab 11:00),3
11:08 (+7),RE 3308,Luckenwalde (ab 10:35),6
11:10 Ausfall,ICE 839,Stralsund Hbf (ab 08:07),5
11:13,RB 21860,Flughafen BER (ab 11:01),8
11:15 (+8),ICE 1102,München Hbf (ab 07:17),7
11:15 (+1),RE 3150,Rathenow (ab 10:02),4
11:21,RB 62061,Wustermark (ab 10:39),5
11:22,ICE 602,München Hbf (ab 06:49),6
11:23 (+5),RE 4357,Rostock Hbf (ab 08:37),4
11:24 (+9),IC 2270,Dresden Hbf (ab 09:35),7
11:29,RB 21862,Flughafen BER (ab 11:16),8
11:29,RB 21865,Berlin Hbf (ab 11:22),
11:32 (+11),ICE 599,Berlin Gesundbrunnen (ab 11:17),5
11:39 (+7),RE 3347,Schwedt(Oder) (ab 10:04),4
11:40 (+13),ICE 1507,Berlin Gesundbrunnen (ab 11:26),5
11:43 (+1),RB 18513,Lübbenau(Spreewald) (ab 10:44),8
11:43,RE 18513,Lübbenau(Spreewald) (ab 10:44),8
11:43 (+2),RE 3173,Jüterbog (ab 11:02),6
11:44 (+4),RB 21867,Berlin Hbf (ab 11:37),
11:49 (+6),ICE 1162,Stuttgart Hbf (ab 07:04),7
11:49 (+4),RE 62012,Elstal (ab 11:07),3
11:54,DRF 1324,Leipzig Hbf (ab 10:35),7
11:54,FLX 1324,Leipzig Hbf (ab 10:35),6
11:56 (+5),ICE 707,Berlin Hbf (ab 11:51),4
11:58 (+8),ICE 2802,München Hbf (ab 07:12),6
11:58 (+8),ICE 802,München Hbf (ab 07:12),6
11:59,RB 21869,Berlin Hbf (ab 11:52),
12:02 (+4),FLX 1239,Hamburg Hbf (ab 09:18),5
