Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:00 (+18),00:18,ICE 809,Hamburg-Altona (ab 21:23),4
00:05,00:05,RB 62086,Baruth(Mark) (ab 23:19),8
00:10,00:10,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),7
00:15 (+87),01:42,ICE 1500,München Hbf (ab 20:21),
00:29 (+35),01:04,ICE 947,Köln Hbf (ab 19:27),5
01:05,01:05,RJ 479,Hamburg-Altona (ab 22:35),3
01:26 Ausfall,--:--,ICE 2592,Frankfurt(Main)Hbf (ab 20:11),
04:29,04:29,RB 21809,Berlin Hbf (ab 04:22),
04:44 (+2),04:46,RB 21811,Berlin Hbf (ab 04:37),
04:52,04:52,RE 62040,Nauen (ab 04:03),3
04:55 (+59),05:54,RJ 478,Praha hl.n. (ab 00:33),7
04:58,04:58,RE 21810,Flughafen BER (ab 04:46),8
04:59,04:59,RB 21813,Eberswalde Hbf (ab 04:03),
05:04,05:04,RE 62003,Baruth(Mark) (ab 04:19),8
05:08,05:08,RE 3,Stadtroda (ab 14:25),
05:08,05:08,RE 3302,Jüterbog (ab 04:22),6
05:13,05:13,RE 21812,Flughafen BER (ab 05:01),8
05:15 (+1),05:16,RE 3144,Rathenow (ab 04:09),4
05:29,05:29,RB 21817,Neustrelitz Hbf (ab 03:49),
05:32,05:32,ICE 2293,Berlin Gesundbrunnen (ab 05:17),
05:32,05:32,ICE 2593,Berlin Gesundbrunnen (ab 05:17),
05:39,05:39,RE 3341,Schwedt(Oder) (ab 04:04),4
05:40 (+23),06:03,ICE 1501,Berlin Gesundbrunnen (ab 05:26),5
05:42,05:42,RE 3167,Jüterbog (ab 05:02),7
05:43,05:43,RE 18501,Flughafen BER (ab 05:31),8
05:49,05:49,RE 62000,Wittenberge (ab 04:05),3
05:56 (+12),06:08,ICE 701,Berlin Hbf (ab 05:52),5
06:05,06:05,RE 62005,Elsterwerda (ab 04:29),8
06:09,06:09,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
