Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:01,00:01,RB 61138,Templin Stadt (ab 22:33),8
00:33,00:33,RE 3141,Königs Wusterhausen (ab 00:14),14
04:39,04:39,RB 18300,Wünsdorf-Waldstadt (ab 03:43),14
05:07,05:07,RB 33758,Frankfurt(Oder) (ab 04:15),2
05:59,05:59,RE 75803,Berlin Ostbahnhof (ab 05:56),1
06:04,06:04,RB 33760,Frankfurt(Oder) (ab 05:08),2
06:16,06:16,RB 18202,Ludwigsfelde (ab 05:38),14
06:23,06:23,RE 3105,Cottbus Hbf (ab 04:57),14
06:36,06:36,RE 3104,Nauen (ab 05:39),13
06:56,06:56,RB 75804,Senftenberg (ab 05:11),2
07:02,07:02,RB 33762,Frankfurt(Oder) (ab 06:11),2
07:16,07:16,RB 18204,Ludwigsfelde (ab 06:38),14
07:23,07:23,RE 3107,Cottbus Hbf (ab 06:03),14
07:32,07:32,IC 2274,Dresden Hbf (ab 05:35),
07:36,07:36,RE 3106,Nauen (ab 06:39),13
07:59,07:59,RE 75807,Berlin Ostbahnhof (ab 07:56),1
08:02,08:02,RB 33764,Frankfurt(Oder) (ab 07:11),2
08:16,08:16,RB 18206,Ludwigsfelde (ab 07:38),14
08:23,08:23,RE 3109,Cottbus Hbf (ab 07:04),14
08:26 (+15),08:41,IC 2173,Rostock Hbf (ab 06:20),13
08:38,08:38,RE 3108,Nauen (ab 07:39),13
08:39,08:39,RB 18308,Blankenfelde(Teltow-Fläming) (ab 08:09),14
09:04,09:04,RB 33766,Frankfurt(Oder) (ab 08:11),2
09:16,09:16,RB 18208,Ludwigsfelde (ab 08:38),14
09:23,09:23,RE 3111,Cottbus Hbf (ab 08:04),14
09:32 (+7),09:39,IC 2272,Chemnitz Hbf (ab 06:26),14
09:36,09:36,RE 3110,Nauen (ab 08:39),13
09:48,09:48,RB 33761,Berlin Ostbahnhof (ab 09:45),1
09:56,09:56,RB 75810,Senftenberg (ab 08:14),2
09:59,09:59,RE 75811,Berlin Ostbahnhof (ab 09:56),1
10:03,10:03,RB 33768,Frankfurt(Oder) (ab 09:08),2
10:16,10:16,RB 18210,Ludwigsfelde (ab 09:38),14
10:21,10:21,RB 18313,Eberswalde Hbf (ab 09:35),13
10:23,10:23,RE 3113,Cottbus Hbf (ab 09:03),14
10:26 (+1),10:27,IC 2175,Rostock Hbf (ab 08:20),13
10:36,10:36,RE 3112,Berlin Gesundbrunnen (ab 10:22),13
10:39,10:39,RB 18312,Blankenfelde(Teltow-Fläming) (ab 10:09),14
10:56,10:56,RE 75812,Senftenberg (ab 09:14),2
10:59,10:59,RE 75813,Berlin Ostbahnhof (ab 10:56),1
11:03,11:03,RB 33770,Frankfurt(Oder) (ab 10:08),2
11:23,11:23,RE 3115,Cottbus Hbf (ab 10:03),14
