Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:24,00:24,RE 3319,Berlin Hbf (an 00:30),6
00:29,00:29,RE 3360,Eberswalde Hbf (an 01:04),
00:29,00:29,RE 3366,Eberswalde Hbf (an 01:04),10
01:28,01:28,RE 3361,Berlin Hbf (an 01:33),7
02:15,02:15,RE 3362,Eberswalde Hbf (an 02:48),9
04:15,04:15,RE 3705,Potsdam Hbf (an 04:40),
04:25,04:25,RE 3,Ulm Hbf (an 23:40),
04:25,04:25,RE 3340,Schwedt(Oder) (an 05:50),9
04:54,04:54,RE 4350,Langhagen (an 06:43),
04:54,04:54,RE 5,Salzburg Hbf (an 23:45),
05:14,05:14,RB 18243,Wustermark (an 05:46),8
05:17,05:17,ICE 279,Interlaken Ost (an 15:59),7
05:22,05:22,RE 3102,Lübbenau(Spreewald) (an 06:32),
05:24,05:24,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:26 (+1),05:27,ICE 1501,München Hbf (an 09:41),7
05:32,05:32,RE 3302,Stralsund Hbf (an 08:45),
05:54,05:54,RE 3504,Stralsund Hbf (an 08:51),
06:03,06:03,ES 453,Bad Schandau (an 08:58),
06:11,06:11,RE 3376,Angermünde (an 07:01),
06:16,06:16,ICE 503,München Hbf (an 11:07),7
06:21,06:21,RE 3104,Lübbenau(Spreewald) (an 07:32),
06:24,06:24,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),
06:26 (+2),06:28,ICE 1003,München Hbf (an 10:45),7
06:32,06:32,RE 3342,Schwedt(Oder) (an 07:55),10
06:54 (+1),06:55,RE 4352,Rostock Hbf (an 09:23),10
06:54,06:54,RE 5,Kassel-Wilhelmshöhe (an 16:18),
07:02,07:02,RE 80426,Thale Hbf (an 10:43),
07:22,07:22,RE 3106,Cottbus Hbf (an 08:56),10
07:24,07:24,RE 3343,Ludwigsfelde (an 08:07),
07:26,07:26,ICE 1503,München Hbf (an 11:43),7
07:33,07:33,RE 3304,Stralsund Hbf (an 10:44),9
07:54,07:54,RE 3506,St. Gallen(CH) (an 23:34),10
08:24,08:24,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),6
08:26,08:26,ICE 1005,München Hbf (an 12:46),7
08:26,08:26,RE 3108,Cottbus Hbf (an 09:55),10
08:32,08:32,RE 3344,Schwedt(Oder) (an 09:49),8
08:54,08:54,RE 4354,Rostock Hbf (an 11:23),10
09:03,09:03,ICE 936,Ostseebad Binz (an 12:29),7
09:06,09:06,RE 4355,Berlin Hbf (an 09:13),6
09:18,09:18,ICE 797,Kassel-Wilhelmshöhe (an 12:12),7
09:22,09:22,RE 3110,Cottbus Hbf (an 10:56),8
09:26,09:26,ICE 1505,München Hbf (an 13:43),7
09:32,09:32,RE 3306,Stralsund Hbf (an 12:44),9
09:54,09:54,RE 3508,Stralsund Hbf (an 12:51),9
09:58,09:58,RB 55796,Eberswalde Hbf (an 10:31),
09:58,09:58,RB 63,Eberswalde Hbf (an 10:31),
10:06,10:06,RB 21857,Berlin Südkreuz (an 10:29),
10:06,10:06,RE 3507,Berlin Hbf (an 10:12),6
10:16,10:16,IC 2235,Leipzig Hbf (an 12:15),
10:18,10:18,ICE 1976,Stralsund Hbf (an 13:24),
10:22,10:22,RE 3112,Lübbenau(Spreewald) (an 11:32),
10:23,10:23,RE 18492,Neustrelitz Hbf (an 11:32),
10:24,10:24,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),6
10:32,10:32,RE 3346,Schwedt(Oder) (an 11:48),9
10:54 (+1),10:55,RE 4356,Rostock Hbf (an 13:23),10
10:56,10:56,ICE 2539,Leipzig Hbf (an 12:22),
11:03,11:03,ICE 934,Ostseebad Binz (an 14:29),9
11:06 (+10),11:16,RE 4357,Berlin Hbf (an 11:11),6
11:22,11:22,RE 2,Karlsruhe Hbf (an 22:49),
11:22,11:22,RE 3114,Cottbus Hbf (an 12:56),8
11:24 (+9),11:33,RE 3347,Ludwigsfelde (an 12:07),
11:32,11:32,RE 3308,Stralsund Hbf (an 15:07),
11:42,11:42,RE 3115,Nauen (an 12:21),7
11:54,11:54,RE 3510,Stralsund Hbf (an 14:51),9
12:06 (+3),12:09,RE 3509,Berlin Hbf (an 12:11),6
12:22,12:22,RE 3116,Cottbus Hbf (an 13:55),10
12:24 (+1),12:25,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),6
12:32,12:32,RE 3348,Schwedt(Oder) (an 13:51),9
12:42,12:42,RE 3117,Falkensee (an 13:05),
12:54 (+3),12:57,RE 4358,Rostock Hbf (an 15:23),10
12:57 (+2),12:59,ICE 2531,Leipzig Hbf (an 14:20),6
13:03,13:03,ICE 2532,Ostseebad Binz (an 16:41),8
13:06,13:06,RB 21881,Berlin Südkreuz (an 13:26),
13:06 (+35),13:41,RE 4359,Berlin Hbf (an 13:11),6
13:22,13:22,RE 3118,Cottbus Hbf (an 14:56),8
13:24 (+2),13:26,RE 3349,Luckenwalde (an 14:27),6
13:32 (+1),13:33,RE 3310,Stralsund Hbf (an 16:44),9
13:42,13:42,RE 3119,Nauen (an 14:21),7
13:54,13:54,RE 3512,Stralsund Hbf (an 16:51),9
14:06,14:06,RB 21889,Flughafen BER (an 14:45),6
14:06 (+3),14:09,RE 3511,Berlin Hbf (an 14:11),6
14:22,14:22,RE 3120,Cottbus Hbf (an 15:55),10
14:24 (+9),14:33,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),6
14:36,14:36,RE 3350,Schwedt(Oder) (an 15:51),9
14:42,14:42,RE 3121,Nauen (an 15:21),7
14:54,14:54,RE 4360,Rostock Hbf (an 17:23),10
14:57 (+1),14:58,ICE 933,Erfurt Hbf (an 17:07),6
15:05 (+5),15:10,ICE 2530,Ostseebad Binz (an 18:45),9
15:06 (+16),15:22,RE 4361,Berlin Hbf (an 15:11),6
15:22,15:22,RE 3122,Cottbus Hbf (an 16:55),10
15:24 (+3),15:27,RE 3351,Luckenwalde (an 16:27),6
15:32,15:32,RE 3312,Stralsund Hbf (an 18:44),9
15:42,15:42,RE 3123,Nauen (an 16:21),7
15:54,15:54,RE 3514,Stralsund Hbf (an 18:51),10
16:06 (+13),16:19,RE 3513,Berlin Hbf (an 16:12),6
16:16,16:16,IC 2239,Leipzig Hbf (an 18:15),
16:22,16:22,RE 3124,Cottbus Hbf (an 17:56),10
16:24,16:24,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),6
16:32,16:32,RE 3352,Schwedt(Oder) (an 17:55),9
16:40,16:40,ICE 935,Erfurt Hbf (an 19:04),6
16:42,16:42,RE 3125,Nauen (an 17:20),7
16:54 (+3),16:57,RE 4362,Rostock Hbf (an 19:23),9
17:04,17:04,ICE 2538,Stralsund Hbf (an 19:54),
17:04,17:04,ICE 2868,Stralsund Hbf (an 19:54),
17:06,17:06,RB 21913,Berlin Südkreuz (an 17:29),
17:06 (+21),17:27,RE 4363,Berlin Hbf (an 17:11),6
17:22,17:22,RE 3126,Cottbus Hbf (an 18:55),8
17:24,17:24,RE 3353,Luckenwalde (an 18:27),6
17:25,17:25,ES 474,Liège-Guillemins (an 06:10),
17:26 (+7),17:33,ICE 1603,München Hbf (an 21:43),7
17:39,17:39,RE 3314,Stralsund Hbf (an 20:44),9
17:42,17:42,RE 3127,Nauen (an 18:21),7
17:54,17:54,RE 3516,Stralsund Hbf (an 20:51),
18:06,18:06,FEX,Bruchsal (an 18:01),
18:06,18:06,RB 21921,Berlin Südkreuz (an 18:29),
18:06,18:06,RE 3515,Berlin Hbf (an 18:11),6
18:22,18:22,RE 3128,Cottbus Hbf (an 19:55),10
18:24 (+6),18:30,RE 3313,Lutherstadt Wittenberg Hbf (an 20:07),6
18:32 (+6),18:38,RE 3354,Schwedt(Oder) (an 19:55),10
18:38,18:38,IC 2234,Rostock Hbf (an 19:56),
18:42,18:42,RE 3129,Nauen (an 19:21),7
18:54,18:54,RE 4364,Rostock Hbf (an 21:23),10
18:57 (+2),18:59,ICE 2537,Leipzig Hbf (an 20:22),6
19:06,19:06,RB 21929,Berlin Südkreuz (an 19:29),
19:06 (+5),19:11,RE 4365,Berlin Hbf (an 19:11),6
19:08,19:08,ICE 796,Stralsund Hbf (an 21:18),9
19:22,19:22,RE 3130,Cottbus Hbf (an 20:55),8
19:27 (+6),19:33,RE 3355,Luckenwalde (an 20:30),5
19:35 (+16),19:51,RE 3316,Anklam (an 21:51),9
19:36 (+1),19:37,RE 3131,Nauen (an 20:20),7
19:43,19:43,ICE 805,Nürnberg Hbf (an 23:07),5
19:54,19:54,RE 3518,Stralsund Hbf (an 22:51),
19:59 (+2),20:01,ICE 699,München Hbf (an 07:27),7
20:06,20:06,RB 21937,Berlin Südkreuz (an 20:29),
20:22,20:22,RE 3132,Cottbus Hbf (an 21:56),10
20:24,20:24,RE 3315,Lutherstadt Wittenberg Hbf (an 22:07),6
20:35 (+9),20:44,RE 3356,Schwedt(Oder) (an 21:55),9
20:54 (+7),21:01,RE 4366,Rostock Hbf (an 23:23),9
21:06,21:06,RB 21945,Berlin Südkreuz (an 21:29),
21:06 (+9),21:15,RE 4367,Berlin Hbf (an 21:11),6
21:22,21:22,RE 3134,Cottbus Hbf (an 22:56),10
21:24,21:24,RE 3357,Jüterbog (an 22:30),6
21:28,21:28,RE 80428,Langenweddingen (an 23:38),
21:28,21:28,RE 80438,Langenweddingen (an 23:38),
21:32,21:32,RE 3318,Stralsund Hbf (an 00:51),9
21:40,21:40,RE 3135,Nauen (an 22:21),7
21:54,21:54,RE 3520,Neustrelitz Hbf (an 22:59),
22:06 (+30),22:36,RE 3519,Berlin Südkreuz (an 22:23),6
22:24,22:24,RE 3317,Lutherstadt Wittenberg Hbf (an 00:08),6
22:32,22:32,RE 3358,Schwedt(Oder) (an 23:56),9
22:40,22:40,RE 3137,Nauen (an 23:21),7
22:50,22:50,RE 3136,Cottbus Hbf (an 00:29),
22:54 (+17),23:11,RE 4368,Rostock Hbf (an 01:21),9
23:01,23:01,ES 452,Bruxelles Midi (an 10:12),7
23:06 (+7),23:13,RE 4369,Berlin Hbf (an 23:11),6
23:28,23:28,RE 3359,Jüterbog (an 00:35),6
23:31,23:31,RE 3,Biberach(Riß) (an 23:17),
23:31,23:31,RE 3320,Eberswalde Hbf (an 00:05),9
23:50,23:50,RE 3138,Cottbus Hbf (an 01:30),10
