Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:01,RB 21965,Flughafen BER (an 00:14),3
00:08,RB 62086,Berlin Hbf (an 00:15),8
00:10,RE 3359,Jüterbog (an 00:35),4
00:12,RE 3366,Eberswalde Hbf (an 01:04),7
00:15,RB 21964,Berlin Hbf (an 00:23),
00:28 (+4),ICE 592,Berlin Hbf (an 00:34),6
00:30 (+9),ICE 700,Berlin Gesundbrunnen (an 00:43),6
00:31,RB 21966,Berlin Hbf (an 00:39),8
00:51,RE 3363,Jüterbog (an 01:41),4
01:01,RB 21967,Naumburg(Saale)Hbf (an 13:13),3
04:29,ICE 1706,Hamburg Hbf (an 07:11),7
04:38,RB 62094,Dallgow-Döberitz (an 05:09),
04:45,RB 21808,Berlin Hbf (an 04:53),
04:55,RE 62040,Elsterwerda (an 06:29),3
05:00,RB 56801,Schwerin Hbf (an 07:48),7
05:00,RE 21810,Berlin Hbf (an 05:08),
05:00,RE 56801,Schwerin Hbf (an 07:48),
05:06,RE 62003,Elstal (an 05:53),8
05:10 (+1),RE 3302,Stralsund Hbf (an 08:45),7
05:15,RE 21812,Berlin Hbf (an 05:23),
05:20,RE 3144,Jüterbog (an 05:58),4
05:31 (+1),ICE 608,Hamburg Hbf (an 08:15),6
05:31,RB 21814,Berlin Hbf (an 05:39),8
05:34,RE 3504,Stralsund Hbf (an 08:51),4
05:35 (+1),ICE 593,München Hbf (an 13:15),5
05:38,RB 62050,Berlin-Spandau (an 05:59),7
05:42 (+2),ICE 1501,München Hbf (an 09:41),5
05:44,RE 3167,Stendal Hbf (an 07:13),7
05:45,RB 18501,Berlin Hbf (an 05:53),
05:45,RE 18501,Berlin Hbf (an 05:53),8
05:46,RE 3300,Lutherstadt Wittenberg Hbf (an 07:06),
05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),4
05:46,RE 91801,Lutherstadt Wittenberg Hbf (an 07:06),
05:50 Ausfall,ICE 240,Amsterdam Centraal (an 11:59),6
05:51,RE 62000,Elsterwerda (an 07:15),3
05:58 Ausfall,ICE 701,Graz Hbf (an 13:15),5
06:00,RE 21818,Berlin Hbf (an 06:08),8
06:07,RE 62005,Elstal (an 06:49),8
06:10,RB 18500,Lübbenau(Spreewald) (an 07:18),3
06:12 (+2),RE 3342,Schwedt(Oder) (an 07:55),6
06:15,RE 21820,Berlin Hbf (an 06:23),
06:15,RE 3164,Jüterbog (an 06:54),5
06:23,RB 62051,Rangsdorf (an 06:38),3
06:26 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),7
06:26 (+1),ICE 1704,Hamburg Hbf (an 09:11),7
06:26 (+1),ICE 1714,Köln Hbf (an 18:25),
06:26 (+1),ICE 2808,Hamburg Hbf (an 09:11),7
06:26 (+5),ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,RE 21822,Berlin Hbf (an 06:39),
06:34,RE 4352,Rostock Hbf (an 09:21),4
06:35 (+2),ICE 503,München Hbf (an 11:07),5
06:38,RB 62052,Berlin-Spandau (an 06:59),
06:42 (+1),ICE 1003,München Hbf (an 10:45),5
06:43,RE 3147,Rathenow (an 07:52),6
06:45,RB 18503,Berlin Hbf (an 06:53),8
06:45,RE 18503,Berlin Hbf (an 06:53),
06:49,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,RE 21826,Berlin Hbf (an 07:08),
07:06,RE 62007,Elstal (an 07:53),8
07:10,RB 18502,Lübbenau(Spreewald) (an 08:15),3
07:10 (+1),RE 3304,Stralsund Hbf (an 10:44),6
07:13 (+31),ICE 9590,Paris Est (an 14:52),5
07:17 (+3),RE 3146,Falkenberg(Elster) (an 08:44),4
07:23 (+2),RB 62053,Rangsdorf (an 07:38),3
07:24 (+2),ICE 606,Hamburg-Altona (an 10:24),6
07:26 (+9),IC 2274,Rostock Hbf (an 09:37),7
07:31,RE 21830,Berlin Hbf (an 07:39),
07:34 Ausfall,RE 3506,St. Gallen(CH) (an 23:34),4
07:35 (+1),ICE 2847,München Hbf (an 13:50),5
07:35 (+1),ICE 595,München Hbf (an 15:14),5
07:36 (+41),EN 40476,Berlin Hbf (an 07:41),8
07:36 (+41),NJ 456,Berlin Hbf (an 07:41),8
07:37,RJ 171,Praha hl.n. (an 11:25),3
07:39 (+1),RB 62054,Berlin-Spandau (an 07:59),
07:42 (+7),ICE 1503,München Hbf (an 11:43),5
07:44 (+1),RE 3169,Stendal Hbf (an 09:30),6
07:45,RB 18505,Berlin Hbf (an 07:53),8
07:45,RE 18505,Berlin Hbf (an 07:53),
07:46 (+1),RE 3343,Luckenwalde (an 08:27),4
07:50 Ausfall,ICE 148,Amsterdam Centraal (an 14:01),7
07:51 (+1),RE 62004,Elsterwerda (an 09:14),3
08:00,ICE 703,München Hbf (an 12:42),5
08:00,RB 21834,Berlin Hbf (an 08:09),
08:07 (+21),RE 62009,Elstal (an 08:49),8
08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),3
08:12 (+1),RE 3344,Schwedt(Oder) (an 09:55),6
08:15,RE 21836,Berlin Hbf (an 08:23),
08:15 (+6),RE 3166,Jüterbog (an 08:54),5
08:31,RE 21838,Berlin Hbf (an 08:39),
08:35 (+8),ICE 505,München Hbf (an 13:08),5
08:35 (+1),RE 4354,Rostock Hbf (an 11:21),4
08:36,IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),3
08:38,RB 62056,Wustermark (an 09:18),8
08:42 (+13),ICE 1005,München Hbf (an 12:46),5
08:43 (+3),RE 3149,Rathenow (an 09:54),6
08:44 (+5),ICE 698,Berlin Gesundbrunnen (an 08:58),6
08:45 (+1),RB 18507,Berlin Hbf (an 08:53),8
08:45,RE 18507,Berlin Hbf (an 08:53),
08:49 (+6),ICE 936,Ostseebad Binz (an 12:29),6
08:49 (+1),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
08:54,RE 62006,Elsterwerda (an 10:31),3
09:00,RB 21842,Berlin Hbf (an 09:08),
09:06,RE 62011,Elstal (an 09:55),8
09:10,RB 18506,Lübbenau(Spreewald) (an 10:15),3
09:10,RE 20,Cottbus Hbf (an 22:48),
09:10 (+1),RE 3306,Stralsund Hbf (an 12:44),6
09:13 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),5
09:15,RE 21844,Berlin Hbf (an 09:23),
09:17,ICE 1104,Berlin Gesundbrunnen (an 09:31),7
09:17,RE 3148,Falkenberg(Elster) (an 10:44),4
09:24,ICE 604,Hamburg-Altona (an 12:24),6
09:26 (+5),IC 2272,Rostock Hbf (an 11:37),7
09:31,RE 21846,Berlin Hbf (an 09:39),8
09:34 (+2),RE 3508,Stralsund Hbf (an 12:51),4
09:35 (+1),ICE 597,München Hbf (an 17:16),5
09:37 (+1),RJ 173,Praha hl.n. (an 13:25),3
09:38,RB 62058,Berlin-Spandau (an 09:59),
09:42 (+5),ICE 1505,München Hbf (an 13:43),5
09:44 (+1),RE 3171,Stendal Hbf (an 11:30),6
09:45,RB 18509,Berlin Hbf (an 09:53),8
09:45,RE 18509,Berlin Hbf (an 09:53),8
09:46 (+3),RE 3345,Luckenwalde (an 10:27),4
09:51,RE 62008,Baruth(Mark) (an 10:36),3
09:55 (+1),FLX 1234,Hamburg Hbf (an 12:34),7
10:00,ICE 804,Berlin Hbf (an 10:05),6
10:00 (+1),ICE 91,Nürnberg Hbf (an 13:30),5
10:00,RB 21850,Berlin Hbf (an 10:08),8
10:04 (+3),FLX 1337,Basel Bad Bf (an 17:11),4
10:07,RE 62013,Elstal (an 10:49),8
10:10,RB 18508,Lübbenau(Spreewald) (an 11:15),3
10:12 (+1),RE 3346,Schwedt(Oder) (an 11:55),6
10:15 (+24),RE 3168,Jüterbog (an 10:54),5
10:16,RB 21852,Berlin Hbf (an 10:24),8
10:31,RB 21854,Berlin Hbf (an 10:39),8
10:31,RB 21857,Flughafen BER (an 10:45),3
10:34 (+1),RE 4356,Rostock Hbf (an 13:21),5
10:35 (+24),ICE 2287,München Hbf (an 15:08),4
10:35 (+23),ICE 2827,Würzburg Hbf (an 18:28),
10:35 (+23),ICE 507,München Hbf (an 15:08),4
10:36,IC 2175,Dresden Hbf (an 12:28),3
10:38,RB 62060,Wustermark (an 11:18),
10:42 (+9),ICE 1007,München Hbf (an 14:45),5
10:43 (+2),RE 3151,Rathenow (an 11:54),6
10:45,RB 18511,Berlin Hbf (an 10:53),8
10:45,RE 18511,Berlin Hbf (an 10:53),8
10:48 (+8),ICE 934,Ostseebad Binz (an 14:29),6
10:49 (+3),RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),4
10:54 (+4),RE 62010,Elsterwerda (an 12:31),3
11:00,RB 21858,Berlin Hbf (an 11:08),8
11:01,RB 21861,Flughafen BER (an 11:14),3
11:06,RE 62015,Elstal (an 11:53),8
11:10,RB 18510,Lübbenau(Spreewald) (an 12:15),3
11:10 (+24),RE 3308,Stralsund Hbf (an 14:44),6
11:13 (+4),ICE 839,Frankfurt(Main)Hbf (an 14:56),5
11:15,RB 21860,Berlin Hbf (an 11:23),8
11:17 (+3),ICE 1102,Berlin Gesundbrunnen (an 11:31),7
11:17 (+19),RE 3150,Falkenberg(Elster) (an 12:44),4
11:24 (+4),ICE 602,Hamburg-Altona (an 14:24),6
11:26 (+11),IC 2270,Rostock Hbf (an 13:37),7
11:31,RB 21862,Berlin Hbf (an 11:39),8
11:31 (+3),RB 21865,Flughafen BER (an 11:45),3
11:34 (+4),RE 3510,Stralsund Hbf (an 14:51),4
11:35,ICE 599,München Hbf (an 19:12),5
11:37 (+6),RJ 175,Sturovo (an 21:24),3
11:39,RB 62062,Wustermark (an 12:18),
11:41 (+1),ICE 1162,Berlin Gesundbrunnen (an 11:56),7
11:42 (+7),ICE 1507,München Hbf (an 15:43),5
11:45 (+1),RB 18513,Berlin Hbf (an 11:53),8
11:45,RE 18513,Berlin Hbf (an 11:53),8
11:45 (+14),RE 3173,Stendal Hbf (an 13:30),6
11:46 (+1),RB 21867,Flughafen BER (an 12:00),3
11:46 (+5),RE 3347,Luckenwalde (an 12:27),4
11:51 Ausfall,ICE 144,Amsterdam Centraal (an 18:00),7
11:51 (+1),RE 62012,Baruth(Mark) (an 12:36),3
11:57,DRF 1324,Köln Hbf (an 17:43),8
11:57,FLX 1324,Köln Hbf (an 17:43),8
11:58 (+1),ICE 707,München Hbf (an 16:42),4
12:00 (+58),ICE 802,Berlin Gesundbrunnen (an 12:16),6
12:02,RB 21866,Berlin Hbf (an 12:09),8
12:07,RE 62017,Elstal (an 12:49),8
12:10,RB 18512,Lübbenau(Spreewald) (an 13:15),3
12:12,RE 3348,Schwedt(Oder) (an 13:55),6
12:15,RB 21868,Berlin Hbf (an 12:23),8
12:15 (+2),RE 3170,Jüterbog (an 12:54),5
12:17 (+5),ICE 1602,Berlin Gesundbrunnen (an 12:31),6
12:24 (+8),ICE 694,Berlin Gesundbrunnen (an 12:43),6
12:31,RB 21870,Berlin Hbf (an 12:39),8
12:31,RB 21873,Flughafen BER (an 12:46),3
12:34 Ausfall,RE 4358,Rostock Hbf (an 15:21),4
12:35,ICE 2835,Bitterfeld (an 13:27),
12:35 (+6),ice 509,München Hbf (an 17:09),5
12:35 (+9),ICE 509,München Hbf (an 17:09),5
12:36 (+13),IC 2177,Dresden Hbf (an 14:28),3
12:38,RB 62064,Wustermark (an 13:19),
12:42 (+10),ICE 1009,München Hbf (an 16:45),5
12:43 (+2),RE 3153,Rathenow (an 13:54),6
12:45 (+5),RB 18515,Berlin Hbf (an 12:53),8
12:45,RE 18515,Berlin Hbf (an 12:53),8
12:46,RB 21875,Flughafen BER (an 13:00),3
12:48 (+2),ICE 932,Stralsund Hbf (an 15:44),6
12:49 (+8),RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),4
12:54 (+6),RE 62014,Elsterwerda (an 14:31),3
13:00,RB 21874,Berlin Hbf (an 13:08),8
13:01 (+2),RB 21877,Flughafen BER (an 13:14),3
13:06 (+16),RE 62019,Elstal (an 14:00),8
13:10,RB 18514,Lübbenau(Spreewald) (an 14:15),3
13:10 (+2),RE 3310,Stralsund Hbf (an 16:44),6
13:13 (+1),ICE 931,Frankfurt(Main)Hbf (an 16:56),5
13:15,RB 21876,Berlin Hbf (an 13:23),8
13:17,ICE 1100,Berlin Gesundbrunnen (an 13:31),7
13:17 (+1),RE 3152,Falkenberg(Elster) (an 14:44),4
13:24,ICE 2830,Hamburg-Altona (an 16:24),
13:24,ICE 600,Hamburg-Altona (an 16:24),6
13:26 (+16),IC 2178,Rostock Hbf (an 15:35),7
13:31,RB 21878,Berlin Hbf (an 13:39),8
13:34 (+1),ICE 691,München Hbf (an 21:15),5
13:34 Ausfall,RE 3512,Stralsund Hbf (an 16:51),4
13:38,RB 62066,Wustermark (an 14:18),6
13:40 (+3),RJ 383,Praha hl.n. (an 17:25),3
13:42 (+6),ICE 1509,München Hbf (an 17:43),5
13:44,RE 3175,Stendal Hbf (an 15:30),6
13:45 (+1),RB 18517,Berlin Hbf (an 13:53),8
13:45,RE 18517,Berlin Hbf (an 13:53),8
13:46 (+11),RE 3349,Luckenwalde (an 14:27),4
13:51 Ausfall,ICE 142,Amsterdam Centraal (an 20:01),7
13:51 (+4),RE 62016,Elsterwerda (an 15:14),3
13:55 (+8),FLX 1238,Hamburg Hbf (an 16:34),7
14:00 (+1),ICE 1205,Innsbruck Hbf (an 21:18),5
14:00 (+4),ICE 2828,Berlin Hbf (an 14:05),6
14:00,ICE 800,Berlin Hbf (an 14:05),6
14:00,RB 21882,Berlin Hbf (an 14:08),8
