Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:12,RE 3366,Eberswalde Hbf (an 01:04),7
00:15,RB 21964,Berlin Hbf (an 00:23),
00:24,ICE 592,S+U Berlin Hbf [Gleis 1-8] (an 00:30),6
00:31,RB 21966,Berlin Hbf (an 00:39),8
00:51,RE 3,Lindau-Reutin (an 22:57),
00:51,RE 3363,Halle(Saale)Hbf (an 03:12),4
00:54 (+2),ICE 705,Berlin Hbf (an 00:59),5
01:01 (+1),RB 21967,Flughafen BER (an 01:14),3
01:53,RE 3362,Berlin Hbf (an 02:00),
04:29 (+1),ICE 1706,Hamburg Hbf (an 07:11),7
04:38,RB 62094,Berlin-Spandau (an 04:59),
04:55,RE 62040,Elsterwerda (an 06:29),
05:00,RB 56801,Schwerin Hbf (an 07:48),7
05:06,RE 62003,Elstal (an 05:53),
05:10,RE 3,Lindau-Reutin (an 22:57),
05:10 (+1),RE 3302,Stralsund Hbf (an 08:45),6
05:31,ICE 608,Hamburg Hbf (an 08:15),6
05:31,RB 21814,Berlin Hbf (an 05:39),
05:34,RE 3504,Stralsund Hbf (an 08:51),4
05:35,ICE 593,München Hbf (an 13:15),5
05:38,RB 62050,Berlin-Spandau (an 05:59),
05:42 (+3),ICE 1501,München Hbf (an 09:41),5
05:44,RE 3167,Stendal Hbf (an 07:13),7
05:45,RB 18501,Berlin Hbf (an 05:53),
05:45,RE 18501,Berlin Hbf (an 05:53),
05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:50,ICE 240,Amsterdam Centraal (an 11:59),
05:51,RE 62000,Elsterwerda (an 07:15),3
05:58,ICE 701,Graz Hbf (an 13:15),5
06:00,RE 21818,Berlin Hbf (an 06:08),
06:07,RE 62005,Elstal (an 06:49),8
06:12,RE 3342,Schwedt(Oder) (an 07:55),6
06:15,RE 21820,Berlin Hbf (an 06:23),
06:18,RJ 171,Praha hl.n. (an 11:25),3
06:23,RB 62051,Dahlewitz (an 06:34),5
06:26 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),7
06:26 (+1),ICE 1704,Hamburg Hbf (an 09:11),7
06:26 (+1),ICE 1714,Köln Hbf (an 18:25),
06:26,ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,RE 21822,Berlin Hbf (an 06:39),
06:34,RE 4352,Rostock Hbf (an 09:21),4
06:35 (+2),ICE 503,München Hbf (an 11:07),5
06:38,RB 62052,Berlin-Spandau (an 06:59),
06:42 (+1),ICE 1003,München Hbf (an 10:45),5
06:43,RE 3147,Berlin-Spandau (an 07:04),
06:45 (+8),RB 18503,Berlin Hbf (an 06:53),8
06:45,RE 18503,Berlin Hbf (an 06:53),
06:49 (+1),ICE 938,Ostseebad Binz (an 10:33),7
06:49,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,RE 21826,Berlin Hbf (an 07:08),
07:06,RE 62007,Elstal (an 07:53),8
07:10 (+1),RE 3304,Stralsund Hbf (an 10:44),6
07:13,ICE 9590,Paris Est (an 14:51),5
07:15,RE 21828,Berlin Hbf (an 07:23),
07:17 (+1),RE 3146,Falkenberg(Elster) (an 08:44),4
07:23,RB 62053,Dahlewitz (an 07:34),5
07:24,ICE 606,Hamburg-Altona (an 10:24),6
07:26,IC 2274,Waren(Müritz) (an 08:57),
07:31,RE 21830,Berlin Hbf (an 07:39),8
07:34 (+29),RE 3506,Stralsund Hbf (an 10:51),4
07:35 (+1),ICE 2835,München Hbf (an 15:14),5
07:35 (+1),ICE 595,München Hbf (an 15:14),5
07:36 (+2),EN 40476,Berlin Hbf (an 07:41),8
07:36 (+2),NJ 456,Berlin Hbf (an 07:41),8
07:39,RB 62054,Berlin-Spandau (an 07:59),
07:42 (+1),ICE 1503,München Hbf (an 11:43),5
07:44,RE 3169,Stendal Hbf (an 09:30),6
07:45 (+2),RB 18505,Berlin Hbf (an 07:53),
07:45,RE 18505,Berlin Hbf (an 07:53),8
07:46,RE 3343,Luckenwalde (an 08:27),4
07:49,ICE 1131,Saarbrücken Hbf (an 14:17),7
07:49,ICE 2847,Saarbrücken Hbf (an 14:17),7
07:50,ICE 148,Amsterdam Centraal (an 14:01),
07:51 (+1),RE 62004,Doberlug-Kirchhain (an 09:04),3
08:00,ICE 698,Berlin Gesundbrunnen (an 08:14),6
08:00 (+1),ICE 703,München Hbf (an 12:42),5
08:00,RB 21834,Berlin Hbf (an 08:09),
08:07,RE 62009,Elstal (an 08:49),8
08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),3
08:12 (+1),RE 3344,Schwedt(Oder) (an 09:55),6
08:15,RE 21836,Berlin Hbf (an 08:23),8
08:25,DRF 1322,Köln Hbf (an 13:41),7
08:25 (+2),FLX 1322,Köln Hbf (an 13:41),7
08:31,RE 21838,Berlin Hbf (an 08:39),8
08:35 (+1),ICE 505,München Hbf (an 13:08),5
08:35 (+1),RE 4354,Rostock Hbf (an 11:21),4
08:36,IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),3
08:38,RB 62056,Wustermark (an 09:18),8
08:42 (+2),ICE 1005,München Hbf (an 12:46),5
08:43,RE 3149,Rathenow (an 09:54),6
08:45,RB 18507,Berlin Hbf (an 08:53),8
08:45,RE 18507,Berlin Hbf (an 08:53),8
08:49 (+1),ICE 936,Ostseebad Binz (an 12:29),6
08:49,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
08:54,RE 62006,Elsterwerda (an 10:31),3
09:00,RB 21842,Berlin Hbf (an 09:08),
09:06,RE 62011,Elstal (an 09:55),8
09:10,RB 18506,Lübbenau(Spreewald) (an 10:15),3
09:10 (+4),RE 3306,Stralsund Hbf (an 12:44),6
09:13 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),5
09:15,RE 21844,Berlin Hbf (an 09:23),
09:17 (+7),ICE 1104,Berlin Gesundbrunnen (an 09:31),7
09:17,RE 3148,Falkenberg(Elster) (an 10:44),4
09:24 (+25),ICE 2816,Fulda (an 22:01),
09:24 (+3),ICE 604,Hamburg-Altona (an 12:24),6
09:26 (+4),IC 2272,Rostock Hbf (an 11:37),7
09:31,RE 21846,Berlin Hbf (an 09:39),
09:34,RE 3508,Stralsund Hbf (an 12:51),4
09:35,ICE 2921,Eisenach Hbf (an 11:54),
