Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:04,00:04,RB 21962,Flughafen BER (ab 23:46),4
00:11,00:11,RB 62086,Baruth(Mark) (ab 23:19),4
00:15,00:15,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),3
00:19,00:19,RB 21964,Ludwigsfelde (ab 23:32),4
00:35,00:35,RB 21966,Flughafen BER (ab 00:16),4
00:42,00:42,RE 3363,Berlin Hbf (ab 00:40),2
00:49,00:49,RB 21968,Flughafen BER (ab 00:31),4
00:55,00:55,RB 21967,Berlin Hbf (ab 00:52),1
01:40,01:40,RB 21800,Flughafen BER (ab 01:22),4
01:55,01:55,RB 21969,Berlin Hbf (ab 01:52),1
01:57,01:57,RE 3362,Lutherstadt Wittenberg Hbf (ab 00:34),3
03:10,03:10,RB 21803,Berlin Hbf (ab 03:07),1
03:40,03:40,RB 21805,Berlin Hbf (ab 03:37),1
04:25,04:25,RB 21809,Berlin Hbf (ab 04:22),1
04:47,04:47,RE 62040,Nauen (ab 04:03),1
04:55,04:55,RB 21813,Eberswalde Hbf (ab 04:03),1
05:14 Ausfall,--:--,RE 3302,Falkenberg(Elster) (ab 03:40),3
05:45,05:45,RE 62000,Wittenberge (ab 04:02),1
06:10,06:10,RB 18500,Berlin Hbf (ab 06:07),1
06:11,06:11,RE 62005,Baruth(Mark) (ab 05:20),4
06:15,06:15,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),3
06:39,06:39,RE 4352,Berlin Südkreuz (ab 06:34),3
06:42,06:42,RE 3301,Angermünde (ab 05:32),2
06:47 (+1),06:48,RE 62002,Wittenberge (ab 05:05),1
06:49,06:49,RB 18503,Cottbus Hbf (ab 05:23),4
07:09,07:09,RE 62007,Elsterwerda (ab 05:29),4
07:10,07:10,RB 18502,Berlin Hbf (ab 07:07),1
07:14 (+4),07:18,RE 3304,Luckenwalde (ab 06:35),3
07:35,07:35,RE 3506,Sargans (ab 22:35),4
07:45,07:45,RE 62004,Schwerin Hbf (ab 04:56),1
07:49,07:49,RB 18505,Cottbus Hbf (ab 06:12),4
08:12,08:12,RE 62009,Baruth(Mark) (ab 07:20),4
08:15 (+27),08:42,RE 3344,Halle(Saale)Hbf (ab 05:46),3
08:39 (+7),08:46,RE 4354,Berlin Südkreuz (ab 08:34),3
08:42,08:42,RE 3303,Stralsund Hbf (ab 05:10),2
08:47,08:47,RE 62006,Wittenberge (ab 07:05),1
08:49,08:49,RB 18507,Lübbenau(Spreewald) (ab 07:44),4
09:09 (+3),09:12,RE 62011,Elsterwerda (ab 07:29),4
09:35,09:35,RE 3508,Sargans (ab 23:38),4
09:45,09:45,RE 62008,Wismar (ab 06:21),1
10:10,10:10,RB 18508,Berlin Hbf (ab 10:07),1
10:11,10:11,RE 62013,Baruth(Mark) (ab 09:20),4
10:39,10:39,RE 4356,Berlin Südkreuz (ab 10:34),3
10:42,10:42,RE 3305,Stralsund Hbf (ab 07:10),2
10:47,10:47,RE 62010,Wittenberge (ab 09:05),1
11:07,11:07,RB 18510,Berlin Hbf (ab 11:04),1
11:09 (+1),11:10,RE 62015,Elsterwerda (ab 09:29),4
11:14 (+8),11:22,RE 3308,Luckenwalde (ab 10:35),3
11:16 (+11),11:27,RE 4357,Rostock Hbf (ab 08:34),
11:39 (+3),11:42,RE 3510,Berlin Südkreuz (ab 11:34),3
11:44 (+8),11:52,RE 62012,Wismar (ab 08:21),1
11:49 (+27),12:16,RE 3173,Jüterbog (ab 11:02),3
12:09 (+21),12:30,RE 3170,Stendal Hbf (ab 10:47),2
12:10,12:10,RB 18512,Berlin Hbf (ab 12:07),1
12:11,12:11,RE 62017,Baruth(Mark) (ab 11:21),4
12:15 (+16),12:31,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),3
12:16 (+10),12:26,RE 3509,Grimmen (ab 09:24),2
12:19,12:19,RB 21868,Flughafen BER (ab 12:01),4
12:25,12:25,RB 21873,Berlin Hbf (ab 12:22),1
12:35,12:35,RB 21870,Flughafen BER (ab 12:16),4
12:39 (+3),12:42,RE 4358,Berlin Südkreuz (ab 12:34),3
12:40,12:40,RB 21875,Berlin Hbf (ab 12:37),1
12:42 (+3),12:45,RE 3307,Stralsund Hbf (ab 09:10),2
12:46 (+26),13:12,RE 3153,Falkenberg(Elster) (ab 11:18),3
12:47 (+2),12:49,RE 62014,Wittenberge (ab 11:05),1
12:49,12:49,RB 18515,Lübbenau(Spreewald) (ab 11:44),4
12:55,12:55,RB 21877,Berlin Hbf (ab 12:52),1
13:04,13:04,RB 21874,Flughafen BER (ab 12:46),4
13:09 (+1),13:10,RE 62019,Elsterwerda (ab 11:29),4
13:10,13:10,RB 18514,Berlin Hbf (ab 13:04),1
13:11 (+3),13:14,RE 3152,Rathenow (ab 12:02),2
13:14 (+12),13:26,RE 3310,Luckenwalde (ab 12:35),3
13:16 (+8),13:24,RE 4359,Rostock Hbf (ab 10:34),2
13:19,13:19,RB 21876,Flughafen BER (ab 13:01),4
13:34,13:34,RE 3349,Schwedt(Oder) (ab 12:04),1
13:35,13:35,RB 21878,Flughafen BER (ab 13:16),4
13:39 (+3),13:42,RE 3512,Berlin Südkreuz (ab 13:34),3
13:45 (+4),13:49,RE 62016,Wismar (ab 10:21),1
13:47,13:47,RE 3175,Jüterbog (ab 13:02),3
13:49,13:49,RB 18517,Lübbenau(Spreewald) (ab 12:44),4
14:04,14:04,RB 21882,Flughafen BER (ab 13:46),4
14:09,14:09,RE 3172,Stendal Hbf (ab 12:47),2
14:10,14:10,RB 18516,Berlin Hbf (ab 14:07),1
14:13 (+3),14:16,RE 62021,Baruth(Mark) (ab 13:20),4
14:15 (+31),14:46,RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),3
14:16 (+3),14:19,RE 3511,Grimmen (ab 11:24),2
14:19,14:19,RB 21884,Flughafen BER (ab 14:01),4
14:35,14:35,RB 21886,Flughafen BER (ab 14:16),4
14:39 (+3),14:42,RE 4360,Berlin Südkreuz (ab 14:34),3
14:42,14:42,RE 3309,Stralsund Hbf (ab 11:10),2
14:46,14:46,RE 3155,Falkenberg(Elster) (ab 13:18),3
14:47 (+3),14:50,RB 62018,Wittenberge (ab 13:05),1
14:49,14:49,RB 18519,Lübbenau(Spreewald) (ab 13:44),4
15:04,15:04,RB 21890,Flughafen BER (ab 14:46),4
15:09 (+9),15:18,RE 62023,Elsterwerda (ab 13:29),4
15:10,15:10,RB 18518,Berlin Hbf (ab 15:04),1
15:11 (+3),15:14,re 3154,Rathenow (ab 14:02),2
15:14 (+7),15:21,RE 3312,Luckenwalde (ab 14:35),3
15:16 (+3),15:19,RE 4361,Rostock Hbf (ab 12:34),2
15:19,15:19,RB 21892,Flughafen BER (ab 15:01),4
15:34,15:34,RE 3351,Schwedt(Oder) (ab 14:04),1
15:39,15:39,RE 3514,Berlin Südkreuz (ab 15:34),3
15:45 (+11),15:56,RE 62020,Wismar (ab 12:21),1
15:47,15:47,RE 3177,Jüterbog (ab 15:02),3
15:49,15:49,RB 18521,Lübbenau(Spreewald) (ab 14:45),4
16:04,16:04,RB 21898,Flughafen BER (ab 15:46),4
16:09,16:09,RE 3174,Stendal Hbf (ab 14:47),2
16:14 (+3),16:17,RE 62025,Baruth(Mark) (ab 15:21),4
16:15 (+3),16:18,RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),3
16:18 (+5),16:23,RE 3513,Grimmen (ab 13:24),2
16:19,16:19,RB 21900,Flughafen BER (ab 16:01),4
16:35,16:35,RB 21902,Flughafen BER (ab 16:16),4
16:39 (+6),16:45,RE 4362,Berlin Südkreuz (ab 16:34),3
16:42,16:42,RE 3311,Stralsund Hbf (ab 13:10),2
16:46,16:46,RE 3157,Falkenberg(Elster) (ab 15:18),3
16:47,16:47,RE 62022,Wittenberge (ab 15:05),1
16:49,16:49,RB 18523,Lübbenau(Spreewald) (ab 15:45),4
17:04,17:04,RB 21906,Flughafen BER (ab 16:46),4
17:09 (+2),17:11,RE 62027,Elsterwerda (ab 15:29),4
