Ankunft,Zugnr.,von (Abfahrt),Gleis
00:01,RB 61138,Templin Stadt (ab 22:33),8
00:04,RE 73826,Erkner (ab 23:43),2
00:07,RE 3138,Hennigsdorf(b Berlin) (ab 23:00),1
00:10,RB 93045,Lübben(Spreewald) (ab 23:15),2
00:46,RB 21968,Flughafen BER (ab 00:30),2
01:07,RE 3140,Berlin-Charlottenburg (ab 00:42),1
01:31,RE 73752,Erkner (ab 01:16),2
01:58,RB 21969,Berlin-Charlottenburg (ab 01:33),1
04:39,RB 18300,Wünsdorf-Waldstadt (ab 03:43),14
04:44,RB 18201,Berlin-Lichtenberg (ab 04:41),13
04:44,RE 73801,Berlin-Charlottenburg (ab 04:20),
04:44,RE 94716,Erkner (ab 04:24),2
04:56 (+2),RE 3707,Lübbenau(Spreewald) (ab 03:53),2
05:00,RE 91510,Berlin Zoologischer Garten (ab 04:39),
05:16,RB 18200,Ludwigsfelde (ab 04:38),14
05:18,RE 3103,Cottbus Hbf (ab 03:51),2
05:20,RB 18303,Eberswalde Hbf (ab 04:35),13
05:40,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:42,RE 94718,Eisenhüttenstadt (ab 04:21),2
05:44,RB 18203,Berlin-Lichtenberg (ab 05:41),13
05:56 (+1),RB 93009,Lübben(Spreewald) (ab 05:00),2
06:05,RE 94760,Frankfurt(Oder) (ab 05:08),2
06:14,RE 94713,Berlin Zoologischer Garten (ab 05:52),1
06:16,RB 18202,Ludwigsfelde (ab 05:38),14
06:18,RE 3105,Cottbus Hbf (ab 04:57),2
06:39,RB 18304,Blankenfelde(Teltow-Fläming) (ab 06:09),14
06:40,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:42,RE 94720,Frankfurt(Oder) (ab 05:42),2
06:44,RB 18205,Berlin-Lichtenberg (ab 06:41),13
06:57 (+13),RE 3711,Senftenberg (ab 05:11),2
07:00 (+1),RE 3706,Dessau Hbf (ab 05:05),1
07:14,RE 94715,Berlin Zoologischer Garten (ab 06:52),1
07:18,RE 3107,Cottbus Hbf (ab 06:07),2
07:35,RE 83711,Berlin Ostbahnhof (ab 07:33),1
07:39 (+1),RB 18306,Blankenfelde(Teltow-Fläming) (ab 07:09),14
07:40,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:42 (+1),RE 94722,Frankfurt(Oder) (ab 06:42),
07:44,RB 18207,Berlin-Lichtenberg (ab 07:41),13
07:48,RB 61186,Werneuchen (ab 07:04),
07:56 (+4),RE 3713,Senftenberg (ab 06:14),2
08:00 (+2),RE 3708,Dessau Hbf (ab 06:05),1
08:01,RB 61106,Templin Stadt (ab 06:33),8
08:04,RB 94764,Frankfurt(Oder) (ab 07:11),
08:13,RB 61425,Müncheberg(Mark) (ab 07:25),7
08:14,RE 94717,Berlin Zoologischer Garten (ab 07:52),1
08:16,RB 18206,Ludwigsfelde (ab 07:38),14
08:17,RB 61224,Werneuchen (ab 07:34),8
08:18,RE 3109,Cottbus Hbf (ab 07:03),2
08:20,RB 18309,Eberswalde Hbf (ab 07:35),13
08:40,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:44,RB 18209,Berlin-Lichtenberg (ab 08:41),13
08:56 (+3),RE 3715,Senftenberg (ab 07:14),2
09:00 (+2),RE 3710,Dessau Hbf (ab 07:05),1
09:14,RE 94719,Berlin Zoologischer Garten (ab 08:52),1
09:16,RB 18208,Ludwigsfelde (ab 08:38),14
09:18,RE 3111,Cottbus Hbf (ab 08:04),2
09:40,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:44,RB 18211,Berlin-Lichtenberg (ab 09:41),13
09:56 (+4),RE 3717,Senftenberg (ab 08:14),2
10:00 (+11),RE 3712,Dessau Hbf (ab 08:05),1
10:14,RE 94721,Berlin Zoologischer Garten (ab 09:52),1
10:16,RB 18210,Ludwigsfelde (ab 09:38),14
10:18 (+29),RE 3113,Cottbus Hbf (ab 09:03),2
10:39,RB 18312,Blankenfelde(Teltow-Fläming) (ab 10:09),14
10:40,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
10:42,RE 94728,Frankfurt(Oder) (ab 09:38),2
10:44,RB 18213,Berlin-Lichtenberg (ab 10:41),13
10:56 (+3),RE 3719,Senftenberg (ab 09:14),2
11:00 (+7),RE 3714,Dessau Hbf (ab 09:05),1
11:01,RB 61112,Templin Stadt (ab 09:33),8
11:16,RB 18212,Ludwigsfelde (ab 10:38),14
11:18,RE 3115,Cottbus Hbf (ab 10:03),2
11:40,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:44,RB 18215,Berlin-Lichtenberg (ab 11:41),13
11:56 (+14),RE 3721,Senftenberg (ab 10:14),2
12:00 (+1),RE 3716,Dessau Hbf (ab 10:05),1
12:14,RE 94725,Berlin Zoologischer Garten (ab 11:52),1
12:16,RB 18214,Ludwigsfelde (ab 11:38),14
12:18,RE 3117,Cottbus Hbf (ab 11:03),2
12:40,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:42,RE 94732,Frankfurt(Oder) (ab 11:38),2
