Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:05,00:05,RE 3182,Stendal Hbf (ab 22:50),3
00:08,00:08,RB 21962,Flughafen BER (ab 23:46),8
00:19,00:19,RE 3360,Teltow (ab 00:00),
00:19,00:19,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),
00:21 (+30),00:51,ICE 947,Düsseldorf Hbf (ab 18:52),2
00:21 (+30),00:51,ICE 957,Köln Hbf (ab 18:53),2
00:23,00:23,ICE 1500,Nürnberg Hbf (ab 21:36),
00:23,00:23,RB 21964,Ludwigsfelde (ab 23:32),
00:30,00:30,ICE 592,München Hbf (ab 16:45),7
00:30 (+8),00:38,RE 3319,Stralsund Hbf (ab 21:10),
00:36 (+24),01:00,RE 62038,Wismar (ab 21:21),2
00:39 (+6),00:45,RB 21966,Flughafen BER (ab 00:16),
00:53,00:53,RB 21968,Flughafen BER (ab 00:31),
00:53 (+43),01:36,RJ 2873,Hamburg-Harburg (ab 22:48),4
01:26 (+43),02:09,RJ 2579,Hamburg-Harburg (ab 22:48),4
01:26 (+43),02:09,RJ 479,Hamburg-Harburg (ab 22:48),4
01:54 (+2),01:56,ICE 2552,Zürich HB (ab 16:00),
02:47,02:47,RB 62089,Nauen (ab 02:11),
04:25,04:25,ICE 646,Berlin Südkreuz (ab 04:18),4
04:31,04:31,ICE 277,Berlin Südkreuz (ab 04:25),7
04:40,04:40,RE 62040,Nauen (ab 04:03),
04:45,04:45,RE 3369,Eberswalde Hbf (ab 04:03),
04:53 Ausfall,--:--,ICE 240,Berlin Südkreuz (ab 04:52),6
05:04 (+47),05:51,RJ 478,Praha hl.n. (ab 00:33),5
05:06,05:06,RE 3144,Rathenow (ab 04:09),
05:11,05:11,RE 4351,Neustrelitz Hbf (ab 03:49),
05:13,05:13,RE 62003,Baruth(Mark) (ab 04:19),7
05:13,05:13,RE 8,Lübeck-Travemünde Strand (ab 01:34),
05:18,05:18,RE 3302,Jüterbog (ab 04:22),5
05:21 (+3),05:24,ICE 2819,Berlin Gesundbrunnen (ab 05:16),4
05:21,05:21,ICE 593,Berlin Gesundbrunnen (ab 05:16),4
05:25,05:25,ICE 608,Berlin Südkreuz (ab 05:20),6
05:29,05:29,RE 3341,Schwedt(Oder) (ab 04:04),2
05:31 (+3),05:34,ICE 946,Berlin Südkreuz (ab 05:26),7
05:31 (+3),05:34,ICE 956,Berlin Südkreuz (ab 05:26),7
05:32,05:32,ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:36,05:36,RE 62000,Wittenberge (ab 04:05),2
05:43,05:43,RE 3504,Berlin Südkreuz (ab 05:34),6
05:52 (+3),05:55,RE 3167,Jüterbog (ab 05:02),7
05:53 (+4),05:57,RB 18501,Cottbus Hbf (ab 04:24),8
05:53,05:53,RE 18501,Cottbus Hbf (ab 04:24),
06:05 (+3),06:08,RE 3164,Stendal Hbf (ab 04:48),2
06:05,06:05,RE 4,Berlin Jungfernheide (ab 05:00),
06:08,06:08,RE 21818,Flughafen BER (ab 05:46),
06:11 (+4),06:15,RE 3503,Neubrandenburg (ab 04:27),
06:15 (+12),06:27,RE 62005,Elsterwerda (ab 04:29),7
06:18 (+1),06:19,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:22,06:22,ICE 503,Berlin Gesundbrunnen (ab 06:16),3
06:23,06:23,RB 21820,Flughafen BER (ab 06:01),
06:25,06:25,ICE 279,Berlin Südkreuz (ab 06:20),7
06:29 (+1),06:30,RE 3301,Pasewalk (ab 04:44),2 A - D
06:30 (+2),06:32,ICE 904,München Hbf (ab 23:12),5
06:32,06:32,ICE 1003,Berlin Gesundbrunnen (ab 06:26),4
06:35,06:35,RE 62002,Wittenberge (ab 05:05),2 D - G
06:39,06:39,RB 21822,Flughafen BER (ab 06:16),
06:43 (+1),06:44,RE 4352,Berlin Südkreuz (ab 06:34),5
06:50,06:50,RE 3147,Falkenberg(Elster) (ab 05:14),7
06:53 (+15),07:08,RB 18503,Cottbus Hbf (ab 05:23),8
07:00 Ausfall,--:--,ICE 148,Berlin Südkreuz (ab 06:54),7
07:02,07:02,ICE 750,Berlin Gesundbrunnen (ab 06:56),
07:06,07:06,RE 3146,Stendal Hbf (ab 05:48),2
07:08,07:08,RE 21826,Flughafen BER (ab 06:46),
07:11 (+4),07:15,RE 4353,Rostock Hbf (ab 04:34),4
07:13 (+2),07:15,RE 62007,Elsterwerda (ab 05:29),5
07:18 (+5),07:23,RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),6
07:22 (+5),07:27,IC 60409,Zürich HB (ab 19:59),5
07:22 (+5),07:27,NJ 409,Zürich HB (ab 19:59),5
07:23 Ausfall,--:--,ICE 2585,Hamburg Hbf (ab 05:13),4
07:23 (+64),08:27,ICE 595,Hamburg Hbf (ab 05:13),4
07:23,07:23,RB 21828,Flughafen BER (ab 07:01),
07:28 (+1),07:29,FLX 1320,Dresden Hbf (ab 05:41),7
07:29 (+1),07:30,ICE 606,Erfurt Hbf (ab 05:25),6
07:29,07:29,RE 3343,Schwedt(Oder) (ab 06:04),2
07:32,07:32,ICE 1503,Berlin Gesundbrunnen (ab 07:26),4
07:37,07:37,RE 62004,Wismar (ab 04:26),2
07:39,07:39,RB 21830,Flughafen BER (ab 07:16),
07:43 (+2),07:45,RE 3506,Berlin Südkreuz (ab 07:34),6
07:46 (+21),08:07,EN 40476,Budapest-Nyugati (ab 19:30),5
07:46 (+21),08:07,NJ 456,Graz Hbf (ab 19:21),5
07:50,07:50,RE 3169,Jüterbog (ab 07:02),6
07:52,07:52,RB 18505,Cottbus Hbf (ab 06:12),8
07:52,07:52,RE 18505,Cottbus Hbf (ab 06:12),
08:02 (+8),08:10,FLX 1332,Berlin Südkreuz (ab 07:57),5
08:05,08:05,RE 3166,Stendal Hbf (ab 06:47),2
08:06 (+6),08:12,ICE 698,München Hbf (ab 22:46),6
08:09,08:09,RB 21834,Flughafen BER (ab 07:46),
08:13 Ausfall,--:--,RE 3505,Grimmen (ab 05:24),3
08:15,08:15,RE 62009,Elsterwerda (ab 06:40),8
08:19,08:19,RE 3344,Lutherstadt Wittenberg Hbf (ab 06:53),6
08:22 (+15),08:37,ICE 505,Hamburg Hbf (ab 06:34),3
08:22,08:22,RE 21836,Flughafen BER (ab 08:01),
