Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
00:05,00:05,RE 3182,Stendal Hbf (ab 22:50),3
00:08,00:08,FEX,Stralsund Hbf (ab 11:02),
00:08,00:08,RB 21962,Flughafen BER (ab 23:46),8
00:15,00:15,RB 62086,Baruth(Mark) (ab 23:19),7
00:19,00:19,RE 3,Jatznick (ab 05:23),
00:19,00:19,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:52),6
00:21 (+8),00:29,ICE 947,Köln Hbf (ab 19:27),2
00:23 (+12),00:35,ICE 1500,München Hbf (ab 20:21),5
00:36,00:36,RE 62038,Nauen (ab 00:05),
00:53,00:53,RJ 479,Hamburg-Altona (ab 22:35),4
01:54 (+6),02:00,ICE 274,Basel SBB (ab 18:16),3
01:57,01:57,ICE 2592,Frankfurt(Main)Hbf (ab 20:15),5
02:44,02:44,RB 21802,Flughafen BER (ab 02:22),1
02:47,02:47,RB 62089,Nauen (ab 02:11),7
04:23,04:23,RB 21806,Flughafen BER (ab 04:01),
04:25 (+1),04:26,ICE 646,Berlin Südkreuz (ab 04:18),4
04:31,04:31,ICE 277,Berlin Südkreuz (ab 04:25),7
04:40 Ausfall,--:--,RE 62040,Nauen (ab 04:03),2
04:45,04:45,RE 3369,Eberswalde Hbf (ab 04:03),1
04:53,04:53,RB 21808,Flughafen BER (ab 04:31),
05:04,05:04,RJ 478,Praha hl.n. (ab 00:33),5
05:06,05:06,RE 3144,Rathenow (ab 04:09),
05:08,05:08,RE 21810,Flughafen BER (ab 04:46),
05:11,05:11,RE 4351,Neustrelitz Hbf (ab 03:49),
05:13,05:13,RE 62003,Baruth(Mark) (ab 04:19),
05:18,05:18,RE 3,Moosburg (Oberbayern) (ab 00:00),
05:18,05:18,RE 3302,Jüterbog (ab 04:22),5
05:25,05:25,ICE 2816,Stuttgart Hbf (ab 10:49),6
05:25,05:25,ICE 608,Berlin Südkreuz (ab 05:20),6
05:29,05:29,RE 3341,Schwedt(Oder) (ab 04:04),2
05:31 (+2),05:33,ICE 946,Berlin Südkreuz (ab 05:26),7
05:32 (+2),05:34,ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:34,05:34,RE 62000,Wittenberge (ab 04:05),2
