Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
04:24,04:24,RE 3705,Berlin Ostkreuz (ab 03:59),4
04:34 (+2),04:36,RE 3702,Bad Belzig (ab 03:41),2
04:44,04:44,RE 3101,Berlin Ostkreuz (ab 04:16),3
04:53,04:53,RB 21806,Berlin Ostbahnhof (ab 04:33),
05:12,05:12,RE 94716,Frankfurt(Oder) (ab 03:38),4
05:14,05:14,RE 3102,Hennigsdorf(b Berlin) (ab 04:33),1
05:24,05:24,RE 3707,Lübbenau(Spreewald) (ab 03:53),4
05:34,05:34,RE 3704,Dessau Hbf (ab 04:05),2
05:46,05:46,RE 3103,Cottbus Hbf (ab 03:51),4
05:47,05:47,RE 94713,Berlin-Wannsee (ab 05:39),1
06:11,06:11,RE 94718,Eisenhüttenstadt (ab 04:21),4
06:14,06:14,RE 3104,Hennigsdorf(b Berlin) (ab 05:35),1
06:27,06:27,EC 430,Przemysl Glowny (ab 18:49),3
06:46,06:46,RE 3105,Cottbus Hbf (ab 04:57),3
06:47,06:47,RE 94715,Berlin-Wannsee (ab 06:39),1
07:14,07:14,RE 3106,Hennigsdorf(b Berlin) (ab 06:35),1
07:24,07:24,RE 3711,Senftenberg (ab 05:11),4
07:46,07:46,RE 3107,Cottbus Hbf (ab 06:07),3
08:14,08:14,RE 3108,Hennigsdorf(b Berlin) (ab 07:35),1
08:24,08:24,RE 3713,Senftenberg (ab 06:14),4
08:25,08:25,RE 94759,Potsdam Hbf (ab 08:10),1
08:34,08:34,RE 3710,Dessau Hbf (ab 07:05),2
08:46,08:46,RE 3109,Cottbus Hbf (ab 07:03),3
08:47,08:47,RE 94719,Berlin-Wannsee (ab 08:39),1
08:59,08:59,RB 18147,Potsdam Griebnitzsee (ab 08:46),1
09:01,09:01,RB 18148,Berlin Ostbahnhof (ab 08:39),4
09:14,09:14,RE 3110,Hennigsdorf(b Berlin) (ab 08:35),1
09:17,09:17,RE 73809,Brandenburg Hbf (ab 08:22),2
09:24,09:24,RE 3715,Senftenberg (ab 07:14),4
09:34,09:34,RE 3712,Dessau Hbf (ab 08:05),2
09:46,09:46,RE 3111,Cottbus Hbf (ab 08:04),3
09:47,09:47,RE 94721,Berlin-Wannsee (ab 09:39),1
09:49,09:49,RB 73810,Berlin Zoologischer Garten (ab 09:47),4
10:01,10:01,RB 18150,Berlin Ostbahnhof (ab 09:39),4
10:13,10:13,RE 3112,Hennigsdorf(b Berlin) (ab 09:35),1
11:14,11:14,RE 3114,Hennigsdorf(b Berlin) (ab 10:35),1
11:47,11:47,RE 94725,Berlin-Wannsee (ab 11:39),1
12:14,12:14,RE 3116,Hennigsdorf(b Berlin) (ab 11:35),1
12:25,12:25,RE 94767,Potsdam Hbf (ab 12:10),1
12:34,12:34,RE 3718,Dessau Hbf (ab 11:05),2
12:46,12:46,RE 3117,Cottbus Hbf (ab 11:03),3
13:11,13:11,RE 94732,Frankfurt(Oder) (ab 11:38),4
13:14,13:14,RE 3118,Hennigsdorf(b Berlin) (ab 12:35),1
13:24,13:24,RE 3723,Senftenberg (ab 11:14),4
13:34,13:34,RE 3720,Dessau Hbf (ab 12:05),2
13:46,13:46,RE 3119,Cottbus Hbf (ab 12:03),3
14:14,14:14,RE 3120,Hennigsdorf(b Berlin) (ab 13:35),1
14:24,14:24,RE 3725,Senftenberg (ab 12:14),4
14:25,14:25,RE 94771,Potsdam Hbf (ab 14:10),1
14:32,14:32,RE 94776,Frankfurt(Oder) (ab 13:07),4
14:34,14:34,RE 3722,Dessau Hbf (ab 13:05),2
14:47,14:47,RE 94731,Berlin-Wannsee (ab 14:39),1
15:14,15:14,RE 3122,Hennigsdorf(b Berlin) (ab 14:35),1
15:24,15:24,RE 3727,Senftenberg (ab 13:14),4
15:32,15:32,RE 94778,Frankfurt(Oder) (ab 14:07),4
15:34,15:34,RE 3724,Dessau Hbf (ab 14:05),2
15:46,15:46,RE 3123,Rudersberg-Oberndorf (ab 05:49),3
15:47,15:47,RE 94733,Berlin-Wannsee (ab 15:39),1
15:50,15:50,RE 73814,Berlin Zoologischer Garten (ab 15:47),4
