Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:04 (+1),RE 3138,Cottbus Hbf (an 01:40),1
00:05,FEX,Bruchsal (an 18:05),
00:05,RB 21962,Berlin Hbf (an 00:16),
00:11,RE 73826,Berlin Zoologischer Garten (an 00:28),
00:11,RE 94749,Erkner (an 00:31),
00:17,RE 7,Rendsburg (an 23:58),
00:39 (+2),RE 3141,Berlin-Charlottenburg (an 01:00),6
00:43,RB 94796,Berlin Zoologischer Garten (an 01:01),
00:43,RE 1,Koblenz Hbf (an 22:57),
00:43,RE 91367,Potsdam Hbf (an 01:22),
00:53,RB 21968,Berlin Zoologischer Garten (an 01:09),
01:04,RE 2,Dresden Hbf (an 08:33),
01:04 (+4),RE 3140,Cottbus Hbf (an 02:40),1
01:04,RE 93240,Cottbus Hbf (an 03:40),
01:38,RB 94752,Berlin Hbf (an 01:48),
01:38,RE 73752,Berlin-Wannsee (an 03:10),
01:44,RE 21800,Berlin Zoologischer Garten (an 03:00),
01:56,RE 1,Kaiserslautern Hbf (an 08:24),
01:56,RE 94754,Berlin Hbf (an 03:05),
02:18,RE 3701,Berlin Hbf (an 03:29),
02:18,RE 3703,Berlin-Wannsee (an 03:48),
02:44,RB 21802,Berlin Zoologischer Garten (an 03:00),
04:04,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:09,ICE 646,Minden(Westf) (an 06:48),
04:23,RE 2,Dresden Hbf (an 18:33),
04:23,RE 3101,Berlin-Spandau (an 04:53),
04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:28,RE 94756,Berlin Zoologischer Garten (an 04:44),
04:33,RE 21806,Berlin Zoologischer Garten (an 04:49),
04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,RE 94716,Berlin-Wannsee (an 05:21),
04:52,RE 21813,Flughafen BER (an 05:14),
04:58,RE 3702,Lübbenau(Spreewald) (an 06:03),
04:58,RE 92402,Lübben(Spreewald) (an 05:56),
05:04,RE 3707,Potsdam-Rehbrücke (an 05:43),
05:08 (+8),ICE 946,Köln Hbf (an 10:35),6
05:12,RE 93759,Potsdam Hbf (an 05:51),
05:12,RE 94758,Potsdam Hbf (an 05:51),
05:22,RE 21817,Flughafen BER (an 05:45),
05:25 (+1),RE 3103,Hennigsdorf(b Berlin) (an 06:23),7
05:25,RE 92303,Berlin-Spandau (an 05:54),
05:28,RE 93754,Frankfurt(Oder) (an 06:35),
05:38,RE 3102,Cottbus Hbf (an 06:56),1
05:49,RE 93719,Berlin-Wannsee (an 06:20),
05:49,RE 94718,Berlin-Wannsee (an 06:20),
05:56,ICE 240,Amsterdam Centraal (an 11:59),
05:57 (+21),RE 3704,Senftenberg (an 07:41),1
06:04,RE 3709,Berlin Zoologischer Garten (an 06:20),
06:11,RE 94713,Frankfurt(Oder) (an 07:18),
06:12,RE 94760,Potsdam Hbf (an 06:51),
06:21 (+13),ICE 644,Köln Hbf (an 11:32),6
06:25,RE 3105,Hennigsdorf(b Berlin) (an 07:23),7
06:31 (+1),IC 2432,Norddeich Mole (an 14:20),6
06:38,RE 3104,Cottbus Hbf (an 07:57),1
06:42 Ausfall,ICE 1548,Köln Hbf (an 12:13),3
06:48,RE 94755,Frankfurt(Oder) (an 07:47),
06:49,RE 92078,Berlin-Wannsee (an 07:20),
06:49,RE 94720,Berlin-Wannsee (an 07:20),
06:58,RE 3706,Lübbenau(Spreewald) (an 08:03),2
07:04 (+22),RE 3711,Dessau Hbf (an 08:53),7
07:08,ICE 2595,Frankfurt(Main)Hbf (an 12:26),
07:11,RE 94715,Frankfurt(Oder) (an 08:20),
07:12,RE 75851,Potsdam Hbf (an 07:51),
07:12,RE 94762,Berlin Hbf (an 07:22),
07:19 (+2),ICE 944,Köln Hbf (an 12:33),6
07:25,RE 3107,Hennigsdorf(b Berlin) (an 08:23),7
07:38,RE 3106,Cottbus Hbf (an 08:56),1
07:46 (+134),IC 60409,Berlin Hbf (an 07:53),6
07:46 (+85),NJ 409,Berlin Hbf (an 07:53),6
07:49,RE 33682,Berlin-Wannsee (an 08:20),
07:49,RE 94722,Berlin Hbf (an 07:59),
07:56,ICE 148,Amsterdam Centraal (an 14:01),
07:58,RE 3708,Senftenberg (an 09:41),2
08:00 (+1),ICE 642,Köln Hbf (an 13:34),6
08:04,RE 3713,Dessau Hbf (an 09:53),7
08:12,RB 94764,Berlin Hbf (an 08:22),
08:12,RE 75853,Potsdam Hbf (an 08:51),
08:25,RE 3109,Hennigsdorf(b Berlin) (an 09:23),7
08:38,RE 3108,Cottbus Hbf (an 09:55),1
08:49,RE 33684,Berlin-Wannsee (an 09:20),
08:49 (+2),RE 94724,Berlin-Wannsee (an 09:20),
08:58,RE 3710,Senftenberg (an 10:41),2
09:04 (+1),RE 3715,Dessau Hbf (an 10:53),7
09:08 (+1),ICE 797,Göttingen (an 11:51),3
09:12,RE 75855,Potsdam Hbf (an 09:51),
09:12,RE 94766,Berlin-Wannsee (an 09:41),
09:19 (+1),ICE 942,Köln Hbf (an 14:32),6
09:25 (+29),RE 3111,Hennigsdorf(b Berlin) (an 10:23),7
09:38 (+5),RE 3110,Cottbus Hbf (an 10:55),1
09:47,ICE 146,Amsterdam Centraal (an 16:01),6
09:49,RE 33686,Berlin-Wannsee (an 10:20),
09:49 (+2),RE 94726,Berlin-Wannsee (an 10:20),
09:58 (+1),RE 3712,Senftenberg (an 11:41),2
10:04 (+1),RE 3717,Potsdam-Rehbrücke (an 10:43),7
10:12,RE 75857,Potsdam Hbf (an 10:51),
10:12,RE 94768,Berlin-Wannsee (an 10:41),
10:24 (+5),ICE 640,Köln Hbf (an 15:34),6
10:25,RE 3113,Hennigsdorf(b Berlin) (an 11:23),7
10:38,RE 3112,Cottbus Hbf (an 11:55),1
10:49,RE 33688,Berlin-Wannsee (an 11:20),
10:49,RE 94728,Berlin-Wannsee (an 11:20),
10:58 (+9),RE 3714,Senftenberg (an 12:41),2
11:04 (+3),RE 3719,Dessau Hbf (an 12:53),7
11:12,RE 92646,Potsdam Hbf (an 11:51),
11:12,RE 94770,Berlin Hbf (an 11:22),
11:20,ICE 940,Köln Hbf (an 16:33),6
11:25,RE 3115,Hennigsdorf(b Berlin) (an 12:23),7
11:38,RE 3114,Cottbus Hbf (an 12:55),
11:49,RE 33690,Berlin-Wannsee (an 12:20),
11:49,RE 94730,Berlin-Wannsee (an 12:20),
11:56,ICE 144,Amsterdam Centraal (an 18:00),
