Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:16,00:16,RE 3360,Angermünde (an 01:26),
00:16,00:16,RE 3366,Eberswalde Hbf (an 01:04),3
00:43,00:43,RE 3363,Lutherstadt Wittenberg Hbf (an 01:57),
01:57,01:57,RE 3362,Eberswalde Hbf (an 02:48),
04:49,04:49,RE 62040,Elsterwerda (an 06:29),1
04:56,04:56,RB 21813,Flughafen BER (an 05:14),1
05:10 (+1),05:11,RE 62003,Wittenberge (an 06:56),4
05:12,05:12,RB 92144,Berlin-Lichterfelde Ost (an 05:21),
05:15 (+45),06:00,RE 18750,Stralsund Hbf (an 08:45),3
05:15 Ausfall,--:--,RE 3302,Stralsund Hbf (an 08:45),3
05:26,05:26,RB 21817,Flughafen BER (an 05:45),1
05:35,05:35,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),1
05:41,05:41,RE 3504,Stralsund Hbf (an 08:51),
05:46 (+1),05:47,RE 62000,Elsterwerda (an 07:15),1
05:48,05:48,RE 3167,Stendal Hbf (an 07:13),
05:50,05:50,RB 18501,Berlin Hbf (an 05:53),4
06:12,06:12,RE 62005,Wismar (an 09:37),4
06:16 (+1),06:17,RE 3342,Schwedt(Oder) (an 07:55),3
06:41,06:41,RE 4352,Rostock Hbf (an 09:23),
06:43,06:43,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2
06:47,06:47,RE 3147,Berlin-Spandau (an 07:04),
06:48,06:48,RE 62002,Elsterwerda (an 08:31),1
07:10 (+1),07:11,RE 62007,Wittenberge (an 08:56),4
07:15,07:15,RE 3,Hannover Hbf (an 23:15),
07:15 (+1),07:16,RE 3304,Stralsund Hbf (an 10:44),3
07:35,07:35,RE 3343,Luckenwalde (an 08:27),1
07:40,07:40,RE 3506,St. Gallen(CH) (an 23:34),4
07:46 (+2),07:48,RE 62004,Elsterwerda (an 09:14),1
07:48,07:48,RE 3169,Stendal Hbf (an 09:13),
08:10,08:10,RE 3166,Jüterbog (an 08:54),2
08:13 (+3),08:16,RE 62009,Wismar (an 11:37),4
08:16 (+2),08:18,RE 3344,Schwedt(Oder) (an 09:55),3
08:41,08:41,RE 4354,Rostock Hbf (an 11:23),4
08:41,08:41,RE 5,Freilassing (an 23:36),
08:43 (+3),08:46,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2
08:47 (+3),08:50,RE 3149,Rathenow (an 09:54),3
08:48 (+2),08:50,RE 62006,Elsterwerda (an 10:31),1
08:50,08:50,RB 18507,Berlin Hbf (an 08:53),4
09:05,09:05,RB 21842,Berlin Hbf (an 09:08),4
09:10 (+1),09:11,RE 62011,Wittenberge (an 10:56),4
09:11,09:11,RB 18506,Lübbenau(Spreewald) (an 10:14),1
09:11,09:11,RE 20,Cottbus Hbf (an 22:48),
09:12,09:12,RE 3148,Falkenberg(Elster) (an 10:44),2
09:15 (+2),09:17,RE 3306,Stralsund Hbf (an 12:44),3
09:26 (+9),09:35,RE 4355,Schönefeld(bei Berlin) (an 09:45),1
09:35 (+2),09:37,RE 3345,Luckenwalde (an 10:27),1
09:36,09:36,RE 3508,Stralsund Hbf (an 12:51),4
09:46,09:46,RE 62008,Baruth(Mark) (an 10:36),1
09:48 (+1),09:49,RE 3171,Stendal Hbf (an 11:13),3
09:50 (+6),09:56,RB 18509,Berlin Hbf (an 09:53),4
10:05,10:05,RB 21850,Berlin Hbf (an 10:08),4
10:10 (+2),10:12,RE 3168,Jüterbog (an 10:54),2
10:11,10:11,RB 18508,Lübben(Spreewald) (an 11:06),
10:12 (+1),10:13,RE 62013,Wismar (an 13:37),4
10:16 (+5),10:21,RE 3346,Schwedt(Oder) (an 11:55),3
10:26 (+1),10:27,RB 21857,Flughafen BER (an 10:45),1
10:36 (+4),10:40,RB 21854,Rostock Hbf (an 13:23),4
10:41,10:41,RB 21859,Flughafen BER (an 11:00),1
10:41 (+4),10:45,RE 4356,Rostock Hbf (an 13:23),4
10:43 (+1),10:44,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2
10:47,10:47,RE 3151,Rathenow (an 11:54),3
10:48,10:48,RE 62010,Elsterwerda (an 12:31),1
