Ankunft,Zugnr.,von (Abfahrt),Gleis
00:05 (+2),RE 3182,Stendal Hbf (ab 22:50),3
00:13 (+5),ICE 2915,Hamburg-Altona (ab 21:26),12
00:13 (+5),ICE 901,Hamburg-Altona (ab 21:26),12
00:16,RB 21962,Berlin Ostkreuz (ab 00:00),14
00:19,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),6
00:21 (+1),RE 73826,Berlin Ostkreuz (ab 00:06),14
00:23,FEX,Berlin Ostkreuz (ab 00:00),
00:23,RB 21964,Flughafen BER (ab 00:01),
00:26 (+10),ICE 947,Köln Hbf (ab 19:27),11
00:27,RB 93045,Berlin Ostkreuz (ab 00:12),
00:27 (+19),RE 3745,Senftenberg (ab 22:26),14
00:27,RE 7,Denzlingen (ab 00:20),
00:27 (+1),RE 93045,Berlin Ostkreuz (ab 00:12),14
00:30 (+22),ICE 2834,München Hbf (ab 16:45),7
00:30 (+22),ICE 592,München Hbf (ab 16:45),7
00:30,RE 3319,Stralsund Hbf (ab 21:10),4
00:35 (+1),ICE 700,München Hbf (ab 19:09),5
00:36,RE 62038,Wustermark (ab 00:02),2
00:39,RB 21966,Flughafen BER (ab 00:16),
00:49 (+1),RE 3141,Cottbus Hbf (ab 23:03),13
00:50,RE 3140,Berlin-Charlottenburg (ab 00:42),11
00:53,RB 94796,Erkner (ab 00:20),
00:53,RE 73796,Erkner (ab 00:20),
00:54 (+1),ICE 1500,München Hbf (ab 20:21),5
00:54,RB 56816,Schwerin Hbf (ab 22:14),
00:54 (+8),RE 56816,Oranienburg (ab 00:15),1
01:02,RE 3742,Dessau Hbf (ab 23:23),11
01:04,RB 21968,Flughafen BER (ab 00:30),14
01:20 (+11),RE 73791,Magdeburg Hbf (ab 23:21),12
01:20,RE 94791,Berlin Zoologischer Garten (ab 01:16),12
01:29 (+9),ICE 1707,Hamburg-Altona (ab 22:34),12
01:42,RB 21969,Berlin-Charlottenburg (ab 01:33),12
01:48,RE 73752,Erkner (ab 01:16),14
01:54 Ausfall,RE 21800,Flughafen BER (ab 01:22),14
01:55 Ausfall,ICE 274,Basel SBB (ab 18:16),12
02:00,RE 3,Berlin-Lichterfelde Ost (ab 07:03),
02:36,ICE 647,Köln Hbf (ab 21:26),12
02:47,RB 62089,Wustermark (ab 02:16),7
02:54 (+22),RB 21802,Flughafen BER (ab 02:22),14
02:57,RB 21803,Berlin-Charlottenburg (ab 02:48),12
03:27 (+15),RB 21805,Berlin-Charlottenburg (ab 03:18),12
03:27,RE 21805,Berlin-Charlottenburg (ab 03:18),
03:59 (+10),ICE 646,Berlin Ostbahnhof (ab 03:52),14
04:09,RE 73751,Berlin Zoologischer Garten (ab 04:04),11
04:13 (+1),RE 3705,Berlin Ostkreuz (ab 03:54),14
04:22,RE 21811,Berlin-Charlottenburg (ab 04:13),12
04:24,ICE 277,Berlin Ostbahnhof (ab 04:15),13
04:28,RE 73801,Berlin-Charlottenburg (ab 04:20),11
04:33,RE 2,Northeim(Han) (ab 00:36),
04:33,RE 3101,Berlin Ostkreuz (ab 04:16),13
04:35,ICE 1706,Berlin Südkreuz (ab 04:29),8
04:38,RE 21813,Berlin-Charlottenburg (ab 04:29),12
04:44,RE 21806,Flughafen BER (ab 04:10),14
04:44,RE 3702,Bad Belzig (ab 03:41),11
04:44,RE 92402,Bad Belzig (ab 03:41),
04:45,RB 62094,Berlin Südkreuz (ab 04:38),8
04:45,RE 3369,Eberswalde Hbf (ab 04:03),4
04:45 (+1),RE 62040,Wustermark (ab 04:16),1
04:53 (+3),RB 21808,Flughafen BER (ab 04:31),3
05:01 (+1),RE 94716,Erkner (ab 04:24),13
05:06,RE 3144,Rathenow (ab 04:09),2
05:07 (+1),RB 56801,Berlin Südkreuz (ab 05:00),6
05:07,RE 56801,Berlin Südkreuz (ab 05:00),6
05:08,RE 21810,Flughafen BER (ab 04:46),8
05:09,RE 21817,Berlin-Charlottenburg (ab 05:00),12
05:11,RE 4351,Neustrelitz Hbf (ab 03:49),4
05:13 (+1),RE 3707,Lübbenau(Spreewald) (ab 03:53),13
05:13,RE 62003,Baruth(Mark) (ab 04:19),7
05:18,RE 3302,Jüterbog (ab 04:22),5
05:21 (+1),ICE 593,Berlin Gesundbrunnen (ab 05:16),4
05:23,RE 21812,Flughafen BER (ab 05:01),8
05:24,ICE 946,Berlin Ostbahnhof (ab 05:08),14
05:24,RE 3102,Hennigsdorf(b Berlin) (ab 04:31),11
05:29 (+1),RE 3341,Schwedt(Oder) (ab 04:04),2
05:32,ICE 1501,Berlin Gesundbrunnen (ab 05:26),4
05:35 (+3),RE 3103,Cottbus Hbf (ab 04:00),14
05:35 (+1),RE 62000,Elstal (ab 05:07),2
05:36,ICE 608,Berlin Südkreuz (ab 05:31),6
05:39,RB 21814,Flughafen BER (ab 05:16),
05:43 (+1),RE 3504,Berlin Südkreuz (ab 05:34),5
05:43 (+2),RE 3704,Dessau Hbf (ab 04:05),12
05:43,RE 94704,Dessau Hbf (ab 04:05),
05:45,RB 62050,Wünsdorf-Waldstadt (ab 04:50),7
05:51 (+53),ICE 1541,Köln Hbf (ab 23:27),2
05:52,RE 3167,Jüterbog (ab 05:02),7
05:53,RB 18501,Cottbus Hbf (ab 04:24),8
05:53,RE 18501,Cottbus Hbf (ab 04:24),8
05:57,RE 94713,Berlin Zoologischer Garten (ab 05:52),11
05:59 (+1),RE 94718,Eisenhüttenstadt (ab 04:21),14
06:03,ICE 240,Berlin Südkreuz (ab 05:50),6
06:05,RE 3164,Stendal Hbf (ab 04:48),2
06:05,RE 4,Stendal Hbf (ab 04:48),
06:08,RE 21818,Flughafen BER (ab 05:46),8
06:11,RE 3503,Neubrandenburg (ab 04:27),4
06:12,RB 62051,Wustermark (ab 05:39),1
06:13 (+1),RE 3709,Senftenberg (ab 04:11),13
06:14 (+14),EC 430,Opalenica (ab 03:43),13
06:15,RE 62005,Elsterwerda (ab 04:29),7
06:18 (+2),RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),6
06:22,ICE 503,Berlin Gesundbrunnen (ab 06:16),3
06:23,RE 21820,Flughafen BER (ab 06:01),8
