Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:02,RE 73794,Brandenburg Hbf (an 00:55),
00:16 (+26),ICE 276,Berlin Ostbahnhof (an 00:32),2
00:23,RB 21962,Berlin-Charlottenburg (an 00:26),4
00:28 (+5),ICE 645,Berlin Ostbahnhof (an 00:47),1
00:35,RE 3745,Bad Belzig (an 01:31),3
00:46,RE 3140,Cottbus Hbf (an 02:40),1
00:57,RE 3141,Berlin-Charlottenburg (an 01:00),4
00:57,RE 3742,Berlin Ostkreuz (an 01:20),2
01:02,RE 73796,Magdeburg Hbf (an 02:48),4
01:11 (+1),RB 21968,Berlin-Charlottenburg (an 01:13),4
01:16,RE 94791,Frankfurt(Oder) (an 02:38),
01:37,RB 21969,Flughafen BER (an 02:15),2
02:31,RB 94793,Frankfurt(Oder) (an 03:55),
03:13,RE 73754,Magdeburg Hbf (an 05:08),
04:04,RE 73751,Frankfurt(Oder) (an 05:29),
04:09,ICE 646,Minden(Westf) (an 06:48),
04:21,RE 3705,Bad Belzig (an 05:17),
04:24,RE 73801,Frankfurt(Oder) (an 05:36),
04:35,ICE 277,Chur (an 14:22),
04:39,RE 3702,Schönwalde(Spreewald) (an 05:49),
04:39,RE 92402,Lübben(Spreewald) (an 05:56),
04:42,RE 2,Düsseldorf Flughafen (an 07:45),
04:42,RE 3101,Berlin-Spandau (an 04:53),
04:45,RE 73756,Brandenburg Hbf (an 05:33),
05:09,RE 73716,Magdeburg Hbf (an 06:50),
05:09,RE 73753,Frankfurt(Oder) (an 06:35),
05:19,RE 3102,Cottbus Hbf (an 06:56),1
05:21,RE 3707,Dessau Hbf (an 06:53),3
05:21,RE 93007,Berlin-Wannsee (an 05:34),
05:30,RE 73758,Brandenburg Hbf (an 06:19),
05:33,ICE 946,Köln Hbf (an 10:35),3
05:39,RE 3704,Senftenberg (an 07:41),2
05:44,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:44,RE 92303,Berlin-Spandau (an 05:54),
05:52,RE 73713,Frankfurt(Oder) (an 07:18),
05:52,RE 94713,Frankfurt(Oder) (an 07:18),
06:08,RE 73718,Magdeburg Hbf (an 07:50),4
06:19,RE 3104,Cottbus Hbf (an 07:57),1
06:21,RE 3709,Bad Belzig (an 07:17),
06:30,RE 73755,Frankfurt(Oder) (an 07:47),2
06:30,RE 73760,Brandenburg Hbf (an 07:19),4
06:36 (+3),ICE 279,Karlsruhe Hbf (an 11:59),3
06:39,RE 3706,Schönwalde(Spreewald) (an 07:49),2
06:44,ICE 1272,Berlin Ostbahnhof (an 07:02),1
06:44,RE 3105,Hennigsdorf(b Berlin) (an 07:23),4
06:52 (+2),RE 73715,Frankfurt(Oder) (an 08:20),2
07:08,RE 73720,Magdeburg Hbf (an 08:50),4
07:19,RE 3106,Cottbus Hbf (an 08:56),1
07:21 (+1),RE 3711,Dessau Hbf (an 08:53),4
07:21,RE 7,Flensburg (an 23:45),
07:30,RE 73757,Frankfurt(Oder) (an 08:43),2
07:30,RE 73762,Brandenburg Hbf (an 08:23),4
07:39,IC 2432,Norddeich Mole (an 14:20),3
07:39,RE 3708,Senftenberg (an 09:41),2
07:39,RE 94008,Lübbenau(Spreewald) (an 09:03),
07:44,RE 3107,Berlin-Spandau (an 07:54),
07:44,RE 91000,Berlin-Spandau (an 07:54),
07:52 (+5),RE 73717,Frankfurt(Oder) (an 09:18),2
07:58,RB 18146,Berlin-Wannsee (an 08:10),
08:08 (+3),RE 73722,Magdeburg Hbf (an 09:50),3
08:19,RE 3108,Cottbus Hbf (an 09:55),1
08:21,RE 3713,Dessau Hbf (an 09:53),3
08:30,RE 73759,Frankfurt(Oder) (an 09:43),2
08:30,RE 73764,Brandenburg Hbf (an 09:19),4
08:39 (+1),RE 3710,Senftenberg (an 10:41),2
08:44,RE 3109,Hennigsdorf(b Berlin) (an 09:23),4
08:52 (+1),RE 73719,Frankfurt(Oder) (an 10:18),2
08:58,RB 18148,Berlin-Wannsee (an 09:10),
09:08 (+1),RE 73724,Magdeburg Hbf (an 10:50),3
09:19,RE 3110,Cottbus Hbf (an 10:55),1
09:21 (+1),RE 3715,Dessau Hbf (an 10:53),3
09:30 (+2),RE 73761,Frankfurt(Oder) (an 10:43),2
09:30,RE 73766,Brandenburg Hbf (an 10:19),4
09:39 (+2),RE 3712,Senftenberg (an 11:41),1
09:39,RE 94012,Lübben(Spreewald) (an 10:56),
09:44,RE 3111,Hennigsdorf(b Berlin) (an 10:23),4
09:52 (+13),RE 73721,Frankfurt(Oder) (an 11:18),2
09:58,RB 18150,Berlin-Wannsee (an 10:10),
10:08 (+3),RE 73726,Magdeburg Hbf (an 11:50),4
10:19,RE 3112,Cottbus Hbf (an 11:55),1
10:21 (+5),RE 3717,Dessau Hbf (an 11:53),3
10:30,RE 73763,Frankfurt(Oder) (an 11:43),2
10:30,RE 73768,Brandenburg Hbf (an 11:19),4
10:39 (+3),RE 3714,Senftenberg (an 12:41),2
10:44,RE 3113,Hennigsdorf(b Berlin) (an 11:23),4
10:52 (+8),RE 73723,Frankfurt(Oder) (an 12:18),2
11:08 (+3),RE 73728,Magdeburg Hbf (an 12:50),4
11:19,RE 3114,Cottbus Hbf (an 12:55),1
