Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:06,RE 73826,Berlin Zoologischer Garten (an 00:28),2
00:10 (+11),RE 3138,Cottbus Hbf (an 01:40),1
00:24,RE 62036,Baruth(Mark) (an 00:35),1
00:33,RE 3141,Berlin-Charlottenburg (an 01:00),2
00:38,RB 94796,Berlin-Wannsee (an 01:15),
01:09,RE 3140,Cottbus Hbf (an 03:00),1
01:33,RE 73752,Brandenburg Hbf (an 02:51),2
01:59,RB 21969,Naumburg(Saale)Hbf (an 14:13),1
03:59,RE 3705,Dessau Hbf (an 05:53),2
04:16,RE 3101,Hennigsdorf(b Berlin) (an 05:23),2
04:27,RE 73751,Frankfurt(Oder) (an 05:29),
04:41,RB 18300,Berlin Gesundbrunnen (an 16:34),14
04:46,RE 73801,Frankfurt(Oder) (an 05:36),
04:46,RE 94716,Berlin-Wannsee (an 05:21),2
04:48,RB 61101,Oranienburg (an 05:21),
05:02 (+3),RE 3702,Senftenberg (an 06:41),1
05:02,RE 92402,Lübben(Spreewald) (an 05:56),
05:07,RE 1,Bruchsal (an 07:32),
05:07,RE 94758,Potsdam Hbf (an 05:51),
05:18,RB 18200,Berlin-Lichtenberg (an 05:22),14
05:20,RE 3103,Hennigsdorf(b Berlin) (an 06:23),2
05:20,RE 95005,Berlin-Spandau (an 05:54),
05:22,RB 18303,Flughafen BER (an 05:40),
05:32,RB 94753,Frankfurt(Oder) (an 06:35),
05:32,RE 94753,Frankfurt(Oder) (an 06:35),
05:41,RB 18302,Eberswalde Hbf (an 06:27),14
05:42,RE 2,Bingen(Rhein) Hbf (an 22:11),
05:42,RE 3102,Cottbus Hbf (an 06:56),1
05:44,RE 93719,Berlin Zoologischer Garten (an 06:07),
05:44,RE 94718,Berlin-Wannsee (an 06:20),2
05:46,RB 18203,Ludwigsfelde (an 06:24),13
05:48,RB 61103,Oranienburg (an 06:21),
06:01,RE 3704,Senftenberg (an 07:41),1
06:01,RE 95111,Lübbenau(Spreewald) (an 07:03),
06:05 (+2),EC 41,Warszawa Wschodnia (an 11:15),1
06:07,RE 94760,Berlin-Wannsee (an 06:41),2
06:16,RE 94713,Frankfurt(Oder) (an 07:18),1
06:18,RB 18202,Berlin-Lichtenberg (an 06:22),14
06:20 (+5),RE 3105,Hennigsdorf(b Berlin) (an 07:23),2
06:41,RB 18304,Eberswalde Hbf (an 07:27),14
06:42,RE 3104,Cottbus Hbf (an 07:57),1
06:44,RE 92078,Berlin-Wannsee (an 07:20),
06:44,RE 94720,Berlin-Wannsee (an 07:20),2
06:46,RB 18205,Ludwigsfelde (an 07:24),13
06:48,RB 61105,Oranienburg (an 07:21),
06:53,RE 94755,Frankfurt(Oder) (an 07:47),
06:59 (+1),RE 3711,Dessau Hbf (an 08:53),2
07:02,RE 3706,Senftenberg (an 08:41),1
07:07,RE 75851,Potsdam Hbf (an 07:51),
07:07,RE 94762,Berlin-Wannsee (an 07:41),
07:16,RE 94715,Frankfurt(Oder) (an 08:20),1
07:18,RB 18204,Berlin-Lichtenberg (an 07:22),14
07:20,RE 3107,Hennigsdorf(b Berlin) (an 08:23),2
07:22,RB 18307,Blankenfelde(Teltow-Fläming) (an 07:51),13
07:41,RB 18306,Eberswalde Hbf (an 08:27),
07:42,RE 3106,Cottbus Hbf (an 08:56),1
07:44,RE 94722,Berlin-Wannsee (an 08:20),
07:46,RB 18207,Ludwigsfelde (an 08:24),13
07:48,RB 61107,Templin Stadt (an 09:18),7
07:53,RE 94757,Frankfurt(Oder) (an 08:43),
07:59 (+13),RE 3713,Dessau Hbf (an 09:53),2
08:02 (+1),RE 3708,Senftenberg (an 09:41),1
08:07,RB 94764,Berlin-Wannsee (an 08:41),
08:07,RE 75853,Potsdam Hbf (an 08:51),
08:16,RE 94717,Frankfurt(Oder) (an 09:18),1
