Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:03 (+10),ICE 1000,Berlin Gesundbrunnen (an 00:20),8
00:08,RB 62086,Berlin Hbf (an 00:15),8
00:10,RE 3359,Jüterbog (an 01:01),4
00:12,RE 3366,Eberswalde Hbf (an 01:04),7
00:15,RB 21964,Berlin Hbf (an 00:23),
00:24 (+72),ICE 592,Berlin Hbf (an 00:30),6
00:31,RB 21966,Berlin Hbf (an 00:39),8
00:44,ICE 700,Berlin Gesundbrunnen (an 00:43),6
00:49 (+93),ICE 2920,Berlin Gesundbrunnen (an 01:02),7
00:51,RE 3363,Jüterbog (an 01:41),4
01:01,RB 21967,Naumburg(Saale)Hbf (an 13:13),3
04:20 (+1),ICE 1706,Hamburg Hbf (an 07:11),7
04:38,RB 62094,Wustermark (an 05:18),
04:45,RB 21808,Berlin Hbf (an 04:53),
04:55 (+2),RE 62040,Elsterwerda (an 06:29),3
05:00,RB 56801,Schwerin Hbf (an 07:48),7
05:00,RE 21810,Berlin Hbf (an 05:08),8
05:00,RE 56801,Schwerin Hbf (an 07:48),
05:06,RE 62003,Elstal (an 05:53),8
05:10 (+2),RE 3302,Stralsund Hbf (an 08:45),6
05:15,RE 21812,Berlin Hbf (an 05:23),8
05:17 (+1),RE 3144,Jüterbog (an 05:56),4
05:31,ICE 608,Hamburg Hbf (an 08:15),6
05:31,RB 21814,Berlin Hbf (an 05:39),8
05:34,RE 3504,Stralsund Hbf (an 08:51),4
05:35 (+1),ICE 593,München Hbf (an 13:15),5
05:38 (+1),RB 62050,Wustermark (an 06:19),7
05:42,ICE 1501,München Hbf (an 09:41),5
05:44 (+2),RE 3167,Schorndorf (an 17:09),7
05:46,RE 3,Pasewalk (an 23:19),
05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),4
05:46,RE 91801,Lutherstadt Wittenberg Hbf (an 07:06),
05:50 Ausfall,ICE 240,Amsterdam Centraal (an 11:59),7
05:51 (+1),RE 62000,Elsterwerda (an 07:15),3
05:58 Ausfall,ICE 701,Graz Hbf (an 13:15),5
06:00,RE 21818,Berlin Hbf (an 06:08),
06:07,RE 62005,Elstal (an 06:49),8
06:10,RB 18500,Lübbenau(Spreewald) (an 07:18),3
06:12 (+2),RE 3342,Schwedt(Oder) (an 07:55),6
06:15,RE 21820,Berlin Hbf (an 06:23),
06:15 (+5),RE 3164,Jüterbog (an 06:54),5
06:23,RB 62051,Rangsdorf (an 06:38),3
06:26 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),7
06:26 (+1),ICE 1714,Köln Hbf (an 18:25),
06:26,ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,RE 21822,Berlin Hbf (an 06:39),
06:34 (+1),RE 4352,Rostock Hbf (an 09:21),4
06:35 (+2),ICE 503,München Hbf (an 11:07),5
06:38,RB 62052,Dallgow-Döberitz (an 07:09),8
06:42 (+1),ICE 1003,München Hbf (an 10:45),5
06:43 (+2),RE 3147,Rathenow (an 07:52),6
06:45 (+1),RB 18503,Berlin Hbf (an 06:53),8
06:45,RE 18503,Berlin Hbf (an 06:53),8
06:49 (+1),RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,RE 21826,Berlin Hbf (an 07:08),8
07:06,RE 62007,Elstal (an 07:53),8
07:10,RE 20,Cottbus Hbf (an 21:48),
07:10 (+1),RE 3304,Stralsund Hbf (an 10:44),6
07:13 (+9),ICE 9590,Paris Est (an 14:51),5
07:15,RE 21828,Berlin Hbf (an 07:23),8
07:17,RE 3146,Falkenberg(Elster) (an 08:44),4
07:23,RB 62053,Rangsdorf (an 07:38),3
07:24,ICE 606,Hamburg-Altona (an 10:24),6
07:26 (+8),IC 2274,Rostock Hbf (an 09:37),7
07:31,RE 21830,Berlin Hbf (an 07:39),8
07:34 (+1),RE 3506,Stralsund Hbf (an 10:51),4
07:35 (+1),ICE 2827,Stuttgart Hbf (an 23:11),5
07:35 (+1),ICE 595,München Hbf (an 15:14),5
07:36 (+6),EN 40476,Berlin Hbf (an 07:41),8
07:36 (+6),NJ 456,Berlin Hbf (an 07:41),8
07:37 (+1),RJ 171,Praha hl.n. (an 11:25),3
07:42,ICE 1503,München Hbf (an 11:43),5
07:44,RE 3169,Stendal Hbf (an 09:30),6
07:45 (+1),RB 18505,Berlin Hbf (an 07:53),8
07:45,RE 18505,Berlin Hbf (an 07:53),8
07:46 (+6),RE 3343,Luckenwalde (an 08:27),4
07:50 Ausfall,ICE 148,Amsterdam Centraal (an 14:01),7
07:51 (+2),RE 62004,Elsterwerda (an 09:14),3
07:54,DRF 1322,Köln Hbf (an 13:41),7
07:54 (+1),FLX 1322,Köln Hbf (an 13:41),6
08:00,ICE 2865,München Hbf (an 12:42),5
08:00,ICE 2911,München Hbf (an 12:42),5
08:00,ICE 698,Berlin Gesundbrunnen (an 08:14),6
08:00,ICE 703,München Hbf (an 12:42),5
08:00,RB 21834,Berlin Hbf (an 08:09),
08:07,RE 62009,Elstal (an 08:49),8
08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),3
08:12 (+1),RE 3344,Schwedt(Oder) (an 09:55),6
08:15,RE 21836,Berlin Hbf (an 08:23),8
08:15 (+2),RE 3166,Jüterbog (an 08:54),5
08:31,RE 21838,Berlin Hbf (an 08:39),
08:35 (+6),ICE 505,München Hbf (an 13:08),5
08:35,RE 4354,Rostock Hbf (an 11:21),4
08:36,IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),3
08:38 (+2),RB 62056,Wustermark (an 09:18),8
08:42 (+5),ICE 1005,München Hbf (an 12:46),5
08:43 (+3),RE 3149,Rathenow (an 09:54),6
08:45 (+1),RB 18507,Berlin Hbf (an 08:53),8
08:49 (+3),ICE 936,Ostseebad Binz (an 12:29),6
08:49 (+2),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
08:54 (+1),RE 62006,Elsterwerda (an 10:31),3
09:00,RB 21842,Berlin Hbf (an 09:08),
09:06,RE 62011,Elstal (an 09:55),8
09:10 (+1),RB 18506,Lübbenau(Spreewald) (an 10:15),3
09:10,RE 3306,Stralsund Hbf (an 12:44),6
09:13 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),5
09:15,RE 21844,Berlin Hbf (an 09:23),
09:17,ICE 1104,Berlin Gesundbrunnen (an 09:31),7
