Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:03,RE 3320,Eberswalde Hbf (an 01:00),
00:16 (+33),ICE 2845,Berlin Ostbahnhof (an 00:23),12
00:16 (+33),ICE 901,Berlin Ostbahnhof (an 00:23),12
00:16,RE 3359,Jüterbog (an 01:19),4
00:22,RE 3360,Angermünde (an 01:53),
00:22 (+3),RE 3366,Angermünde (an 01:53),6
00:23,RE 73826,Berlin Zoologischer Garten (an 00:28),14
00:25,RB 62086,Berlin-Spandau (an 00:35),7
00:39 (+1),ICE 700,Berlin Gesundbrunnen (an 00:43),5
00:40,RE 3363,Halle(Saale)Hbf (an 03:12),
00:45 (+13),ICE 947,Berlin Ostbahnhof (an 00:51),11
00:47 (+4),RB 56816,Berlin Südkreuz (an 00:53),
00:47,RE 56816,Berlin Südkreuz (an 00:53),1
00:47,RE 85,Hanau Hbf (an 09:01),
00:50 (+8),RE 3141,Berlin-Charlottenburg (an 01:00),13
00:52,RE 3140,Cottbus Hbf (an 03:00),11
00:53,RE 3165,Rathenow (an 01:54),3
00:58 (+1),ICE 1500,Halle(Saale)Hbf (an 23:35),5
01:04 (+3),RE 3742,Berlin Ostkreuz (an 01:20),11
01:22,RE 1,Bremen Hbf (an 23:05),
01:32 (+44),ICE 1707,Berlin Ostbahnhof (an 01:40),12
01:43,RB 21969,Naumburg(Saale)Hbf (an 14:13),12
01:50 (+1),RE 73752,Brandenburg Hbf (an 02:51),14
01:57,RE 62088,Berlin-Spandau (an 02:08),
01:59 (+19),ICE 274,Berlin Ostbahnhof (an 02:07),12
02:09,RE 3362,Eberswalde Hbf (an 02:48),
03:03,RE 62090,Wustermark (an 03:33),7
03:57,RB 10,Berlin Südkreuz (an 05:21),
03:57,RE 62092,Berlin-Spandau (an 04:09),
04:11,RE 73751,Frankfurt(Oder) (an 05:29),11
04:15 (+2),RE 3705,Dessau Hbf (an 05:53),14
04:25,RE 8,Koblenz Hbf (an 23:40),
04:28 (+1),ICE 277,Chur (an 14:22),13
04:28 (+1),ICE 646,Köln Hbf (an 09:33),14
04:29 (+4),ICE 1706,Hamburg Hbf (an 07:11),2
04:30,RE 73801,Frankfurt(Oder) (an 05:36),11
04:35,RE 2,Mainz Hbf (an 22:08),
04:35,RE 3101,Hennigsdorf(b Berlin) (an 05:23),13
04:39,RE 21813,Berlin Ostbahnhof (an 04:50),12
04:46 (+1),RE 3702,Senftenberg (an 06:41),11
04:46,RE 92402,Lübben(Spreewald) (an 05:56),
04:47 (+1),RE 3369,Berlin Südkreuz (an 04:53),4
04:47 (+1),RE 62040,Elsterwerda (an 06:29),
04:48,RB 62094,Wustermark (an 05:18),
04:54,RE 3145,Stendal Hbf (an 06:13),5
05:03,RE 94716,Berlin-Wannsee (an 05:21),13
05:09,RE 3144,Jüterbog (an 05:56),
05:09,RE 4,Aachen Hbf (an 23:37),
05:10,RB 56801,Schwerin Hbf (an 07:48),6
05:10,RE 21817,Berlin Ostbahnhof (an 05:20),
05:10,RE 56801,Schwerin Hbf (an 07:48),
05:14,RE 4351,Berlin Südkreuz (an 05:23),4
05:14,RE 5,Ulm Hbf (an 23:43),
05:16,RB 94753,Frankfurt(Oder) (an 06:35),
05:22 (+1),RE 3302,Stralsund Hbf (an 08:45),5
05:22,RE 3340,Greifswald (an 08:19),
05:24,RE 94758,Potsdam Hbf (an 05:51),
05:25,RE 62003,Elstal (an 05:53),7
05:26,RE 2,Bingen(Rhein) Hbf (an 22:11),
