Ankunft,Zugnr.,von (Abfahrt),Gleis
00:22,RE 3319,Stralsund Hbf (ab 21:10),6
00:26,RE 3366,Lutherstadt Wittenberg Hbf (ab 22:39),
00:39,RB 56816,Oranienburg (ab 00:15),
01:26,RE 3,Gräfenhainichen (ab 06:27),
01:26 (+17),RE 3361,Eberswalde Hbf (ab 00:53),7
04:22,RE 3340,Berlin Hbf (ab 04:18),9
04:37,RE 3369,Eberswalde Hbf (ab 04:03),
05:03,RE 4351,Neustrelitz Hbf (ab 03:49),
05:14 (+2),RB 56801,Berlin Südkreuz (ab 05:00),9
05:22,RE 3341,Schwedt(Oder) (ab 04:04),
05:27,RE 3302,Falkenberg(Elster) (ab 03:40),9
05:34,RE 3601,Neuruppin West (ab 04:24),6
05:46,RE 3377,Angermünde (ab 04:55),
05:51,RE 3504,Berlin Südkreuz (ab 05:34),10
06:03,RE 3503,Neubrandenburg (ab 04:27),6
06:22,RE 3301,Pasewalk (ab 04:44),6
06:28,RE 3342,Lutherstadt Wittenberg Hbf (ab 04:52),10
06:34,RE 3603,Wittstock(Dosse) (ab 04:50),6
06:35,RB 61080,Klosterfelde (ab 06:02),
06:37 (+3),ICE 904,München Hbf (ab 23:12),10
06:40,RB 21,Potsdam Hbf (ab 04:35),
06:51,RE 4352,Berlin Südkreuz (ab 06:34),10
06:57,RE 3331,Angermünde (ab 06:01),
07:03 (+1),RE 4353,Rostock Hbf (ab 04:34),6
07:03,RE 5,Sachsenhausen(Nordb) (ab 00:18),
07:07,IC 2432,Cottbus Hbf (ab 05:27),
07:21,RE 3343,Schwedt(Oder) (ab 06:04),6
07:28,RE 3,Dessau Hbf (ab 02:28),
07:28 (+1),RE 3304,Lutherstadt Wittenberg Hbf (ab 05:51),9
07:34,RE 3607,Wittstock(Dosse) (ab 05:50),6
07:34,RE 6,Klanxbüll (ab 04:41),
07:42,IC 2274,Dresden Hbf (ab 05:35),
07:44,RB 61082,Wandlitzsee (ab 07:18),
07:48 Ausfall,RB 18244,Werder(Havel) (ab 06:43),5
07:51 (+24),RE 3506,Berlin Südkreuz (ab 07:34),10
07:58,RE 3335,Angermünde (ab 07:10),
08:03,RE 3505,Stralsund Hbf (ab 05:02),6
08:14,ICE 698,München Hbf (ab 22:46),8
08:16 (+1),IC 2173,Rostock Hbf (ab 06:20),6
08:22,RE 3303,Stralsund Hbf (ab 05:10),6
08:28,RE 3344,Halle(Saale)Hbf (ab 05:46),9
08:34,RE 3609,Neuruppin West (ab 07:24),7
08:39,RB 56800,Schwerin Hbf (ab 06:14),9
08:51 (+1),RE 4354,Berlin Südkreuz (ab 08:35),10
09:02,ICE 936,Eisenach Hbf (ab 06:37),8
09:03,RE 4355,Rostock Hbf (ab 06:37),6
09:21,RE 3345,Schwedt(Oder) (ab 08:04),6
09:28,RE 3306,Luckenwalde (ab 08:35),9
09:31 (+4),ICE 1104,München Hbf (ab 05:17),8
09:34,RE 3611,Perleberg (ab 07:03),7
09:40 (+1),RB 18248,Werder(Havel) (ab 08:41),5
09:43,IC 2272,Dresden Hbf (ab 07:35),9
09:51,RE 3508,Berlin Südkreuz (ab 09:34),9
10:02 (+1),RE 3507,Stralsund Hbf (ab 07:02),6
10:16 (+1),IC 2175,Rostock Hbf (ab 08:20),6
10:22 (+1),RE 3305,Stralsund Hbf (ab 07:10),6
10:28 (+1),RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),9
10:31,ICE 1604,München Hbf (ab 06:19),8
10:34,RE 3613,Neuruppin West (ab 09:23),7
10:39,RB 56802,Schwerin Hbf (ab 08:14),9
10:40 (+5),RB 18250,Werder(Havel) (ab 09:41),5
10:43,ICE 2810,Frankfurt(Main)Hbf (ab 06:15),8
10:43,ICE 696,Frankfurt(Main)Hbf (ab 06:15),8
10:51 (+1),RE 4356,Berlin Südkreuz (ab 10:34),10
10:54,ICE 839,Stralsund Hbf (ab 08:07),6
11:02 (+46),ICE 934,Darmstadt Hbf (ab 06:37),8
11:03 (+2),RE 4357,Rostock Hbf (ab 08:37),6
11:21,RE 3347,Schwedt(Oder) (ab 10:04),6
11:28 (+7),RE 3308,Luckenwalde (ab 10:35),9
11:31,ICE 1102,München Hbf (ab 07:17),8
11:34 (+5),RE 3615,Perleberg (ab 09:03),6
11:40 (+2),RB 18252,Werder(Havel) (ab 10:41),5
11:43 (+2),IC 2270,Dresden Hbf (ab 09:35),9
11:51,RE 3510,Berlin Südkreuz (ab 11:34),9
12:03 (+1),RE 3509,Stralsund Hbf (ab 09:02),6
12:06,ICE 1162,Stuttgart Hbf (ab 07:04),10
12:16,IC 2177,Rostock Hbf (ab 10:21),6
12:16,ICE 802,München Hbf (ab 07:12),8
12:22,RE 3307,Stralsund Hbf (ab 09:10),6
12:28,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),9
12:31 (+2),ICE 1602,München Hbf (ab 08:21),8
12:34 (+14),RE 3617,Perleberg (ab 10:03),7
12:39 (+32),RB 56804,Schwerin Hbf (ab 10:14),9
12:40 (+10),RB 18254,Werder(Havel) (ab 11:41),5
12:43,ICE 694,Stuttgart Hbf (ab 06:49),8
12:51 (+1),RE 4358,Berlin Südkreuz (ab 12:34),10
12:54 (+4),ICE 931,Stralsund Hbf (ab 10:07),6
13:02 (+1),ICE 932,Saarbrücken Hbf (ab 06:28),8
13:03 (+11),RE 4359,Rostock Hbf (ab 10:37),6
13:21,RE 3349,Schwedt(Oder) (ab 12:04),6
13:28,RE 3310,Luckenwalde (ab 12:35),9
13:31,ICE 1100,München Hbf (ab 09:19),8
13:33 (+38),RE 3619,Perleberg (ab 11:03),6
13:40 (+5),RB 18256,Werder(Havel) (ab 12:41),5
13:43 (+5),IC 2178,Dresden Hbf (ab 11:35),9
13:51,RE 3512,Berlin Südkreuz (ab 13:34),9
14:03,RE 3511,Stralsund Hbf (ab 11:02),6
14:16 (+2),IC 2179,Rostock Hbf (ab 12:22),6
14:22 (+31),RE 3309,Stralsund Hbf (ab 11:10),6
14:28 (+31),RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),9
14:31 (+15),ICE 1600,München Hbf (ab 10:22),8
14:34 (+11),RE 3621,Perleberg (ab 12:03),7
14:39,RB 56806,Schwerin Hbf (ab 12:14),
14:40 (+2),RB 18258,Werder(Havel) (ab 13:41),5
14:43,ICE 692,München Hbf (ab 06:42),8
14:51 (+2),RE 4360,Berlin Südkreuz (ab 14:34),10
14:53 (+6),ICE 933,Ostseebad Binz (ab 11:24),7
15:02 (+128),ICE 930,Frankfurt(Main)Hbf (ab 11:02),7
15:03 (+3),RE 4361,Rostock Hbf (ab 12:37),6
15:20,GV 327,Amsterdam Centraal (ab 08:04),10
15:21,RE 3351,Schwedt(Oder) (ab 14:04),6
15:28,RE 3312,Luckenwalde (ab 14:35),9
15:31 (+3),ICE 1008,München Hbf (ab 11:18),8
15:34 (+10),RE 3623,Perleberg (ab 13:03),6
15:40 (+6),RB 18260,Werder(Havel) (ab 14:41),5
15:43,IC 2176,Dresden Hbf (ab 13:35),9
15:51 (+6),RE 3514,Berlin Südkreuz (ab 15:34),10
16:03 (+2),RE 3513,Stralsund Hbf (ab 13:02),6
16:13 (+52),ICE 1204,Innsbruck Hbf (ab 08:42),8
16:16,IC 2271,Rostock Hbf (ab 14:20),6
16:22,RE 3311,Stralsund Hbf (ab 13:10),6
16:28,RE 3352,Lutherstadt Wittenberg Hbf (ab 14:52),9
16:31 (+3),ICE 1508,München Hbf (ab 12:21),8
16:34 (+9),RE 3625,Perleberg (ab 14:03),7
16:39,RB 56808,Schwerin Hbf (ab 14:14),
16:40,RB 18262,Werder(Havel) (ab 15:41),5
16:43 (+15),ICE 2824,München Hbf (ab 07:12),8
16:43 (+15),ICE 690,München Hbf (ab 08:45),8
16:51,RE 4362,Berlin Südkreuz (ab 16:34),10
16:54,ICE 935,Ostseebad Binz (ab 13:24),6
17:02 (+39),ICE 838,Frankfurt(Main)Hbf (ab 13:02),10
17:03,RE 4363,Rostock Hbf (ab 14:37),6
17:21,RE 3353,Schwedt(Oder) (ab 16:04),6
17:28,RE 3314,Luckenwalde (ab 16:35),9
17:31,ICE 1006,München Hbf (ab 13:17),8
17:34 (+2),RE 3627,Perleberg (ab 15:03),6
17:40 (+3),RB 18264,Werder(Havel) (ab 16:41),5
17:43 (+2),IC 2174,Dresden Hbf (ab 15:35),9
17:51,RE 3516,Berlin Südkreuz (ab 17:36),9
18:03 (+6),RE 3515,Stralsund Hbf (ab 15:02),6
18:13 (+5),ICE 706,München Hbf (ab 13:12),8
18:16 (+4),IC 2273,Rostock Hbf (ab 16:20),6
18:22 (+16),RE 3313,Stralsund Hbf (ab 15:10),6
18:28 (+10),RE 3354,Lutherstadt Wittenberg Hbf (ab 16:52),10
18:31,ICE 1506,München Hbf (ab 14:21),8
18:34,RB 3629,Diekirch (ab 04:51),
18:34,RE 3629,Perleberg (ab 16:03),7
