Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:02 (+22),RE 73749,Eisenhüttenstadt (an 01:41),1
00:14,RB 21962,Berlin-Charlottenburg (an 00:26),4
00:19,RE 73826,Berlin Zoologischer Garten (an 00:28),4
00:25,RE 3745,Bad Belzig (an 01:31),4
00:47,RE 3141,Berlin-Charlottenburg (an 01:00),3
00:51,RE 73796,Magdeburg Hbf (an 02:48),
00:55,RE 3140,Cottbus Hbf (an 02:40),1
01:02 (+1),RB 21968,Berlin-Charlottenburg (an 01:13),4
01:07,RE 3742,Berlin Ostkreuz (an 01:20),1
01:26,RE 94791,Frankfurt(Oder) (an 02:38),
01:46,RB 21969,Flughafen BER (an 02:15),1
02:41,RB 94793,Frankfurt(Oder) (an 03:55),
03:03,RE 73754,Magdeburg Hbf (an 05:08),
04:12,RE 3705,Bad Belzig (an 05:17),
04:14,RE 73751,Frankfurt(Oder) (an 05:29),
04:31,RE 2,Düsseldorf Flughafen (an 07:45),
04:31,RE 3101,Berlin-Spandau (an 04:53),
04:33,RE 73801,Frankfurt(Oder) (an 05:36),
04:35,RE 73756,Brandenburg Hbf (an 05:33),
04:59,RE 73716,Magdeburg Hbf (an 06:50),
05:12,RE 3707,Dessau Hbf (an 06:53),3
05:12,RE 93007,Berlin-Wannsee (an 05:34),
05:19,RE 73753,Frankfurt(Oder) (an 06:35),
05:20,RE 73758,Brandenburg Hbf (an 06:19),
05:29,RE 3102,Cottbus Hbf (an 06:56),1
05:33,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:33,RE 92303,Berlin-Spandau (an 05:54),
05:48,RE 3704,Senftenberg (an 07:41),1
05:57 (+1),RE 73718,Magdeburg Hbf (an 07:50),3
06:02,RE 73713,Frankfurt(Oder) (an 07:18),
06:02,RE 94713,Frankfurt(Oder) (an 07:18),
06:12,RE 3709,Bad Belzig (an 07:17),
06:20,RE 73760,Brandenburg Hbf (an 07:19),3
06:29,RE 3104,Cottbus Hbf (an 07:57),1
06:33,RE 3105,Hennigsdorf(b Berlin) (an 07:23),4
06:40,RE 73755,Frankfurt(Oder) (an 07:47),1
06:49,RE 3706,Schönwalde(Spreewald) (an 07:49),1
06:57 (+1),RE 73720,Magdeburg Hbf (an 08:50),3
07:02 (+1),RE 73715,Frankfurt(Oder) (an 08:20),1
07:12 (+1),RE 3711,Dessau Hbf (an 08:53),3
07:12,RE 7,Flensburg (an 23:45),
07:20,RE 73762,Brandenburg Hbf (an 08:23),3
07:29,RE 3106,Cottbus Hbf (an 08:56),1
07:33,RE 3107,Berlin-Spandau (an 07:54),
07:33,RE 91000,Berlin-Spandau (an 07:54),
07:40,RE 73757,Frankfurt(Oder) (an 08:43),1
07:48,RB 18146,Berlin-Wannsee (an 08:10),
07:49,RE 3708,Senftenberg (an 09:41),1
07:57 (+6),RE 73722,Magdeburg Hbf (an 09:50),4
08:02 (+3),RE 73717,Frankfurt(Oder) (an 09:18),1
08:12,RE 3713,Dessau Hbf (an 09:53),4
08:20,RE 73764,Brandenburg Hbf (an 09:19),3
08:29,RE 3108,Cottbus Hbf (an 09:55),1
08:33,RE 3109,Hennigsdorf(b Berlin) (an 09:23),4
08:40,RE 73759,Frankfurt(Oder) (an 09:43),1
08:48,RB 18148,Berlin-Wannsee (an 09:10),
08:49,RE 3710,Senftenberg (an 10:41),1
08:57 (+1),RE 73724,Magdeburg Hbf (an 10:50),3
09:02 (+1),RE 73719,Frankfurt(Oder) (an 10:18),1
09:12 (+1),RE 3715,Dessau Hbf (an 10:53),3
09:20,RE 73766,Brandenburg Hbf (an 10:19),3
09:29,RE 3110,Cottbus Hbf (an 10:55),1
09:33,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
09:40 (+1),RE 73761,Frankfurt(Oder) (an 10:43),1
09:48,RB 18150,Berlin-Wannsee (an 10:10),
09:49,RE 3712,Senftenberg (an 11:41),1
09:57 (+4),RE 73726,Magdeburg Hbf (an 11:50),3
10:02 (+11),RE 73721,Frankfurt(Oder) (an 11:18),1
10:12 (+3),RE 3717,Dessau Hbf (an 11:53),4
10:20,RE 73768,Brandenburg Hbf (an 11:19),3
10:29,RE 3112,Cottbus Hbf (an 11:55),1
10:33,RE 3113,Hennigsdorf(b Berlin) (an 11:23),4
10:40,RE 73763,Frankfurt(Oder) (an 11:43),1
10:49 (+4),RE 3714,Senftenberg (an 12:41),1
10:57 (+3),RE 73728,Magdeburg Hbf (an 12:50),3
11:02 (+7),RE 73723,Frankfurt(Oder) (an 12:18),1
11:12 (+5),RE 3719,Dessau Hbf (an 12:53),3
11:20,RE 73770,Brandenburg Hbf (an 12:19),3
11:29,RE 3114,Cottbus Hbf (an 12:55),1
11:33,RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
11:33,RE 92315,Berlin-Spandau (an 11:54),
11:40 (+3),RE 73765,Frankfurt(Oder) (an 12:43),1
11:49 (+5),RE 3716,Senftenberg (an 13:41),1
11:57 (+4),RE 73730,Magdeburg Hbf (an 13:50),3
12:02 (+15),RE 73725,Frankfurt(Oder) (an 13:18),1
12:12 (+4),RE 3721,Dessau Hbf (an 13:53),3
12:20,RE 73772,Brandenburg Hbf (an 13:19),3
12:29,RE 3116,Cottbus Hbf (an 13:55),1
12:33,RE 3117,Hennigsdorf(b Berlin) (an 13:23),4
12:33,RE 92317,Berlin-Spandau (an 12:54),
12:40,RE 73767,Frankfurt(Oder) (an 13:43),1
12:49 (+3),RE 3718,Senftenberg (an 14:41),1
12:57 (+4),RE 73732,Magdeburg Hbf (an 14:50),3
13:02 (+17),RE 73727,Frankfurt(Oder) (an 14:18),1
13:12 (+2),RE 3723,Dessau Hbf (an 14:53),3
13:20,RE 73774,Brandenburg Hbf (an 14:19),3
13:29,RE 3118,Cottbus Hbf (an 14:55),1
13:33,RE 3119,Berlin-Spandau (an 13:54),
13:40,RE 73769,Frankfurt(Oder) (an 14:43),1
13:49 (+5),RE 3720,Senftenberg (an 15:41),1
13:57,RE 73734,Magdeburg Hbf (an 15:50),
14:02 (+7),RE 73729,Frankfurt(Oder) (an 15:18),1
14:12 (+13),RE 3725,Dessau Hbf (an 15:53),3
14:20,RE 73776,Brandenburg Hbf (an 15:19),3
14:29,RE 3120,Cottbus Hbf (an 15:55),1
14:33,RE 3121,Berlin-Spandau (an 14:54),
14:33,RE 92321,Berlin-Spandau (an 14:54),
14:40,RE 73771,Frankfurt(Oder) (an 15:43),1
14:49 (+13),RE 3722,Senftenberg (an 16:41),1
14:57 (+1),RE 73736,Magdeburg Hbf (an 16:50),3
15:02 (+6),RE 73731,Frankfurt(Oder) (an 16:18),1
15:12 (+13),RE 3727,Dessau Hbf (an 16:53),3
15:20,RE 73778,Brandenburg Hbf (an 16:23),3
15:29 (+3),RE 3122,Cottbus Hbf (an 16:55),1
