Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:29,RE 3366,Eberswalde Hbf (an 01:04),
00:41,RB 56816,Berlin Südkreuz (an 00:53),
04:14,RB 18241,Berlin-Spandau (an 04:28),
04:25,RE 3340,Schwedt(Oder) (an 05:50),9
04:41,RE 3369,Berlin Südkreuz (an 04:53),
04:54,RE 4350,Rostock Hbf (an 07:21),
04:54,RE 5,Stralsund Hbf (an 06:51),
05:14,RB 18243,Berlin-Spandau (an 05:28),
05:16 (+1),ICE 593,München Hbf (an 13:15),7
05:16 (+1),RB 56801,Schwerin Hbf (an 07:48),9
05:24,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:26 (+3),ICE 1501,München Hbf (an 09:41),7
05:32,RE 3302,Stralsund Hbf (an 08:45),9
05:54,RE 3504,Stralsund Hbf (an 08:51),10
06:06,RE 3503,Berlin Südkreuz (an 06:23),6
06:11,RE 3376,Angermünde (an 07:01),
06:14,RB 18245,Berlin-Spandau (an 06:28),
06:16,ICE 503,München Hbf (an 11:07),7
06:23,RE 3606,Neuruppin West (an 07:30),9
06:24,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),6
06:32 (+1),RE 3342,Schwedt(Oder) (an 07:55),10
06:54 (+10),RE 4352,Rostock Hbf (an 09:21),10
06:56 (+2),ICE 9590,Paris Est (an 14:51),6
07:04 (+4),ICE 938,Ostseebad Binz (an 10:33),9
07:06,RE 4353,Berlin Südkreuz (an 07:23),6
07:11,IC 2432,Norddeich Mole (an 14:20),
07:14,RB 18247,Berlin-Spandau (an 07:28),
07:16 (+2),RB 56803,Schwerin Hbf (an 09:48),10
07:23,RE 3608,Perleberg (an 09:51),9
07:24,RE 3343,Luckenwalde (an 08:27),6
07:26 (+4),ICE 1503,München Hbf (an 11:43),7
07:33,RE 3,Lindau-Reutin (an 22:57),
07:33 (+1),RE 3304,Stralsund Hbf (an 10:44),9
07:41 (+3),ICE 703,München Hbf (an 12:42),7
07:44,IC 2274,Waren(Müritz) (an 08:57),
07:54 (+22),RE 3506,Stralsund Hbf (an 10:51),10
08:06,RE 3505,Sargans (an 23:24),6
08:17 (+2),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),6
08:23,RE 3610,Perleberg (an 10:51),9
08:24 (+1),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),6
08:26 (+3),ICE 1005,München Hbf (an 12:46),7
08:32 (+1),RE 3344,Schwedt(Oder) (an 09:55),9
08:54 (+1),RE 4354,Rostock Hbf (an 11:21),10
09:03 (+1),ICE 936,Ostseebad Binz (an 12:29),8
09:06 (+1),RE 4355,Berlin Südkreuz (an 09:23),6
09:14,RB 18251,Werder(Havel) (an 10:17),5
09:16,RB 56805,Schwerin Hbf (an 11:48),9
09:23,RE 3612,Perleberg (an 11:51),9
09:24,RE 3345,Luckenwalde (an 10:27),6
09:26 (+2),ICE 1505,München Hbf (an 13:43),7
09:32 (+1),RE 3306,Stralsund Hbf (an 12:44),9
09:44 (+1),IC 2272,Rostock Hbf (an 11:37),9
09:54 (+1),RE 3508,Stralsund Hbf (an 12:51),9
10:04,RB 55796,Joachimsthal Kaiserbahnhof (an 10:51),
10:06 (+1),RE 3507,Berlin Südkreuz (an 10:24),6
10:15,RB 18253,Werder(Havel) (an 11:17),5
10:17 (+2),IC 2175,Dresden Hbf (an 12:28),6
10:23,RE 3614,Perleberg (an 12:51),9
10:24 (+1),RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),6
10:28 (+1),ICE 1007,München Hbf (an 14:45),7
10:32 (+1),RE 3346,Schwedt(Oder) (an 11:55),9
10:54 (+1),RE 4356,Rostock Hbf (an 13:21),10
10:56 (+1),ICE 839,Frankfurt(Main)Hbf (an 14:56),6
11:03 (+47),ICE 934,Ostseebad Binz (an 14:29),8
11:06 (+2),RE 4357,Berlin Südkreuz (an 11:23),6
11:14,RB 18255,Werder(Havel) (an 12:17),5
11:16 (+1),RB 56807,Schwerin Hbf (an 13:48),9
11:17 (+1),ICE 599,München Hbf (an 19:12),7
11:24,RE 3347,Luckenwalde (an 12:27),6
