Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:06,00:06,RE 73794,Brandenburg Hbf (an 00:55),4
00:07,00:07,RE 73797,Berlin Ostbahnhof (an 00:25),1
00:22,00:22,RE 5666,Berlin Hbf (an 00:30),
00:22,00:22,RE 62095,Berlin Ostbahnhof (an 00:42),
00:39,00:39,RE 3745,Bad Belzig (an 01:31),4
00:42,00:42,RE 3140,Cottbus Hbf (an 02:40),3
00:47,00:47,RE 20173,Berlin Ostbahnhof (an 01:06),
00:47,00:47,RE 73799,Berlin Ostbahnhof (an 01:06),
01:10,01:10,RE 73791,Erkner (an 01:53),1
01:24,01:24,RB 62107,Berlin Ostbahnhof (an 01:44),1
01:24,01:24,RE 17468,Berlin Hbf (an 01:32),
01:33,01:33,RB 21969,Flughafen BER (an 02:15),1
01:40,01:40,RE 17493,Berlin Ostbahnhof (an 01:59),
01:40,01:40,RE 61987,Berlin Ostbahnhof (an 01:59),
02:02,02:02,RE 20158,Berlin Ostbahnhof (an 02:20),
02:02,02:02,RE 62113,Berlin Ostbahnhof (an 02:20),
02:02,02:02,RE 73752,Brandenburg Hbf (an 02:51),3
02:27,02:27,RE 3143,Berlin Ostbahnhof (an 02:48),
02:27,02:27,RE 73793,Erkner (an 03:09),1
02:40,02:40,RE 3701,Bad Belzig (an 03:33),3
02:48,02:48,RB 21803,Flughafen BER (an 03:33),2
03:17,03:17,RE 73754,Magdeburg Hbf (an 05:08),4
03:18,03:18,RB 21805,Flughafen BER (an 04:03),3
03:55,03:55,RB 21809,Flughafen BER (an 04:45),3
04:00,04:00,RE 73751,Berlin Ostbahnhof (an 04:21),
04:13,04:13,RB 21811,Flughafen BER (an 05:00),
04:20,04:20,RE 73801,Berlin Ostbahnhof (an 04:40),
04:29,04:29,RB 21813,Flughafen BER (an 05:14),1
04:49,04:49,RE 1,Mannheim Hbf (an 20:20),
04:49,04:49,RE 73756,Brandenburg Hbf (an 05:33),4
05:00,05:00,RB 21817,Flughafen BER (an 05:45),1
05:05,05:05,RE 73753,Erkner (an 05:48),1
05:13,05:13,RE 73716,Magdeburg Hbf (an 06:50),4
05:15,05:15,RE 3102,Cottbus Hbf (an 06:56),1
05:25,05:25,RE 3707,Dessau Hbf (an 06:53),4
05:33,05:33,RE 73758,Brandenburg Hbf (an 06:19),4
05:35,05:35,RE 3704,Senftenberg (an 07:41),2
05:47,05:47,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:48,05:48,RE 73713,Berlin Ostbahnhof (an 06:09),
06:12,06:12,RE 73718,Magdeburg Hbf (an 07:50),4
06:15,06:15,RE 3104,Cottbus Hbf (an 07:57),1
06:26,06:26,RE 73755,Erkner (an 07:10),1
06:33,06:33,RE 73760,Brandenburg Hbf (an 07:19),4
06:35,06:35,RE 3706,Berlin Ostbahnhof (an 06:56),2
06:47,06:47,RE 3105,Hennigsdorf(b Berlin) (an 07:23),3
06:48,06:48,RE 73715,Erkner (an 07:31),1
07:12,07:12,RE 73720,Magdeburg Hbf (an 08:50),4
07:12,07:12,RE 92078,Potsdam Hbf (an 07:29),
07:15,07:15,RE 3106,Cottbus Hbf (an 08:56),1
07:25,07:25,RE 3711,Dessau Hbf (an 08:53),4
07:26,07:26,RE 73757,Erkner (an 08:11),1
07:33,07:33,RE 73762,Brandenburg Hbf (an 08:23),4
07:33,07:33,RE 75851,Potsdam Hbf (an 07:51),
07:35,07:35,RE 3708,Senftenberg (an 09:41),2
07:47,07:47,RE 3107,Hennigsdorf(b Berlin) (an 08:23),3
07:48,07:48,RE 73717,Erkner (an 08:31),1
08:12,08:12,RE 33682,Magdeburg Hbf (an 09:50),
08:12,08:12,RE 73722,Magdeburg Hbf (an 09:50),4
08:15,08:15,RE 3108,Cottbus Hbf (an 09:55),1
08:25,08:25,RE 3713,Dessau Hbf (an 09:53),4
08:26,08:26,RE 73759,Erkner (an 09:14),1
08:33,08:33,RE 73764,Brandenburg Hbf (an 09:19),4
08:35,08:35,RE 3710,Senftenberg (an 10:41),2
08:47,08:47,RE 3109,Hennigsdorf(b Berlin) (an 09:23),3
08:48,08:48,RE 73719,Erkner (an 09:31),1
09:12,09:12,RE 33684,Magdeburg Hbf (an 10:50),
09:12,09:12,RE 73724,Magdeburg Hbf (an 10:50),4
09:15,09:15,RE 3110,Cottbus Hbf (an 10:55),1
09:25,09:25,RE 3715,Dessau Hbf (an 10:53),4
09:26,09:26,RE 73761,Erkner (an 10:10),1
09:33,09:33,RE 73766,Brandenburg Hbf (an 10:19),4
09:33,09:33,RE 75855,Brandenburg Hbf (an 10:19),
09:35,09:35,RE 3712,Senftenberg (an 11:41),2
09:47,09:47,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
09:48,09:48,RE 73721,Erkner (an 10:31),1
09:58,09:58,RE 73810,Brandenburg Hbf (an 10:36),
09:58,09:58,RE 73850,Brandenburg Hbf (an 10:36),
10:12,10:12,RE 33686,Magdeburg Hbf (an 11:50),
10:12,10:12,RE 73726,Magdeburg Hbf (an 11:50),4
10:15,10:15,RE 3112,Cottbus Hbf (an 11:55),1
10:25,10:25,RE 3717,Dessau Hbf (an 11:53),4
10:26,10:26,RE 73763,Erkner (an 11:10),1
10:33,10:33,RE 73768,Brandenburg Hbf (an 11:19),4
10:33,10:33,RE 75857,Brandenburg Hbf (an 11:19),
10:35,10:35,RE 3714,Senftenberg (an 12:41),2
10:47 (+1),10:48,RE 3113,Hennigsdorf(b Berlin) (an 11:23),3
10:48 (+2),10:50,RE 73723,Erkner (an 11:31),1
10:59,10:59,RE 73852,Brandenburg Hbf (an 11:36),
11:12,11:12,RE 33688,Magdeburg Hbf (an 12:50),
11:12,11:12,RE 73728,Magdeburg Hbf (an 12:50),4
11:15,11:15,RE 3114,Cottbus Hbf (an 12:55),1
11:25,11:25,RE 3719,Dessau Hbf (an 12:53),4
11:26,11:26,RE 73765,Erkner (an 12:10),1
11:33,11:33,RE 73770,Brandenburg Hbf (an 12:19),4
11:33,11:33,RE 92646,Brandenburg Hbf (an 12:19),
11:35,11:35,RE 3716,Senftenberg (an 13:41),2
11:47,11:47,RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
11:48,11:48,RE 73725,Erkner (an 12:31),1
11:59,11:59,RE 73854,Brandenburg Hbf (an 12:36),
12:12,12:12,RE 33690,Magdeburg Hbf (an 13:50),
12:12,12:12,RE 73730,Magdeburg Hbf (an 13:50),4
12:15,12:15,RE 3116,Cottbus Hbf (an 13:55),1
12:25,12:25,RE 3721,Dessau Hbf (an 13:53),4
12:26,12:26,RE 73767,Berlin Ostbahnhof (an 12:46),
12:33,12:33,RE 73772,Brandenburg Hbf (an 13:19),4
12:35,12:35,RE 3718,Senftenberg (an 14:41),2
12:47,12:47,RE 3117,Hennigsdorf(b Berlin) (an 13:23),3
12:48,12:48,RE 73727,Erkner (an 13:31),1
