Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:02,RE 73749,Erkner (an 00:31),1
00:25,RE 3745,Bad Belzig (an 01:31),4
00:47,RE 3141,Berlin-Charlottenburg (an 01:00),3
00:51,RE 73796,Berlin-Wannsee (an 01:14),
00:55,RE 3140,Cottbus Hbf (an 02:40),1
01:02,RB 21968,Berlin-Charlottenburg (an 01:13),4
01:07,RB 91558,Berlin Ostbahnhof (an 01:14),
01:07,RE 3742,Berlin Ostkreuz (an 01:20),1
01:07,RE 94542,Berlin Ostbahnhof (an 01:14),
01:26 (+25),RE 73791,Erkner (an 01:53),1
01:26,RE 94791,Berlin Ostbahnhof (an 01:33),
01:46,RB 21969,Naumburg(Saale)Hbf (an 14:13),1
01:46,RE 73752,Berlin Zoologischer Garten (an 01:56),3
01:52,RE 21800,Berlin Zoologischer Garten (an 02:00),
03:01,RB 21803,Flughafen BER (an 03:33),
04:12,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:14,RE 73751,Frankfurt(Oder) (an 05:29),
04:31,RE 2,Mainz Hbf (an 21:13),
04:31,RE 3101,Berlin-Spandau (an 04:53),
04:33,RE 73801,Frankfurt(Oder) (an 05:36),
04:49,RE 3702,Lübbenau(Spreewald) (an 06:03),
04:49,RE 91399,Lübbenau(Spreewald) (an 06:03),
04:59,RE 94716,Berlin Zoologischer Garten (an 05:08),
05:12,RE 3707,Berlin-Wannsee (an 05:34),
05:12,RE 93007,Berlin-Wannsee (an 05:34),
05:29,RE 3102,Cottbus Hbf (an 06:56),1
05:33,RE 3103,Hennigsdorf(b Berlin) (an 06:23),3
05:48,RE 3704,Senftenberg (an 07:41),1
05:48,RE 94704,Lübbenau(Spreewald) (an 07:03),
05:57,RE 94718,Berlin Zoologischer Garten (an 06:07),
06:02,RE 94713,Frankfurt(Oder) (an 07:18),1
06:12,RE 3709,Berlin-Wannsee (an 06:34),
06:29,RE 3104,Cottbus Hbf (an 07:57),1
06:33,RE 3105,Hennigsdorf(b Berlin) (an 07:23),4
06:49,RE 3706,Senftenberg (an 08:41),1
06:57,RE 94720,Berlin Zoologischer Garten (an 07:07),3
07:02,RE 94715,Frankfurt(Oder) (an 08:20),1
07:12 (+17),RE 3711,Dessau Hbf (an 08:53),3
07:29,RE 3106,Cottbus Hbf (an 08:56),1
07:33,RE 3107,Hennigsdorf(b Berlin) (an 08:23),3
07:48,RB 18146,Berlin-Wannsee (an 08:10),3
07:49,RE 3708,Senftenberg (an 09:41),1
08:02,RE 94717,Frankfurt(Oder) (an 09:18),1
08:12,RE 3713,Dessau Hbf (an 09:53),4
08:12,RE 7,Münster(Westf)Hbf (an 23:02),
08:13,RB 18145,Berlin Ostbahnhof (an 08:21),1
08:29,RE 3108,Cottbus Hbf (an 09:55),1
08:33,RE 3109,Hennigsdorf(b Berlin) (an 09:23),4
08:48,RB 18148,Berlin-Wannsee (an 09:10),3
08:49 (+1),RE 3710,Senftenberg (an 10:41),1
09:02,RE 94719,Frankfurt(Oder) (an 10:18),1
09:12 (+18),RE 3715,Dessau Hbf (an 10:53),3
09:13,RB 18147,Berlin Ostbahnhof (an 09:21),2
09:29,RE 3110,Cottbus Hbf (an 10:55),1
09:33,RE 3111,Hennigsdorf(b Berlin) (an 10:23),3
09:48,RB 18150,Berlin-Wannsee (an 10:10),3
09:49 (+3),RE 3712,Senftenberg (an 11:41),1
09:49,RE 94712,Lübbenau(Spreewald) (an 11:03),
10:02,RE 94721,Frankfurt(Oder) (an 11:18),1
10:12,RE 3717,Dessau Hbf (an 11:53),4
10:13,RB 18149,Berlin Ostbahnhof (an 10:21),2
10:29,RE 3112,Cottbus Hbf (an 11:55),1
10:35,RE 3113,Hennigsdorf(b Berlin) (an 11:23),4
10:49 (+8),RE 3714,Senftenberg (an 12:41),1
10:57,RE 94728,Berlin Zoologischer Garten (an 11:07),3
11:02,RE 94723,Frankfurt(Oder) (an 12:18),
11:12 (+13),RE 3719,Dessau Hbf (an 12:53),3
11:29 (+2),RE 3114,Cottbus Hbf (an 12:55),1
11:33 (+8),RE 3115,Hennigsdorf(b Berlin) (an 12:23),3
