Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:06,RE 73826,Berlin Hbf (an 00:21),
00:16 Ausfall,RE 73749,Frankfurt(Oder) (an 01:18),1
00:38,RE 73796,Brandenburg Hbf (an 01:54),
01:33,RE 73752,Berlin Hbf (an 01:48),
01:38 (+52),RE 73791,Frankfurt(Oder) (an 02:38),1
03:59,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:16,RE 2,Düsseldorf Hbf (an 23:53),
04:16,RE 3101,Berlin-Spandau (an 04:53),
04:23,RE 73756,Brandenburg Hbf (an 05:33),2
04:27,RE 73751,Frankfurt(Oder) (an 05:29),
04:46,RE 73716,Magdeburg Hbf (an 06:50),2
04:46,RE 73801,Frankfurt(Oder) (an 05:36),
05:07,RE 73758,Brandenburg Hbf (an 06:19),
05:18,RB 18200,Berlin-Lichtenberg (an 05:22),14
05:32 (+48),RE 73753,Frankfurt(Oder) (an 06:35),1
05:41,RB 18302,Eberswalde Hbf (an 06:27),
05:44,RE 73718,Magdeburg Hbf (an 07:50),2
05:46,RB 18203,Ludwigsfelde (an 06:24),13
06:05 (+12),EC 41,Warszawa Wschodnia (an 11:15),1
06:07,RE 73760,Potsdam Hbf (an 06:51),
06:16,RE 73713,Frankfurt(Oder) (an 07:18),
06:18,RB 18202,Berlin-Lichtenberg (an 06:22),14
06:41,RB 18304,Eberswalde Hbf (an 07:27),14
06:44,RE 73720,Magdeburg Hbf (an 08:50),2
06:46,RB 18205,Ludwigsfelde (an 07:24),13
06:48,RB 61105,Templin Stadt (an 08:18),8
06:53,RE 73755,Frankfurt(Oder) (an 07:47),1
07:07,RE 73762,Brandenburg Hbf (an 08:23),
07:16 (+1),RE 73715,Frankfurt(Oder) (an 08:20),1
07:18,RB 18204,Berlin-Lichtenberg (an 07:22),14
07:22,RB 18307,Blankenfelde(Teltow-Fläming) (an 07:51),13
07:41,RB 18306,Eberswalde Hbf (an 08:27),14
07:44,RE 73722,Magdeburg Hbf (an 09:50),2
07:46,RB 18207,Ludwigsfelde (an 08:24),13
07:48,RB 61107,Templin Stadt (an 09:18),7
07:53,RE 73757,Frankfurt(Oder) (an 08:43),1
08:07,RE 73764,Brandenburg Hbf (an 09:19),
08:16 (+1),RE 73717,Frankfurt(Oder) (an 09:18),1
08:18,RB 18206,Berlin-Lichtenberg (an 08:22),14
08:22,RB 18309,Blankenfelde(Teltow-Fläming) (an 08:51),13
08:22,RB 61187,Werneuchen (an 08:57),8
08:41,RB 18308,Eberswalde Hbf (an 09:27),14
08:44 (+1),RE 73724,Magdeburg Hbf (an 10:50),2
08:46,RB 18209,Ludwigsfelde (an 09:24),13
08:48,RB 61109,Templin Stadt (an 10:18),7
08:53,RE 73759,Frankfurt(Oder) (an 09:43),1
09:07,RE 73766,Brandenburg Hbf (an 10:19),2
09:16 (+1),RE 73719,Frankfurt(Oder) (an 10:18),1
09:18,RB 18208,Berlin-Lichtenberg (an 09:22),14
09:22,RB 18311,Blankenfelde(Teltow-Fläming) (an 09:51),13
09:41 (+3),RB 18310,Eberswalde Hbf (an 10:27),14
09:44 (+1),RE 73726,Magdeburg Hbf (an 11:50),2
09:46,RB 18211,Ludwigsfelde (an 10:24),13
09:48,RB 61111,Templin Stadt (an 11:18),7
09:53,RE 73761,Frankfurt(Oder) (an 10:43),1
10:07,RE 73768,Brandenburg Hbf (an 11:19),2
10:16 (+3),RE 73721,Frankfurt(Oder) (an 11:18),1
10:18,RB 18210,Berlin-Lichtenberg (an 10:22),14
10:22,RB 18313,Blankenfelde(Teltow-Fläming) (an 10:51),13
10:22,RB 61191,Werneuchen (an 10:57),8
10:41,RB 18312,Eberswalde Hbf (an 11:27),14
10:44 (+1),RE 73728,Magdeburg Hbf (an 12:50),2
10:48,RB 61113,Templin Stadt (an 12:18),7
10:53,RE 73763,Frankfurt(Oder) (an 11:43),1
11:07,RE 73770,Brandenburg Hbf (an 12:19),2
11:16,RE 73723,Frankfurt(Oder) (an 12:18),1
11:22,RB 18315,Flughafen BER (an 11:40),
11:41,RB 18314,Eberswalde Hbf (an 12:27),
11:44 (+3),RE 73730,Magdeburg Hbf (an 13:50),2
11:53,RE 73765,Frankfurt(Oder) (an 12:43),1
12:07,RE 73772,Brandenburg Hbf (an 13:19),
12:16 (+4),RE 73725,Frankfurt(Oder) (an 13:18),1
12:22,RB 24,Flughafen BER (an 12:40),
12:41,RB 18316,Eberswalde Hbf (an 13:27),
12:44,RE 73732,Magdeburg Hbf (an 14:50),
12:48,RB 61117,Oranienburg (an 13:21),
12:53,RE 73767,Frankfurt(Oder) (an 13:43),
13:07,RE 73774,Brandenburg Hbf (an 14:19),
13:16 (+1),RE 73727,Frankfurt(Oder) (an 14:18),1
13:41,RB 18318,Eberswalde Hbf (an 14:27),
13:44 (+10),RE 73734,Magdeburg Hbf (an 15:50),2
13:48,RB 61119,Oranienburg (an 14:21),
13:53,RE 73769,Frankfurt(Oder) (an 14:43),1
14:06,RE 73776,Brandenburg Hbf (an 15:19),2
14:16 (+12),RE 73729,Frankfurt(Oder) (an 15:18),1
14:26,RE 73812,Brandenburg Hbf (an 15:33),2
14:41,RB 18320,Eberswalde Hbf (an 15:27),14
14:44 (+14),RE 73736,Magdeburg Hbf (an 16:50),2
14:48,RB 61121,Oranienburg (an 15:21),
14:53,RE 73771,Frankfurt(Oder) (an 15:43),1
15:07,RE 73778,Brandenburg Hbf (an 16:23),2
15:16 (+2),RE 73731,Frankfurt(Oder) (an 16:18),1
15:22,RB 18323,Flughafen BER (an 15:40),
15:41,RB 18322,Eberswalde Hbf (an 16:27),14
15:44 (+2),RE 73738,Magdeburg Hbf (an 17:50),2
15:46,RB 18223,Flughafen BER (an 16:05),
15:48,RB 61123,Templin Stadt (an 17:18),7
15:53,RE 73773,Frankfurt(Oder) (an 16:43),1
16:07,RE 73780,Brandenburg Hbf (an 17:19),2
16:16,RE 73733,Frankfurt(Oder) (an 17:18),1
16:22,RB 18325,Flughafen BER (an 16:40),
16:41,RB 18324,Eberswalde Hbf (an 17:27),14
16:44 (+10),RE 73740,Magdeburg Hbf (an 18:50),2
16:46,RB 32,Flughafen BER (an 17:05),
16:48,RB 61125,Oranienburg (an 17:21),
16:53,RE 73775,Frankfurt(Oder) (an 17:43),1
17:07,RE 73782,Brandenburg Hbf (an 18:23),
17:16 (+11),RE 73735,Frankfurt(Oder) (an 18:18),1
17:22,RB 18327,Blankenfelde(Teltow-Fläming) (an 17:51),13
17:41,RB 18326,Eberswalde Hbf (an 18:27),14
17:44,RE 73742,Magdeburg Hbf (an 19:50),
17:48,RB 61127,Oranienburg (an 18:21),
17:53,RE 73777,Frankfurt(Oder) (an 18:43),1
18:07,RE 73784,Brandenburg Hbf (an 19:19),2
18:16 (+3),RE 73737,Frankfurt(Oder) (an 19:18),1
18:22,RB 18329,Blankenfelde(Teltow-Fläming) (an 18:51),13
18:41,RB 18328,Eberswalde Hbf (an 19:27),
18:44 (+5),RE 73744,Magdeburg Hbf (an 20:50),2
18:48 Ausfall,IC 2431,Cottbus Hbf (an 20:26),1
18:48,RB 61129,Oranienburg (an 19:21),
18:54,RE 73779,Frankfurt(Oder) (an 19:47),1
19:07,RE 73786,Brandenburg Hbf (an 20:19),
19:16,RE 73739,Frankfurt(Oder) (an 20:18),
19:41,RB 18330,Eberswalde Hbf (an 20:27),14
19:44,RE 73746,Magdeburg Hbf (an 21:50),
19:48,RB 61131,Oranienburg (an 20:21),
19:53,RE 73781,Frankfurt(Oder) (an 20:43),
20:07 (+8),RE 73788,Brandenburg Hbf (an 21:21),2
20:16 (+10),RE 73741,Frankfurt(Oder) (an 21:18),1
20:22,RB 18333,Blankenfelde(Teltow-Fläming) (an 20:51),13
20:41 (+11),RB 18332,Eberswalde Hbf (an 21:27),14
20:44 (+5),RE 73748,Magdeburg Hbf (an 22:50),2
20:46,RB 18233,Ludwigsfelde (an 21:24),13
20:48 (+4),RB 61133,Templin Stadt (an 22:18),8
20:54 (+1),RE 73783,Frankfurt(Oder) (an 21:43),1
21:16 (+1),RE 73743,Frankfurt(Oder) (an 22:18),1
21:18 Ausfall,RB 18232,Berlin-Lichtenberg (an 21:22),14
21:22,RB 18335,Blankenfelde(Teltow-Fläming) (an 21:51),13
21:32 (+1),RE 73825,Eisenhüttenstadt (an 22:51),1
