Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:06,00:06,RE 73794,Brandenburg Hbf (an 00:54),
04:49,04:49,RE 73756,Brandenburg Hbf (an 05:33),
05:06,05:06,RE 3604,Wittenberge (an 07:53),
05:10,05:10,RB 18600,Nauen (an 05:48),3
05:13,05:13,RE 73716,Brandenburg Hbf (an 05:57),
05:33,05:33,RE 73758,Brandenburg Hbf (an 06:19),
06:00 (+8),06:08,IC 2432,Norddeich Mole (an 14:20),4
06:02,06:02,RE 3606,Wittenberge (an 08:54),
06:10,06:10,RB 18602,Nauen (an 06:49),3
06:12,06:12,RE 73718,Brandenburg Hbf (an 06:57),
06:34,06:34,RE 73760,Brandenburg Hbf (an 07:19),
06:50,06:50,RE 73804,Brandenburg Hbf (an 07:33),
06:52 (+5),06:57,IC 2432,Norddeich Mole (an 14:20),
07:03,07:03,RE 3608,Wittenberge (an 09:54),
07:10,07:10,RB 18604,Nauen (an 07:49),3
07:10,07:10,RE 73720,Magdeburg Hbf (an 08:50),
07:22,07:22,RB 18247,Potsdam Hbf (an 08:23),
07:26,07:26,ICE 795,Karlsruhe Hbf (an 13:17),4
07:34,07:34,RE 73762,Brandenburg Hbf (an 08:23),
07:50,07:50,RE 73806,Brandenburg Hbf (an 08:33),
08:02 (+3),08:05,RE 3610,Wittenberge (an 10:54),
08:12,08:12,RE 73722,Magdeburg Hbf (an 09:50),
08:22,08:22,RB 18249,Potsdam Hbf (an 09:23),
08:34,08:34,RE 73764,Brandenburg Hbf (an 09:19),1
08:50,08:50,RE 73808,Brandenburg Hbf (an 09:33),1
09:03,09:03,RE 3612,Wittenberge (an 11:54),
09:12,09:12,RE 73724,Magdeburg Hbf (an 10:50),4
09:22,09:22,RB 18251,Potsdam Hbf (an 10:23),
09:34,09:34,RE 73766,Brandenburg Hbf (an 10:19),
09:50,09:50,RB 73810,Potsdam Hbf (an 10:05),
09:50,09:50,RE 73810,Brandenburg Hbf (an 10:33),
10:02,10:02,RE 3614,Wittenberge (an 12:54),
10:12,10:12,RE 73726,Magdeburg Hbf (an 11:50),
10:22,10:22,RB 18253,Potsdam Hbf (an 11:23),
10:34,10:34,RE 73768,Brandenburg Hbf (an 11:19),
11:03 (+5),11:08,RE 3616,Wittenberge (an 13:54),
11:12,11:12,RE 73728,Magdeburg Hbf (an 12:50),
11:14 (+18),11:32,ICE 1546,Essen Hbf (an 15:13),2
11:22,11:22,RB 18255,Potsdam Hbf (an 12:23),
11:28 (+1),11:29,ICE 799,Karlsruhe Hbf (an 17:19),3
11:34,11:34,RE 73770,Brandenburg Hbf (an 12:19),
12:02 (+14),12:16,RE 3618,Wittenberge (an 14:54),
12:12,12:12,RE 73730,Magdeburg Hbf (an 13:50),4
12:22,12:22,RB 18257,Potsdam Hbf (an 13:23),
12:34,12:34,RE 73772,Brandenburg Hbf (an 13:19),3
13:03 (+1),13:04,RE 3620,Wittenberge (an 15:54),3
13:12,13:12,RE 73732,Magdeburg Hbf (an 14:50),
13:14,13:14,ICE 1050,Münster(Westf)Hbf (an 16:31),2
13:22,13:22,RB 18259,Potsdam Hbf (an 14:23),
13:28 (+1),13:29,ICE 993,Frankfurt(M) Flughafen Fernbahnhof (an 17:52),4
13:34,13:34,RE 73774,Brandenburg Hbf (an 14:19),
14:02 (+3),14:05,RE 3622,Wittenberge (an 16:54),
14:10,14:10,RB 18618,Nauen (an 14:49),3
14:12,14:12,RE 73734,Magdeburg Hbf (an 15:50),
14:22,14:22,RB 18261,Potsdam Hbf (an 15:23),3
14:30 (+1),14:31,IC 2034,Norddeich (an 22:14),3
14:34,14:34,RE 73776,Brandenburg Hbf (an 15:19),
14:48,14:48,RE 73812,Brandenburg Hbf (an 15:33),
15:03,15:03,RE 3624,Wittenberge (an 17:54),
15:11,15:11,RE 73736,Magdeburg Hbf (an 16:50),
15:16 (+21),15:37,ICE 1544,Köln Hbf (an 21:19),2
15:22,15:22,RB 18263,Potsdam Hbf (an 16:23),
15:27 (+3),15:30,ICE 995,Stuttgart Hbf (an 21:29),3
15:34,15:34,RE 73778,Brandenburg Hbf (an 16:23),
