Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
00:08,00:08,RB 62086,Berlin-Spandau (an 00:35),
00:12 (+1),00:13,RE 3366,Berlin Gesundbrunnen (an 00:26),
00:34 (+14),00:48,ICE 276,Berlin Gesundbrunnen (an 00:46),6
00:51,00:51,RE 3,Basel Bad Bf (an 23:17),
00:51,00:51,RE 3363,Halle(Saale)Hbf (an 03:12),
01:17 (+31),01:48,ICE 1500,Berlin Gesundbrunnen (an 01:30),7
01:53,01:53,RE 3362,Bernau(b Berlin) (an 02:27),
04:29,04:29,ICE 1706,Hamburg Hbf (an 07:11),7
04:38,04:38,RB 62094,Berlin-Spandau (an 04:59),
05:00,05:00,RB 56801,Schwerin Hbf (an 07:48),3
05:00,05:00,RE 56801,Schwerin Hbf (an 07:48),
05:06,05:06,RE 62003,Berlin-Spandau (an 05:38),
05:06,05:06,RE 8,Lübeck Hbf (an 23:52),
05:10 (+1),05:11,RE 3302,Stralsund Hbf (an 08:45),6
05:31,05:31,ICE 608,Hamburg Hbf (an 08:15),6
05:34,05:34,RE 3504,Stralsund Hbf (an 08:51),4
05:35,05:35,ICE 593,München Hbf (an 13:15),
05:38,05:38,RB 62050,Berlin-Spandau (an 05:59),
05:42 (+11),05:53,ICE 1501,München Hbf (an 09:41),5
05:42 (+8),05:50,ICE 2821,München Hbf (an 09:41),5
05:44,05:44,RE 3167,Stendal Hbf (an 07:13),7
05:46,05:46,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),
05:51,05:51,RE 62000,Elsterwerda (an 07:15),3
05:58 (+2),06:00,ICE 279,Interlaken Ost (an 15:59),5
06:07,06:07,RE 62005,Elstal (an 06:49),8
06:10,06:10,RB 18500,Lübbenau(Spreewald) (an 07:18),
06:12,06:12,RE 3342,Schwedt(Oder) (an 07:55),6
06:23,06:23,RB 62051,Rangsdorf (an 06:38),5
06:26 (+10),06:36,ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:34,06:34,RE 4352,Rostock Hbf (an 09:21),4
06:35,06:35,ICE 2523,Leipzig Hbf (an 07:45),5
06:38,06:38,RB 62052,Berlin-Spandau (an 06:59),
06:42,06:42,ICE 1003,München Hbf (an 10:45),5
06:43,06:43,RE 3147,Berlin-Spandau (an 07:04),6
06:49,06:49,ICE 938,Ostseebad Binz (an 10:33),7
06:49,06:49,RE 3,Dresden-Neustadt (an 22:17),
06:49,06:49,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,06:54,RE 62002,Elsterwerda (an 08:31),6
07:06,07:06,RE 62007,Elstal (an 07:53),8
07:10,07:10,RB 18502,Lübbenau(Spreewald) (an 08:15),
07:10,07:10,RE 3304,Stralsund Hbf (an 10:44),6
07:13,07:13,ICE 2865,München Hbf (an 15:14),5
07:13,07:13,ICE 595,München Hbf (an 15:14),5
07:16 (+46),08:02,IC 60409,Berlin Hbf (an 07:22),8
07:16 (+46),08:02,NJ 409,Berlin Hbf (an 07:22),8
07:23,07:23,RB 62053,Rangsdorf (an 07:38),5
07:24 (+9),07:33,ICE 606,Hamburg-Altona (an 10:24),6
07:26,07:26,IC 2274,Rostock Hbf (an 09:37),
07:34,07:34,RE 3506,St. Gallen(CH) (an 23:34),4
07:39,07:39,RB 62054,Berlin-Spandau (an 07:59),
07:42 (+5),07:47,ICE 1503,München Hbf (an 11:43),5
07:44,07:44,RE 3169,Stendal Hbf (an 09:30),6
07:46,07:46,RE 3343,Luckenwalde (an 08:27),4
07:50,07:50,ICE 148,Amsterdam Centraal (an 14:01),7
07:51,07:51,RE 62004,Elsterwerda (an 09:14),4
07:54,07:54,DRF 1322,Köln Hbf (an 13:41),6
07:54 (+3),07:57,FLX 1322,Köln Hbf (an 13:41),6
08:00 (+7),08:07,ICE 371,Basel SBB (an 15:48),5
08:07,08:07,RE 62009,Elstal (an 08:49),8
08:10,08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),
08:12 (+2),08:14,RE 3344,Schwedt(Oder) (an 09:55),6
08:15 (+35),08:50,EN 40476,Berlin Hbf (an 08:20),8
08:15 (+35),08:50,NJ 456,Berlin Hbf (an 08:20),8
08:24 (+10),08:34,ICE 698,Berlin Gesundbrunnen (an 08:40),6
08:31 (+22),08:53,FLX 1337,Basel Bad Bf (an 17:11),3
08:34,08:34,RE 4354,Rostock Hbf (an 11:21),4
08:35 (+2),08:37,ICE 2525,Leipzig Hbf (an 09:46),5
08:36,08:36,IC 2173,Dresden-Neustadt (an 11:11),3
08:38,08:38,RB 62056,Wustermark (an 09:18),8
08:42 (+3),08:45,ICE 1005,München Hbf (an 12:46),5
08:43,08:43,RE 3149,Rathenow (an 09:54),6
08:49,08:49,ICE 936,Ostseebad Binz (an 12:29),6
08:49 (+2),08:51,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
09:06,09:06,RE 62011,Elstal (an 09:55),8
09:10,09:10,RE 3306,Stralsund Hbf (an 12:44),6
09:13,09:13,ICE 597,München Hbf (an 17:16),5
09:17 (+30),09:47,ICE 1104,Berlin Gesundbrunnen (an 09:31),7
09:17,09:17,RE 3148,Falkenberg(Elster) (an 10:44),4
09:24 (+10),09:34,ICE 2534,Hamburg-Altona (an 12:26),6
09:26,09:26,IC 2272,Rostock Hbf (an 11:37),7
09:34,09:34,RE 3508,Stralsund Hbf (an 12:51),4
09:35,09:35,ICE 2927,Frankfurt(Main)Hbf (an 13:44),
09:38,09:38,RB 62058,Wustermark (an 10:18),
09:42 (+2),09:44,ICE 1505,München Hbf (an 13:43),5
09:44 (+4),09:48,RE 3171,Stendal Hbf (an 11:30),6
09:46,09:46,RE 3345,Luckenwalde (an 10:27),4
09:55 (+3),09:58,FLX 1234,Hamburg Hbf (an 12:34),6
10:00,10:00,ICE 373,Zürich HB (an 19:00),5
10:00 (+10),10:10,ICE 804,Berlin Hbf (an 10:05),6
10:07,10:07,RE 62013,Elstal (an 10:49),8
10:12 (+2),10:14,RE 3346,Schwedt(Oder) (an 11:55),6
10:15 (+1),10:16,RE 3168,Jüterbog (an 10:54),5
10:17 (+56),11:13,ICE 1604,Berlin Gesundbrunnen (an 10:31),7
10:34,10:34,RE 4356,Rostock Hbf (an 13:21),5
10:35 (+2),10:37,ICE 2527,Leipzig Hbf (an 11:45),4
10:38,10:38,IC 2175,Dresden Hbf (an 12:30),3
10:38,10:38,RB 62060,Berlin-Spandau (an 10:59),
10:42 (+3),10:45,ICE 1007,München Hbf (an 14:45),5
10:43,10:43,RE 3151,Rathenow (an 11:54),6
10:48 (+7),10:55,ICE 696,Berlin Hbf (an 10:54),6
10:48,10:48,ICE 934,Ostseebad Binz (an 14:29),
10:49,10:49,RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),4
10:57,10:57,RJ 384,Berlin Hbf (an 11:03),6
11:06,11:06,RE 62015,Elstal (an 11:53),8
11:10 (+1),11:11,RE 3308,Stralsund Hbf (an 14:44),6
11:13,11:13,ICE 2835,München Hbf (an 19:12),5
11:13,11:13,ICE 599,München Hbf (an 19:12),5
11:17 (+53),12:10,ICE 1102,Berlin Gesundbrunnen (an 11:31),7
11:17,11:17,RE 3150,Falkenberg(Elster) (an 12:44),4
11:24 (+9),11:33,ICE 2532,Hamburg-Altona (an 14:24),6
11:29 (+3),11:32,IC 2270,Rostock Hbf (an 13:37),7
11:34,11:34,RE 3510,Stralsund Hbf (an 14:51),4
11:37 (+30),12:07,RJ 175,Budapest-Nyugati (an 22:28),3
11:39,11:39,RB 62062,Berlin-Spandau (an 11:59),
11:41 (+14),11:55,ICE 1162,Berlin Gesundbrunnen (an 11:56),7
11:42 (+8),11:50,ICE 1507,München Hbf (an 15:43),5
11:45,11:45,RE 3173,Stendal Hbf (an 13:30),6
11:46 (+1),11:47,RE 3347,Luckenwalde (an 12:27),4
11:51,11:51,ICE 144,Amsterdam Centraal (an 18:00),7
11:57,11:57,DRF 1324,Köln Hbf (an 17:43),7
11:57 (+3),12:00,FLX 1324,Köln Hbf (an 17:43),7
11:58,11:58,ICE 2555,Basel SBB (an 19:48),4
11:58,11:58,ICE 375,Interlaken Ost (an 22:00),
12:00 (+10),12:10,ICE 378,Berlin Hbf (an 12:06),6
12:04 (+6),12:10,FLX 1239,Stuttgart Hbf (an 18:24),4
12:07,12:07,RE 62017,Elstal (an 12:49),8
12:12,12:12,RE 3348,Schwedt(Oder) (an 13:55),6
12:15,12:15,RE 3170,Jüterbog (an 12:54),5
12:17 (+35),12:52,ICE 1602,Berlin Gesundbrunnen (an 12:31),6
12:34,12:34,RE 4358,Rostock Hbf (an 15:21),4
12:35 (+1),12:36,ICE 2529,Leipzig Hbf (an 13:45),5
12:35 (+5),12:40,ICE 2837,Nürnberg Hbf (an 23:25),
12:38,12:38,IC 2177,Dresden Hbf (an 14:30),3
12:38,12:38,RB 62064,Berlin-Spandau (an 12:59),
12:42 (+14),12:56,ICE 1009,München Hbf (an 16:45),5
12:43 (+1),12:44,RE 3153,Rathenow (an 13:54),6
12:48 (+10),12:58,ICE 694,Berlin Hbf (an 12:54),6
12:49 (+1),12:50,RE 3307,Lutherstadt Wittenberg Hbf (an 14:07),4
12:57,12:57,RJ 178,Berlin Hbf (an 13:03),6
12:58 (+2),13:00,FLX 1341,Basel Bad Bf (an 21:09),3
13:01,13:01,RJ 383,Praha hl.n. (an 17:25),4
13:06,13:06,RE 62019,Elstal (an 14:00),8
13:10 (+11),13:21,RE 3310,Stralsund Hbf (an 16:44),6
13:13 (+1),13:14,ICE 691,München Hbf (an 21:15),5
13:17 (+39),13:56,ICE 1100,Berlin Gesundbrunnen (an 13:31),7
13:17,13:17,RE 3152,Falkenberg(Elster) (an 14:44),4
13:24 (+10),13:34,ICE 2530,Hamburg-Altona (an 16:23),6
13:26,13:26,IC 2178,Rostock Hbf (an 15:35),7
13:26,13:26,IC 2818,Rostock Hbf (an 15:35),7
13:34,13:34,RE 3512,Stralsund Hbf (an 16:51),4
13:38,13:38,RB 62066,Wustermark (an 14:18),6
13:42 (+4),13:46,ICE 1509,München Hbf (an 17:43),5
13:44,13:44,RE 3175,Stendal Hbf (an 15:30),6
13:46 (+10),13:56,RE 3349,Luckenwalde (an 14:27),3
13:51,13:51,ICE 142,Amsterdam Centraal (an 20:01),7
13:55 (+9),14:04,FLX 1238,Hamburg Hbf (an 16:34),7
14:00 (+10),14:10,ICE 2556,S+U Berlin Hbf [Gleis 1-8] (an 14:05),6
14:00 (+5),14:05,ICE 377,Basel SBB (an 21:48),4
14:07,14:07,RE 62021,Elstal (an 14:49),8
14:12 (+3),14:15,RE 3350,Schwedt(Oder) (an 15:55),6
14:15 (+2),14:17,RE 3172,Jüterbog (an 14:54),5
14:17 (+20),14:37,ICE 1600,Berlin Gesundbrunnen (an 14:31),7
14:17 (+20),14:37,ICE 2934,Berlin Gesundbrunnen (an 14:31),7
14:34,14:34,RE 4360,Rostock Hbf (an 17:21),4
14:35 (+4),14:39,ICE 2531,Leipzig Hbf (an 15:45),5
14:35 (+4),14:39,ICE 2947,Leipzig Hbf (an 15:45),5
14:38,14:38,IC 2179,Dresden Hbf (an 16:30),3
14:38,14:38,RB 62068,Wustermark (an 15:18),6
14:42 (+4),14:46,ICE 1101,München Hbf (an 18:43),5
14:43 (+18),15:01,RE 3155,Rathenow (an 15:54),6
14:48 (+10),14:58,ICE 2828,Berlin Hbf (an 14:54),6
14:48 (+10),14:58,ICE 692,Berlin Hbf (an 14:54),6
14:49,14:49,ICE 930,Ostseebad Binz (an 18:40),
14:49,14:49,RE 3309,Lutherstadt Wittenberg Hbf (an 16:07),4
14:57,14:57,RJ 382,Berlin Hbf (an 15:03),6
15:06,15:06,RE 62023,Elstal (an 15:55),8
15:10 (+1),15:11,RE 3312,Stralsund Hbf (an 18:44),6
15:13 (+11),15:24,ICE 693,München Hbf (an 23:15),5
15:17 (+50),16:07,ICE 1008,Berlin Gesundbrunnen (an 15:31),7
15:17 (+50),16:07,ICE 2914,Berlin Gesundbrunnen (an 15:31),7
15:17 (+2),15:19,RE 3154,Falkenberg(Elster) (an 16:45),4
15:24 (+16),15:40,ICE 2528,Hamburg-Altona (an 18:23),6
15:24 (+68),16:32,ICE 2824,Hamburg-Altona (an 18:23),6
15:26,15:26,IC 2176,Rostock Hbf (an 17:37),7
15:34,15:34,RE 3514,Stralsund Hbf (an 18:51),4
15:38,15:38,RB 62070,Wustermark (an 16:18),8
15:42 (+5),15:47,ICE 1601,München Hbf (an 19:43),5
15:44,15:44,RE 3177,Stendal Hbf (an 17:30),6
15:46,15:46,RE 3351,Luckenwalde (an 16:27),4
15:58 (+23),16:21,ICE 2559,Freiburg(Breisgau) Hbf (an 23:01),4
16:00 (+10),16:10,ICE 374,Berlin Gesundbrunnen (an 16:13),6
16:04 (+1),16:05,FLX 1243,Stuttgart Hbf (an 22:43),4
16:07,16:07,RE 62025,Elstal (an 16:49),8
16:12 (+1),16:13,RE 3352,Angermünde (an 17:23),6
16:15 (+10),16:25,RE 3174,Jüterbog (an 16:55),5
16:17 (+40),16:57,ICE 1508,Berlin Gesundbrunnen (an 16:31),7
16:20,16:20,ICE 1163,Stuttgart Hbf (an 21:35),4
16:34,16:34,RE 4362,Rostock Hbf (an 19:21),4
16:35 (+19),16:54,ICE 2533,Leipzig Hbf (an 17:45),5
16:38 (+1),16:39,IC 2271,Dresden Hbf (an 18:47),3
16:38,16:38,RB 62072,Berlin-Spandau (an 16:59),
16:42 (+17),16:59,ICE 1103,München Hbf (an 20:46),5
16:42 (+14),16:56,ICE 2935,München Hbf (an 20:46),5
16:43 (+3),16:46,RE 3157,Rathenow (an 17:54),6
16:48 (+10),16:58,ICE 690,Berlin Gesundbrunnen (an 17:02),6
16:49,16:49,RE 3311,Lutherstadt Wittenberg Hbf (an 18:07),4
16:59,16:59,RJ 176,Berlin Hbf (an 17:04),7
17:06,17:06,RE 62027,Elstal (an 17:47),8
17:10 (+7),17:17,RE 3314,Stralsund Hbf (an 20:44),6
17:13 (+4),17:17,ICE 2839,Stuttgart Hbf (an 23:11),5
17:13,17:13,ICE 695,Stuttgart Hbf (an 23:11),5
17:17 (+41),17:58,ICE 1006,Berlin Gesundbrunnen (an 17:31),7
17:17 (+11),17:28,RE 3156,Falkenberg(Elster) (an 18:49),4
17:24 (+20),17:44,ICE 2526,Kiel Hbf (an 21:40),6
17:24 (+20),17:44,ICE 2942,Kiel Hbf (an 21:40),6
17:27,17:27,IC 2174,Rostock Hbf (an 19:37),
17:36,17:36,RE 3516,Stralsund Hbf (an 20:51),4
17:37,17:37,RJ 385,Praha hl.n. (an 21:25),
17:38,17:38,RB 62074,Berlin-Spandau (an 17:59),
17:42,17:42,ICE 1603,München Hbf (an 21:43),5
17:42,17:42,ICE 2911,München Hbf (an 21:43),5
17:45,17:45,RE 26117,Stendal Hbf (an 19:30),
17:45 (+12),17:57,RE 3179,Stendal Hbf (an 19:30),6
17:55 (+16),18:11,FLX 1242,Hamburg Hbf (an 20:34),8
17:58,17:58,ICE 677,Karlsruhe Hbf (an 23:59),3
18:00 (+16),18:16,ICE 372,Berlin Hbf (an 18:05),6
18:04,18:04,ICE 1709,Jena Paradies (an 20:42),
18:07,18:07,RE 62029,Elstal (an 18:49),8
18:12,18:12,RE 3354,Schwedt(Oder) (an 19:55),6
18:15 (+2),18:17,RE 3176,Jüterbog (an 18:54),5
18:17 (+15),18:32,ICE 1506,Berlin Gesundbrunnen (an 18:31),7
18:34 (+1),18:35,RE 4364,Rostock Hbf (an 21:21),4
18:35 (+5),18:40,ICE 2535,Leipzig Hbf (an 19:45),5
18:38 (+1),18:39,IC 2273,Dresden Hbf (an 20:31),3
18:38 (+1),18:39,IC 2829,Dresden Hbf (an 20:31),3
18:38,18:38,RB 62076,Berlin-Spandau (an 18:59),
