Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:12,RE 3366,Eberswalde Hbf (an 01:04),7
00:15,RB 21964,Berlin Hbf (an 00:23),
00:24 (+21),ICE 2834,Berlin Hbf (an 00:30),6
00:24 (+21),ICE 592,Berlin Hbf (an 00:30),6
00:30 (+2),ICE 700,Berlin Gesundbrunnen (an 00:43),6
00:31,RB 21966,Berlin Hbf (an 00:39),
00:51,RE 3363,Jüterbog (an 01:41),4
04:29,ICE 1706,Hamburg Hbf (an 07:11),7
04:38,RB 62094,Berlin-Spandau (an 04:59),
04:45,RB 21808,Berlin Hbf (an 04:53),
04:55 (+2),RE 62040,Hohenleipisch (an 06:25),
05:00,RB 56801,Schwerin Hbf (an 07:48),7
05:00,RE 21810,Berlin Hbf (an 05:08),
05:00,RE 56801,Schwerin Hbf (an 07:48),
05:06,RE 62003,Elstal (an 05:53),8
05:10,RE 3,Lindau-Reutin (an 22:57),
05:10 (+1),RE 3302,Stralsund Hbf (an 08:45),6
05:15,RE 21812,Berlin Hbf (an 05:23),
05:17,RE 3144,Falkenberg(Elster) (an 06:44),4
05:31,ICE 608,Hamburg Hbf (an 08:15),6
05:31,RB 21814,Berlin Hbf (an 05:39),
05:34,RE 3504,Stralsund Hbf (an 08:51),4
05:35,ICE 593,München Hbf (an 13:15),5
05:38,RB 62050,Berlin-Spandau (an 05:59),
05:42 (+1),ICE 1501,München Hbf (an 09:41),5
05:44,RE 3167,Stendal Hbf (an 07:13),7
05:45,RB 18501,Berlin Hbf (an 05:53),8
05:45,RE 18501,Berlin Hbf (an 05:53),
05:46 Ausfall,RE 3341,Lutherstadt Wittenberg Hbf (an 07:06),4
05:46,RE 91801,Lutherstadt Wittenberg Hbf (an 07:06),
05:50 Ausfall,ICE 240,Amsterdam Centraal (an 11:59),7
05:51,RE 62000,Elsterwerda (an 07:15),3
05:58 (+1),ICE 701,Graz Hbf (an 13:15),5
06:00,RE 21818,Berlin Hbf (an 06:08),
06:07,RE 62005,Elstal (an 06:49),8
06:10,RB 18500,Lübbenau(Spreewald) (an 07:18),3
06:12 (+1),RE 3342,Schwedt(Oder) (an 07:55),6
06:15,RE 21820,Berlin Hbf (an 06:23),
06:15,RE 3164,Jüterbog (an 06:54),5
06:26 (+1),ICE 1604,Berlin Gesundbrunnen (an 10:31),7
06:26 (+1),ICE 1704,Hamburg Hbf (an 09:11),7
06:26 (+1),ICE 1714,Köln Hbf (an 18:25),
06:26,ICE 2816,Hamburg Hbf (an 09:11),
06:26,ICE 2910,Berlin Gesundbrunnen (an 06:37),6
06:26,ICE 904,Berlin Gesundbrunnen (an 06:37),6
06:31,RE 21822,Berlin Hbf (an 06:39),
06:34 (+1),RE 4352,Rostock Hbf (an 09:21),4
06:35 (+1),ICE 503,München Hbf (an 11:07),5
06:38,RB 62052,Berlin-Spandau (an 06:59),
06:42 (+3),ICE 1003,München Hbf (an 10:45),5
06:43 (+1),RE 3147,Schorndorf (an 12:09),6
06:45,RB 18503,Berlin Hbf (an 06:53),8
06:45,RE 18503,Berlin Hbf (an 06:53),
06:49 (+1),RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),4
06:54,RE 62002,Elsterwerda (an 08:31),3
07:00,RE 21826,Berlin Hbf (an 07:08),
07:06,RE 62007,Elstal (an 07:53),8
07:10,RB 18502,Lübbenau(Spreewald) (an 08:15),3
07:10,RE 3304,Stralsund Hbf (an 10:44),6
07:13 (+1),ICE 9590,Paris Est (an 14:51),5
07:15,RE 21828,Berlin Hbf (an 07:23),
07:17 (+1),RE 3146,Falkenberg(Elster) (an 08:44),4
07:24 (+1),ICE 606,Hamburg-Altona (an 10:24),6
07:26 (+3),IC 2274,Rostock Hbf (an 09:37),7
07:31,RE 21830,Berlin Hbf (an 07:39),
07:34,RE 3506,St. Gallen(CH) (an 23:34),4
07:35 (+1),ICE 595,München Hbf (an 15:14),5
07:36 (+39),EN 40476,Berlin Hbf (an 07:41),8
07:36 (+39),NJ 456,Berlin Hbf (an 07:41),8
07:37,RJ 171,Praha hl.n. (an 11:25),
07:39,RB 62054,Berlin-Spandau (an 07:59),
07:42 (+4),ICE 1503,München Hbf (an 11:43),5
07:44,RE 3169,Stendal Hbf (an 09:30),6
07:45,RB 18505,Berlin Hbf (an 07:53),8
07:45,RE 18505,Berlin Hbf (an 07:53),
07:46,RE 3343,Luckenwalde (an 08:27),4
07:49 Ausfall,ICE 1131,Saarbrücken Hbf (an 14:17),7
07:50 Ausfall,ICE 148,Amsterdam Centraal (an 14:01),7
07:51,RE 62004,Elsterwerda (an 09:14),3
07:54,DRF 1320,Köln Hbf (an 13:41),7
07:54 (+15),FLX 1320,Köln Hbf (an 13:41),6
08:00,ICE 698,Berlin Gesundbrunnen (an 08:14),6
08:00 (+1),ICE 703,München Hbf (an 12:42),5
08:00,RB 21834,Berlin Hbf (an 08:09),
08:07,RE 62009,Elstal (an 08:49),8
08:10,RB 18504,Lübbenau(Spreewald) (an 09:15),3
08:12 (+1),RE 3344,Schwedt(Oder) (an 09:55),6
08:15,RE 21836,Berlin Hbf (an 08:23),
08:15 (+1),RE 3166,Jüterbog (an 08:54),5
08:31,RE 21838,Berlin Hbf (an 08:39),8
08:35 (+2),ICE 2919,München Hbf (an 13:08),5
08:35 (+2),ICE 505,München Hbf (an 13:08),5
08:35 (+3),RE 4354,Rostock Hbf (an 11:21),4
08:36 (+1),IC 2173,Wien Franz-Josefs-Bahnhof (an 16:27),3
08:38 (+2),RB 62056,Wustermark (an 09:18),8
08:42 (+2),ICE 1005,München Hbf (an 12:46),5
08:43 (+2),RE 3149,Schorndorf (an 12:39),6
08:45 (+3),RB 18507,Berlin Hbf (an 08:53),8
08:45,RE 18507,Berlin Hbf (an 08:53),8
08:49 (+1),ICE 936,Ostseebad Binz (an 12:29),6
08:49 (+1),RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),4
08:54,RE 62006,Elsterwerda (an 10:31),3
09:00,RB 21842,Berlin Hbf (an 09:08),
09:06,RE 62011,Elstal (an 09:55),8
09:10,RB 18506,Lübbenau(Spreewald) (an 10:15),3
09:10,RE 3306,Stralsund Hbf (an 12:44),6
09:13 (+1),ICE 837,Frankfurt(Main)Hbf (an 12:56),5
09:15,RE 21844,Berlin Hbf (an 09:23),8
