Abfahrt,Zugnr.,nach (Ankunft),Gleis
00:04,RE 3138,Cottbus Hbf (an 01:40),1
00:05,RB 21962,Berlin Hbf (an 00:16),
00:11,RE 73749,Erkner (an 00:31),1
00:11,RE 73826,Berlin Hbf (an 00:21),6
00:17,RB 93045,Zeesen (an 23:46),
00:17,RE 3745,Bad Belzig (an 01:31),7
00:39,RE 3141,Berlin-Charlottenburg (an 01:00),6
00:43,RB 94796,Berlin Hbf (an 00:53),
00:43,RE 73796,Berlin-Wannsee (an 01:14),
00:53,RB 21968,Berlin-Charlottenburg (an 01:13),7
01:04,RE 3140,Cottbus Hbf (an 02:40),1
01:16,RE 3742,Berlin Ostkreuz (an 01:20),2
01:34 (+24),RE 73791,Erkner (an 01:53),1
01:38,RE 73752,Berlin Zoologischer Garten (an 01:56),6
01:44,RE 21800,Berlin Zoologischer Garten (an 02:00),
01:55,RB 21969,Naumburg(Saale)Hbf (an 14:13),3
02:44,RB 21802,Berlin Hbf (an 02:54),
03:10,RB 21803,Flughafen BER (an 03:33),
03:52 (+12),ICE 646,Köln Hbf (an 09:33),3
04:04,RE 3705,Lübbenau(Spreewald) (an 04:57),
04:15,ICE 277,Chur (an 14:22),6
04:23,RE 2,Mainz Hbf (an 21:13),
04:23,RE 3101,Berlin-Spandau (an 04:53),
04:23,RE 73751,Frankfurt(Oder) (an 05:29),
04:33,RE 21806,Berlin Hbf (an 04:44),
04:41,RE 73801,Frankfurt(Oder) (an 05:36),
04:51,RE 94716,Berlin Zoologischer Garten (an 05:08),
04:58,RE 3702,Lübbenau(Spreewald) (an 06:03),
04:58,RE 91399,Lübbenau(Spreewald) (an 06:03),
04:58,RE 92402,Lübben(Spreewald) (an 05:56),
05:04,RE 3707,Berlin-Wannsee (an 05:34),
05:04,RE 93007,Berlin-Wannsee (an 05:34),
05:08,ICE 946,Köln Hbf (an 10:35),6
05:25,RE 3103,Hennigsdorf(b Berlin) (an 06:23),7
05:28,RB 94753,Frankfurt(Oder) (an 06:35),
05:28,RE 94753,Frankfurt(Oder) (an 06:35),
05:38,RE 3102,Cottbus Hbf (an 06:56),1
05:49,RE 94718,Berlin Zoologischer Garten (an 06:07),
05:56,ICE 240,Amsterdam Centraal (an 11:59),
05:57 (+2),RE 3704,Senftenberg (an 07:41),1
05:57,RE 94704,Lübbenau(Spreewald) (an 07:03),
05:59 (+3),EC 41,Warszawa Wschodnia (an 11:15),3
06:04,RE 3709,Berlin-Wannsee (an 06:34),
06:11,RE 94713,Frankfurt(Oder) (an 07:18),1
06:15 (+1),ICE 279,Interlaken Ost (an 15:59),6
06:21 (+1),ICE 644,Köln Hbf (an 11:32),7
06:25,RE 3105,Hennigsdorf(b Berlin) (an 07:23),6
06:38,RE 3104,Cottbus Hbf (an 07:57),1
06:42 (+15),ICE 1548,Köln Hbf (an 12:16),6
06:48,RE 94755,Frankfurt(Oder) (an 07:47),
06:49 (+2),RE 94720,Berlin Zoologischer Garten (an 07:07),6
06:58 (+1),RE 3706,Senftenberg (an 08:41),2
07:04 (+14),RE 3711,Dessau Hbf (an 08:53),7
07:04,RE 7,Flensburg (an 23:45),
07:06,ice 795,Karlsruhe Hbf (an 13:17),6
07:06 (+1),ICE 795,Karlsruhe Hbf (an 13:17),6
07:11,RE 94715,Frankfurt(Oder) (an 08:20),1
07:19 (+1),ICE 944,Köln Hbf (an 12:33),6
07:25,RE 3107,Hennigsdorf(b Berlin) (an 08:23),7
07:38,RE 3106,Cottbus Hbf (an 08:56),1
07:39,RB 18146,Berlin-Wannsee (an 08:10),7
07:46,IC 60409,Berlin Hbf (an 07:52),6
07:46 (+5),NJ 409,Berlin Hbf (an 07:52),6
07:48,RE 94757,Frankfurt(Oder) (an 08:43),
07:49,RE 94722,Berlin Hbf (an 07:59),
07:56,ICE 148,Amsterdam Centraal (an 14:01),
07:58 (+1),RE 3708,Senftenberg (an 09:41),2
07:58,RE 95118,Lübbenau(Spreewald) (an 09:03),
08:00 (+2),EC 43,Warszawa Wschodnia (an 13:15),1
08:00 (+1),ICE 642,Köln Hbf (an 13:34),6
08:04 (+1),RE 3713,Dessau Hbf (an 09:53),7
08:04,RE 7,Münster(Westf)Hbf (an 23:02),
08:11,RE 94717,Frankfurt(Oder) (an 09:18),1
08:17,ICE 2871,Braunschweig Hbf (an 09:55),
08:17 (+1),ICE 371,Basel SBB (an 15:48),6
08:25 (+5),RE 3109,Hennigsdorf(b Berlin) (an 09:23),7
