Ankunft,Zugnr.,von (Abfahrt),Gleis
00:02,RE 93138,Berlin-Charlottenburg (ab 23:42),
00:03,FEX,Berlin Potsdamer Platz (ab 09:56),
00:09 (+10),RE 73749,Magdeburg Hbf (ab 22:07),1
00:09,RE 73826,Frankfurt(Oder) (ab 23:07),
00:14,ICE 655,Helmstedt (ab 22:11),
00:15,RE 7,Wrist (ab 06:16),
00:23,ICE 901,Hamburg-Altona (ab 21:26),1
00:36,ICE 947,Köln Hbf (ab 19:27),3
00:37,RE 3141,Cottbus Hbf (ab 23:03),
00:41,RB 94796,Frankfurt(Oder) (ab 23:32),
01:02,RE 3140,Berlin-Charlottenburg (ab 00:42),
01:14,RE 3742,Dessau Hbf (ab 23:23),
01:33,RE 94791,Potsdam Hbf (ab 00:53),1
01:36,RB 94752,Frankfurt(Oder) (ab 00:29),
01:40 (+50),ICE 1707,Hamburg-Altona (ab 22:34),2
02:30 (+8),ICE 647,Köln Hbf (ab 21:26),2
02:55,RE 73754,Berlin Ostkreuz (ab 02:51),7
04:27,RE 73756,Berlin Ostkreuz (ab 04:23),6
05:26,RE 73753,Brandenburg Hbf (ab 04:17),1
05:55,RE 3704,Bad Belzig (ab 04:41),1
06:05 (+7),EC 430,Opalenica (ab 03:43),7
06:09 (+1),RE 73713,Magdeburg Hbf (ab 04:12),1
06:10 (+1),RE 73760,Frankfurt(Oder) (ab 05:08),7
06:46,RE 73755,Brandenburg Hbf (ab 05:44),1
06:47 (+2),RE 73720,Frankfurt(Oder) (ab 05:42),6
07:02,ICE 1272,Frankfurt(Main)Hbf (ab 23:35),
07:15,IC 2432,Cottbus Hbf (ab 06:01),
07:40 (+45),IC 60409,Zürich HB (ab 19:59),6
07:40 (+45),NJ 409,Zürich HB (ab 19:59),6
08:10,RE 73764,Frankfurt(Oder) (ab 07:11),7
08:28,ICE 851,Hannover Hbf (ab 06:09),
08:46,RE 73759,Brandenburg Hbf (ab 07:44),1
08:47 (+2),RE 73724,Frankfurt(Oder) (ab 07:41),7
08:56,RE 3710,Dessau Hbf (ab 07:05),7
09:03,ICE 841,Hannover Hbf (ab 06:50),2
09:09,RE 73719,Magdeburg Hbf (ab 07:12),1
09:10,RE 73766,Frankfurt(Oder) (ab 08:11),7
09:28,ICE 541,Köln Hbf (ab 04:25),2
09:46 (+1),RE 73761,Brandenburg Hbf (ab 08:44),1
09:47 (+2),RE 73726,Frankfurt(Oder) (ab 08:38),7
09:51,ICE 676,Kassel-Wilhelmshöhe (ab 06:45),
09:56,RE 94012,Bad Belzig (ab 08:41),
10:02,ICE 741,Münster(Westf)Hbf (ab 06:24),2
10:06,EC 248,Warszawa Wschodnia (ab 04:49),7
10:09 (+3),RE 73721,Magdeburg Hbf (ab 08:12),1
10:10,RE 73768,Frankfurt(Oder) (ab 09:08),7
10:29,ICE 843,Köln Hbf (ab 05:26),2
10:46,RE 73763,Brandenburg Hbf (ab 09:44),1
10:47 (+2),RE 73728,Frankfurt(Oder) (ab 09:38),7
10:49 (+2),ICE 996,Kassel-Wilhelmshöhe (ab 07:49),3
10:56,RE 3714,Dessau Hbf (ab 09:05),7
11:01 (+16),EC 54,Krakow Glowny (ab 04:07),6
11:09,RE 73723,Magdeburg Hbf (ab 09:12),1
11:10,RE 73770,Frankfurt(Oder) (ab 10:08),7
11:28,ICE 543,Köln Hbf (ab 06:25),2
11:46,RE 73765,Brandenburg Hbf (ab 10:44),1
11:47 (+2),RE 73730,Frankfurt(Oder) (ab 10:38),7
11:50,ICE 2826,München-Pasing (ab 16:54),
11:50 (+1),ICE 378,Karlsruhe Hbf (ab 05:59),2
11:56 (+2),RE 3716,Dessau Hbf (ab 10:05),3
12:02 (+5),ICE 141,Amsterdam Centraal (ab 06:00),2
12:06,EC 246,Warszawa Wschodnia (ab 06:49),7
12:09 (+4),RE 73725,Magdeburg Hbf (ab 10:12),1
12:10,RE 73772,Frankfurt(Oder) (ab 11:08),7
12:28 (+41),ICE 845,Köln Hbf (ab 07:27),2
12:46,RE 73767,Brandenburg Hbf (ab 11:44),1
12:47 (+3),RE 73732,Frankfurt(Oder) (ab 11:38),7
12:50,ICE 994,Stuttgart Hbf (ab 06:36),2
12:56,RE 3718,Dessau Hbf (ab 11:05),7
13:06,EC 230,Gdynia Glowna (ab 07:09),6
13:06,IC 2035,Norddeich (ab 05:39),2
13:09 (+8),RE 73727,Magdeburg Hbf (ab 11:12),1
13:10 (+1),RE 73774,Frankfurt(Oder) (ab 12:08),7
13:28 (+10),ICE 545,Köln Hbf (ab 08:25),2
13:40,DRF 1321,Köln Hbf (ab 08:14),2
13:40 (+5),FLX 1321,Köln Hbf (ab 08:14),3
13:46,RE 73769,Brandenburg Hbf (ab 12:44),1
13:47 (+2),RE 73734,Frankfurt(Oder) (ab 12:38),7
